time,Indiana,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. M. Turner (E. Bledsoe gains possession),,,,Jump ball: T. Chandler vs. M. Turner (E. Bledsoe gains possession)
11:46.0,,,0-0,,D. Booker misses 2-pt shot from 21 ft
11:44.0,,,0-0,,Offensive rebound by T. Chandler
11:36.0,,,0-0,,P. Tucker misses 2-pt shot from 6 ft
11:34.0,Defensive rebound by J. Teague,,0-0,,
11:29.0,M. Turner misses 2-pt shot from 9 ft,,0-0,,
11:27.0,,,0-0,,Defensive rebound by E. Bledsoe
11:13.0,,,0-0,,D. Booker misses 3-pt shot from 22 ft
11:11.0,Defensive rebound by M. Turner,,0-0,,
10:48.0,J. Teague makes 2-pt shot from 6 ft,2,2-0,,
10:26.0,,,2-0,,Turnover by E. Bledsoe (bad pass; steal by P. George)
10:14.0,J. Teague misses 3-pt shot from 25 ft,,2-0,,
10:12.0,Offensive rebound by T. Young,,2-0,,
10:07.0,T. Young misses 2-pt shot from 7 ft,,2-0,,
10:05.0,,,2-0,,Defensive rebound by T. Chandler
10:01.0,,,2-2,2,D. Booker makes 2-pt shot from 1 ft (assist by E. Bledsoe)
9:44.0,P. George misses 2-pt shot from 15 ft,,2-2,,
9:42.0,,,2-2,,Defensive rebound by M. Chriss
9:33.0,,,2-4,2,E. Bledsoe makes 2-pt shot from 7 ft
9:21.0,Turnover by M. Turner (lost ball; steal by T. Chandler),,2-4,,
9:17.0,,,2-6,2,D. Booker makes 2-pt shot from 1 ft (assist by T. Chandler)
9:00.0,M. Turner makes 2-pt shot from 2 ft (assist by J. Teague),2,4-6,,
8:45.0,,,4-6,,T. Chandler misses 2-pt shot from 1 ft
8:43.0,Defensive rebound by M. Turner,,4-6,,
8:37.0,Turnover by M. Turner (bad pass; steal by M. Chriss),,4-6,,
8:31.0,,,4-6,,Turnover by M. Chriss (offensive foul)
8:31.0,,,4-6,,Offensive charge foul by M. Chriss
8:10.0,P. George makes 2-pt shot from 19 ft,2,6-6,,
7:58.0,,,6-8,2,T. Chandler makes 2-pt shot from 2 ft (assist by D. Booker)
7:50.0,Offensive foul by P. George,,6-8,,
7:50.0,Turnover by P. George (offensive foul),,6-8,,
7:33.0,,,6-8,,Shooting foul by M. Turner (drawn by M. Chriss)
7:33.0,,,6-9,1,M. Chriss makes free throw 1 of 2
7:33.0,,,6-10,1,M. Chriss makes free throw 2 of 2
7:26.0,Shooting foul by E. Bledsoe (drawn by J. Teague),,6-10,,
7:26.0,J. Teague makes free throw 1 of 2,1,7-10,,
7:26.0,J. Teague makes free throw 2 of 2,1,8-10,,
7:20.0,Personal foul by M. Ellis (drawn by M. Chriss),,8-10,,
7:01.0,,,8-10,,Turnover by Team (shot clock)
6:50.0,M. Turner makes 2-pt shot from 21 ft (assist by J. Teague),2,10-10,,
6:43.0,,,10-12,2,T. Chandler makes 2-pt shot at rim (assist by D. Booker)
6:36.0,Turnover by J. Teague (bad pass; steal by E. Bledsoe),,10-12,,
6:34.0,,,10-12,,E. Bledsoe misses 2-pt shot from 2 ft
6:32.0,Defensive rebound by T. Young,,10-12,,
6:29.0,Turnover by M. Ellis (lost ball),,10-12,,
6:17.0,,,10-12,,P. Tucker misses 2-pt shot from 3 ft (block by M. Turner)
6:14.0,Defensive rebound by T. Young,,10-12,,
6:10.0,Shooting foul by M. Chriss (drawn by T. Young),,10-12,,
6:10.0,T. Young makes free throw 1 of 2,1,11-12,,
6:10.0,T. Young makes free throw 2 of 2,1,12-12,,
6:10.0,,,11-12,,J. Dudley enters the game for M. Chriss
6:00.0,,,12-12,,J. Dudley misses 2-pt shot from 21 ft
5:58.0,Defensive rebound by M. Ellis,,12-12,,
5:45.0,M. Ellis misses 3-pt shot from 27 ft,,12-12,,
5:43.0,,,12-12,,Defensive rebound by T. Chandler
5:40.0,,,12-12,,Turnover by E. Bledsoe (lost ball; steal by J. Teague)
5:33.0,Turnover by T. Young (bad pass; steal by P. Tucker),,12-12,,
5:30.0,,,12-12,,Turnover by P. Tucker (lost ball)
5:30.0,,,12-12,,Phoenix full timeout
5:30.0,,,12-12,,B. Knight enters the game for E. Bledsoe
5:17.0,Turnover by T. Young (lost ball; steal by J. Dudley),,12-12,,
4:53.0,,,12-12,,P. Tucker misses 2-pt shot from 4 ft (block by T. Young)
4:51.0,Defensive rebound by T. Young,,12-12,,
4:46.0,P. George makes 2-pt shot from 1 ft (assist by J. Teague),2,14-12,,
4:19.0,,,14-15,3,D. Booker makes 3-pt shot from 26 ft (assist by B. Knight)
4:07.0,Turnover by M. Turner (bad pass; steal by T. Chandler),,14-15,,
3:51.0,,,14-17,2,J. Dudley makes 2-pt shot from 6 ft
3:42.0,Indiana full timeout,,14-17,,
3:42.0,,,14-17,,A. Len enters the game for P. Tucker
3:42.0,,,14-17,,D. Bender enters the game for T. Chandler
3:42.0,R. Stuckey enters the game for M. Turner,,14-17,,
3:42.0,A. Jefferson enters the game for M. Ellis,,14-17,,
3:29.0,P. George misses 2-pt shot from 18 ft,,14-17,,
3:27.0,Offensive rebound by A. Jefferson,,14-17,,
3:19.0,,,14-17,,Personal foul by A. Len (drawn by A. Jefferson)
3:19.0,C. Miles enters the game for T. Young,,14-17,,
3:13.0,P. George makes 2-pt shot from 18 ft (assist by J. Teague),2,16-17,,
2:54.0,,,16-17,,B. Knight misses 2-pt shot from 21 ft
2:52.0,Defensive rebound by C. Miles,,16-17,,
2:39.0,P. George misses 2-pt shot from 2 ft (block by A. Len),,16-17,,
2:37.0,,,16-17,,Defensive rebound by D. Bender
2:30.0,,,16-17,,J. Dudley misses 2-pt shot from 17 ft
2:29.0,,,16-17,,Offensive rebound by Team
2:29.0,A. Brooks enters the game for J. Teague,,16-17,,
2:29.0,,,16-17,,E. Bledsoe enters the game for D. Booker
2:22.0,,,16-17,,Turnover by J. Dudley (bad pass; steal by A. Jefferson)
2:15.0,A. Brooks misses 2-pt shot from 2 ft,,16-17,,
2:13.0,Offensive rebound by A. Jefferson,,16-17,,
2:13.0,A. Jefferson makes 2-pt shot from 2 ft,2,18-17,,
2:01.0,,,18-17,,B. Knight misses 2-pt shot from 16 ft
1:59.0,Defensive rebound by P. George,,18-17,,
1:51.0,P. George makes 2-pt shot from 1 ft,2,20-17,,
1:51.0,,,20-17,,Phoenix full timeout
1:51.0,G. Robinson enters the game for P. George,,20-17,,
1:41.0,,,20-19,2,A. Len makes 2-pt shot from 1 ft (assist by E. Bledsoe)
1:41.0,,,20-19,,Shooting foul by C. Miles (drawn by A. Len)
1:41.0,,,20-20,1,A. Len makes free throw 1 of 1
1:25.0,A. Jefferson misses 2-pt shot from 11 ft,,20-20,,
1:23.0,,,20-20,,Defensive rebound by A. Len
1:11.0,,,20-20,,E. Bledsoe misses 3-pt shot from 25 ft
1:08.0,Defensive rebound by C. Miles,,20-20,,
1:03.0,C. Miles misses 3-pt shot from 25 ft,,20-20,,
1:00.0,,,20-20,,Defensive rebound by D. Bender
0:52.0,,,20-20,,B. Knight misses 2-pt shot from 8 ft
0:49.0,Defensive rebound by A. Jefferson,,20-20,,
0:37.0,Turnover by A. Brooks (lost ball; steal by D. Bender),,20-20,,
0:31.0,,,20-20,,J. Dudley misses 3-pt shot from 24 ft
0:27.0,Defensive rebound by A. Jefferson,,20-20,,
0:15.0,R. Stuckey makes 2-pt shot from 2 ft,2,22-20,,
0:15.0,Shooting foul by E. Bledsoe (drawn by R. Stuckey),,22-20,,
0:15.0,R. Stuckey makes free throw 1 of 1,1,23-20,,
0:15.0,,,22-20,,D. Booker enters the game for A. Len
