time,Milwaukee,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Henson (O. Porter gains possession),,,,Jump ball: M. Gortat vs. J. Henson (O. Porter gains possession)
11:45.0,,,0-2,2,J. Wall makes 2-pt shot from 3 ft
11:27.0,J. Henson makes 2-pt shot from 7 ft (assist by T. Snell),2,2-2,,
11:14.0,,,2-2,,M. Morris misses 2-pt shot from 10 ft (block by J. Henson)
11:13.0,Defensive rebound by T. Snell,,2-2,,
11:06.0,M. Dellavedova misses 3-pt shot from 24 ft,,2-2,,
11:04.0,,,2-2,,Defensive rebound by M. Morris
10:58.0,,,2-2,,O. Porter misses 2-pt shot from 2 ft
10:57.0,,,2-2,,Offensive rebound by M. Gortat
10:55.0,,,2-2,,M. Gortat misses 2-pt shot from 3 ft
10:54.0,,,2-2,,Offensive rebound by M. Gortat
10:53.0,,,2-2,,M. Gortat misses 2-pt shot from 2 ft
10:52.0,,,2-2,,Offensive rebound by O. Porter
10:51.0,,,2-2,,J. Wall misses 3-pt shot from 22 ft
10:50.0,Defensive rebound by T. Snell,,2-2,,
10:40.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,4-2,,
10:29.0,,,4-2,,B. Beal misses 2-pt shot from 14 ft
10:28.0,Defensive rebound by J. Henson,,4-2,,
10:18.0,G. Antetokounmpo misses 2-pt shot from 19 ft,,4-2,,
10:18.0,,,4-2,,Defensive rebound by M. Gortat
10:06.0,,,4-2,,Turnover by J. Wall (bad pass)
9:49.0,Turnover by J. Henson (bad pass; steal by M. Morris),,4-2,,
9:34.0,,,4-4,2,M. Morris makes 2-pt shot from 8 ft (assist by J. Wall)
9:13.0,Turnover by G. Antetokounmpo (bad pass),,4-4,,
9:03.0,,,4-4,,M. Morris misses 2-pt shot from 17 ft
9:00.0,Defensive rebound by G. Antetokounmpo,,4-4,,
8:43.0,J. Parker misses 2-pt shot from 18 ft,,4-4,,
8:42.0,,,4-4,,Defensive rebound by M. Gortat
8:38.0,,,4-6,2,B. Beal makes 2-pt shot from 2 ft (assist by J. Wall)
8:27.0,,,4-6,,Personal foul by J. Wall (drawn by M. Dellavedova)
8:20.0,J. Parker makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,6-6,,
8:13.0,,,6-8,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
7:58.0,T. Snell misses 2-pt shot from 21 ft,,6-8,,
7:57.0,,,6-8,,Defensive rebound by M. Morris
7:49.0,,,6-8,,J. Wall misses 2-pt shot from 17 ft
7:48.0,,,6-8,,Offensive rebound by M. Gortat
7:43.0,,,6-10,2,M. Morris makes 2-pt shot from 2 ft (assist by J. Wall)
7:21.0,J. Henson makes 2-pt shot from 8 ft (assist by M. Dellavedova),2,8-10,,
7:06.0,,,8-12,2,B. Beal makes 2-pt shot from 17 ft
6:53.0,M. Dellavedova makes 3-pt shot from 23 ft,3,11-12,,
6:26.0,,,11-12,,B. Beal misses 2-pt shot from 13 ft
6:26.0,Defensive rebound by Team,,11-12,,
6:26.0,,,11-12,,Loose ball foul by M. Gortat (drawn by J. Henson)
6:26.0,M. Teletovic enters the game for J. Parker,,11-12,,
6:17.0,M. Dellavedova misses 3-pt shot from 28 ft,,11-12,,
6:16.0,Offensive rebound by G. Antetokounmpo,,11-12,,
6:12.0,M. Teletovic makes 2-pt shot from 15 ft (assist by G. Antetokounmpo),2,13-12,,
5:57.0,,,13-12,,J. Wall misses 3-pt shot from 28 ft
5:55.0,Defensive rebound by T. Snell,,13-12,,
5:42.0,M. Teletovic makes 3-pt shot from 23 ft (assist by J. Henson),3,16-12,,
5:36.0,,,16-12,,Washington full timeout
5:27.0,,,16-12,,B. Beal misses 2-pt shot from 1 ft
5:26.0,,,16-12,,Offensive rebound by M. Gortat
5:24.0,,,16-12,,M. Gortat misses 2-pt shot from 1 ft
5:24.0,Defensive rebound by G. Antetokounmpo,,16-12,,
5:10.0,J. Henson makes 2-pt shot from 4 ft (assist by T. Snell),2,18-12,,
4:52.0,,,18-14,2,O. Porter makes 2-pt shot from 17 ft (assist by J. Wall)
4:33.0,Turnover by J. Henson (lost ball),,18-14,,
4:33.0,,,18-14,,K. Oubre enters the game for M. Morris
4:33.0,M. Brogdon enters the game for M. Dellavedova,,18-14,,
4:12.0,,,18-14,,J. Wall misses 2-pt shot from 7 ft
4:10.0,Defensive rebound by J. Henson,,18-14,,
4:01.0,T. Snell misses 3-pt shot from 25 ft,,18-14,,
4:00.0,,,18-14,,Defensive rebound by K. Oubre
3:53.0,,,18-14,,Shooting foul by T. Snell (drawn by B. Beal)
3:53.0,,,18-15,1,B. Beal makes free throw 1 of 2
3:53.0,,,18-16,1,B. Beal makes free throw 2 of 2
3:53.0,G. Monroe enters the game for J. Henson,,18-15,,
3:53.0,,,18-15,,A. Nicholson enters the game for M. Gortat
3:42.0,,,18-16,,Personal foul by K. Oubre (drawn by M. Teletovic)
3:35.0,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Monroe),2,20-16,,
3:27.0,,,20-16,,B. Beal misses 3-pt shot from 26 ft
3:26.0,Defensive rebound by G. Monroe,,20-16,,
3:06.0,G. Monroe makes 2-pt shot at rim,2,22-16,,
2:50.0,,,22-18,2,B. Beal makes 2-pt shot at rim (assist by A. Nicholson)
2:50.0,,,22-18,,Shooting foul by G. Monroe (drawn by B. Beal)
2:50.0,Milwaukee full timeout,,22-18,,
2:50.0,,,22-19,1,B. Beal makes free throw 1 of 1
2:50.0,M. Beasley enters the game for G. Antetokounmpo,,22-18,,
2:36.0,G. Monroe misses 2-pt shot from 5 ft,,22-19,,
2:35.0,,,22-19,,Defensive rebound by K. Oubre
2:19.0,,,22-19,,K. Oubre misses 3-pt shot from 24 ft
2:18.0,Defensive rebound by G. Monroe,,22-19,,
2:01.0,M. Brogdon makes 2-pt shot from 2 ft,2,24-19,,
1:47.0,,,24-21,2,J. Wall makes 2-pt shot from 2 ft
1:33.0,Turnover by M. Beasley (traveling),,24-21,,
1:33.0,,,24-21,,M. Thornton enters the game for B. Beal
1:33.0,J. Terry enters the game for T. Snell,,24-21,,
1:11.0,,,24-21,,J. Wall misses 2-pt shot from 21 ft
1:10.0,Defensive rebound by M. Teletovic,,24-21,,
1:02.0,M. Beasley misses 2-pt shot from 2 ft,,24-21,,
1:00.0,Offensive rebound by M. Beasley,,24-21,,
0:59.0,M. Beasley makes 2-pt shot from 2 ft,2,26-21,,
0:55.0,,,26-23,2,K. Oubre makes 2-pt shot from 2 ft (assist by J. Wall)
0:44.0,J. Terry makes 3-pt shot from 26 ft (assist by M. Brogdon),3,29-23,,
0:40.0,,,29-23,,Turnover by J. Wall (bad pass)
0:33.0,M. Brogdon misses 2-pt shot from 1 ft,,29-23,,
0:32.0,,,29-23,,Defensive rebound by A. Nicholson
0:20.0,,,29-23,,A. Nicholson misses 2-pt shot from 6 ft
0:19.0,Defensive rebound by G. Monroe,,29-23,,
0:01.0,M. Teletovic makes 3-pt shot from 32 ft (assist by M. Brogdon),3,32-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,G. Monroe misses 2-pt shot from 6 ft,,32-23,,
11:42.0,,,32-23,,Defensive rebound by K. Oubre
11:22.0,,,32-26,3,K. Oubre makes 3-pt shot from 24 ft (assist by M. Morris)
11:04.0,M. Beasley misses 2-pt shot from 18 ft,,32-26,,
11:03.0,,,32-26,,Defensive rebound by K. Oubre
10:51.0,,,32-26,,K. Oubre misses 3-pt shot from 26 ft
10:50.0,Defensive rebound by Team,,32-26,,
10:42.0,Turnover by M. Beasley (lost ball; steal by M. Morris),,32-26,,
10:37.0,,,32-28,2,T. Burke makes 2-pt shot from 6 ft (assist by M. Morris)
10:23.0,Turnover by M. Brogdon (lost ball),,32-28,,
10:23.0,M. Dellavedova enters the game for M. Brogdon,,32-28,,
10:06.0,,,32-30,2,A. Nicholson makes 2-pt shot from 1 ft (assist by M. Thornton)
9:51.0,J. Terry misses 3-pt shot from 27 ft,,32-30,,
9:50.0,,,32-30,,Defensive rebound by K. Oubre
9:42.0,,,32-30,,T. Burke misses 2-pt shot from 19 ft
9:42.0,Defensive rebound by M. Teletovic,,32-30,,
9:41.0,,,32-30,,Personal foul by A. Nicholson (drawn by M. Teletovic)
9:41.0,J. Parker enters the game for M. Beasley,,32-30,,
9:31.0,M. Teletovic misses 3-pt shot from 27 ft,,32-30,,
9:30.0,,,32-30,,Defensive rebound by M. Thornton
9:21.0,,,32-30,,M. Thornton misses 2-pt shot from 18 ft
9:20.0,Defensive rebound by J. Parker,,32-30,,
9:16.0,Turnover by J. Parker (bad pass; steal by M. Morris),,32-30,,
9:15.0,Personal take foul by M. Teletovic (drawn by M. Morris),,32-30,,
9:00.0,,,32-32,2,M. Morris makes 2-pt shot at rim (assist by T. Burke)
8:46.0,,,32-32,,Personal foul by A. Nicholson (drawn by G. Monroe)
8:46.0,Official timeout,,32-32,,
8:44.0,Turnover by J. Parker (bad pass; steal by K. Oubre),,32-32,,
8:43.0,,,32-32,,Shooting foul by M. Teletovic (drawn by K. Oubre)
8:43.0,,,32-33,1,K. Oubre makes free throw 1 of 2
8:43.0,,,32-34,1,K. Oubre makes free throw 2 of 2
8:28.0,J. Parker misses 2-pt shot from 10 ft,,32-34,,
8:27.0,,,32-34,,Defensive rebound by K. Oubre
8:12.0,,,32-34,,Shooting foul by J. Parker (drawn by M. Morris)
8:12.0,,,32-35,1,M. Morris makes free throw 1 of 2
8:12.0,,,32-35,,M. Morris misses free throw 2 of 2
8:12.0,G. Antetokounmpo enters the game for M. Teletovic,,32-35,,
