time,Memphis,pts.away,score,pts.home,Chicago
2:27.0,Defensive rebound by J. Ennis,,22-20,,
2:13.0,T. Daniels misses 3-pt shot from 22 ft,,22-20,,
2:12.0,,,22-20,,Defensive rebound by N. Mirotic
2:08.0,,,22-20,,Shooting foul by J. Ennis (drawn by J. Butler)
2:08.0,,,22-21,1,J. Butler makes free throw 1 of 2
2:08.0,,,22-22,1,J. Butler makes free throw 2 of 2
2:08.0,M. Conley enters the game for A. Harrison,,22-21,,
1:55.0,M. Gasol misses 2-pt shot from 5 ft,,22-22,,
1:55.0,Offensive rebound by Team,,22-22,,
1:49.0,Z. Randolph makes 2-pt shot from 6 ft,2,24-22,,
1:40.0,,,24-22,,N. Mirotic misses 3-pt shot from 26 ft
1:39.0,,,24-22,,Offensive rebound by R. Rondo
1:36.0,,,24-24,2,C. Felicio makes 2-pt shot at rim (assist by N. Mirotic)
1:04.0,M. Gasol misses 2-pt shot from 18 ft,,24-24,,
1:03.0,,,24-24,,Defensive rebound by C. Felicio
0:53.0,,,24-24,,D. Valentine misses 3-pt shot from 23 ft
0:52.0,Defensive rebound by M. Conley,,24-24,,
0:42.0,Z. Randolph misses 2-pt shot from 1 ft (block by N. Mirotic),,24-24,,
0:40.0,,,24-24,,Defensive rebound by D. Valentine
0:35.0,,,24-24,,R. Rondo misses 2-pt shot from 2 ft
0:33.0,Defensive rebound by Z. Randolph,,24-24,,
0:09.0,J. Ennis misses 3-pt shot from 26 ft,,24-24,,
0:08.0,,,24-24,,Defensive rebound by N. Mirotic
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,Z. Randolph misses 2-pt shot from 6 ft,,24-24,,
11:37.0,,,24-24,,Defensive rebound by M. Carter-Williams
11:33.0,,,24-26,2,M. Carter-Williams makes 2-pt shot from 2 ft
11:16.0,M. Conley makes 2-pt shot from 7 ft,2,26-26,,
11:00.0,,,26-26,,Shooting foul by B. Wright (drawn by N. Mirotic)
11:00.0,,,26-27,1,N. Mirotic makes free throw 1 of 3
11:00.0,,,26-28,1,N. Mirotic makes free throw 2 of 3
11:00.0,,,26-29,1,N. Mirotic makes free throw 3 of 3
10:50.0,T. Daniels makes 3-pt shot from 26 ft (assist by M. Conley),3,29-29,,
10:33.0,,,29-29,,D. Wade misses 2-pt shot from 11 ft
10:32.0,Defensive rebound by T. Daniels,,29-29,,
10:22.0,Z. Randolph misses 2-pt shot from 1 ft (block by M. Carter-Williams),,29-29,,
10:21.0,Offensive rebound by Z. Randolph,,29-29,,
10:21.0,Z. Randolph misses 2-pt shot from 1 ft,,29-29,,
10:19.0,,,29-29,,Defensive rebound by D. Valentine
10:15.0,,,29-29,,Shooting foul by M. Conley (drawn by C. Felicio)
10:15.0,,,29-30,1,D. Wade makes free throw 1 of 2
10:15.0,,,29-30,,D. Wade misses free throw 2 of 2
10:13.0,Defensive rebound by B. Wright,,29-30,,
10:02.0,Turnover by M. Conley (bad pass; steal by M. Carter-Williams),,29-30,,
9:51.0,,,29-32,2,M. Carter-Williams makes 2-pt shot from 9 ft
9:32.0,J. Ennis makes 2-pt shot from 3 ft (assist by Z. Randolph),2,31-32,,
9:18.0,,,31-32,,D. Wade misses 2-pt shot from 9 ft
9:14.0,,,31-32,,Offensive rebound by Team
9:14.0,Loose ball foul by B. Wright (drawn by N. Mirotic),,31-32,,
9:14.0,,,31-32,,B. Portis enters the game for N. Mirotic
9:04.0,,,31-32,,M. Carter-Williams misses 2-pt shot from 7 ft
9:03.0,Defensive rebound by M. Conley,,31-32,,
8:53.0,Shooting foul by M. Carter-Williams (drawn by M. Conley),,31-32,,
8:53.0,Memphis full timeout,,31-32,,
8:53.0,M. Conley makes free throw 1 of 2,1,32-32,,
8:53.0,M. Conley makes free throw 2 of 2,1,33-32,,
8:38.0,,,33-32,,Turnover by D. Wade (step out of bounds)
8:15.0,T. Daniels misses 2-pt shot from 21 ft,,33-32,,
8:15.0,Offensive rebound by B. Wright,,33-32,,
8:15.0,B. Wright makes 2-pt shot at rim,2,35-32,,
8:15.0,Shooting foul by B. Portis (drawn by B. Wright),,35-32,,
8:15.0,B. Wright misses free throw 1 of 1,,35-32,,
8:13.0,,,35-32,,Defensive rebound by D. Valentine
7:50.0,,,35-32,,D. Valentine misses 2-pt shot from 8 ft
7:49.0,,,35-32,,Offensive rebound by B. Portis
7:47.0,,,35-32,,B. Portis misses 2-pt shot from 3 ft
7:46.0,,,35-32,,Offensive rebound by B. Portis
7:46.0,,,35-34,2,B. Portis makes 2-pt shot from 4 ft
7:25.0,Z. Randolph makes 2-pt shot from 13 ft (assist by J. Ennis),2,37-34,,
7:04.0,,,37-36,2,B. Portis makes 2-pt shot from 20 ft (assist by D. Valentine)
6:47.0,T. Daniels makes 3-pt shot from 25 ft (assist by M. Conley),3,40-36,,
6:29.0,,,40-36,,D. Wade misses 2-pt shot from 19 ft
6:28.0,Defensive rebound by B. Wright,,40-36,,
6:10.0,M. Conley misses 3-pt shot from 24 ft,,40-36,,
6:09.0,Offensive rebound by T. Daniels,,40-36,,
6:05.0,T. Daniels misses 3-pt shot from 23 ft,,40-36,,
6:04.0,,,40-36,,Defensive rebound by B. Portis
5:55.0,,,40-39,3,M. Carter-Williams makes 3-pt shot from 24 ft (assist by D. Wade)
5:44.0,Memphis full timeout,,40-39,,
5:44.0,,,40-39,,P. Zipser enters the game for D. Wade
5:44.0,,,40-39,,J. Butler enters the game for D. Valentine
5:44.0,T. Allen enters the game for Z. Randolph,,40-39,,
5:44.0,M. Gasol enters the game for J. Ennis,,40-39,,
5:44.0,V. Carter enters the game for T. Daniels,,40-39,,
5:44.0,J. Green enters the game for B. Wright,,40-39,,
5:32.0,M. Conley makes 3-pt shot from 24 ft (assist by M. Gasol),3,43-39,,
5:16.0,,,43-39,,B. Portis misses 2-pt shot from 17 ft
5:15.0,Defensive rebound by M. Conley,,43-39,,
5:04.0,V. Carter misses 3-pt shot from 26 ft,,43-39,,
5:03.0,,,43-39,,Defensive rebound by P. Zipser
4:53.0,,,43-39,,M. Carter-Williams misses 2-pt shot from 1 ft
4:52.0,,,43-39,,Offensive rebound by M. Carter-Williams
4:52.0,,,43-39,,M. Carter-Williams misses 2-pt shot from 2 ft
4:50.0,Defensive rebound by J. Green,,43-39,,
4:39.0,M. Gasol misses 3-pt shot from 25 ft,,43-39,,
4:38.0,,,43-39,,Defensive rebound by P. Zipser
4:18.0,,,43-39,,P. Zipser misses 3-pt shot from 26 ft
4:17.0,Defensive rebound by T. Allen,,43-39,,
4:08.0,M. Conley makes 2-pt shot from 1 ft (assist by M. Gasol),2,45-39,,
4:06.0,,,45-39,,Chicago full timeout
4:06.0,,,45-39,,N. Mirotic enters the game for B. Portis
4:06.0,,,45-39,,R. Lopez enters the game for C. Felicio
4:06.0,,,45-39,,R. Rondo enters the game for M. Carter-Williams
4:06.0,A. Harrison enters the game for M. Conley,,45-39,,
3:46.0,,,45-41,2,J. Butler makes 2-pt shot from 8 ft
3:21.0,T. Allen misses 2-pt shot from 9 ft,,45-41,,
3:20.0,,,45-41,,Defensive rebound by P. Zipser
3:18.0,,,45-41,,J. Butler misses 2-pt shot from 1 ft (block by V. Carter)
3:18.0,,,45-41,,Offensive rebound by Team
3:05.0,,,45-41,,P. Zipser misses 2-pt shot from 17 ft
3:04.0,,,45-41,,Offensive rebound by J. Butler
2:58.0,,,45-43,2,J. Butler makes 2-pt shot from 8 ft
2:45.0,M. Gasol makes 2-pt shot from 13 ft (assist by V. Carter),2,47-43,,
2:39.0,,,47-45,2,P. Zipser makes 2-pt shot from 2 ft (assist by R. Rondo)
2:22.0,T. Allen misses 2-pt shot from 2 ft,,47-45,,
2:20.0,,,47-45,,Defensive rebound by N. Mirotic
2:14.0,,,47-47,2,R. Rondo makes 2-pt shot from 3 ft
2:04.0,Memphis full timeout,,47-47,,
1:46.0,A. Harrison misses 2-pt shot from 3 ft,,47-47,,
1:45.0,Offensive rebound by T. Allen,,47-47,,
1:43.0,T. Allen misses 2-pt shot from 3 ft,,47-47,,
1:42.0,Offensive rebound by A. Harrison,,47-47,,
1:33.0,J. Green makes 2-pt shot from 23 ft,2,49-47,,
1:24.0,Personal foul by J. Green (drawn by R. Rondo),,49-47,,
1:24.0,M. Conley enters the game for A. Harrison,,49-47,,
1:17.0,,,49-47,,Turnover by N. Mirotic (bad pass)
1:17.0,,,49-47,,C. Felicio enters the game for R. Lopez
1:07.0,M. Conley makes 3-pt shot from 26 ft,3,52-47,,
0:48.0,,,52-50,3,R. Rondo makes 3-pt shot from 23 ft (assist by P. Zipser)
0:37.0,Turnover by M. Conley (lost ball),,52-50,,
0:28.0,,,52-50,,R. Rondo misses 2-pt shot from 2 ft
0:28.0,Defensive rebound by Team,,52-50,,
0:28.0,T. Daniels enters the game for T. Allen,,52-50,,
0:28.0,,,52-50,,B. Portis enters the game for N. Mirotic
0:09.0,M. Gasol makes 2-pt shot from 12 ft (assist by M. Conley),2,54-50,,
0:00.0,,,54-50,,B. Portis misses 2-pt shot from 15 ft
0:00.0,,,54-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,J. Green makes 2-pt shot at rim (assist by T. Allen),2,56-50,,
11:18.0,,,56-50,,R. Lopez misses 2-pt shot from 20 ft
11:17.0,Defensive rebound by T. Allen,,56-50,,
11:02.0,M. Gasol misses 2-pt shot from 5 ft,,56-50,,
11:01.0,,,56-50,,Defensive rebound by D. Wade
10:39.0,,,56-50,,B. Portis misses 3-pt shot from 25 ft
10:37.0,Defensive rebound by M. Conley,,56-50,,
10:22.0,V. Carter makes 2-pt shot from 18 ft,2,58-50,,
10:08.0,,,58-50,,D. Wade misses 2-pt shot from 16 ft
10:07.0,Defensive rebound by M. Conley,,58-50,,
9:53.0,M. Conley makes 3-pt shot from 26 ft,3,61-50,,
9:52.0,,,61-50,,Chicago full timeout
9:36.0,,,61-50,,R. Rondo misses 2-pt shot from 12 ft
9:35.0,Defensive rebound by J. Green,,61-50,,
9:27.0,M. Gasol misses 2-pt shot from 15 ft,,61-50,,
9:26.0,Offensive rebound by T. Allen,,61-50,,
9:09.0,M. Conley makes 3-pt shot from 23 ft (assist by M. Gasol),3,64-50,,
8:47.0,,,64-50,,D. Wade misses 2-pt shot from 17 ft
8:46.0,,,64-50,,Offensive rebound by R. Lopez
8:46.0,,,64-52,2,R. Lopez makes 2-pt shot from 2 ft
8:34.0,T. Allen makes 2-pt shot from 1 ft (assist by M. Gasol),2,66-52,,
8:27.0,Personal foul by T. Allen (drawn by J. Butler),,66-52,,
8:10.0,,,66-52,,R. Lopez misses 2-pt shot from 13 ft
8:09.0,Defensive rebound by J. Green,,66-52,,
7:59.0,J. Green misses 3-pt shot from 26 ft,,66-52,,
7:58.0,Offensive rebound by V. Carter,,66-52,,
7:35.0,T. Allen misses 3-pt shot from 23 ft,,66-52,,
7:34.0,,,66-52,,Defensive rebound by J. Butler
7:21.0,,,66-54,2,R. Lopez makes 2-pt shot from 7 ft (assist by D. Wade)
7:03.0,J. Ennis enters the game for T. Allen,,66-54,,
6:56.0,M. Conley misses 3-pt shot from 23 ft,,66-54,,
6:55.0,,,66-54,,Defensive rebound by B. Portis
6:49.0,,,66-54,,Shooting foul by M. Conley (drawn by J. Butler)
6:49.0,,,66-55,1,J. Butler makes free throw 1 of 2
6:49.0,,,66-56,1,J. Butler makes free throw 2 of 2
6:34.0,V. Carter misses 3-pt shot from 23 ft,,66-56,,
6:33.0,Offensive rebound by J. Green,,66-56,,
6:33.0,,,66-56,,Personal foul by R. Rondo (drawn by J. Green)
6:18.0,M. Gasol misses 2-pt shot from 3 ft,,66-56,,
6:17.0,,,66-56,,Defensive rebound by R. Lopez
6:10.0,Personal foul by M. Gasol (drawn by D. Wade),,66-56,,
5:57.0,,,66-59,3,R. Rondo makes 3-pt shot from 23 ft (assist by J. Butler)
5:45.0,,,66-59,,Personal foul by B. Portis (drawn by J. Green)
5:45.0,Z. Randolph enters the game for J. Green,,66-59,,
5:45.0,A. Harrison enters the game for M. Conley,,66-59,,
5:31.0,A. Harrison misses 3-pt shot from 25 ft (block by J. Butler),,66-59,,
5:27.0,,,66-59,,Defensive rebound by J. Butler
5:23.0,,,66-59,,J. Butler misses 2-pt shot from 5 ft
5:22.0,,,66-59,,Offensive rebound by B. Portis
5:22.0,,,66-61,2,B. Portis makes 2-pt shot from 2 ft
5:22.0,Memphis full timeout,,66-61,,
5:06.0,Z. Randolph misses 2-pt shot from 18 ft,,66-61,,
5:06.0,,,66-61,,Defensive rebound by D. Wade
4:58.0,,,66-61,,D. Wade misses 2-pt shot from 14 ft
4:57.0,,,66-61,,Offensive rebound by J. Butler
4:53.0,,,66-61,,D. Wade misses 3-pt shot from 25 ft
4:52.0,Defensive rebound by Z. Randolph,,66-61,,
4:39.0,M. Gasol makes 2-pt shot from 15 ft (assist by V. Carter),2,68-61,,
4:21.0,,,68-61,,Turnover by J. Butler (lost ball)
4:21.0,,,68-61,,D. Valentine enters the game for D. Wade
4:21.0,T. Daniels enters the game for V. Carter,,68-61,,
4:03.0,Z. Randolph misses 2-pt shot from 3 ft,,68-61,,
4:01.0,Offensive rebound by Z. Randolph,,68-61,,
4:01.0,Z. Randolph misses 2-pt shot from 3 ft (block by B. Portis),,68-61,,
4:01.0,Offensive rebound by Team,,68-61,,
4:01.0,,,68-61,,N. Mirotic enters the game for B. Portis
3:58.0,M. Gasol makes 2-pt shot from 2 ft (assist by A. Harrison),2,70-61,,
3:31.0,,,70-61,,N. Mirotic misses 2-pt shot from 10 ft
3:30.0,Defensive rebound by M. Gasol,,70-61,,
3:19.0,Z. Randolph misses 2-pt shot from 7 ft,,70-61,,
3:17.0,Offensive rebound by Z. Randolph,,70-61,,
3:08.0,Turnover by A. Harrison (lost ball; steal by R. Lopez),,70-61,,
3:08.0,Personal foul by A. Harrison (drawn by N. Mirotic),,70-61,,
2:50.0,,,70-61,,J. Butler misses 2-pt shot from 13 ft
2:49.0,Defensive rebound by Z. Randolph,,70-61,,
2:36.0,Shooting foul by R. Lopez (drawn by M. Gasol),,70-61,,
2:36.0,M. Gasol misses free throw 1 of 2,,70-61,,
2:36.0,Offensive rebound by Team,,70-61,,
2:36.0,M. Gasol makes free throw 2 of 2,1,71-61,,
2:36.0,,,70-61,,C. Felicio enters the game for R. Lopez
2:16.0,,,71-64,3,D. Valentine makes 3-pt shot from 22 ft (assist by C. Felicio)
1:59.0,,,71-64,,Personal foul by R. Rondo (drawn by M. Gasol)
1:45.0,M. Gasol makes 3-pt shot from 27 ft (assist by A. Harrison),3,74-64,,
1:32.0,,,74-67,3,N. Mirotic makes 3-pt shot from 25 ft (assist by R. Rondo)
1:12.0,T. Daniels misses 3-pt shot from 26 ft,,74-67,,
1:11.0,,,74-67,,Defensive rebound by R. Rondo
1:00.0,,,74-69,2,R. Rondo makes 2-pt shot from 3 ft
0:40.0,Turnover by J. Ennis (lost ball; steal by R. Rondo),,74-69,,
0:37.0,,,74-71,2,J. Butler makes 2-pt shot at rim (assist by R. Rondo)
0:25.0,Offensive foul by A. Harrison,,74-71,,
0:25.0,Turnover by A. Harrison (offensive foul),,74-71,,
0:25.0,M. Conley enters the game for A. Harrison,,74-71,,
0:03.0,,,74-71,,J. Butler misses 2-pt shot from 19 ft
0:01.0,Defensive rebound by J. Ennis,,74-71,,
0:00.0,M. Conley misses 3-pt shot from 52 ft,,74-71,,
0:00.0,Offensive rebound by Team,,74-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,74-71,,D. Valentine misses 3-pt shot from 25 ft
11:38.0,Defensive rebound by T. Daniels,,74-71,,
11:16.0,T. Daniels misses 3-pt shot from 28 ft,,74-71,,
11:15.0,,,74-71,,Defensive rebound by J. Butler
11:05.0,,,74-71,,J. Butler misses 2-pt shot from 6 ft
11:04.0,Defensive rebound by Z. Randolph,,74-71,,
10:48.0,B. Wright makes 2-pt shot from 1 ft (assist by Z. Randolph),2,76-71,,
10:27.0,,,76-71,,M. Carter-Williams misses 2-pt shot from 8 ft
10:27.0,Defensive rebound by Team,,76-71,,
10:27.0,,,76-71,,Loose ball foul by C. Felicio (drawn by Z. Randolph)
10:27.0,,,76-71,,D. Wade enters the game for J. Butler
10:17.0,,,76-71,,Personal foul by M. Carter-Williams (drawn by M. Conley)
10:12.0,Turnover by M. Conley (lost ball; steal by M. Carter-Williams),,76-71,,
10:08.0,,,76-73,2,D. Valentine makes 2-pt shot from 2 ft (assist by M. Carter-Williams)
9:46.0,B. Wright misses 2-pt shot from 9 ft,,76-73,,
9:44.0,Offensive rebound by Team,,76-73,,
9:42.0,,,76-73,,Personal foul by M. Carter-Williams (drawn by M. Conley)
9:37.0,,,76-73,,Personal foul by D. Valentine (drawn by T. Daniels)
9:25.0,J. Ennis misses 3-pt shot from 27 ft,,76-73,,
9:23.0,Offensive rebound by B. Wright,,76-73,,
9:21.0,T. Daniels misses 3-pt shot from 25 ft,,76-73,,
9:20.0,Offensive rebound by Team,,76-73,,
9:10.0,Shooting foul by N. Mirotic (drawn by M. Conley),,76-73,,
9:10.0,M. Conley makes free throw 1 of 2,1,77-73,,
9:10.0,M. Conley makes free throw 2 of 2,1,78-73,,
8:51.0,,,78-76,3,D. Valentine makes 3-pt shot from 24 ft (assist by D. Wade)
8:35.0,Offensive foul by B. Wright,,78-76,,
8:35.0,Turnover by B. Wright (offensive foul),,78-76,,
8:35.0,,,78-76,,Chicago full timeout
8:35.0,,,78-76,,J. Butler enters the game for D. Wade
8:35.0,V. Carter enters the game for T. Daniels,,78-76,,
8:11.0,,,78-76,,M. Carter-Williams misses 2-pt shot from 22 ft
8:11.0,,,78-76,,Offensive rebound by Team
8:11.0,,,78-76,,Turnover by Team (shot clock)
7:57.0,Turnover by V. Carter (bad pass; steal by D. Valentine),,78-76,,
7:52.0,,,78-76,,D. Valentine misses 2-pt shot from 2 ft
7:51.0,,,78-76,,Offensive rebound by J. Butler
7:48.0,,,78-76,,J. Butler misses 2-pt shot from 14 ft
7:47.0,,,78-76,,Offensive rebound by N. Mirotic
7:36.0,,,78-76,,Shooting foul by Z. Randolph (drawn by J. Butler)
7:36.0,,,78-77,1,J. Butler makes free throw 1 of 2
7:36.0,,,78-77,,J. Butler misses free throw 2 of 2
7:36.0,M. Gasol enters the game for B. Wright,,78-77,,
7:35.0,Defensive rebound by M. Gasol,,78-77,,
7:16.0,M. Gasol misses 2-pt shot from 7 ft,,78-77,,
7:15.0,,,78-77,,Defensive rebound by D. Valentine
6:57.0,,,78-77,,J. Butler misses 2-pt shot from 20 ft
6:56.0,Defensive rebound by Z. Randolph,,78-77,,
6:35.0,V. Carter misses 3-pt shot from 23 ft,,78-77,,
6:34.0,,,78-77,,Defensive rebound by D. Valentine
6:26.0,Personal foul by J. Ennis (drawn by J. Butler),,78-77,,
6:26.0,T. Allen enters the game for J. Ennis,,78-77,,
6:26.0,,,78-77,,R. Rondo enters the game for M. Carter-Williams
6:15.0,,,78-77,,N. Mirotic misses 3-pt shot from 26 ft
6:14.0,Defensive rebound by V. Carter,,78-77,,
6:06.0,Z. Randolph makes 2-pt shot from 2 ft (assist by M. Gasol),2,80-77,,
5:46.0,,,80-80,3,N. Mirotic makes 3-pt shot from 26 ft (assist by D. Valentine)
5:24.0,M. Gasol makes 3-pt shot from 25 ft (assist by M. Conley),3,83-80,,
5:09.0,,,83-80,,Turnover by N. Mirotic (lost ball; steal by M. Conley)
4:59.0,M. Gasol misses 3-pt shot from 26 ft,,83-80,,
4:58.0,,,83-80,,Defensive rebound by D. Valentine
4:50.0,,,83-80,,R. Rondo misses 2-pt shot from 19 ft
4:49.0,,,83-80,,Offensive rebound by C. Felicio
4:46.0,,,83-83,3,N. Mirotic makes 3-pt shot from 25 ft (assist by C. Felicio)
4:20.0,M. Gasol makes 2-pt shot from 3 ft (assist by Z. Randolph),2,85-83,,
4:20.0,Shooting foul by N. Mirotic (drawn by M. Gasol),,85-83,,
4:20.0,,,85-83,,Chicago full timeout
4:20.0,M. Gasol makes free throw 1 of 1,1,86-83,,
4:20.0,J. Green enters the game for Z. Randolph,,85-83,,
