time,Memphis,pts.away,score,pts.home,Chicago
1:29.0,Defensive rebound by M. Gasol,,93-89,,
1:12.0,M. Gasol makes 3-pt shot from 25 ft (assist by M. Conley),3,96-89,,
1:12.0,,,96-89,,Chicago full timeout
1:00.0,,,96-89,,N. Mirotic misses 3-pt shot from 25 ft
0:59.0,,,96-89,,Offensive rebound by R. Rondo
0:59.0,Personal foul by V. Carter (drawn by R. Rondo),,96-89,,
0:51.0,,,96-89,,J. Butler misses 3-pt shot from 26 ft
0:50.0,Defensive rebound by M. Conley,,96-89,,
0:44.0,,,96-89,,Personal take foul by R. Rondo (drawn by M. Conley)
0:44.0,M. Conley makes free throw 1 of 2,1,97-89,,
0:44.0,M. Conley makes free throw 2 of 2,1,98-89,,
0:44.0,,,98-89,,Chicago full timeout
0:44.0,J. Ennis enters the game for M. Conley,,98-89,,
0:36.0,,,98-89,,N. Mirotic misses 3-pt shot from 25 ft (block by J. Green)
0:35.0,Defensive rebound by T. Allen,,98-89,,
0:27.0,J. Green misses 2-pt shot from 3 ft (block by N. Mirotic),,98-89,,
0:25.0,Offensive rebound by J. Ennis,,98-89,,
0:20.0,J. Green misses 3-pt shot from 25 ft,,98-89,,
0:18.0,,,98-89,,Defensive rebound by D. Valentine
0:10.0,,,98-89,,D. Valentine misses 3-pt shot from 25 ft
0:09.0,,,98-89,,Offensive rebound by N. Mirotic
0:04.0,,,98-91,2,R. Lopez makes 2-pt shot from 16 ft (assist by D. Valentine)
0:00.0,End of 4th quarter,,,,End of 4th quarter
