time,Charlotte,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:42.0,M. Williams misses 2-pt shot from 9 ft,,0-0,,
12:00.0,Jump ball: B. Lopez vs. C. Zeller (M. Williams gains possession),,,,Jump ball: B. Lopez vs. C. Zeller (M. Williams gains possession)
11:41.0,Offensive rebound by M. Williams,,0-0,,
11:40.0,M. Williams misses 2-pt shot at rim,,0-0,,
11:39.0,,,0-0,,Defensive rebound by T. Booker
11:30.0,,,0-2,2,B. Lopez makes 2-pt shot from 1 ft
11:30.0,,,0-2,,Shooting foul by C. Zeller (drawn by B. Lopez)
11:30.0,,,0-3,1,B. Lopez makes free throw 1 of 1
11:19.0,K. Walker misses 2-pt shot from 1 ft,,0-3,,
11:18.0,Offensive rebound by M. Kidd-Gilchrist,,0-3,,
11:17.0,K. Walker misses 2-pt shot from 3 ft,,0-3,,
11:16.0,,,0-3,,Defensive rebound by T. Booker
11:06.0,,,0-5,2,R. Hollis-Jefferson makes 2-pt shot from 12 ft
10:48.0,,,0-5,,Personal foul by R. Hollis-Jefferson (drawn by C. Zeller)
10:42.0,N. Batum makes 2-pt shot from 10 ft (assist by K. Walker),2,2-5,,
10:42.0,Shooting foul by I. Whitehead (drawn by N. Batum),,2-5,,
10:42.0,N. Batum misses free throw 1 of 1,,2-5,,
10:41.0,,,2-5,,Defensive rebound by R. Hollis-Jefferson
10:22.0,,,2-7,2,B. Lopez makes 2-pt shot from 2 ft
10:10.0,C. Zeller misses 2-pt shot from 3 ft,,2-7,,
10:09.0,,,2-7,,Defensive rebound by R. Hollis-Jefferson
9:58.0,,,2-7,,Turnover by B. Lopez (bad pass; steal by M. Kidd-Gilchrist)
9:53.0,N. Batum makes 2-pt shot from 1 ft (assist by M. Kidd-Gilchrist),2,4-7,,
9:39.0,,,4-10,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by I. Whitehead)
9:12.0,M. Williams misses 2-pt shot from 20 ft,,4-10,,
9:10.0,,,4-10,,Defensive rebound by R. Hollis-Jefferson
8:59.0,,,4-10,,B. Bogdanovic misses 2-pt shot from 21 ft
8:57.0,,,4-10,,Offensive rebound by T. Booker
8:54.0,,,4-10,,Turnover by T. Booker (bad pass)
