time,Portland,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. J. Nurkic (D. Lillard gains possession),,,,Jump ball: S. Adams vs. J. Nurkic (D. Lillard gains possession)
11:38.0,N. Vonleh misses 2-pt shot from 3 ft (block by R. Westbrook),,0-0,,
11:36.0,Offensive rebound by D. Lillard,,0-0,,
11:31.0,D. Lillard misses 3-pt shot from 49 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by V. Oladipo
11:15.0,,,0-2,2,R. Westbrook makes 2-pt shot from 15 ft
10:52.0,J. Nurkic misses 2-pt shot from 6 ft,,0-2,,
10:52.0,,,0-2,,Defensive rebound by V. Oladipo
10:37.0,,,0-2,,Shooting foul by N. Vonleh (drawn by S. Adams)
10:37.0,,,0-2,,S. Adams misses free throw 1 of 2
10:37.0,,,0-2,,Offensive rebound by Team
10:37.0,,,0-2,,S. Adams misses free throw 2 of 2
10:36.0,Defensive rebound by M. Harkless,,0-2,,
10:21.0,C. McCollum misses 2-pt shot from 8 ft,,0-2,,
10:21.0,,,0-2,,Defensive rebound by D. Sabonis
10:10.0,,,0-4,2,S. Adams makes 2-pt shot from 7 ft (assist by R. Westbrook)
9:56.0,D. Lillard makes 2-pt shot from 14 ft (assist by J. Nurkic),2,2-4,,
9:45.0,,,2-6,2,V. Oladipo makes 2-pt shot from 1 ft (assist by R. Westbrook)
9:31.0,M. Harkless makes 2-pt shot at rim (assist by D. Lillard),2,4-6,,
9:18.0,,,4-6,,Shooting foul by J. Nurkic (drawn by D. Sabonis)
9:18.0,,,4-7,1,D. Sabonis makes free throw 1 of 2
9:18.0,,,4-8,1,D. Sabonis makes free throw 2 of 2
9:05.0,Shooting foul by V. Oladipo (drawn by N. Vonleh),,4-8,,
9:05.0,N. Vonleh makes free throw 1 of 2,1,5-8,,
9:05.0,N. Vonleh misses free throw 2 of 2,,5-8,,
9:03.0,Offensive rebound by M. Harkless,,5-8,,
