time,Denver,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Mejri vs. J. Nurkic (E. Mudiay gains possession),,,,Jump ball: S. Mejri vs. J. Nurkic (E. Mudiay gains possession)
11:38.0,Turnover by J. Nurkic (lost ball; steal by D. Finney-Smith),,0-0,,
11:23.0,,,0-0,,W. Matthews misses 2-pt shot from 20 ft
11:22.0,Defensive rebound by D. Gallinari,,0-0,,
11:06.0,D. Gallinari misses 2-pt shot from 2 ft (block by S. Mejri),,0-0,,
11:04.0,,,0-0,,Defensive rebound by D. Finney-Smith
10:58.0,,,0-0,,D. Finney-Smith misses 3-pt shot from 25 ft
10:57.0,,,0-0,,Offensive rebound by S. Mejri
10:43.0,,,0-2,2,S. Mejri makes 2-pt shot from 1 ft (assist by D. Finney-Smith)
10:29.0,E. Mudiay misses 3-pt shot from 23 ft,,0-2,,
10:28.0,,,0-2,,Defensive rebound by H. Barnes
10:23.0,,,0-4,2,D. Williams makes 2-pt shot from 1 ft
10:04.0,Turnover by D. Arthur (bad pass; steal by S. Mejri),,0-4,,
9:56.0,,,0-4,,Turnover by H. Barnes (bad pass; steal by D. Arthur)
9:52.0,D. Arthur makes 2-pt shot at rim,2,2-4,,
9:19.0,,,2-4,,H. Barnes misses 2-pt shot from 23 ft
9:18.0,Defensive rebound by J. Nurkic,,2-4,,
9:13.0,W. Barton misses 2-pt shot from 2 ft (block by S. Mejri),,2-4,,
9:04.0,Offensive rebound by W. Barton,,2-4,,
9:04.0,W. Barton misses 2-pt shot from 20 ft,,2-4,,
9:03.0,Offensive rebound by D. Arthur,,2-4,,
8:54.0,E. Mudiay misses 2-pt shot from 23 ft,,2-4,,
8:52.0,Offensive rebound by D. Gallinari,,2-4,,
8:45.0,Turnover by D. Arthur (bad pass; steal by D. Finney-Smith),,2-4,,
8:42.0,,,2-6,2,D. Finney-Smith makes 2-pt shot at rim
8:21.0,,,2-6,,Personal block foul by W. Matthews (drawn by D. Gallinari)
8:15.0,E. Mudiay misses 2-pt shot from 1 ft (block by S. Mejri),,2-6,,
8:14.0,,,2-6,,Defensive rebound by S. Mejri
8:09.0,,,2-8,2,H. Barnes makes 2-pt shot at rim
8:09.0,,,2-8,,Shooting foul by D. Arthur (drawn by H. Barnes)
8:09.0,,,2-9,1,H. Barnes makes free throw 1 of 1
7:52.0,W. Barton misses 3-pt shot from 23 ft,,2-9,,
7:51.0,,,2-9,,Defensive rebound by D. Finney-Smith
7:37.0,,,2-9,,Shooting foul by E. Mudiay (drawn by H. Barnes)
7:37.0,,,2-9,,H. Barnes misses free throw 1 of 2
7:37.0,,,2-9,,Offensive rebound by Team
7:37.0,,,2-10,1,H. Barnes makes free throw 2 of 2
7:30.0,Denver full timeout,,2-10,,
7:30.0,W. Chandler enters the game for D. Arthur,,2-10,,
7:17.0,,,2-10,,Shooting block foul by D. Finney-Smith (drawn by D. Gallinari)
7:17.0,D. Gallinari makes free throw 1 of 2,1,3-10,,
7:17.0,D. Gallinari makes free throw 2 of 2,1,4-10,,
7:02.0,,,4-12,2,H. Barnes makes 2-pt shot from 6 ft
6:54.0,J. Nurkic misses 2-pt shot from 9 ft,,4-12,,
6:53.0,Offensive rebound by J. Nurkic,,4-12,,
6:52.0,J. Nurkic makes 2-pt shot from 1 ft,2,6-12,,
6:36.0,,,6-12,,H. Barnes misses 2-pt shot from 16 ft
6:35.0,Defensive rebound by D. Gallinari,,6-12,,
6:19.0,J. Nurkic misses 2-pt shot from 1 ft,,6-12,,
6:19.0,Offensive rebound by Team,,6-12,,
6:07.0,D. Gallinari misses 2-pt shot from 21 ft,,6-12,,
6:06.0,,,6-12,,Defensive rebound by D. Williams
5:52.0,,,6-12,,D. Williams misses 3-pt shot from 23 ft
5:51.0,Defensive rebound by W. Barton,,6-12,,
5:47.0,Turnover by D. Gallinari (traveling),,6-12,,
5:47.0,,,6-12,,D. Powell enters the game for H. Barnes
5:47.0,,,6-12,,D. Harris enters the game for S. Mejri
5:47.0,,,6-12,,S. Curry enters the game for D. Williams
5:32.0,,,6-14,2,W. Matthews makes 2-pt shot at rim
5:13.0,D. Gallinari makes 2-pt shot from 19 ft (assist by E. Mudiay),2,8-14,,
4:54.0,,,8-14,,S. Curry misses 2-pt shot from 16 ft (block by E. Mudiay)
4:52.0,Defensive rebound by D. Gallinari,,8-14,,
4:49.0,E. Mudiay misses 2-pt shot from 1 ft (block by D. Finney-Smith),,8-14,,
4:49.0,Offensive rebound by Team,,8-14,,
4:49.0,N. Jokic enters the game for J. Nurkic,,8-14,,
4:48.0,Jump ball: W. Chandler vs. D. Powell (E. Mudiay gains possession),,,,Jump ball: W. Chandler vs. D. Powell (E. Mudiay gains possession)
4:41.0,W. Chandler misses 3-pt shot from 25 ft,,8-14,,
4:38.0,Offensive rebound by N. Jokic,,8-14,,
4:38.0,N. Jokic makes 2-pt shot from 1 ft,2,10-14,,
