time,LA Lakers,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. T. Mozgov (R. Gay gains possession),,,,Jump ball: K. Koufos vs. T. Mozgov (R. Gay gains possession)
11:37.0,,,0-0,,D. Cousins misses 2-pt shot from 4 ft
11:37.0,Defensive rebound by L. Deng,,0-0,,
11:29.0,J. Randle misses 2-pt shot from 4 ft (block by R. Gay),,0-0,,
11:27.0,Offensive rebound by J. Randle,,0-0,,
11:26.0,Turnover by J. Randle (lost ball; steal by D. Cousins),,0-0,,
11:18.0,,,0-0,,Turnover by D. Cousins (bad pass; steal by N. Young)
11:12.0,T. Mozgov makes 2-pt shot from 1 ft (assist by L. Deng),2,2-0,,
10:53.0,,,2-2,2,D. Cousins makes 2-pt shot from 7 ft (assist by R. Gay)
10:34.0,L. Deng misses 2-pt shot from 3 ft,,2-2,,
10:33.0,,,2-2,,Defensive rebound by R. Gay
10:16.0,,,2-2,,R. Gay misses 3-pt shot from 24 ft
10:15.0,Defensive rebound by T. Mozgov,,2-2,,
9:54.0,J. Randle misses 2-pt shot from 17 ft,,2-2,,
9:53.0,Offensive rebound by T. Mozgov,,2-2,,
9:52.0,T. Mozgov makes 2-pt shot from 3 ft,2,4-2,,
9:37.0,,,4-2,,D. Cousins misses 2-pt shot from 5 ft
9:36.0,,,4-2,,Offensive rebound by K. Koufos
9:36.0,Personal foul by T. Mozgov (drawn by D. Cousins),,4-2,,
9:17.0,,,4-2,,Turnover by B. McLemore (bad pass; steal by L. Deng)
9:12.0,D. Russell misses 2-pt shot from 3 ft (block by D. Cousins),,4-2,,
9:11.0,Offensive rebound by T. Mozgov,,4-2,,
9:10.0,T. Mozgov misses 2-pt shot from 3 ft (block by B. McLemore),,4-2,,
9:08.0,Offensive rebound by T. Mozgov,,4-2,,
9:02.0,N. Young misses 3-pt shot from 22 ft,,4-2,,
9:01.0,,,4-2,,Defensive rebound by K. Koufos
8:40.0,,,4-2,,Turnover by D. Cousins (bad pass; steal by T. Mozgov)
8:32.0,Turnover by J. Randle (bad pass; steal by R. Gay),,4-2,,
8:27.0,,,4-2,,R. Gay misses 2-pt shot from 3 ft
8:26.0,Defensive rebound by D. Russell,,4-2,,
8:18.0,D. Russell makes 3-pt shot from 23 ft (assist by L. Deng),3,7-2,,
7:59.0,,,7-4,2,D. Collison makes 2-pt shot from 17 ft
7:43.0,N. Young makes 2-pt shot from 17 ft,2,9-4,,
7:35.0,,,9-4,,Sacramento full timeout
7:35.0,,,9-4,,G. Temple enters the game for B. McLemore
7:24.0,,,9-4,,R. Gay misses 3-pt shot from 23 ft
7:23.0,Defensive rebound by J. Randle,,9-4,,
7:09.0,N. Young makes 3-pt shot from 25 ft (assist by L. Deng),3,12-4,,
6:59.0,Def 3 sec tech foul by T. Mozgov,,12-4,,
6:59.0,,,12-4,,D. Collison misses technical free throw
6:59.0,,,12-4,,Offensive rebound by Team
6:48.0,,,12-4,,D. Collison misses 3-pt shot from 22 ft
6:47.0,Defensive rebound by Team,,12-4,,
6:47.0,,,12-4,,Loose ball foul by D. Collison (drawn by N. Young)
6:39.0,N. Young misses 3-pt shot from 23 ft,,12-4,,
6:38.0,,,12-4,,Defensive rebound by D. Cousins
6:28.0,,,12-6,2,D. Collison makes 2-pt shot from 5 ft (assist by D. Cousins)
6:28.0,,,12-6,,Shooting foul by J. Randle (drawn by D. Collison)
6:28.0,,,12-7,1,D. Collison makes free throw 1 of 1
6:12.0,T. Mozgov makes 2-pt shot from 15 ft (assist by D. Russell),2,14-7,,
5:56.0,,,14-9,2,K. Koufos makes 2-pt shot from 6 ft
5:47.0,Turnover by D. Russell (bad pass; steal by D. Cousins),,14-9,,
5:44.0,,,14-9,,Turnover by D. Cousins (bad pass; steal by L. Deng)
5:37.0,N. Young makes 3-pt shot from 24 ft (assist by D. Russell),3,17-9,,
5:13.0,,,17-11,2,D. Cousins makes 2-pt shot from 18 ft
5:04.0,LA Lakers full timeout,,17-11,,
5:04.0,B. Ingram enters the game for N. Young,,17-11,,
5:04.0,J. Clarkson enters the game for D. Russell,,17-11,,
5:04.0,,,17-11,,O. Casspi enters the game for K. Koufos
4:59.0,J. Randle misses 2-pt shot at rim (block by D. Cousins),,17-11,,
4:58.0,,,17-11,,Defensive rebound by R. Gay
4:42.0,,,17-11,,D. Cousins misses 2-pt shot from 18 ft
4:42.0,Defensive rebound by J. Randle,,17-11,,
4:33.0,L. Deng misses 2-pt shot from 17 ft,,17-11,,
4:32.0,,,17-11,,Defensive rebound by R. Gay
4:15.0,,,17-14,3,D. Collison makes 3-pt shot from 24 ft (assist by O. Casspi)
4:14.0,Technical foul by Team,,17-14,,
4:14.0,Technical foul by Team,,17-14,,
4:14.0,Technical foul by J. Randle,,17-14,,
4:14.0,LA Lakers full timeout,,17-14,,
4:14.0,,,17-15,1,R. Gay makes technical free throw
4:14.0,,,17-16,1,R. Gay makes technical free throw
4:14.0,,,17-17,1,R. Gay makes technical free throw
4:14.0,L. Nance enters the game for J. Randle,,17-14,,
4:14.0,L. Williams enters the game for L. Deng,,17-14,,
3:59.0,J. Clarkson misses 2-pt shot from 17 ft,,17-17,,
3:58.0,Offensive rebound by T. Mozgov,,17-17,,
3:54.0,B. Ingram misses 2-pt shot from 20 ft,,17-17,,
3:53.0,,,17-17,,Defensive rebound by O. Casspi
3:49.0,,,17-17,,Shooting foul by L. Nance (drawn by D. Collison)
3:49.0,,,17-17,,D. Collison misses free throw 1 of 2
3:49.0,,,17-17,,Offensive rebound by Team
3:49.0,,,17-17,,D. Collison misses free throw 2 of 2
3:47.0,Defensive rebound by B. Ingram,,17-17,,
3:33.0,Turnover by L. Nance (bad pass),,17-17,,
3:25.0,,,17-19,2,D. Cousins makes 2-pt shot from 3 ft (assist by D. Collison)
3:18.0,,,17-19,,Personal foul by G. Temple
3:18.0,L. Williams makes free throw 1 of 2,1,18-19,,
3:18.0,L. Williams makes free throw 2 of 2,1,19-19,,
2:59.0,,,19-21,2,D. Cousins makes 2-pt shot from 4 ft
2:58.0,,,19-21,,Violation by Team (jump ball)
2:43.0,L. Williams makes 3-pt shot from 25 ft,3,22-21,,
2:27.0,,,22-23,2,R. Gay makes 2-pt shot from 5 ft
2:03.0,J. Clarkson misses 2-pt shot from 10 ft,,22-23,,
2:03.0,,,22-23,,Defensive rebound by R. Gay
1:52.0,,,22-25,2,R. Gay makes 2-pt shot at rim (assist by O. Casspi)
1:34.0,Turnover by L. Williams (bad pass; steal by R. Gay),,22-25,,
1:31.0,,,22-27,2,D. Collison makes 2-pt shot at rim (assist by R. Gay)
1:02.0,T. Mozgov makes 2-pt shot from 19 ft (assist by B. Ingram),2,24-27,,
0:53.0,,,24-29,2,D. Cousins makes 2-pt shot from 8 ft
0:42.0,L. Williams misses 3-pt shot from 27 ft,,24-29,,
0:42.0,,,24-29,,Defensive rebound by Team
0:42.0,,,24-29,,T. Lawson enters the game for R. Gay
0:42.0,,,24-29,,A. Tolliver enters the game for D. Collison
0:42.0,T. Robinson enters the game for T. Mozgov,,24-29,,
0:27.0,Shooting block foul by L. Nance (drawn by O. Casspi),,24-29,,
0:27.0,,,24-29,,O. Casspi misses free throw 1 of 2
0:27.0,,,24-29,,Offensive rebound by Team
0:27.0,,,24-29,,O. Casspi misses free throw 2 of 2
0:27.0,Defensive rebound by B. Ingram,,24-29,,
0:27.0,,,24-29,,W. Cauley-Stein enters the game for D. Cousins
0:05.0,Turnover by J. Clarkson (bad pass; steal by W. Cauley-Stein),,24-29,,
0:00.0,,,24-31,2,G. Temple makes 2-pt shot from 1 ft (assist by T. Lawson)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,B. Ingram misses 2-pt shot from 16 ft,,24-31,,
11:44.0,Offensive rebound by L. Nance,,24-31,,
11:42.0,L. Nance misses 2-pt shot from 6 ft,,24-31,,
11:39.0,Offensive rebound by T. Robinson,,24-31,,
11:36.0,J. Clarkson misses 3-pt shot from 24 ft,,24-31,,
11:34.0,Offensive rebound by T. Robinson,,24-31,,
11:34.0,T. Robinson misses 2-pt shot from 1 ft,,24-31,,
11:33.0,,,24-31,,Defensive rebound by T. Lawson
11:29.0,,,24-31,,T. Lawson misses 2-pt shot from 7 ft (block by L. Williams)
11:27.0,,,24-31,,Offensive rebound by T. Lawson
11:19.0,,,24-31,,G. Temple misses 2-pt shot from 4 ft (block by T. Robinson)
11:17.0,,,24-31,,Offensive rebound by W. Cauley-Stein
11:16.0,,,24-33,2,W. Cauley-Stein makes 2-pt shot from 1 ft
11:04.0,L. Nance misses 2-pt shot from 14 ft,,24-33,,
11:02.0,,,24-33,,Defensive rebound by O. Casspi
10:51.0,,,24-35,2,W. Cauley-Stein makes 2-pt shot from 7 ft (assist by T. Lawson)
10:31.0,B. Ingram makes 2-pt shot from 20 ft,2,26-35,,
10:16.0,,,26-35,,Turnover by W. Cauley-Stein (lost ball; steal by T. Robinson)
10:13.0,T. Robinson makes 2-pt shot from 2 ft (assist by J. Clarkson),2,28-35,,
9:57.0,,,28-38,3,O. Casspi makes 3-pt shot from 23 ft (assist by A. Tolliver)
9:52.0,Shooting foul by A. Tolliver,,28-38,,
9:52.0,L. Williams makes free throw 1 of 2,1,29-38,,
9:52.0,L. Williams makes free throw 2 of 2,1,30-38,,
9:52.0,,,29-38,,A. Afflalo enters the game for G. Temple
9:33.0,,,30-38,,A. Tolliver misses 3-pt shot from 26 ft
9:33.0,Defensive rebound by B. Ingram,,30-38,,
9:27.0,,,30-38,,Personal foul by A. Afflalo (drawn by J. Clarkson)
9:13.0,Shooting foul by A. Tolliver (drawn by J. Clarkson),,30-38,,
9:13.0,J. Clarkson makes free throw 1 of 2,1,31-38,,
9:13.0,J. Clarkson makes free throw 2 of 2,1,32-38,,
9:03.0,Personal foul by B. Ingram (drawn by A. Afflalo),,32-38,,
8:51.0,,,32-38,,T. Lawson misses 3-pt shot from 24 ft
8:51.0,Defensive rebound by L. Nance,,32-38,,
8:45.0,,,32-38,,Personal foul by O. Casspi (drawn by L. Nance)
8:45.0,Official timeout,,32-38,,
8:40.0,Turnover by L. Williams (bad pass; steal by A. Tolliver),,32-38,,
8:22.0,,,32-41,3,A. Afflalo makes 3-pt shot from 24 ft (assist by T. Lawson)
8:12.0,L. Williams misses 2-pt shot from 2 ft,,32-41,,
8:10.0,Offensive rebound by T. Robinson,,32-41,,
8:01.0,J. Clarkson makes 2-pt shot from 2 ft (assist by T. Robinson),2,34-41,,
7:43.0,,,34-41,,Turnover by T. Lawson (bad pass; steal by J. Clarkson)
7:38.0,L. Nance makes 2-pt shot from 2 ft (assist by J. Clarkson),2,36-41,,
7:19.0,,,36-41,,O. Casspi misses 2-pt shot from 12 ft
7:19.0,Defensive rebound by J. Clarkson,,36-41,,
