time,Sacramento,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. K. Koufos (M. Barnes gains possession),,,,Jump ball: R. Gobert vs. K. Koufos (M. Barnes gains possession)
11:43.0,B. McLemore makes 2-pt shot from 3 ft (assist by D. Cousins),2,2-0,,
11:26.0,,,2-2,2,G. Hayward makes 2-pt shot from 22 ft (assist by S. Mack)
11:04.0,D. Cousins misses 2-pt shot from 21 ft,,2-2,,
11:04.0,,,2-2,,Defensive rebound by S. Mack
10:46.0,,,2-4,2,R. Gobert makes 2-pt shot at rim (assist by B. Diaw)
10:30.0,D. Cousins misses 2-pt shot from 20 ft (block by B. Diaw),,2-4,,
10:29.0,,,2-4,,Defensive rebound by G. Hayward
10:13.0,,,2-6,2,B. Diaw makes 2-pt shot from 21 ft (assist by J. Ingles)
9:51.0,B. McLemore makes 2-pt shot from 22 ft,2,4-6,,
9:30.0,,,4-8,2,R. Gobert makes 2-pt shot from 1 ft (assist by B. Diaw)
9:14.0,Turnover by B. McLemore (bad pass; steal by B. Diaw),,4-8,,
9:04.0,,,4-8,,G. Hayward misses 3-pt shot from 24 ft
9:04.0,Defensive rebound by K. Koufos,,4-8,,
8:41.0,D. Cousins misses 2-pt shot from 10 ft,,4-8,,
8:38.0,Offensive rebound by K. Koufos,,4-8,,
8:31.0,D. Collison misses 3-pt shot from 24 ft,,4-8,,
8:31.0,,,4-8,,Defensive rebound by R. Gobert
8:23.0,,,4-8,,Shooting foul by K. Koufos (drawn by R. Gobert)
8:23.0,,,4-8,,R. Gobert misses free throw 1 of 2
8:23.0,,,4-8,,Offensive rebound by Team
8:23.0,,,4-9,1,R. Gobert makes free throw 2 of 2
8:12.0,M. Barnes misses 2-pt shot from 2 ft,,4-9,,
8:11.0,,,4-9,,Defensive rebound by R. Gobert
7:56.0,,,4-9,,R. Gobert misses 2-pt shot from 4 ft
7:55.0,Defensive rebound by B. McLemore,,4-9,,
7:54.0,,,4-9,,Personal foul by J. Ingles (drawn by B. McLemore)
7:39.0,B. McLemore misses 2-pt shot from 8 ft,,4-9,,
7:39.0,,,4-9,,Defensive rebound by R. Gobert
7:35.0,,,4-9,,Shooting foul by M. Barnes (drawn by G. Hayward)
7:35.0,,,4-10,1,G. Hayward makes free throw 1 of 2
7:35.0,,,4-10,,G. Hayward misses free throw 2 of 2
7:34.0,,,4-10,,Offensive rebound by J. Ingles
7:25.0,,,4-10,,S. Mack misses 3-pt shot from 24 ft
7:24.0,Defensive rebound by D. Cousins,,4-10,,
7:07.0,,,4-10,,Personal foul by S. Mack (drawn by M. Barnes)
6:59.0,M. Barnes makes 3-pt shot from 24 ft (assist by D. Collison),3,7-10,,
6:37.0,,,7-10,,Shooting foul by K. Koufos (drawn by G. Hayward)
6:37.0,,,7-11,1,G. Hayward makes free throw 1 of 2
6:37.0,,,7-12,1,G. Hayward makes free throw 2 of 2
6:37.0,W. Cauley-Stein enters the game for K. Koufos,,7-11,,
6:17.0,B. McLemore misses 3-pt shot from 24 ft,,7-12,,
6:16.0,,,7-12,,Defensive rebound by R. Gobert
6:07.0,,,7-12,,J. Ingles misses 3-pt shot from 25 ft
6:07.0,Defensive rebound by W. Cauley-Stein,,7-12,,
5:55.0,D. Cousins makes 3-pt shot from 24 ft,3,10-12,,
5:53.0,,,10-12,,Utah full timeout
5:53.0,,,10-12,,J. Johnson enters the game for J. Ingles
5:53.0,,,10-12,,D. Favors enters the game for B. Diaw
5:32.0,,,10-14,2,D. Favors makes 2-pt shot from 16 ft (assist by S. Mack)
5:09.0,Turnover by D. Cousins (lost ball; steal by D. Favors),,10-14,,
4:59.0,,,10-14,,S. Mack misses 2-pt shot from 2 ft (block by W. Cauley-Stein)
4:59.0,,,10-14,,Offensive rebound by Team
4:53.0,,,10-16,2,G. Hayward makes 2-pt shot from 8 ft
4:34.0,D. Cousins makes 2-pt shot from 3 ft,2,12-16,,
4:20.0,Personal foul by D. Cousins (drawn by G. Hayward),,12-16,,
4:20.0,A. Tolliver enters the game for D. Cousins,,12-16,,
4:14.0,,,12-16,,Turnover by J. Johnson (lost ball; steal by B. McLemore)
4:02.0,W. Cauley-Stein misses 2-pt shot from 3 ft,,12-16,,
4:01.0,,,12-16,,Defensive rebound by R. Gobert
3:51.0,,,12-18,2,D. Favors makes 2-pt shot at rim (assist by R. Gobert)
3:36.0,M. Barnes misses 3-pt shot from 24 ft,,12-18,,
3:35.0,,,12-18,,Defensive rebound by G. Hayward
3:22.0,,,12-18,,J. Johnson misses 3-pt shot from 23 ft
3:22.0,Defensive rebound by W. Cauley-Stein,,12-18,,
3:13.0,D. Collison misses 2-pt shot from 2 ft (block by D. Favors),,12-18,,
3:12.0,,,12-18,,Defensive rebound by D. Favors
2:51.0,,,12-18,,D. Favors misses 2-pt shot from 15 ft
2:51.0,Defensive rebound by A. Tolliver,,12-18,,
2:31.0,Turnover by D. Collison (bad pass),,12-18,,
2:31.0,Sacramento full timeout,,12-18,,
2:31.0,G. Temple enters the game for B. McLemore,,12-18,,
2:31.0,T. Lawson enters the game for D. Collison,,12-18,,
2:31.0,,,12-18,,T. Lyles enters the game for R. Gobert
2:15.0,,,12-21,3,G. Hayward makes 3-pt shot from 24 ft
1:59.0,T. Lawson misses 2-pt shot from 9 ft,,12-21,,
1:58.0,,,12-21,,Defensive rebound by T. Lyles
1:43.0,,,12-21,,J. Johnson misses 3-pt shot from 25 ft
1:43.0,Defensive rebound by T. Lawson,,12-21,,
1:28.0,W. Cauley-Stein makes 2-pt shot from 10 ft,2,14-21,,
1:03.0,,,14-21,,T. Lyles misses 3-pt shot from 24 ft
1:02.0,Defensive rebound by T. Lawson,,14-21,,
0:57.0,Shooting foul by T. Lyles (drawn by T. Lawson),,14-21,,
0:57.0,T. Lawson makes free throw 1 of 2,1,15-21,,
0:57.0,T. Lawson misses free throw 2 of 2,,15-21,,
0:57.0,,,15-21,,Defensive rebound by G. Hayward
0:57.0,A. Afflalo enters the game for M. Barnes,,15-21,,
0:57.0,,,15-21,,R. Neto enters the game for S. Mack
0:43.0,,,15-21,,Turnover by G. Hayward (bad pass; steal by A. Tolliver)
0:32.0,Turnover by Team (5 sec inbounds),,15-21,,
0:10.0,,,15-24,3,J. Johnson makes 3-pt shot from 25 ft (assist by G. Hayward)
0:01.0,T. Lawson makes 2-pt shot from 10 ft,2,17-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,17-24,,J. Johnson misses 2-pt shot from 10 ft
11:41.0,Defensive rebound by W. Cauley-Stein,,17-24,,
11:23.0,A. Afflalo misses 2-pt shot from 18 ft,,17-24,,
11:23.0,Offensive rebound by A. Tolliver,,17-24,,
11:17.0,A. Tolliver misses 3-pt shot from 25 ft,,17-24,,
11:17.0,,,17-24,,Defensive rebound by T. Lyles
11:05.0,Personal foul by G. Temple (drawn by D. Favors),,17-24,,
10:57.0,,,17-24,,R. Neto misses 2-pt shot from 2 ft
10:56.0,Defensive rebound by A. Tolliver,,17-24,,
10:48.0,G. Temple misses 2-pt shot from 17 ft,,17-24,,
10:48.0,Offensive rebound by A. Tolliver,,17-24,,
10:39.0,G. Temple misses 3-pt shot from 24 ft,,17-24,,
10:38.0,,,17-24,,Defensive rebound by D. Favors
10:20.0,,,17-24,,D. Favors misses 2-pt shot from 3 ft
10:19.0,Defensive rebound by G. Temple,,17-24,,
10:10.0,T. Lawson makes 2-pt shot from 3 ft,2,19-24,,
9:47.0,,,19-26,2,T. Lyles makes 2-pt shot from 18 ft (assist by J. Ingles)
9:22.0,A. Afflalo makes 2-pt shot from 6 ft,2,21-26,,
9:06.0,,,21-29,3,T. Lyles makes 3-pt shot from 25 ft
8:46.0,W. Cauley-Stein misses 2-pt shot from 1 ft (block by T. Lyles),,21-29,,
8:45.0,,,21-29,,Defensive rebound by J. Johnson
8:31.0,,,21-29,,Turnover by T. Lyles (bad pass)
8:31.0,Sacramento full timeout,,21-29,,
8:31.0,,,21-29,,R. Gobert enters the game for D. Favors
8:31.0,D. Cousins enters the game for W. Cauley-Stein,,21-29,,
8:06.0,D. Cousins misses 2-pt shot from 3 ft,,21-29,,
8:06.0,,,21-29,,Defensive rebound by J. Ingles
7:57.0,,,21-29,,T. Lyles misses 3-pt shot from 25 ft
7:56.0,Defensive rebound by T. Lawson,,21-29,,
7:51.0,Turnover by G. Temple (bad pass; steal by T. Lyles),,21-29,,
7:35.0,,,21-31,2,J. Ingles makes 2-pt shot from 22 ft
7:25.0,,,21-31,,Personal foul by R. Neto (drawn by T. Lawson)
7:14.0,D. Cousins makes 2-pt shot from 3 ft,2,23-31,,
6:51.0,Personal foul by A. Afflalo (drawn by R. Gobert),,23-31,,
6:51.0,,,23-31,,S. Mack enters the game for R. Neto
6:51.0,,,23-31,,Utah full timeout
6:51.0,,,23-31,,G. Hayward enters the game for J. Johnson
6:51.0,,,23-31,,B. Diaw enters the game for T. Lyles
6:37.0,,,23-31,,G. Hayward misses 2-pt shot from 13 ft
6:36.0,,,23-31,,Offensive rebound by B. Diaw
6:25.0,,,23-31,,R. Gobert misses 2-pt shot from 4 ft
6:24.0,Defensive rebound by D. Cousins,,23-31,,
6:03.0,D. Cousins misses 2-pt shot from 21 ft,,23-31,,
6:03.0,,,23-31,,Defensive rebound by R. Gobert
5:46.0,,,23-31,,R. Gobert misses 2-pt shot from 2 ft (block by D. Cousins)
5:46.0,,,23-31,,Offensive rebound by R. Gobert
5:46.0,,,23-31,,Shooting foul by D. Cousins (drawn by R. Gobert)
5:46.0,,,23-32,1,R. Gobert makes free throw 1 of 2
5:46.0,,,23-33,1,R. Gobert makes free throw 2 of 2
