time,Chicago,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. J. McGee (S. Curry gains possession),,,,Jump ball: R. Lopez vs. J. McGee (S. Curry gains possession)
11:44.0,,,0-0,,K. Durant misses 2-pt shot from 14 ft
11:42.0,,,0-0,,Offensive rebound by J. McGee
11:42.0,,,0-2,2,J. McGee makes 2-pt shot from 1 ft
11:23.0,R. Lopez makes 2-pt shot from 8 ft (assist by J. Grant),2,2-2,,
11:10.0,,,2-4,2,J. McGee makes 2-pt shot at rim (assist by K. Thompson)
10:44.0,M. Carter-Williams misses 2-pt shot from 8 ft,,2-4,,
10:43.0,,,2-4,,Defensive rebound by K. Thompson
10:34.0,,,2-4,,D. Green misses 2-pt shot from 21 ft
10:33.0,Defensive rebound by J. Grant,,2-4,,
10:24.0,Turnover by J. Grant (bad pass; steal by S. Curry),,2-4,,
10:18.0,,,2-4,,K. Thompson misses 3-pt shot from 27 ft
10:18.0,Defensive rebound by P. Zipser,,2-4,,
9:58.0,T. Gibson misses 2-pt shot from 12 ft,,2-4,,
9:58.0,Offensive rebound by P. Zipser,,2-4,,
9:49.0,M. Carter-Williams misses 2-pt shot from 15 ft (block by K. Durant),,2-4,,
9:49.0,Offensive rebound by M. Carter-Williams,,2-4,,
9:42.0,T. Gibson misses 2-pt shot from 2 ft (block by J. McGee),,2-4,,
9:42.0,,,2-4,,Defensive rebound by J. McGee
9:29.0,,,2-7,3,S. Curry makes 3-pt shot from 23 ft (assist by D. Green)
9:03.0,R. Lopez makes 2-pt shot from 20 ft (assist by M. Carter-Williams),2,4-7,,
8:41.0,,,4-9,2,K. Durant makes 2-pt shot from 6 ft
8:28.0,J. Grant misses 2-pt shot from 18 ft,,4-9,,
8:27.0,,,4-9,,Defensive rebound by D. Green
8:21.0,,,4-9,,S. Curry misses 3-pt shot from 26 ft
8:21.0,Defensive rebound by Team,,4-9,,
8:04.0,J. Grant makes 2-pt shot from 19 ft (assist by R. Lopez),2,6-9,,
7:51.0,,,6-11,2,J. McGee makes 2-pt shot at rim (assist by K. Durant)
7:39.0,Shooting foul by D. Green (drawn by T. Gibson),,6-11,,
7:39.0,T. Gibson misses free throw 1 of 2,,6-11,,
