time,Brooklyn,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. B. Lopez (J. Lin gains possession),,,,Jump ball: A. Johnson vs. B. Lopez (J. Lin gains possession)
11:46.0,B. Lopez misses 2-pt shot from 10 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by I. Thomas
11:35.0,Violation by B. Lopez (def goaltending),,0-0,,
11:35.0,,,0-2,2,J. Crowder makes 2-pt shot from 1 ft (assist by I. Thomas)
11:24.0,B. Bogdanovic makes 2-pt shot from 6 ft (assist by T. Booker),2,2-2,,
11:06.0,,,2-2,,Turnover by A. Horford (bad pass)
10:53.0,,,2-2,,Personal foul by A. Horford (drawn by J. Lin)
10:48.0,Turnover by B. Lopez (bad pass; steal by I. Thomas),,2-2,,
10:36.0,,,2-5,3,A. Horford makes 3-pt shot from 24 ft (assist by A. Bradley)
10:23.0,J. Lin misses 3-pt shot from 24 ft,,2-5,,
10:22.0,,,2-5,,Defensive rebound by A. Bradley
10:13.0,,,2-5,,A. Bradley misses 2-pt shot from 3 ft
10:12.0,Defensive rebound by T. Booker,,2-5,,
10:10.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by T. Booker),2,4-5,,
10:10.0,,,4-5,,Boston full timeout
9:52.0,,,4-5,,A. Bradley misses 2-pt shot from 20 ft
9:51.0,Defensive rebound by T. Booker,,4-5,,
9:36.0,B. Lopez misses 2-pt shot from 7 ft (block by A. Horford),,4-5,,
9:35.0,Offensive rebound by J. Lin,,4-5,,
9:29.0,R. Hollis-Jefferson makes 2-pt shot from 8 ft,2,6-5,,
9:13.0,,,6-5,,Turnover by I. Thomas (bad pass; steal by T. Booker)
9:07.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by T. Booker),3,9-5,,
8:56.0,,,9-5,,I. Thomas misses 3-pt shot from 24 ft
8:55.0,Defensive rebound by B. Bogdanovic,,9-5,,
