time,New Orleans,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. R. Lopez (J. Holiday gains possession),,,,Jump ball: A. Davis vs. R. Lopez (J. Holiday gains possession)
11:47.0,A. Davis makes 2-pt shot from 5 ft (assist by S. Hill),2,2-0,,
11:31.0,,,2-0,,R. Lopez misses 2-pt shot from 9 ft
11:30.0,Defensive rebound by B. Hield,,2-0,,
11:19.0,A. Davis misses 2-pt shot from 22 ft,,2-0,,
11:18.0,,,2-0,,Defensive rebound by J. Butler
11:01.0,,,2-0,,T. Gibson misses 2-pt shot from 20 ft
11:00.0,Defensive rebound by S. Hill,,2-0,,
10:50.0,S. Hill misses 3-pt shot from 25 ft,,2-0,,
10:49.0,,,2-0,,Defensive rebound by T. Gibson
10:40.0,,,2-0,,M. Carter-Williams misses 2-pt shot from 13 ft
10:39.0,Defensive rebound by T. Jones,,2-0,,
10:28.0,J. Holiday misses 3-pt shot from 25 ft,,2-0,,
10:27.0,,,2-0,,Defensive rebound by J. Butler
10:19.0,,,2-2,2,J. Butler makes 2-pt shot from 19 ft
10:04.0,Turnover by B. Hield (lost ball; steal by J. Butler),,2-2,,
10:04.0,Personal foul by B. Hield (drawn by J. Butler),,2-2,,
9:48.0,,,2-5,3,J. Butler makes 3-pt shot from 25 ft (assist by R. Lopez)
9:41.0,,,2-5,,Personal foul by M. Carter-Williams (drawn by J. Holiday)
9:27.0,B. Hield makes 2-pt shot from 20 ft,2,4-5,,
9:07.0,,,4-7,2,M. Carter-Williams makes 2-pt shot from 2 ft (assist by D. Wade)
8:51.0,T. Jones misses 2-pt shot from 2 ft (block by T. Gibson),,4-7,,
8:49.0,,,4-7,,Defensive rebound by D. Wade
8:44.0,,,4-7,,D. Wade misses 2-pt shot from 6 ft
8:41.0,Defensive rebound by A. Davis,,4-7,,
8:34.0,J. Holiday misses 2-pt shot from 2 ft,,4-7,,
8:33.0,,,4-7,,Defensive rebound by T. Gibson
8:28.0,,,4-7,,Shooting foul by A. Davis (drawn by J. Butler)
8:28.0,,,4-8,1,J. Butler makes free throw 1 of 2
8:28.0,,,4-8,,J. Butler misses free throw 2 of 2
8:24.0,,,4-8,,Offensive rebound by J. Butler
8:17.0,,,4-8,,M. Carter-Williams misses 2-pt shot from 5 ft
8:15.0,,,4-8,,Offensive rebound by R. Lopez
8:15.0,,,4-10,2,R. Lopez makes 2-pt shot from 3 ft
7:59.0,A. Davis makes 2-pt shot from 17 ft (assist by J. Holiday),2,6-10,,
7:36.0,,,6-12,2,T. Gibson makes 2-pt shot from 4 ft (assist by J. Butler)
7:23.0,A. Davis misses 2-pt shot from 15 ft,,6-12,,
7:22.0,,,6-12,,Defensive rebound by D. Wade
7:11.0,,,6-14,2,D. Wade makes 2-pt shot from 3 ft (assist by R. Lopez)
7:05.0,New Orleans full timeout,,6-14,,
6:58.0,S. Hill misses 3-pt shot from 26 ft,,6-14,,
6:57.0,,,6-14,,Defensive rebound by D. Wade
