time,Cleveland,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. T. Thompson (O. Porter gains possession),,,,Jump ball: M. Gortat vs. T. Thompson (O. Porter gains possession)
11:45.0,,,0-0,,M. Gortat misses 2-pt shot from 13 ft
11:44.0,Defensive rebound by K. Love,,0-0,,
11:23.0,K. Love makes 2-pt shot from 8 ft,2,2-0,,
11:14.0,,,2-0,,Turnover by J. Wall (bad pass; steal by K. Irving)
11:06.0,I. Shumpert misses 3-pt shot from 24 ft,,2-0,,
11:05.0,Offensive rebound by T. Thompson,,2-0,,
10:57.0,K. Love makes 3-pt shot from 26 ft (assist by L. James),3,5-0,,
10:43.0,,,5-2,2,J. Wall makes 2-pt shot from 2 ft
10:37.0,K. Irving makes 2-pt shot from 7 ft,2,7-2,,
10:29.0,,,7-4,2,B. Beal makes 2-pt shot from 17 ft
10:11.0,K. Love misses 2-pt shot from 2 ft (block by M. Gortat),,7-4,,
10:10.0,,,7-4,,Defensive rebound by J. Wall
10:01.0,,,7-4,,M. Gortat misses 2-pt shot from 2 ft
10:01.0,Defensive rebound by T. Thompson,,7-4,,
9:56.0,L. James makes 2-pt shot at rim (assist by T. Thompson),2,9-4,,
9:34.0,,,9-6,2,B. Beal makes 2-pt shot from 1 ft (assist by M. Gortat)
9:18.0,T. Thompson misses 2-pt shot from 7 ft,,9-6,,
9:17.0,Offensive rebound by K. Love,,9-6,,
9:16.0,Offensive charge foul by K. Love,,9-6,,
9:16.0,Turnover by K. Love (offensive foul),,9-6,,
9:09.0,,,9-6,,J. Wall misses 3-pt shot from 28 ft
9:08.0,Defensive rebound by I. Shumpert,,9-6,,
8:56.0,I. Shumpert misses 2-pt shot from 19 ft,,9-6,,
8:55.0,,,9-6,,Defensive rebound by M. Morris
8:45.0,,,9-6,,B. Beal misses 3-pt shot from 23 ft
8:44.0,,,9-6,,Offensive rebound by M. Gortat
8:33.0,,,9-6,,Turnover by J. Wall (bad pass; steal by K. Love)
8:29.0,Shooting foul by M. Morris (drawn by T. Thompson),,9-6,,
8:29.0,T. Thompson makes free throw 1 of 2,1,10-6,,
8:29.0,T. Thompson misses free throw 2 of 2,,10-6,,
8:28.0,,,10-6,,Defensive rebound by M. Morris
8:17.0,,,10-6,,M. Morris misses 2-pt shot from 15 ft
8:17.0,,,10-6,,Offensive rebound by M. Gortat
8:13.0,,,10-6,,M. Gortat misses 2-pt shot from 7 ft
8:12.0,Defensive rebound by L. James,,10-6,,
7:55.0,K. Irving makes 3-pt shot from 26 ft (assist by L. James),3,13-6,,
7:43.0,,,13-6,,Shooting foul by I. Shumpert (drawn by J. Wall)
7:43.0,,,13-7,1,J. Wall makes free throw 1 of 2
7:43.0,,,13-8,1,J. Wall makes free throw 2 of 2
7:26.0,Shooting foul by M. Morris (drawn by K. Love),,13-8,,
7:26.0,K. Love makes free throw 1 of 2,1,14-8,,
7:26.0,K. Love makes free throw 2 of 2,1,15-8,,
7:26.0,,,14-8,,K. Oubre enters the game for M. Morris
7:16.0,Personal foul by L. James (drawn by O. Porter),,15-8,,
7:01.0,,,15-10,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
6:51.0,Shooting foul by K. Oubre (drawn by L. James),,15-10,,
6:51.0,L. James makes free throw 1 of 2,1,16-10,,
6:51.0,L. James misses free throw 2 of 2,,16-10,,
6:50.0,,,16-10,,Defensive rebound by M. Gortat
6:39.0,Def 3 sec tech foul by T. Thompson,,16-10,,
6:39.0,,,16-11,1,B. Beal makes technical free throw
6:33.0,,,16-13,2,B. Beal makes 2-pt shot from 1 ft
6:24.0,Turnover by K. Irving (lost ball; steal by J. Wall),,16-13,,
6:10.0,,,16-13,,K. Oubre misses 3-pt shot from 22 ft
6:09.0,Defensive rebound by L. James,,16-13,,
6:01.0,T. Thompson makes 2-pt shot from 8 ft (assist by L. James),2,18-13,,
5:53.0,,,18-13,,Washington full timeout
5:41.0,,,18-16,3,O. Porter makes 3-pt shot from 28 ft (assist by J. Wall)
5:24.0,T. Thompson makes 2-pt shot from 8 ft (assist by K. Irving),2,20-16,,
5:07.0,,,20-18,2,J. Wall makes 2-pt shot at rim
4:54.0,K. Irving misses 3-pt shot from 25 ft,,20-18,,
4:53.0,,,20-18,,Defensive rebound by O. Porter
4:44.0,,,20-21,3,B. Beal makes 3-pt shot from 25 ft (assist by O. Porter)
4:26.0,,,20-21,,Personal foul by J. Wall (drawn by I. Shumpert)
4:17.0,K. Irving misses 2-pt shot from 18 ft,,20-21,,
4:16.0,,,20-21,,Defensive rebound by B. Beal
4:09.0,,,20-23,2,O. Porter makes 2-pt shot from 21 ft (assist by B. Beal)
3:51.0,Shooting foul by O. Porter (drawn by K. Love),,20-23,,
3:51.0,K. Love makes free throw 1 of 2,1,21-23,,
3:51.0,K. Love makes free throw 2 of 2,1,22-23,,
3:39.0,,,22-25,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
3:13.0,L. James makes 3-pt shot from 29 ft,3,25-25,,
2:58.0,,,25-25,,K. Oubre misses 3-pt shot from 23 ft
2:57.0,Defensive rebound by K. Love,,25-25,,
2:44.0,,,25-25,,Def 3 sec tech foul by B. Beal
2:44.0,Cleveland full timeout,,25-25,,
2:44.0,K. Irving makes technical free throw,1,26-25,,
2:44.0,,,25-25,,T. Burke enters the game for B. Beal
2:44.0,K. Korver enters the game for L. James,,25-25,,
2:38.0,K. Love misses 2-pt shot from 19 ft,,26-25,,
2:38.0,,,26-25,,Defensive rebound by O. Porter
2:30.0,,,26-25,,J. Wall misses 2-pt shot at rim
2:30.0,,,26-25,,Offensive rebound by M. Gortat
2:30.0,Personal foul by K. Irving (drawn by M. Gortat),,26-25,,
2:15.0,,,26-25,,Shooting foul by I. Shumpert (drawn by M. Gortat)
2:15.0,,,26-26,1,M. Gortat makes free throw 1 of 2
2:15.0,,,26-27,1,M. Gortat makes free throw 2 of 2
2:15.0,R. Jefferson enters the game for I. Shumpert,,26-26,,
1:57.0,K. Irving misses 2-pt shot from 18 ft,,26-27,,
1:56.0,,,26-27,,Defensive rebound by K. Oubre
1:50.0,,,26-30,3,O. Porter makes 3-pt shot from 27 ft (assist by J. Wall)
1:32.0,Turnover by K. Irving (bad pass; steal by O. Porter),,26-30,,
1:17.0,,,26-30,,J. Wall misses 2-pt shot from 17 ft
1:16.0,Defensive rebound by T. Thompson,,26-30,,
1:10.0,Turnover by K. Korver (bad pass; steal by K. Oubre),,26-30,,
1:07.0,,,26-30,,Turnover by J. Wall (lost ball; steal by K. Love)
0:59.0,K. Korver misses 3-pt shot from 24 ft,,26-30,,
0:58.0,,,26-30,,Defensive rebound by O. Porter
0:52.0,,,26-30,,J. Wall misses 2-pt shot at rim
0:52.0,,,26-30,,Offensive rebound by K. Oubre
0:52.0,,,26-32,2,K. Oubre makes 2-pt shot from 1 ft
0:52.0,,,26-32,,Violation by Team (jump ball)
0:31.0,R. Jefferson misses 3-pt shot from 24 ft,,26-32,,
0:30.0,,,26-32,,Defensive rebound by J. Wall
0:24.0,,,26-32,,J. Wall misses 2-pt shot from 1 ft
0:23.0,Defensive rebound by T. Thompson,,26-32,,
0:01.0,K. Irving misses 2-pt shot from 21 ft,,26-32,,
0:00.0,,,26-32,,Defensive rebound by K. Oubre
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:55.0,L. James misses 2-pt shot at rim,,26-32,,
11:53.0,,,26-32,,Defensive rebound by T. Satoransky
11:34.0,,,26-32,,J. Smith misses 2-pt shot from 6 ft (block by L. James)
11:34.0,,,26-32,,Offensive rebound by Team
11:30.0,,,26-32,,T. Burke misses 2-pt shot from 12 ft
11:28.0,Defensive rebound by L. James,,26-32,,
11:24.0,K. Korver makes 3-pt shot from 25 ft (assist by L. James),3,29-32,,
11:10.0,Personal foul by K. Korver (drawn by T. Satoransky),,29-32,,
11:05.0,,,29-35,3,O. Porter makes 3-pt shot from 25 ft (assist by T. Burke)
10:48.0,R. Jefferson makes 2-pt shot at rim (assist by L. James),2,31-35,,
10:33.0,,,31-35,,T. Satoransky misses 2-pt shot from 5 ft
10:32.0,Defensive rebound by K. Felder,,31-35,,
10:27.0,L. James misses 2-pt shot from 6 ft,,31-35,,
10:26.0,,,31-35,,Defensive rebound by J. Smith
10:15.0,,,31-35,,M. Morris enters the game for O. Porter
10:02.0,,,31-37,2,J. Smith makes 2-pt shot from 8 ft
9:47.0,,,31-37,,Personal foul by K. Oubre (drawn by L. James)
9:43.0,Turnover by L. James (lost ball; steal by K. Oubre),,31-37,,
9:37.0,,,31-37,,Turnover by T. Burke (bad pass)
9:17.0,K. Felder misses 2-pt shot from 2 ft (block by J. Smith),,31-37,,
9:15.0,,,31-37,,Defensive rebound by T. Burke
9:09.0,,,31-37,,M. Morris misses 3-pt shot from 27 ft
9:08.0,,,31-37,,Offensive rebound by J. Smith
8:59.0,,,31-37,,M. Morris misses 2-pt shot from 9 ft
8:58.0,Defensive rebound by C. Frye,,31-37,,
8:48.0,L. James makes 2-pt shot from 1 ft,2,33-37,,
8:47.0,,,33-37,,Washington full timeout
8:47.0,,,33-37,,B. Beal enters the game for T. Burke
8:33.0,,,33-39,2,M. Morris makes 2-pt shot from 11 ft
8:18.0,L. James makes 2-pt shot from 1 ft,2,35-39,,
8:01.0,,,35-39,,B. Beal misses 3-pt shot from 25 ft
8:00.0,,,35-39,,Offensive rebound by J. Smith
7:50.0,,,35-39,,Turnover by M. Morris (lost ball; steal by K. Felder)
7:43.0,L. James makes 2-pt shot from 1 ft,2,37-39,,
7:29.0,,,37-41,2,J. Smith makes 2-pt shot from 17 ft (assist by B. Beal)
7:13.0,C. Frye misses 3-pt shot from 27 ft,,37-41,,
7:12.0,,,37-41,,Defensive rebound by J. Smith
7:04.0,,,37-43,2,M. Morris makes 2-pt shot from 16 ft (assist by B. Beal)
6:47.0,Offensive foul by C. Frye,,37-43,,
6:47.0,Turnover by C. Frye (offensive foul),,37-43,,
6:47.0,,,37-43,,J. Wall enters the game for T. Satoransky
6:47.0,K. Irving enters the game for K. Felder,,37-43,,
6:33.0,,,37-45,2,B. Beal makes 2-pt shot from 7 ft
6:31.0,Cleveland full timeout,,37-45,,
6:16.0,C. Frye makes 2-pt shot at rim (assist by L. James),2,39-45,,
5:56.0,,,39-47,2,B. Beal makes 2-pt shot from 9 ft
5:41.0,Turnover by K. Korver (bad pass; steal by K. Oubre),,39-47,,
5:27.0,,,39-47,,J. Smith misses 2-pt shot from 14 ft
5:26.0,Defensive rebound by L. James,,39-47,,
5:17.0,K. Korver misses 3-pt shot from 23 ft,,39-47,,
5:17.0,Offensive rebound by K. Korver,,39-47,,
5:13.0,K. Korver misses 2-pt shot from 20 ft,,39-47,,
5:12.0,Offensive rebound by R. Jefferson,,39-47,,
5:10.0,R. Jefferson makes 2-pt shot from 1 ft,2,41-47,,
4:59.0,Personal foul by R. Jefferson (drawn by B. Beal),,41-47,,
4:59.0,,,41-47,,O. Porter enters the game for J. Smith
4:59.0,K. Love enters the game for K. Korver,,41-47,,
4:59.0,T. Thompson enters the game for R. Jefferson,,41-47,,
4:59.0,I. Shumpert enters the game for C. Frye,,41-47,,
4:59.0,,,41-47,,M. Gortat enters the game for K. Oubre
4:52.0,,,41-47,,B. Beal misses 2-pt shot from 16 ft
4:50.0,,,41-47,,Offensive rebound by M. Gortat
4:49.0,,,41-47,,M. Gortat misses 2-pt shot from 2 ft
4:48.0,Defensive rebound by I. Shumpert,,41-47,,
4:26.0,T. Thompson misses 2-pt shot from 8 ft,,41-47,,
4:25.0,,,41-47,,Defensive rebound by M. Gortat
4:14.0,,,41-47,,Turnover by O. Porter (bad pass)
4:00.0,K. Love makes 3-pt shot from 23 ft (assist by K. Irving),3,44-47,,
3:26.0,,,44-49,2,B. Beal makes 2-pt shot from 5 ft
3:19.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,46-49,,
2:55.0,,,46-51,2,M. Morris makes 2-pt shot from 3 ft (assist by B. Beal)
2:35.0,K. Irving makes 2-pt shot from 4 ft (assist by K. Love),2,48-51,,
2:24.0,,,48-51,,B. Beal misses 3-pt shot from 25 ft
2:23.0,,,48-51,,Offensive rebound by M. Gortat
2:16.0,,,48-53,2,M. Morris makes 2-pt shot at rim (assist by O. Porter)
1:51.0,K. Love misses 3-pt shot from 25 ft,,48-53,,
1:50.0,,,48-53,,Defensive rebound by M. Morris
1:47.0,,,48-53,,Turnover by M. Gortat (lost ball; steal by L. James)
1:42.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,50-53,,
1:19.0,,,50-55,2,M. Gortat makes 2-pt shot from 3 ft (assist by B. Beal)
1:04.0,,,50-55,,Personal foul by M. Gortat (drawn by K. Love)
1:04.0,Official timeout,,50-55,,
1:04.0,,,50-55,,J. Smith enters the game for M. Morris
1:04.0,K. Korver enters the game for I. Shumpert,,50-55,,
0:55.0,T. Thompson makes 2-pt shot from 4 ft (assist by L. James),2,52-55,,
0:39.0,,,52-55,,Turnover by J. Wall (bad pass; steal by L. James)
0:34.0,Turnover by L. James (lost ball),,52-55,,
0:26.0,,,52-57,2,O. Porter makes 2-pt shot from 20 ft (assist by J. Wall)
0:05.0,T. Thompson makes 2-pt shot from 1 ft (assist by L. James),2,54-57,,
0:01.0,,,54-57,,J. Wall misses 3-pt shot from 27 ft
