time,Cleveland,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. T. Thompson (D. Collison gains possession),,,,Jump ball: D. Cousins vs. T. Thompson (D. Collison gains possession)
11:38.0,,,0-2,2,D. Cousins makes 2-pt shot from 9 ft
11:38.0,,,0-2,,Shooting foul by T. Thompson (drawn by D. Cousins)
11:38.0,,,0-3,1,D. Cousins makes free throw 1 of 1
11:20.0,K. Love makes 2-pt shot from 11 ft,2,2-3,,
11:06.0,,,2-3,,Turnover by A. Tolliver (bad pass)
10:59.0,K. Irving misses 2-pt shot from 17 ft,,2-3,,
10:58.0,,,2-3,,Defensive rebound by R. Gay
10:49.0,,,2-3,,G. Temple misses 3-pt shot from 25 ft
10:49.0,Defensive rebound by K. Love,,2-3,,
10:39.0,K. Love misses 3-pt shot from 26 ft,,2-3,,
10:39.0,,,2-3,,Defensive rebound by Team
10:18.0,,,2-5,2,D. Cousins makes 2-pt shot from 2 ft
10:00.0,K. Love makes 2-pt shot from 1 ft,2,4-5,,
9:43.0,,,4-5,,A. Tolliver misses 3-pt shot from 23 ft
9:43.0,Defensive rebound by T. Thompson,,4-5,,
9:34.0,K. Love makes 3-pt shot from 23 ft (assist by L. James),3,7-5,,
9:17.0,,,7-5,,R. Gay misses 2-pt shot from 7 ft
9:16.0,Defensive rebound by K. Love,,7-5,,
9:06.0,Turnover by L. James (bad pass; steal by G. Temple),,7-5,,
9:01.0,,,7-5,,D. Collison misses 2-pt shot from 2 ft
8:59.0,,,7-5,,Offensive rebound by A. Tolliver
8:59.0,,,7-7,2,A. Tolliver makes 2-pt shot from 2 ft
8:44.0,K. Irving misses 2-pt shot from 8 ft,,7-7,,
8:43.0,,,7-7,,Defensive rebound by G. Temple
8:41.0,,,7-7,,Turnover by G. Temple (bad pass)
8:35.0,Shooting foul by D. Cousins (drawn by T. Thompson),,7-7,,
8:35.0,T. Thompson misses free throw 1 of 2,,7-7,,
8:35.0,Offensive rebound by Team,,7-7,,
8:35.0,T. Thompson makes free throw 2 of 2,1,8-7,,
8:14.0,,,8-7,,Turnover by D. Cousins (bad pass)
8:04.0,K. Love makes 2-pt shot from 13 ft (assist by K. Irving),2,10-7,,
7:41.0,,,10-7,,A. Tolliver misses 2-pt shot from 9 ft
7:40.0,Defensive rebound by L. James,,10-7,,
7:33.0,T. Thompson misses 2-pt shot from 2 ft,,10-7,,
7:32.0,,,10-7,,Defensive rebound by D. Cousins
7:28.0,,,10-7,,R. Gay misses 2-pt shot from 4 ft
7:27.0,,,10-7,,Offensive rebound by A. Tolliver
7:19.0,,,10-7,,D. Collison misses 3-pt shot from 25 ft
7:18.0,,,10-7,,Offensive rebound by R. Gay
7:12.0,,,10-7,,R. Gay misses 2-pt shot from 1 ft
