time,Toronto,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: T. Chandler vs. J. Valanciunas (K. Lowry gains possession)
11:41.0,Turnover by K. Lowry (bad pass; steal by E. Bledsoe),,0-0,,
11:21.0,,,0-2,2,E. Bledsoe makes 2-pt shot from 20 ft
10:59.0,K. Lowry misses 3-pt shot from 26 ft,,0-2,,
10:57.0,,,0-2,,Defensive rebound by T. Chandler
10:51.0,,,0-2,,Turnover by E. Bledsoe (lost ball; steal by P. Siakam)
10:49.0,,,0-2,,Personal foul by P. Tucker (drawn by J. Valanciunas)
10:30.0,D. DeRozan misses 2-pt shot from 15 ft,,0-2,,
10:29.0,,,0-2,,Defensive rebound by T. Chandler
10:27.0,,,0-2,,Turnover by T. Chandler (bad pass; steal by K. Lowry)
10:16.0,D. DeRozan misses 3-pt shot from 24 ft,,0-2,,
10:16.0,,,0-2,,Defensive rebound by E. Bledsoe
10:10.0,,,0-2,,Turnover by E. Bledsoe (bad pass; steal by P. Siakam)
10:02.0,D. Carroll misses 3-pt shot from 24 ft,,0-2,,
10:01.0,,,0-2,,Defensive rebound by T. Chandler
9:41.0,,,0-2,,M. Chriss misses 3-pt shot from 24 ft
9:41.0,Defensive rebound by D. Carroll,,0-2,,
9:30.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,2-2,,
9:04.0,,,2-5,3,P. Tucker makes 3-pt shot from 24 ft (assist by D. Booker)
8:43.0,D. Carroll misses 3-pt shot from 26 ft,,2-5,,
8:42.0,Offensive rebound by J. Valanciunas,,2-5,,
8:39.0,Shooting foul by M. Chriss (drawn by J. Valanciunas),,2-5,,
8:39.0,J. Valanciunas makes free throw 1 of 2,1,3-5,,
8:39.0,J. Valanciunas makes free throw 2 of 2,1,4-5,,
8:17.0,Personal foul by D. DeRozan (drawn by P. Tucker),,4-5,,
8:08.0,,,4-5,,M. Chriss misses 2-pt shot from 5 ft
8:07.0,Defensive rebound by J. Valanciunas,,4-5,,
7:56.0,J. Valanciunas misses 2-pt shot from 6 ft,,4-5,,
7:56.0,,,4-5,,Defensive rebound by T. Chandler
7:43.0,,,4-5,,D. Booker misses 2-pt shot from 4 ft
7:43.0,Defensive rebound by J. Valanciunas,,4-5,,
7:37.0,,,4-5,,Personal block foul by D. Booker (drawn by D. Carroll)
7:34.0,Turnover by D. Carroll (bad pass; steal by D. Booker),,4-5,,
7:28.0,,,4-5,,D. Booker misses 2-pt shot from 3 ft
7:27.0,,,4-5,,Offensive rebound by M. Chriss
7:27.0,,,4-5,,Shooting foul by J. Valanciunas (drawn by M. Chriss)
7:27.0,,,4-6,1,M. Chriss makes free throw 1 of 2
7:27.0,,,4-6,,M. Chriss misses free throw 2 of 2
7:27.0,Defensive rebound by D. Carroll,,4-6,,
7:07.0,D. DeRozan misses 2-pt shot from 20 ft,,4-6,,
7:06.0,,,4-6,,Defensive rebound by E. Bledsoe
6:54.0,,,4-8,2,T. Chandler makes 2-pt shot from 3 ft (assist by D. Booker)
6:54.0,,,4-8,,Shooting foul by P. Siakam (drawn by T. Chandler)
6:54.0,,,4-8,,T. Chandler misses free throw 1 of 1
6:54.0,,,4-8,,T. Warren enters the game for M. Chriss
6:53.0,Defensive rebound by J. Valanciunas,,4-8,,
6:39.0,K. Lowry misses 3-pt shot from 26 ft,,4-8,,
6:38.0,,,4-8,,Defensive rebound by T. Warren
6:33.0,,,4-10,2,T. Chandler makes 2-pt shot at rim (assist by E. Bledsoe)
