time,Detroit,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. J. Noah (T. Harris gains possession),,,,Jump ball: A. Drummond vs. J. Noah (T. Harris gains possession)
11:47.0,Turnover by A. Drummond (lost ball; steal by C. Lee),,0-0,,
11:42.0,,,0-0,,C. Lee misses 2-pt shot from 2 ft
11:40.0,Defensive rebound by A. Drummond,,0-0,,
11:27.0,M. Morris misses 3-pt shot from 26 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by J. Noah
11:17.0,,,0-0,,Shooting foul by M. Morris (drawn by J. Noah)
11:17.0,,,0-1,1,J. Noah makes free throw 1 of 2
11:17.0,,,0-1,,J. Noah misses free throw 2 of 2
11:16.0,Defensive rebound by A. Drummond,,0-1,,
10:57.0,T. Harris misses 3-pt shot from 25 ft,,0-1,,
10:57.0,,,0-1,,Defensive rebound by C. Anthony
10:43.0,,,0-1,,C. Lee misses 2-pt shot from 21 ft
10:42.0,Defensive rebound by A. Drummond,,0-1,,
10:33.0,A. Drummond misses 2-pt shot from 7 ft,,0-1,,
10:31.0,,,0-1,,Defensive rebound by J. Noah
10:24.0,,,0-1,,C. Anthony misses 2-pt shot from 18 ft
10:23.0,Defensive rebound by A. Drummond,,0-1,,
10:15.0,I. Smith misses 2-pt shot from 10 ft,,0-1,,
10:13.0,Offensive rebound by Team,,0-1,,
10:03.0,T. Harris makes 2-pt shot from 4 ft (assist by I. Smith),2,2-1,,
9:51.0,,,2-1,,K. Porzingis misses 3-pt shot from 26 ft
9:51.0,Defensive rebound by A. Drummond,,2-1,,
9:43.0,M. Morris makes 2-pt shot from 21 ft (assist by I. Smith),2,4-1,,
9:28.0,,,4-3,2,K. Porzingis makes 2-pt shot from 2 ft (assist by C. Anthony)
9:09.0,K. Caldwell-Pope makes 2-pt shot from 18 ft,2,6-3,,
8:50.0,,,6-3,,D. Rose misses 2-pt shot from 9 ft
8:48.0,Defensive rebound by T. Harris,,6-3,,
8:43.0,A. Drummond makes 2-pt shot from 1 ft (assist by I. Smith),2,8-3,,
8:31.0,,,8-5,2,K. Porzingis makes 2-pt shot from 11 ft
8:19.0,T. Harris misses 2-pt shot from 20 ft,,8-5,,
8:18.0,,,8-5,,Defensive rebound by C. Lee
8:07.0,,,8-5,,D. Rose misses 3-pt shot from 26 ft
8:07.0,Defensive rebound by A. Drummond,,8-5,,
8:00.0,Shooting foul by D. Rose (drawn by I. Smith),,8-5,,
8:00.0,I. Smith makes free throw 1 of 2,1,9-5,,
8:00.0,I. Smith misses free throw 2 of 2,,9-5,,
7:59.0,,,9-5,,Defensive rebound by J. Noah
7:48.0,,,9-7,2,C. Lee makes 2-pt shot from 17 ft (assist by J. Noah)
7:30.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,9-7,,
7:29.0,,,9-7,,Defensive rebound by D. Rose
7:19.0,,,9-9,2,D. Rose makes 2-pt shot from 2 ft
7:04.0,K. Caldwell-Pope makes 2-pt shot from 17 ft,2,11-9,,
6:42.0,,,11-9,,C. Anthony misses 2-pt shot from 19 ft
6:42.0,,,11-9,,Offensive rebound by J. Noah
6:40.0,,,11-9,,J. Noah misses 2-pt shot from 1 ft
6:38.0,Defensive rebound by I. Smith,,11-9,,
6:34.0,Turnover by I. Smith (bad pass; steal by K. Porzingis),,11-9,,
6:29.0,,,11-11,2,K. Porzingis makes 2-pt shot at rim
5:59.0,M. Morris misses 2-pt shot from 21 ft,,11-11,,
5:59.0,,,11-11,,Defensive rebound by C. Lee
5:48.0,,,11-13,2,C. Anthony makes 2-pt shot from 17 ft (assist by D. Rose)
5:32.0,T. Harris makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope),3,14-13,,
5:13.0,,,14-13,,C. Lee misses 2-pt shot from 1 ft
5:13.0,Defensive rebound by A. Drummond,,14-13,,
4:58.0,A. Drummond misses 2-pt shot from 2 ft,,14-13,,
4:57.0,,,14-13,,Defensive rebound by K. Porzingis
4:48.0,,,14-16,3,K. Porzingis makes 3-pt shot from 25 ft (assist by J. Noah)
4:40.0,Detroit full timeout,,14-16,,
4:40.0,J. Leuer enters the game for T. Harris,,14-16,,
4:31.0,Detroit full timeout,,14-16,,
4:22.0,A. Drummond makes 2-pt shot from 8 ft (assist by J. Leuer),2,16-16,,
3:59.0,,,16-18,2,C. Anthony makes 2-pt shot at rim (assist by C. Lee)
3:39.0,K. Caldwell-Pope makes 2-pt shot from 18 ft (assist by A. Drummond),2,18-18,,
3:23.0,,,18-20,2,J. Noah makes 2-pt shot from 1 ft (assist by C. Lee)
3:03.0,A. Drummond makes 2-pt shot from 5 ft,2,20-20,,
2:46.0,,,20-22,2,D. Rose makes 2-pt shot from 8 ft
2:33.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,20-22,,
2:32.0,,,20-22,,Defensive rebound by J. Noah
2:23.0,,,20-25,3,C. Anthony makes 3-pt shot from 25 ft (assist by K. Porzingis)
2:01.0,I. Smith makes 2-pt shot from 17 ft,2,22-25,,
1:55.0,,,22-25,,New York full timeout
1:55.0,,,22-25,,J. Holiday enters the game for K. Porzingis
1:55.0,,,22-25,,W. Hernangomez enters the game for C. Lee
1:55.0,B. Udrih enters the game for A. Drummond,,22-25,,
1:55.0,A. Baynes enters the game for I. Smith,,22-25,,
1:46.0,,,22-25,,C. Anthony misses 2-pt shot from 18 ft
1:46.0,Defensive rebound by J. Leuer,,22-25,,
1:36.0,J. Leuer makes 3-pt shot from 25 ft (assist by B. Udrih),3,25-25,,
1:19.0,,,25-25,,Turnover by J. Noah (bad pass; steal by M. Morris)
1:12.0,K. Caldwell-Pope misses 2-pt shot from 5 ft,,25-25,,
1:10.0,,,25-25,,Defensive rebound by J. Noah
1:06.0,,,25-25,,D. Rose misses 2-pt shot from 14 ft
1:05.0,,,25-25,,Offensive rebound by J. Noah
1:05.0,,,25-25,,J. Noah misses 2-pt shot at rim
1:03.0,,,25-25,,Offensive rebound by J. Noah
1:03.0,,,25-25,,J. Noah misses 2-pt shot at rim
1:01.0,,,25-25,,Offensive rebound by J. Noah
1:01.0,,,25-27,2,J. Noah makes 2-pt shot at rim
0:40.0,M. Morris misses 3-pt shot from 25 ft,,25-27,,
0:39.0,,,25-27,,Defensive rebound by W. Hernangomez
