time,San Antonio,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. N. Hilario (K. Leonard gains possession),,,,Jump ball: P. Gasol vs. N. Hilario (K. Leonard gains possession)
11:42.0,L. Aldridge misses 2-pt shot from 20 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by T. Ariza
11:28.0,,,0-0,,J. Harden misses 2-pt shot from 11 ft
11:26.0,,,0-0,,Offensive rebound by N. Hilario
11:21.0,,,0-0,,P. Beverley misses 3-pt shot from 25 ft
11:20.0,Defensive rebound by P. Gasol,,0-0,,
11:07.0,T. Parker makes 2-pt shot from 18 ft,2,2-0,,
10:53.0,,,2-0,,T. Ariza misses 2-pt shot from 3 ft
10:52.0,Defensive rebound by P. Gasol,,2-0,,
10:44.0,T. Parker misses 2-pt shot from 21 ft,,2-0,,
10:43.0,,,2-0,,Defensive rebound by N. Hilario
10:35.0,,,2-0,,J. Harden misses 2-pt shot from 12 ft (block by D. Green)
10:34.0,Defensive rebound by P. Gasol,,2-0,,
10:23.0,,,2-0,,Personal foul by T. Ariza (drawn by L. Aldridge)
10:09.0,K. Leonard misses 2-pt shot from 12 ft,,2-0,,
10:08.0,,,2-0,,Defensive rebound by R. Anderson
10:00.0,,,2-0,,T. Ariza misses 3-pt shot from 26 ft
10:00.0,,,2-0,,Offensive rebound by N. Hilario
9:56.0,,,2-2,2,T. Ariza makes 2-pt shot from 3 ft (assist by N. Hilario)
9:38.0,P. Gasol makes 2-pt shot from 19 ft (assist by T. Parker),2,4-2,,
9:26.0,,,4-2,,R. Anderson misses 2-pt shot from 18 ft
9:25.0,Defensive rebound by L. Aldridge,,4-2,,
9:06.0,K. Leonard misses 2-pt shot from 7 ft,,4-2,,
9:05.0,Offensive rebound by P. Gasol,,4-2,,
9:04.0,P. Gasol makes 2-pt shot from 1 ft,2,6-2,,
8:48.0,,,6-4,2,J. Harden makes 2-pt shot from 9 ft
8:30.0,D. Green misses 3-pt shot from 24 ft,,6-4,,
8:29.0,,,6-4,,Defensive rebound by T. Ariza
8:19.0,,,6-6,2,J. Harden makes 2-pt shot at rim (assist by R. Anderson)
7:58.0,P. Gasol misses 2-pt shot from 20 ft,,6-6,,
7:57.0,,,6-6,,Defensive rebound by P. Beverley
7:48.0,,,6-8,2,N. Hilario makes 2-pt shot from 2 ft (assist by J. Harden)
7:35.0,,,6-8,,Personal block foul by N. Hilario (drawn by P. Gasol)
7:23.0,K. Leonard makes 2-pt shot from 6 ft,2,8-8,,
7:16.0,,,8-8,,Shooting foul by L. Aldridge (drawn by T. Ariza)
7:16.0,,,8-9,1,T. Ariza makes free throw 1 of 2
7:16.0,,,8-9,,T. Ariza misses free throw 2 of 2
7:16.0,Defensive rebound by P. Gasol,,8-9,,
7:16.0,,,8-9,,M. Harrell enters the game for N. Hilario
7:02.0,,,8-9,,Def 3 sec tech foul by P. Beverley
7:02.0,K. Leonard makes technical free throw,1,9-9,,
6:50.0,Offensive charge foul by D. Green,,9-9,,
6:50.0,Turnover by D. Green (offensive foul),,9-9,,
6:39.0,,,9-11,2,J. Harden makes 2-pt shot at rim (assist by M. Harrell)
6:39.0,San Antonio full timeout,,9-11,,
6:39.0,,,9-11,,E. Gordon enters the game for P. Beverley
6:29.0,Turnover by P. Gasol (bad pass; steal by M. Harrell),,9-11,,
6:24.0,,,9-13,2,M. Harrell makes 2-pt shot from 2 ft (assist by J. Harden)
6:05.0,T. Parker makes 2-pt shot from 20 ft,2,11-13,,
5:44.0,,,11-13,,Turnover by E. Gordon (bad pass; steal by K. Leonard)
5:34.0,L. Aldridge makes 2-pt shot from 2 ft (assist by P. Gasol),2,13-13,,
5:14.0,,,13-13,,R. Anderson misses 2-pt shot from 22 ft
5:13.0,Defensive rebound by P. Gasol,,13-13,,
4:58.0,L. Aldridge misses 2-pt shot from 16 ft,,13-13,,
4:57.0,,,13-13,,Defensive rebound by J. Harden
4:49.0,,,13-13,,R. Anderson misses 3-pt shot from 27 ft
4:49.0,Defensive rebound by D. Green,,13-13,,
4:39.0,T. Parker misses 2-pt shot from 4 ft (block by E. Gordon),,13-13,,
4:37.0,Offensive rebound by T. Parker,,13-13,,
4:23.0,D. Green misses 3-pt shot from 26 ft,,13-13,,
4:21.0,,,13-13,,Defensive rebound by J. Harden
4:13.0,,,13-13,,T. Ariza misses 3-pt shot from 24 ft
4:12.0,Defensive rebound by P. Gasol,,13-13,,
4:09.0,,,13-13,,S. Dekker enters the game for R. Anderson
4:09.0,P. Mills enters the game for P. Gasol,,13-13,,
4:09.0,D. Lee enters the game for D. Green,,13-13,,
4:09.0,M. Ginobili enters the game for T. Parker,,13-13,,
4:02.0,Shooting foul by M. Harrell (drawn by L. Aldridge),,13-13,,
4:02.0,L. Aldridge misses free throw 1 of 2,,13-13,,
4:02.0,Offensive rebound by Team,,13-13,,
4:02.0,L. Aldridge makes free throw 2 of 2,1,14-13,,
3:46.0,,,14-13,,E. Gordon misses 2-pt shot from 2 ft (block by D. Lee)
3:45.0,Defensive rebound by D. Lee,,14-13,,
3:40.0,K. Leonard makes 2-pt shot from 5 ft,2,16-13,,
3:29.0,,,16-15,2,J. Harden makes 2-pt shot from 1 ft
3:17.0,M. Ginobili misses 3-pt shot from 25 ft,,16-15,,
3:17.0,,,16-15,,Defensive rebound by J. Harden
3:10.0,,,16-15,,Shooting foul by M. Ginobili (drawn by J. Harden)
3:10.0,,,16-16,1,J. Harden makes free throw 1 of 3
3:10.0,,,16-17,1,J. Harden makes free throw 2 of 3
3:10.0,,,16-18,1,J. Harden makes free throw 3 of 3
2:48.0,L. Aldridge misses 2-pt shot from 2 ft,,16-18,,
2:47.0,Offensive rebound by L. Aldridge,,16-18,,
2:47.0,L. Aldridge makes 2-pt shot from 1 ft,2,18-18,,
2:32.0,,,18-18,,M. Harrell misses 2-pt shot from 2 ft
2:31.0,,,18-18,,Offensive rebound by J. Harden
2:28.0,,,18-18,,S. Dekker misses 3-pt shot from 25 ft
2:27.0,Defensive rebound by K. Leonard,,18-18,,
2:21.0,P. Mills makes 2-pt shot from 3 ft (assist by K. Leonard),2,20-18,,
2:01.0,,,20-20,2,S. Dekker makes 2-pt shot at rim (assist by E. Gordon)
1:35.0,P. Mills makes 2-pt shot from 19 ft (assist by L. Aldridge),2,22-20,,
1:21.0,,,22-20,,S. Dekker misses 2-pt shot from 6 ft
1:20.0,,,22-20,,Offensive rebound by M. Harrell
1:20.0,,,22-20,,M. Harrell misses 2-pt shot from 1 ft
1:19.0,,,22-20,,Offensive rebound by S. Dekker
1:16.0,,,22-22,2,M. Harrell makes 2-pt shot at rim (assist by S. Dekker)
0:49.0,K. Leonard misses 2-pt shot from 3 ft,,22-22,,
0:47.0,Offensive rebound by L. Aldridge,,22-22,,
0:47.0,L. Aldridge makes 2-pt shot from 1 ft,2,24-22,,
0:29.0,,,24-22,,J. Harden misses 3-pt shot from 26 ft
0:28.0,,,24-22,,Offensive rebound by S. Dekker
0:28.0,,,24-24,2,S. Dekker makes 2-pt shot from 2 ft
0:07.0,K. Leonard misses 2-pt shot from 6 ft,,24-24,,
0:06.0,Offensive rebound by L. Aldridge,,24-24,,
0:03.0,L. Aldridge makes 2-pt shot from 20 ft,2,26-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,26-24,,E. Gordon misses 3-pt shot from 25 ft
11:48.0,Defensive rebound by D. Dedmon,,26-24,,
11:35.0,M. Ginobili makes 3-pt shot from 25 ft (assist by D. Lee),3,29-24,,
11:06.0,,,29-24,,S. Dekker misses 3-pt shot from 26 ft
11:06.0,Defensive rebound by M. Ginobili,,29-24,,
11:02.0,Turnover by M. Ginobili (bad pass; steal by P. Beverley),,29-24,,
10:57.0,,,29-26,2,S. Dekker makes 2-pt shot at rim (assist by C. Brewer)
10:45.0,Shooting foul by E. Gordon (drawn by J. Simmons),,29-26,,
10:45.0,J. Simmons misses free throw 1 of 2,,29-26,,
10:45.0,Offensive rebound by Team,,29-26,,
10:45.0,J. Simmons makes free throw 2 of 2,1,30-26,,
10:29.0,,,30-26,,S. Dekker misses 2-pt shot from 4 ft
10:27.0,,,30-26,,Offensive rebound by R. Anderson
10:27.0,,,30-26,,R. Anderson misses 2-pt shot from 1 ft
10:26.0,,,30-26,,Offensive rebound by R. Anderson
10:26.0,,,30-28,2,R. Anderson makes 2-pt shot from 2 ft
10:06.0,D. Lee misses 2-pt shot from 3 ft (block by S. Dekker),,30-28,,
10:05.0,,,30-28,,Defensive rebound by R. Anderson
9:52.0,,,30-28,,E. Gordon misses 3-pt shot from 26 ft
9:51.0,,,30-28,,Offensive rebound by C. Brewer
9:47.0,,,30-28,,Turnover by S. Dekker (bad pass; steal by M. Ginobili)
9:37.0,P. Mills makes 3-pt shot from 25 ft,3,33-28,,
9:20.0,,,33-28,,P. Beverley misses 3-pt shot from 23 ft
9:19.0,,,33-28,,Offensive rebound by S. Dekker
9:15.0,,,33-28,,P. Beverley misses 3-pt shot from 26 ft
9:14.0,Defensive rebound by D. Lee,,33-28,,
9:03.0,,,33-28,,Violation by E. Gordon (kicked ball)
9:00.0,Offensive foul by D. Dedmon,,33-28,,
9:00.0,Turnover by D. Dedmon (offensive foul),,33-28,,
8:46.0,,,33-30,2,E. Gordon makes 2-pt shot from 18 ft
8:44.0,San Antonio full timeout,,33-30,,
8:44.0,D. Green enters the game for M. Ginobili,,33-30,,
8:23.0,D. Lee makes 2-pt shot from 3 ft (assist by J. Simmons),2,35-30,,
8:11.0,,,35-32,2,P. Beverley makes 2-pt shot from 2 ft
7:54.0,Turnover by P. Mills (bad pass; steal by P. Beverley),,35-32,,
7:44.0,,,35-32,,R. Anderson misses 3-pt shot from 26 ft
7:43.0,,,35-32,,Offensive rebound by S. Dekker
7:22.0,,,35-32,,E. Gordon misses 2-pt shot from 21 ft
7:21.0,,,35-32,,Offensive rebound by S. Dekker
7:21.0,,,35-32,,S. Dekker misses 2-pt shot from 2 ft
7:20.0,Defensive rebound by J. Simmons,,35-32,,
7:05.0,D. Lee makes 2-pt shot from 7 ft,2,37-32,,
6:49.0,,,37-32,,Turnover by R. Anderson (offensive foul)
6:49.0,,,37-32,,Offensive foul by R. Anderson
6:49.0,K. Leonard enters the game for P. Mills,,37-32,,
6:49.0,P. Gasol enters the game for D. Dedmon,,37-32,,
6:49.0,T. Parker enters the game for J. Simmons,,37-32,,
6:49.0,,,37-32,,T. Ariza enters the game for E. Gordon
6:49.0,,,37-32,,J. Harden enters the game for S. Dekker
6:27.0,Shooting foul by T. Ariza (drawn by K. Leonard),,37-32,,
6:27.0,K. Leonard makes free throw 1 of 2,1,38-32,,
6:27.0,K. Leonard makes free throw 2 of 2,1,39-32,,
6:27.0,,,38-32,,N. Hilario enters the game for C. Brewer
6:27.0,L. Aldridge enters the game for D. Lee,,38-32,,
6:10.0,,,39-32,,N. Hilario misses 2-pt shot from 3 ft (block by L. Aldridge)
6:09.0,Defensive rebound by L. Aldridge,,39-32,,
6:04.0,L. Aldridge makes 2-pt shot from 2 ft (assist by D. Green),2,41-32,,
5:54.0,,,41-32,,T. Ariza misses 3-pt shot from 25 ft
5:53.0,,,41-32,,Offensive rebound by N. Hilario
5:53.0,,,41-32,,Shooting foul by L. Aldridge (drawn by N. Hilario)
5:53.0,,,41-32,,Houston full timeout
5:53.0,,,41-33,1,N. Hilario makes free throw 1 of 2
5:53.0,,,41-34,1,N. Hilario makes free throw 2 of 2
5:32.0,P. Gasol makes 2-pt shot from 8 ft (assist by K. Leonard),2,43-34,,
5:12.0,,,43-34,,P. Beverley misses 3-pt shot from 25 ft
5:12.0,Defensive rebound by P. Gasol,,43-34,,
5:03.0,K. Leonard misses 3-pt shot from 26 ft,,43-34,,
5:03.0,,,43-34,,Defensive rebound by T. Ariza
4:51.0,,,43-34,,J. Harden misses 2-pt shot from 2 ft
4:50.0,Defensive rebound by P. Gasol,,43-34,,
4:43.0,,,43-34,,Personal foul by P. Beverley (drawn by K. Leonard)
4:43.0,,,43-34,,Technical foul by P. Beverley (drawn by K. Leonard)
4:43.0,K. Leonard makes technical free throw,1,44-34,,
4:43.0,,,43-34,,E. Gordon enters the game for P. Beverley
4:33.0,Turnover by K. Leonard (traveling),,44-34,,
4:20.0,,,44-34,,E. Gordon misses 2-pt shot from 2 ft
4:19.0,Defensive rebound by L. Aldridge,,44-34,,
4:12.0,K. Leonard misses 3-pt shot from 25 ft,,44-34,,
4:11.0,,,44-34,,Defensive rebound by N. Hilario
4:04.0,,,44-37,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
3:43.0,L. Aldridge misses 2-pt shot from 8 ft,,44-37,,
3:42.0,,,44-37,,Defensive rebound by J. Harden
3:33.0,,,44-40,3,J. Harden makes 3-pt shot from 25 ft
3:32.0,San Antonio full timeout,,44-40,,
3:32.0,,,44-40,,M. Harrell enters the game for N. Hilario
3:12.0,Turnover by K. Leonard (lost ball; steal by T. Ariza),,44-40,,
3:04.0,,,44-43,3,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden)
2:41.0,D. Green makes 3-pt shot from 25 ft (assist by L. Aldridge),3,47-43,,
2:18.0,,,47-43,,J. Harden misses 2-pt shot from 9 ft (block by P. Gasol)
2:17.0,,,47-43,,Offensive rebound by Team
2:17.0,,,47-43,,Houston full timeout
2:15.0,,,47-43,,Turnover by T. Ariza (bad pass; steal by K. Leonard)
2:07.0,Turnover by K. Leonard (bad pass; steal by T. Ariza),,47-43,,
1:57.0,,,47-43,,E. Gordon misses 3-pt shot from 26 ft
1:57.0,Defensive rebound by Team,,47-43,,
1:57.0,P. Mills enters the game for T. Parker,,47-43,,
1:48.0,Shooting foul by T. Ariza (drawn by K. Leonard),,47-43,,
1:48.0,K. Leonard makes free throw 1 of 2,1,48-43,,
1:48.0,K. Leonard makes free throw 2 of 2,1,49-43,,
1:48.0,,,48-43,,P. Beverley enters the game for T. Ariza
1:34.0,,,49-43,,J. Harden misses 3-pt shot from 26 ft
1:33.0,Defensive rebound by P. Gasol,,49-43,,
1:20.0,L. Aldridge misses 2-pt shot from 12 ft,,49-43,,
1:19.0,,,49-43,,Defensive rebound by P. Beverley
1:10.0,,,49-45,2,P. Beverley makes 2-pt shot from 8 ft (assist by M. Harrell)
