time,Boston,pts.away,score,pts.home,San Antonio
1:23.0,J. Crowder makes 2-pt shot from 21 ft (assist by A. Bradley),2,97-104,,
1:01.0,,,97-106,2,K. Leonard makes 2-pt shot from 13 ft
1:01.0,Boston full timeout,,97-106,,
1:01.0,,,97-106,,D. Dedmon enters the game for P. Gasol
0:57.0,J. Jerebko misses 3-pt shot from 24 ft,,97-106,,
0:55.0,,,97-106,,Defensive rebound by D. Dedmon
0:36.0,,,97-108,2,D. Dedmon makes 2-pt shot at rim (assist by T. Parker)
0:26.0,Shooting foul by D. Dedmon (drawn by J. Jerebko),,97-108,,
0:26.0,J. Jerebko makes free throw 1 of 2,1,98-108,,
0:26.0,J. Jerebko makes free throw 2 of 2,1,99-108,,
0:26.0,,,98-108,,N. Laprovittola enters the game for M. Ginobili
0:26.0,,,98-108,,B. Forbes enters the game for T. Parker
0:26.0,,,98-108,,K. Anderson enters the game for K. Leonard
0:26.0,,,98-108,,D. Bertans enters the game for D. Lee
0:26.0,T. Rozier enters the game for A. Horford,,98-108,,
0:19.0,,,99-108,,Turnover by N. Laprovittola (bad pass; steal by M. Smart)
0:16.0,A. Bradley makes 2-pt shot from 1 ft (assist by M. Smart),2,101-108,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
