time,Houston,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. W. Cauley-Stein (R. Anderson gains possession),,,,Jump ball: C. Capela vs. W. Cauley-Stein (R. Anderson gains possession)
11:41.0,Turnover by J. Harden (lost ball),,0-0,,
11:28.0,,,0-2,2,W. Cauley-Stein makes 2-pt shot at rim (assist by T. Lawson)
11:19.0,T. Williams misses 3-pt shot from 26 ft,,0-2,,
11:18.0,,,0-2,,Defensive rebound by W. Cauley-Stein
11:08.0,,,0-2,,Turnover by T. Lawson (bad pass; steal by R. Anderson)
11:00.0,P. Beverley makes 3-pt shot from 23 ft (assist by J. Harden),3,3-2,,
10:50.0,,,3-2,,Shooting foul by C. Capela (drawn by T. Lawson)
10:50.0,,,3-3,1,T. Lawson makes free throw 1 of 2
10:50.0,,,3-4,1,T. Lawson makes free throw 2 of 2
10:28.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden),3,6-4,,
10:17.0,,,6-4,,B. Hield misses 3-pt shot from 27 ft
10:16.0,Defensive rebound by C. Capela,,6-4,,
10:09.0,Shooting foul by B. Hield (drawn by C. Capela),,6-4,,
10:09.0,C. Capela makes free throw 1 of 2,1,7-4,,
10:09.0,C. Capela makes free throw 2 of 2,1,8-4,,
9:51.0,,,8-6,2,B. Hield makes 2-pt shot from 14 ft
9:34.0,T. Williams makes 3-pt shot from 26 ft,3,11-6,,
9:26.0,,,11-6,,T. Lawson misses 3-pt shot from 25 ft
9:25.0,Defensive rebound by J. Harden,,11-6,,
9:17.0,J. Harden makes 3-pt shot from 26 ft,3,14-6,,
8:58.0,,,14-6,,B. Hield misses 2-pt shot from 16 ft
8:57.0,Defensive rebound by C. Capela,,14-6,,
8:46.0,Turnover by J. Harden (bad pass; steal by G. Temple),,14-6,,
8:38.0,Personal foul by P. Beverley (drawn by W. Cauley-Stein),,14-6,,
8:23.0,,,14-6,,S. Labissiere misses 2-pt shot from 8 ft
8:23.0,Defensive rebound by J. Harden,,14-6,,
8:13.0,R. Anderson makes 3-pt shot from 27 ft (assist by J. Harden),3,17-6,,
7:49.0,,,17-9,3,B. Hield makes 3-pt shot from 25 ft (assist by S. Labissiere)
7:37.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,19-9,,
7:22.0,,,19-11,2,T. Lawson makes 2-pt shot from 20 ft
7:10.0,Turnover by J. Harden (bad pass; steal by G. Temple),,19-11,,
7:05.0,,,19-13,2,B. Hield makes 2-pt shot at rim (assist by S. Labissiere)
7:01.0,Houston full timeout,,19-13,,
7:01.0,B. Brown enters the game for T. Williams,,19-13,,
6:49.0,R. Anderson makes 3-pt shot from 26 ft (assist by B. Brown),3,22-13,,
6:32.0,,,22-15,2,B. Hield makes 2-pt shot from 21 ft
6:18.0,J. Harden misses 2-pt shot from 4 ft,,22-15,,
6:17.0,,,22-15,,Defensive rebound by B. Hield
6:09.0,Personal block foul by P. Beverley (drawn by S. Labissiere),,22-15,,
6:09.0,L. Williams enters the game for P. Beverley,,22-15,,
6:02.0,,,22-15,,W. Cauley-Stein misses 2-pt shot from 6 ft
6:01.0,Defensive rebound by J. Harden,,22-15,,
5:52.0,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden),3,25-15,,
5:42.0,Personal foul by B. Brown (drawn by T. Lawson),,25-15,,
5:31.0,,,25-18,3,G. Temple makes 3-pt shot from 24 ft (assist by T. Lawson)
5:21.0,B. Brown makes 3-pt shot from 23 ft (assist by J. Harden),3,28-18,,
4:58.0,,,28-18,,B. Hield misses 2-pt shot from 19 ft
4:58.0,Defensive rebound by C. Capela,,28-18,,
4:53.0,Shooting foul by G. Temple (drawn by J. Harden),,28-18,,
4:53.0,J. Harden makes free throw 1 of 2,1,29-18,,
4:53.0,J. Harden makes free throw 2 of 2,1,30-18,,
4:53.0,M. Harrell enters the game for C. Capela,,29-18,,
4:53.0,,,29-18,,A. Tolliver enters the game for S. Labissiere
4:36.0,,,30-20,2,W. Cauley-Stein makes 2-pt shot at rim (assist by B. Hield)
4:25.0,L. Williams misses 3-pt shot from 25 ft,,30-20,,
4:25.0,,,30-20,,Defensive rebound by W. Cauley-Stein
4:18.0,,,30-20,,T. Lawson misses 2-pt shot from 15 ft
4:17.0,Defensive rebound by M. Harrell,,30-20,,
4:13.0,,,30-20,,Personal block foul by A. Tolliver (drawn by J. Harden)
4:07.0,J. Harden misses 3-pt shot from 26 ft,,30-20,,
