time,Portland,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. J. Nurkic (N. Vonleh gains possession),,,,Jump ball: D. Howard vs. J. Nurkic (N. Vonleh gains possession)
11:42.0,M. Harkless makes 2-pt shot from 5 ft (assist by C. McCollum),2,2-0,,
11:26.0,,,2-0,,D. Schroder misses 2-pt shot from 3 ft (block by J. Nurkic)
11:23.0,Defensive rebound by D. Lillard,,2-0,,
11:11.0,D. Lillard makes 3-pt shot from 24 ft (assist by J. Nurkic),3,5-0,,
11:11.0,Shooting foul by K. Bazemore (drawn by D. Lillard),,5-0,,
11:11.0,D. Lillard makes free throw 1 of 1,1,6-0,,
10:50.0,,,6-0,,K. Bazemore misses 2-pt shot from 12 ft
10:48.0,Defensive rebound by J. Nurkic,,6-0,,
10:37.0,Turnover by M. Harkless (bad pass; steal by D. Schroder),,6-0,,
10:25.0,,,6-0,,D. Schroder misses 2-pt shot from 1 ft
10:23.0,Defensive rebound by N. Vonleh,,6-0,,
10:16.0,D. Lillard makes 2-pt shot from 2 ft,2,8-0,,
9:54.0,,,8-3,3,E. Ilyasova makes 3-pt shot from 23 ft (assist by T. Sefolosha)
9:33.0,Turnover by M. Harkless (bad pass; steal by D. Schroder),,8-3,,
9:13.0,,,8-3,,T. Sefolosha misses 3-pt shot from 23 ft
9:12.0,Defensive rebound by M. Harkless,,8-3,,
9:03.0,D. Lillard makes 3-pt shot from 28 ft,3,11-3,,
9:03.0,,,11-3,,Atlanta full timeout
8:40.0,,,11-3,,D. Schroder misses 2-pt shot from 4 ft
8:38.0,Defensive rebound by J. Nurkic,,11-3,,
8:30.0,Turnover by N. Vonleh (bad pass; steal by D. Howard),,11-3,,
8:25.0,,,11-3,,K. Bazemore misses 2-pt shot from 1 ft
8:22.0,Defensive rebound by N. Vonleh,,11-3,,
8:18.0,C. McCollum makes 2-pt shot from 18 ft,2,13-3,,
8:03.0,,,13-3,,E. Ilyasova misses 3-pt shot from 25 ft
8:00.0,Defensive rebound by C. McCollum,,13-3,,
7:46.0,N. Vonleh makes 2-pt shot from 18 ft (assist by C. McCollum),2,15-3,,
7:30.0,,,15-3,,Turnover by E. Ilyasova (bad pass; steal by M. Harkless)
7:25.0,J. Nurkic makes 2-pt shot at rim (assist by M. Harkless),2,17-3,,
7:07.0,,,17-3,,E. Ilyasova misses 2-pt shot from 4 ft (block by C. McCollum)
7:07.0,Defensive rebound by M. Harkless,,17-3,,
7:02.0,D. Lillard misses 3-pt shot from 24 ft,,17-3,,
7:01.0,,,17-3,,Defensive rebound by T. Sefolosha
6:49.0,,,17-5,2,K. Bazemore makes 2-pt shot from 1 ft (assist by D. Schroder)
6:26.0,D. Lillard makes 2-pt shot from 18 ft (assist by M. Harkless),2,19-5,,
6:11.0,,,19-5,,D. Howard misses 2-pt shot from 3 ft
6:09.0,,,19-5,,Offensive rebound by T. Sefolosha
6:08.0,,,19-5,,T. Sefolosha misses 2-pt shot from 1 ft
6:06.0,Defensive rebound by M. Harkless,,19-5,,
5:52.0,,,19-5,,T. Hardaway enters the game for K. Bazemore
5:44.0,J. Nurkic makes 2-pt shot from 2 ft (assist by M. Harkless),2,21-5,,
5:34.0,,,21-5,,T. Sefolosha misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by J. Nurkic,,21-5,,
5:24.0,Turnover by D. Lillard (bad pass; steal by T. Hardaway),,21-5,,
5:20.0,,,21-5,,Turnover by T. Hardaway (bad pass; steal by C. McCollum)
5:16.0,J. Nurkic makes 2-pt shot from 2 ft (assist by D. Lillard),2,23-5,,
5:16.0,,,23-5,,Atlanta full timeout
5:16.0,,,23-5,,M. Muscala enters the game for T. Sefolosha
5:16.0,,,23-5,,T. Waller-Prince enters the game for D. Howard
5:16.0,A. Aminu enters the game for N. Vonleh,,23-5,,
5:16.0,A. Crabbe enters the game for C. McCollum,,23-5,,
5:04.0,,,23-8,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by D. Schroder)
4:43.0,M. Harkless makes 3-pt shot from 24 ft (assist by J. Nurkic),3,26-8,,
4:33.0,,,26-8,,Shooting foul by A. Crabbe (drawn by D. Schroder)
4:33.0,,,26-9,1,D. Schroder makes free throw 1 of 2
4:33.0,,,26-10,1,D. Schroder makes free throw 2 of 2
