time,Atlanta,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. C. Zeller (K. Bazemore gains possession),,,,Jump ball: D. Howard vs. C. Zeller (K. Bazemore gains possession)
11:43.0,K. Korver misses 2-pt shot from 18 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by N. Batum
11:30.0,,,0-0,,Turnover by C. Zeller (lost ball; steal by D. Howard)
11:13.0,D. Howard makes 2-pt shot from 7 ft,2,2-0,,
11:00.0,,,2-0,,M. Williams misses 3-pt shot from 25 ft
10:59.0,,,2-0,,Offensive rebound by C. Zeller
10:54.0,,,2-0,,M. Williams misses 3-pt shot from 25 ft
10:53.0,Defensive rebound by D. Howard,,2-0,,
10:41.0,K. Bazemore makes 2-pt shot from 1 ft (assist by D. Schroder),2,4-0,,
10:30.0,,,4-0,,Shooting foul by K. Bazemore (drawn by K. Walker)
10:30.0,,,4-1,1,K. Walker makes free throw 1 of 2
10:30.0,,,4-2,1,K. Walker makes free throw 2 of 2
10:17.0,Turnover by P. Millsap (bad pass; steal by C. Zeller),,4-2,,
10:10.0,,,4-4,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
9:56.0,D. Schroder misses 3-pt shot from 25 ft,,4-4,,
9:54.0,,,4-4,,Defensive rebound by M. Williams
9:44.0,,,4-4,,Turnover by C. Zeller (bad pass; steal by K. Bazemore)
9:38.0,K. Bazemore makes 2-pt shot from 16 ft,2,6-4,,
9:22.0,,,6-7,3,N. Batum makes 3-pt shot from 25 ft (assist by M. Williams)
9:07.0,K. Korver misses 3-pt shot from 26 ft,,6-7,,
9:05.0,,,6-7,,Defensive rebound by M. Williams
8:55.0,,,6-9,2,M. Kidd-Gilchrist makes 2-pt shot from 10 ft
8:37.0,K. Bazemore misses 3-pt shot from 25 ft,,6-9,,
8:36.0,,,6-9,,Defensive rebound by N. Batum
8:26.0,,,6-9,,Shooting foul by P. Millsap (drawn by C. Zeller)
8:26.0,,,6-10,1,C. Zeller makes free throw 1 of 2
8:26.0,,,6-11,1,C. Zeller makes free throw 2 of 2
8:13.0,Turnover by D. Schroder (lost ball; steal by K. Walker),,6-11,,
8:06.0,,,6-11,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft
8:05.0,Defensive rebound by D. Howard,,6-11,,
8:00.0,,,6-11,,Violation by M. Williams (kicked ball)
7:48.0,K. Korver misses 3-pt shot from 26 ft,,6-11,,
7:46.0,Offensive rebound by D. Howard,,6-11,,
7:46.0,D. Howard misses 2-pt shot from 2 ft,,6-11,,
7:43.0,,,6-11,,Defensive rebound by M. Williams
7:34.0,,,6-14,3,N. Batum makes 3-pt shot from 26 ft (assist by K. Walker)
7:34.0,Atlanta full timeout,,6-14,,
7:34.0,M. Muscala enters the game for P. Millsap,,6-14,,
7:22.0,K. Bazemore makes 2-pt shot from 17 ft,2,8-14,,
