time,Portland,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. H. Whiteside (N. Vonleh gains possession),,,,Jump ball: J. Nurkic vs. H. Whiteside (N. Vonleh gains possession)
11:36.0,J. Nurkic misses 2-pt shot from 6 ft,,0-0,,
11:35.0,Offensive rebound by J. Nurkic,,0-0,,
11:33.0,J. Nurkic makes 2-pt shot from 3 ft,2,2-0,,
11:14.0,,,2-2,2,H. Whiteside makes 2-pt shot from 14 ft
10:54.0,M. Harkless misses 2-pt shot from 2 ft (block by H. Whiteside),,2-2,,
10:53.0,Offensive rebound by M. Harkless,,2-2,,
10:52.0,Jump ball: M. Harkless vs. R. McGruder (N. Vonleh gains possession),,,,Jump ball: M. Harkless vs. R. McGruder (N. Vonleh gains possession)
10:43.0,N. Vonleh makes 2-pt shot from 9 ft,2,4-2,,
10:28.0,,,4-4,2,H. Whiteside makes 2-pt shot from 7 ft (assist by R. McGruder)
10:18.0,D. Lillard misses 2-pt shot from 13 ft,,4-4,,
10:17.0,,,4-4,,Defensive rebound by Team
10:08.0,,,4-4,,G. Dragic misses 2-pt shot from 15 ft
10:07.0,,,4-4,,Offensive rebound by H. Whiteside
10:05.0,,,4-6,2,H. Whiteside makes 2-pt shot from 9 ft
9:45.0,C. McCollum misses 3-pt shot from 24 ft,,4-6,,
9:44.0,,,4-6,,Defensive rebound by Team
9:27.0,,,4-8,2,H. Whiteside makes 2-pt shot from 11 ft
9:11.0,D. Lillard makes 2-pt shot from 18 ft,2,6-8,,
8:58.0,,,6-8,,H. Whiteside misses 2-pt shot from 10 ft
8:57.0,,,6-8,,Offensive rebound by R. McGruder
8:49.0,,,6-10,2,H. Whiteside makes 2-pt shot from 14 ft
8:31.0,J. Nurkic misses 2-pt shot from 1 ft,,6-10,,
8:30.0,,,6-10,,Defensive rebound by H. Whiteside
8:22.0,,,6-10,,L. Babbitt misses 3-pt shot from 25 ft
8:21.0,,,6-10,,Offensive rebound by H. Whiteside
8:17.0,,,6-10,,G. Dragic misses 3-pt shot from 25 ft
8:16.0,Defensive rebound by M. Harkless,,6-10,,
8:06.0,C. McCollum misses 2-pt shot from 17 ft,,6-10,,
8:05.0,Offensive rebound by N. Vonleh,,6-10,,
8:03.0,,,6-10,,Personal foul by J. Richardson (drawn by N. Vonleh)
8:03.0,Offensive foul by N. Vonleh,,6-10,,
8:03.0,Turnover by N. Vonleh (offensive foul),,6-10,,
7:50.0,,,6-10,,Turnover by R. McGruder (bad pass; steal by N. Vonleh)
7:43.0,J. Nurkic misses 2-pt shot from 1 ft,,6-10,,
7:42.0,,,6-10,,Defensive rebound by H. Whiteside
7:35.0,,,6-10,,G. Dragic misses 2-pt shot from 1 ft
7:34.0,,,6-10,,Offensive rebound by Team
7:34.0,,,6-10,,Shooting foul by M. Harkless (drawn by R. McGruder)
7:34.0,,,6-10,,R. McGruder misses free throw 1 of 2
7:34.0,,,6-10,,Offensive rebound by Team
7:34.0,,,6-11,1,R. McGruder makes free throw 2 of 2
7:18.0,M. Harkless misses 3-pt shot from 25 ft,,6-11,,
7:17.0,Offensive rebound by M. Harkless,,6-11,,
7:14.0,Turnover by M. Harkless (bad pass; steal by J. Richardson),,6-11,,
7:02.0,,,6-14,3,R. McGruder makes 3-pt shot from 23 ft (assist by G. Dragic)
6:49.0,D. Lillard makes 3-pt shot from 25 ft,3,9-14,,
6:36.0,,,9-16,2,G. Dragic makes 2-pt shot from 13 ft
6:22.0,Shooting foul by G. Dragic (drawn by D. Lillard),,9-16,,
6:22.0,D. Lillard makes free throw 1 of 3,1,10-16,,
6:22.0,D. Lillard makes free throw 2 of 3,1,11-16,,
6:22.0,D. Lillard makes free throw 3 of 3,1,12-16,,
6:22.0,,,11-16,,T. Johnson enters the game for J. Richardson
6:05.0,,,12-16,,T. Johnson misses 3-pt shot from 23 ft
6:04.0,Defensive rebound by J. Nurkic,,12-16,,
5:55.0,D. Lillard misses 3-pt shot from 24 ft,,12-16,,
5:54.0,,,12-16,,Defensive rebound by R. McGruder
5:49.0,,,12-18,2,T. Johnson makes 2-pt shot from 22 ft (assist by R. McGruder)
5:25.0,Turnover by D. Lillard (bad pass; steal by G. Dragic),,12-18,,
5:20.0,,,12-20,2,G. Dragic makes 2-pt shot from 1 ft
5:20.0,Portland full timeout,,12-20,,
5:20.0,A. Crabbe enters the game for N. Vonleh,,12-20,,
5:20.0,A. Aminu enters the game for C. McCollum,,12-20,,
5:07.0,A. Crabbe misses 3-pt shot from 24 ft,,12-20,,
5:06.0,,,12-20,,Defensive rebound by L. Babbitt
4:49.0,,,12-20,,G. Dragic misses 2-pt shot from 13 ft (block by D. Lillard)
4:48.0,Defensive rebound by A. Crabbe,,12-20,,
4:41.0,J. Nurkic misses 2-pt shot from 1 ft,,12-20,,
4:40.0,Offensive rebound by J. Nurkic,,12-20,,
4:39.0,J. Nurkic makes 2-pt shot from 1 ft,2,14-20,,
4:23.0,,,14-20,,H. Whiteside misses 2-pt shot from 3 ft
4:22.0,Defensive rebound by J. Nurkic,,14-20,,
4:06.0,A. Crabbe misses 3-pt shot from 25 ft,,14-20,,
4:05.0,Offensive rebound by J. Nurkic,,14-20,,
4:05.0,,,14-20,,Personal foul by L. Babbitt (drawn by J. Nurkic)
4:05.0,,,14-20,,J. Johnson enters the game for L. Babbitt
4:05.0,M. Leonard enters the game for J. Nurkic,,14-20,,
4:05.0,,,14-20,,W. Ellington enters the game for R. McGruder
3:58.0,D. Lillard misses 2-pt shot from 2 ft,,14-20,,
3:57.0,,,14-20,,Defensive rebound by J. Johnson
3:44.0,,,14-20,,W. Ellington misses 3-pt shot from 23 ft
3:43.0,Defensive rebound by A. Aminu,,14-20,,
3:38.0,,,14-20,,Shooting block foul by J. Johnson (drawn by D. Lillard)
3:38.0,D. Lillard makes free throw 1 of 2,1,15-20,,
3:38.0,D. Lillard makes free throw 2 of 2,1,16-20,,
3:38.0,E. Turner enters the game for M. Harkless,,15-20,,
3:33.0,,,16-20,,Miami full timeout
3:13.0,,,16-20,,T. Johnson misses 3-pt shot from 25 ft
3:12.0,Defensive rebound by D. Lillard,,16-20,,
3:07.0,D. Lillard makes 3-pt shot from 25 ft,3,19-20,,
2:52.0,,,19-22,2,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson)
2:36.0,A. Crabbe makes 2-pt shot from 12 ft (assist by D. Lillard),2,21-22,,
2:22.0,,,21-22,,H. Whiteside misses 2-pt shot from 18 ft
2:21.0,Defensive rebound by E. Turner,,21-22,,
1:52.0,M. Leonard misses 3-pt shot from 23 ft,,21-22,,
1:51.0,,,21-22,,Defensive rebound by W. Ellington
1:39.0,,,21-25,3,W. Ellington makes 3-pt shot from 24 ft (assist by J. Johnson)
1:22.0,D. Lillard makes 2-pt shot at rim,2,23-25,,
1:10.0,,,23-25,,Shooting foul by A. Aminu (drawn by G. Dragic)
1:10.0,,,23-25,,G. Dragic misses free throw 1 of 3
1:10.0,,,23-25,,Offensive rebound by Team
1:10.0,,,23-26,1,G. Dragic makes free throw 2 of 3
1:10.0,,,23-27,1,G. Dragic makes free throw 3 of 3
1:10.0,C. McCollum enters the game for D. Lillard,,23-26,,
1:10.0,,,23-26,,W. Reed enters the game for H. Whiteside
0:58.0,A. Crabbe makes 3-pt shot from 24 ft (assist by C. McCollum),3,26-27,,
0:47.0,,,26-29,2,W. Reed makes 2-pt shot from 2 ft (assist by J. Johnson)
0:34.0,C. McCollum makes 2-pt shot from 15 ft,2,28-29,,
0:15.0,,,28-29,,G. Dragic misses 3-pt shot from 24 ft
0:14.0,Defensive rebound by A. Aminu,,28-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,,,28-29,,Turnover by J. Richardson (step out of bounds)
11:34.0,C. McCollum makes 2-pt shot from 3 ft,2,30-29,,
11:10.0,,,30-29,,T. Johnson misses 3-pt shot from 25 ft
11:10.0,Defensive rebound by A. Crabbe,,30-29,,
11:00.0,E. Turner misses 3-pt shot from 25 ft,,30-29,,
10:59.0,,,30-29,,Defensive rebound by J. Johnson
10:34.0,,,30-32,3,J. Johnson makes 3-pt shot from 23 ft
10:16.0,A. Crabbe misses 2-pt shot from 2 ft,,30-32,,
10:12.0,,,30-32,,Defensive rebound by T. Johnson
10:03.0,,,30-32,,J. Johnson misses 3-pt shot from 24 ft
10:02.0,Defensive rebound by A. Aminu,,30-32,,
9:52.0,C. McCollum misses 2-pt shot from 1 ft,,30-32,,
9:51.0,Offensive rebound by N. Vonleh,,30-32,,
9:46.0,C. McCollum makes 3-pt shot from 24 ft (assist by N. Vonleh),3,33-32,,
9:31.0,,,33-34,2,J. Johnson makes 2-pt shot at rim (assist by T. Johnson)
9:09.0,N. Vonleh makes 2-pt shot at rim (assist by C. McCollum),2,35-34,,
8:50.0,,,35-34,,W. Ellington misses 3-pt shot from 24 ft
8:49.0,Defensive rebound by C. McCollum,,35-34,,
8:41.0,Turnover by C. McCollum (lost ball; steal by J. Johnson),,35-34,,
8:37.0,,,35-36,2,T. Johnson makes 2-pt shot from 1 ft (assist by J. Johnson)
8:10.0,Official timeout,,35-36,,
8:07.0,Turnover by E. Turner (bad pass; steal by J. Johnson),,35-36,,
7:56.0,,,35-39,3,W. Ellington makes 3-pt shot from 25 ft (assist by T. Johnson)
7:33.0,E. Turner makes 2-pt shot from 8 ft,2,37-39,,
7:09.0,,,37-39,,Turnover by T. Johnson (bad pass; steal by E. Turner)
7:01.0,C. McCollum misses 2-pt shot from 11 ft,,37-39,,
