time,Boston,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. A. Johnson (T. Harris gains possession),,,,Jump ball: A. Drummond vs. A. Johnson (T. Harris gains possession)
11:41.0,,,0-2,2,M. Morris makes 2-pt shot from 16 ft
11:21.0,A. Johnson makes 2-pt shot from 5 ft (assist by A. Horford),2,2-2,,
11:02.0,,,2-2,,A. Drummond misses 2-pt shot from 6 ft
10:59.0,Defensive rebound by A. Horford,,2-2,,
10:55.0,I. Thomas makes 2-pt shot from 14 ft,2,4-2,,
10:38.0,,,4-2,,I. Smith misses 3-pt shot from 26 ft
10:38.0,Defensive rebound by A. Bradley,,4-2,,
10:23.0,J. Crowder makes 3-pt shot from 27 ft (assist by I. Thomas),3,7-2,,
10:07.0,,,7-4,2,T. Harris makes 2-pt shot at rim (assist by K. Caldwell-Pope)
9:51.0,I. Thomas misses 3-pt shot from 25 ft (block by I. Smith),,7-4,,
9:51.0,,,7-4,,Defensive rebound by A. Drummond
9:42.0,,,7-7,3,M. Morris makes 3-pt shot from 25 ft (assist by I. Smith)
9:27.0,A. Horford makes 3-pt shot from 27 ft (assist by A. Bradley),3,10-7,,
9:06.0,,,10-7,,M. Morris misses 2-pt shot from 14 ft
9:06.0,Defensive rebound by A. Johnson,,10-7,,
9:01.0,Turnover by A. Horford (traveling),,10-7,,
8:45.0,,,10-7,,T. Harris misses 2-pt shot from 9 ft
8:44.0,Defensive rebound by A. Horford,,10-7,,
8:25.0,I. Thomas misses 2-pt shot from 13 ft,,10-7,,
8:25.0,,,10-7,,Defensive rebound by A. Drummond
8:14.0,,,10-9,2,A. Drummond makes 2-pt shot from 7 ft (assist by I. Smith)
7:48.0,A. Horford misses 2-pt shot from 8 ft,,10-9,,
7:48.0,,,10-9,,Defensive rebound by A. Drummond
7:42.0,,,10-9,,T. Harris misses 2-pt shot from 4 ft (block by J. Crowder)
7:41.0,Defensive rebound by J. Crowder,,10-9,,
7:34.0,J. Crowder makes 2-pt shot from 15 ft,2,12-9,,
7:17.0,,,12-9,,M. Morris misses 2-pt shot from 16 ft (block by I. Thomas)
7:15.0,,,12-9,,Offensive rebound by M. Morris
7:11.0,,,12-9,,M. Morris misses 3-pt shot from 26 ft
7:10.0,Defensive rebound by A. Horford,,12-9,,
7:00.0,A. Bradley makes 3-pt shot from 26 ft (assist by A. Horford),3,15-9,,
7:00.0,,,15-9,,Detroit full timeout
7:00.0,K. Olynyk enters the game for A. Horford,,15-9,,
6:37.0,,,15-11,2,A. Drummond makes 2-pt shot from 6 ft (assist by T. Harris)
6:15.0,A. Johnson misses 2-pt shot from 9 ft,,15-11,,
6:15.0,,,15-11,,Defensive rebound by T. Harris
6:04.0,,,15-11,,Shooting foul by A. Bradley (drawn by K. Caldwell-Pope)
6:04.0,,,15-12,1,K. Caldwell-Pope makes free throw 1 of 2
6:04.0,,,15-12,,K. Caldwell-Pope misses free throw 2 of 2
6:04.0,M. Smart enters the game for J. Crowder,,15-12,,
6:04.0,,,15-12,,J. Leuer enters the game for T. Harris
6:03.0,,,15-12,,Offensive rebound by K. Caldwell-Pope
5:59.0,,,15-12,,K. Caldwell-Pope misses 2-pt shot from 6 ft
5:58.0,,,15-12,,Offensive rebound by J. Leuer
5:49.0,,,15-14,2,A. Drummond makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
5:30.0,A. Johnson misses 2-pt shot from 8 ft,,15-14,,
5:30.0,,,15-14,,Defensive rebound by M. Morris
5:18.0,,,15-16,2,A. Drummond makes 2-pt shot from 1 ft (assist by J. Leuer)
5:03.0,,,15-16,,Personal foul by K. Caldwell-Pope (drawn by K. Olynyk)
5:03.0,J. Jerebko enters the game for A. Johnson,,15-16,,
4:53.0,Shooting foul by I. Smith (drawn by I. Thomas),,15-16,,
4:53.0,I. Thomas makes free throw 1 of 2,1,16-16,,
4:53.0,I. Thomas makes free throw 2 of 2,1,17-16,,
4:38.0,,,17-16,,J. Leuer misses 3-pt shot from 26 ft
4:38.0,Defensive rebound by K. Olynyk,,17-16,,
4:21.0,I. Thomas misses 2-pt shot from 17 ft,,17-16,,
4:21.0,,,17-16,,Defensive rebound by A. Drummond
4:06.0,,,17-16,,A. Drummond misses 2-pt shot from 7 ft
4:06.0,Defensive rebound by J. Jerebko,,17-16,,
3:52.0,J. Jerebko makes 3-pt shot from 23 ft (assist by I. Thomas),3,20-16,,
3:35.0,,,20-16,,Shooting foul by J. Jerebko (drawn by A. Drummond)
3:35.0,,,20-17,1,A. Drummond makes free throw 1 of 2
3:35.0,,,20-17,,A. Drummond misses free throw 2 of 2
3:35.0,J. Brown enters the game for A. Bradley,,20-17,,
3:34.0,Defensive rebound by M. Smart,,20-17,,
3:18.0,K. Olynyk makes 3-pt shot from 24 ft (assist by I. Thomas),3,23-17,,
2:58.0,,,23-19,2,M. Morris makes 2-pt shot from 18 ft
2:42.0,I. Thomas misses 3-pt shot from 25 ft,,23-19,,
2:42.0,Offensive rebound by M. Smart,,23-19,,
2:36.0,M. Smart misses 3-pt shot from 27 ft,,23-19,,
2:36.0,Offensive rebound by J. Jerebko,,23-19,,
2:32.0,Shooting foul by J. Leuer (drawn by J. Brown),,23-19,,
2:32.0,Boston full timeout,,23-19,,
2:32.0,J. Brown makes free throw 1 of 2,1,24-19,,
2:32.0,J. Brown makes free throw 2 of 2,1,25-19,,
2:32.0,A. Horford enters the game for K. Olynyk,,23-19,,
2:32.0,,,23-19,,T. Harris enters the game for M. Morris
2:32.0,,,23-19,,R. Bullock enters the game for K. Caldwell-Pope
2:09.0,,,25-21,2,I. Smith makes 2-pt shot from 22 ft (assist by J. Leuer)
1:53.0,J. Brown misses 2-pt shot from 9 ft,,25-21,,
1:52.0,,,25-21,,Defensive rebound by A. Drummond
1:44.0,,,25-21,,A. Drummond misses 2-pt shot from 4 ft (block by A. Horford)
1:44.0,Defensive rebound by A. Horford,,25-21,,
1:44.0,,,25-21,,Personal foul by A. Drummond (drawn by A. Horford)
1:32.0,A. Horford makes 2-pt shot from 18 ft (assist by I. Thomas),2,27-21,,
1:04.0,,,27-21,,I. Smith misses 2-pt shot from 11 ft
1:04.0,Defensive rebound by A. Horford,,27-21,,
1:00.0,Turnover by J. Brown (lost ball; steal by I. Smith),,27-21,,
0:55.0,,,27-23,2,T. Harris makes 2-pt shot at rim (assist by I. Smith)
0:39.0,A. Horford misses 2-pt shot from 20 ft,,27-23,,
0:38.0,,,27-23,,Defensive rebound by I. Smith
0:21.0,,,27-23,,J. Leuer misses 2-pt shot from 11 ft
0:20.0,,,27-23,,Offensive rebound by J. Leuer
0:18.0,,,27-23,,Offensive foul by A. Drummond
0:18.0,,,27-23,,Turnover by A. Drummond (offensive foul)
0:18.0,,,27-23,,A. Baynes enters the game for A. Drummond
0:05.0,A. Horford misses 3-pt shot from 26 ft,,27-23,,
0:02.0,Offensive rebound by I. Thomas,,27-23,,
0:01.0,I. Thomas makes 3-pt shot from 24 ft,3,30-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,M. Smart misses 2-pt shot from 17 ft,,30-23,,
11:42.0,,,30-23,,Defensive rebound by A. Baynes
11:30.0,,,30-25,2,T. Harris makes 2-pt shot from 15 ft
11:08.0,K. Olynyk misses 3-pt shot from 26 ft,,30-25,,
11:07.0,,,30-25,,Defensive rebound by B. Udrih
10:57.0,,,30-28,3,R. Bullock makes 3-pt shot from 28 ft (assist by B. Udrih)
10:41.0,J. Brown makes 3-pt shot from 27 ft (assist by T. Rozier),3,33-28,,
10:24.0,Violation by A. Horford (kicked ball),,33-28,,
10:24.0,A. Bradley enters the game for J. Brown,,33-28,,
