time,New Orleans,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. A. Davis (E. Bledsoe gains possession),,,,Jump ball: T. Chandler vs. A. Davis (E. Bledsoe gains possession)
11:40.0,,,0-0,,D. Booker misses 2-pt shot from 14 ft
11:38.0,Defensive rebound by S. Hill,,0-0,,
11:28.0,,,0-0,,Personal foul by P. Tucker (drawn by A. Davis)
11:19.0,S. Hill makes 3-pt shot from 26 ft (assist by J. Holiday),3,3-0,,
11:04.0,,,3-3,3,P. Tucker makes 3-pt shot from 23 ft (assist by E. Bledsoe)
10:53.0,A. Ajinca makes 2-pt shot from 10 ft (assist by A. Davis),2,5-3,,
10:36.0,,,5-3,,Turnover by D. Booker (bad pass; steal by A. Ajinca)
10:31.0,B. Hield misses 2-pt shot from 2 ft,,5-3,,
10:28.0,,,5-3,,Defensive rebound by D. Booker
10:23.0,,,5-3,,E. Bledsoe misses 3-pt shot from 25 ft
10:20.0,Defensive rebound by A. Ajinca,,5-3,,
10:15.0,J. Holiday makes 3-pt shot from 26 ft,3,8-3,,
9:59.0,Personal foul by S. Hill (drawn by M. Chriss),,8-3,,
9:51.0,,,8-3,,Turnover by D. Booker (bad pass; steal by A. Davis)
9:48.0,Shooting foul by E. Bledsoe (drawn by B. Hield),,8-3,,
9:48.0,B. Hield misses free throw 1 of 2,,8-3,,
9:48.0,Offensive rebound by Team,,8-3,,
9:48.0,B. Hield makes free throw 2 of 2,1,9-3,,
9:36.0,,,9-3,,Turnover by E. Bledsoe (lost ball; steal by A. Ajinca)
9:28.0,Turnover by S. Hill (bad pass),,9-3,,
9:04.0,,,9-6,3,P. Tucker makes 3-pt shot from 23 ft (assist by D. Booker)
8:51.0,A. Ajinca misses 2-pt shot from 19 ft,,9-6,,
8:49.0,,,9-6,,Defensive rebound by T. Chandler
8:38.0,,,9-6,,M. Chriss misses 2-pt shot from 20 ft
8:37.0,,,9-6,,Offensive rebound by T. Chandler
8:32.0,,,9-9,3,P. Tucker makes 3-pt shot from 24 ft (assist by E. Bledsoe)
8:16.0,A. Davis makes 2-pt shot from 19 ft (assist by S. Hill),2,11-9,,
7:51.0,,,11-11,2,T. Chandler makes 2-pt shot at rim (assist by E. Bledsoe)
7:41.0,S. Hill makes 2-pt shot from 18 ft,2,13-11,,
7:21.0,,,13-11,,E. Bledsoe misses 3-pt shot from 26 ft
7:19.0,Defensive rebound by A. Ajinca,,13-11,,
7:10.0,J. Holiday misses 3-pt shot from 24 ft,,13-11,,
7:08.0,,,13-11,,Defensive rebound by T. Chandler
6:48.0,,,13-13,2,D. Booker makes 2-pt shot from 22 ft
6:29.0,S. Hill misses 2-pt shot at rim,,13-13,,
6:25.0,,,13-13,,Defensive rebound by P. Tucker
6:23.0,,,13-16,3,D. Booker makes 3-pt shot from 26 ft (assist by P. Tucker)
6:10.0,Shooting foul by M. Chriss (drawn by A. Ajinca),,13-16,,
6:10.0,A. Ajinca makes free throw 1 of 2,1,14-16,,
