time,Dallas,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:44.0,,,0-0,,R. Jackson misses 2-pt shot from 6 ft
12:00.0,Jump ball: A. Drummond vs. D. Nowitzki (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. D. Nowitzki (R. Jackson gains possession)
11:43.0,,,0-0,,Offensive rebound by A. Drummond
11:40.0,,,0-0,,A. Drummond misses 2-pt shot at rim
11:38.0,Defensive rebound by D. Nowitzki,,0-0,,
11:26.0,H. Barnes misses 3-pt shot from 26 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by A. Drummond
11:05.0,,,0-0,,A. Drummond misses 2-pt shot from 8 ft
11:04.0,Defensive rebound by D. Nowitzki,,0-0,,
10:57.0,Offensive foul by D. Williams,,0-0,,
10:57.0,Turnover by D. Williams (offensive foul),,0-0,,
10:49.0,,,0-2,2,R. Jackson makes 2-pt shot at rim
10:37.0,D. Williams misses 2-pt shot from 1 ft,,0-2,,
10:37.0,,,0-2,,Defensive rebound by A. Drummond
10:23.0,,,0-4,2,M. Morris makes 2-pt shot from 14 ft
10:10.0,H. Barnes misses 2-pt shot from 1 ft (block by M. Morris),,0-4,,
10:10.0,,,0-4,,Defensive rebound by M. Morris
9:55.0,,,0-4,,J. Leuer misses 2-pt shot from 14 ft
9:55.0,Defensive rebound by D. Nowitzki,,0-4,,
9:46.0,D. Nowitzki misses 2-pt shot from 18 ft,,0-4,,
9:46.0,,,0-4,,Defensive rebound by M. Morris
9:38.0,,,0-6,2,M. Morris makes 2-pt shot from 1 ft (assist by A. Drummond)
9:25.0,,,0-6,,Personal foul by A. Drummond (drawn by H. Barnes)
9:18.0,Turnover by D. Williams (lost ball; steal by R. Jackson),,0-6,,
9:14.0,,,0-8,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
9:14.0,Dallas full timeout,,0-8,,
8:58.0,D. Williams misses 3-pt shot from 27 ft,,0-8,,
8:57.0,,,0-8,,Defensive rebound by K. Caldwell-Pope
8:48.0,,,0-8,,M. Morris misses 3-pt shot from 27 ft
8:48.0,,,0-8,,Offensive rebound by A. Drummond
8:41.0,,,0-8,,A. Drummond misses 2-pt shot from 5 ft (block by D. Nowitzki)
8:40.0,,,0-8,,Offensive rebound by A. Drummond
8:36.0,,,0-10,2,J. Leuer makes 2-pt shot from 8 ft (assist by A. Drummond)
8:16.0,D. Nowitzki makes 2-pt shot from 20 ft (assist by S. Curry),2,2-10,,
7:50.0,,,2-13,3,R. Jackson makes 3-pt shot from 26 ft
7:35.0,W. Matthews misses 3-pt shot from 26 ft,,2-13,,
7:35.0,,,2-13,,Defensive rebound by A. Drummond
7:27.0,,,2-15,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
7:12.0,W. Matthews makes 2-pt shot from 1 ft,2,4-15,,
7:02.0,,,4-15,,K. Caldwell-Pope misses 3-pt shot from 27 ft
7:01.0,Defensive rebound by D. Nowitzki,,4-15,,
7:00.0,,,4-15,,Personal foul by A. Drummond (drawn by D. Nowitzki)
7:00.0,Y. Ferrell enters the game for D. Williams,,4-15,,
7:00.0,,,4-15,,A. Baynes enters the game for A. Drummond
6:49.0,,,4-15,,Personal foul by R. Jackson (drawn by Y. Ferrell)
6:39.0,H. Barnes makes 2-pt shot from 7 ft (assist by Y. Ferrell),2,6-15,,
6:25.0,,,6-17,2,R. Jackson makes 2-pt shot from 14 ft
6:07.0,Y. Ferrell misses 2-pt shot from 15 ft,,6-17,,
6:07.0,,,6-17,,Defensive rebound by J. Leuer
5:57.0,,,6-19,2,K. Caldwell-Pope makes 2-pt shot from 13 ft
5:42.0,S. Curry makes 2-pt shot from 15 ft,2,8-19,,
5:20.0,,,8-19,,A. Baynes misses 2-pt shot from 14 ft
5:19.0,Defensive rebound by H. Barnes,,8-19,,
5:09.0,S. Curry makes 3-pt shot from 23 ft (assist by D. Nowitzki),3,11-19,,
4:45.0,,,11-21,2,J. Leuer makes 2-pt shot from 15 ft (assist by K. Caldwell-Pope)
4:45.0,Dallas full timeout,,11-21,,
4:45.0,A. Bogut enters the game for D. Nowitzki,,11-21,,
4:24.0,S. Curry misses 3-pt shot from 24 ft,,11-21,,
4:24.0,,,11-21,,Defensive rebound by J. Leuer
4:24.0,Loose ball foul by S. Curry (drawn by J. Leuer),,11-21,,
4:24.0,D. Harris enters the game for S. Curry,,11-21,,
4:09.0,,,11-23,2,M. Morris makes 2-pt shot from 17 ft (assist by R. Jackson)
3:54.0,W. Matthews makes 2-pt shot from 15 ft,2,13-23,,
3:42.0,,,13-23,,K. Caldwell-Pope misses 3-pt shot from 25 ft
3:42.0,Defensive rebound by Y. Ferrell,,13-23,,
3:32.0,H. Barnes misses 2-pt shot from 17 ft,,13-23,,
3:31.0,,,13-23,,Defensive rebound by A. Baynes
3:23.0,,,13-23,,Shooting foul by A. Bogut (drawn by J. Leuer)
3:23.0,,,13-24,1,J. Leuer makes free throw 1 of 2
3:23.0,,,13-25,1,J. Leuer makes free throw 2 of 2
3:23.0,,,13-24,,I. Smith enters the game for R. Jackson
3:09.0,A. Bogut makes 2-pt shot from 7 ft (assist by Y. Ferrell),2,15-25,,
2:51.0,,,15-25,,A. Baynes misses 2-pt shot from 7 ft
2:50.0,Defensive rebound by A. Bogut,,15-25,,
2:29.0,W. Matthews makes 2-pt shot at rim,2,17-25,,
2:15.0,,,17-25,,Shooting foul by D. Harris (drawn by J. Leuer)
2:15.0,,,17-25,,Detroit full timeout
2:15.0,,,17-26,1,J. Leuer makes free throw 1 of 2
2:15.0,,,17-27,1,J. Leuer makes free throw 2 of 2
1:56.0,W. Matthews misses 2-pt shot from 5 ft (block by A. Baynes),,17-27,,
1:55.0,,,17-27,,Defensive rebound by M. Morris
