time,Toronto,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Ibaka vs. T. Thompson (P. Patterson gains possession),,,,Jump ball: S. Ibaka vs. T. Thompson (P. Patterson gains possession)
11:32.0,P. Patterson misses 2-pt shot from 2 ft (block by L. James),,0-0,,
11:30.0,,,0-0,,Defensive rebound by L. James
11:17.0,,,0-0,,K. Irving misses 2-pt shot from 2 ft
11:14.0,,,0-0,,Offensive rebound by T. Thompson
11:14.0,,,0-2,2,T. Thompson makes 2-pt shot from 1 ft
11:05.0,K. Lowry makes 2-pt shot from 1 ft,2,2-2,,
10:46.0,,,2-4,2,K. Love makes 2-pt shot from 21 ft
10:26.0,Turnover by S. Ibaka (bad pass; steal by K. Love),,2-4,,
10:25.0,,,2-4,,Turnover by K. Love (bad pass)
10:01.0,K. Lowry makes 2-pt shot from 11 ft,2,4-4,,
9:47.0,,,4-4,,K. Irving misses 2-pt shot from 1 ft
9:47.0,,,4-4,,Offensive rebound by Team
9:38.0,,,4-4,,L. James misses 2-pt shot from 13 ft
9:37.0,Defensive rebound by P. Patterson,,4-4,,
9:27.0,N. Powell makes 2-pt shot from 1 ft (assist by P. Patterson),2,6-4,,
9:07.0,,,6-7,3,J. Smith makes 3-pt shot from 27 ft (assist by T. Thompson)
8:51.0,P. Patterson makes 3-pt shot from 23 ft (assist by D. DeRozan),3,9-7,,
8:34.0,,,9-10,3,K. Love makes 3-pt shot from 26 ft (assist by K. Irving)
8:20.0,D. DeRozan misses 2-pt shot from 17 ft,,9-10,,
8:18.0,,,9-10,,Defensive rebound by K. Love
8:06.0,,,9-12,2,K. Irving makes 2-pt shot from 12 ft
7:38.0,S. Ibaka misses 3-pt shot from 25 ft,,9-12,,
7:38.0,,,9-12,,Defensive rebound by K. Love
7:35.0,,,9-12,,Turnover by K. Love (bad pass)
7:23.0,S. Ibaka misses 2-pt shot from 15 ft,,9-12,,
7:22.0,,,9-12,,Defensive rebound by J. Smith
7:17.0,,,9-12,,K. Irving misses 2-pt shot from 1 ft (block by S. Ibaka)
7:17.0,Defensive rebound by Team,,9-12,,
6:59.0,S. Ibaka misses 3-pt shot from 25 ft,,9-12,,
6:59.0,,,9-12,,Defensive rebound by T. Thompson
6:55.0,,,9-12,,Shooting foul by N. Powell (drawn by K. Irving)
6:55.0,,,9-13,1,K. Irving makes free throw 1 of 2
6:55.0,,,9-14,1,K. Irving makes free throw 2 of 2
6:42.0,Turnover by P. Patterson (bad pass),,9-14,,
6:30.0,,,9-16,2,K. Love makes 2-pt shot from 18 ft (assist by L. James)
6:10.0,S. Ibaka misses 2-pt shot from 11 ft,,9-16,,
6:10.0,,,9-16,,Defensive rebound by T. Thompson
5:54.0,,,9-19,3,J. Smith makes 3-pt shot from 25 ft (assist by K. Irving)
5:54.0,Toronto full timeout,,9-19,,
5:54.0,J. Valanciunas enters the game for S. Ibaka,,9-19,,
5:45.0,D. DeRozan misses 2-pt shot from 16 ft,,9-19,,
5:44.0,,,9-19,,Defensive rebound by K. Love
5:35.0,Personal foul by K. Lowry (drawn by T. Thompson),,9-19,,
5:30.0,,,9-19,,Turnover by K. Love (bad pass; steal by N. Powell)
5:24.0,P. Patterson misses 3-pt shot from 24 ft,,9-19,,
5:22.0,Offensive rebound by Team,,9-19,,
5:15.0,K. Lowry makes 3-pt shot from 26 ft (assist by P. Patterson),3,12-19,,
4:55.0,,,12-19,,Turnover by L. James (step out of bounds)
4:40.0,J. Valanciunas makes 2-pt shot from 6 ft (assist by N. Powell),2,14-19,,
4:20.0,,,14-21,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
4:15.0,Turnover by K. Lowry (bad pass; steal by L. James),,14-21,,
4:11.0,,,14-21,,Shooting foul by D. DeRozan (drawn by L. James)
4:11.0,,,14-22,1,L. James makes free throw 1 of 2
4:11.0,,,14-23,1,L. James makes free throw 2 of 2
4:11.0,,,14-22,,I. Shumpert enters the game for K. Love
4:05.0,,,14-23,,Personal foul by J. Smith
4:05.0,P. Tucker enters the game for P. Patterson,,14-23,,
4:05.0,,,14-23,,C. Frye enters the game for T. Thompson
3:54.0,J. Valanciunas makes 2-pt shot at rim (assist by P. Tucker),2,16-23,,
3:27.0,,,16-26,3,C. Frye makes 3-pt shot from 24 ft (assist by K. Irving)
3:12.0,J. Valanciunas makes 2-pt shot from 13 ft (assist by K. Lowry),2,18-26,,
3:01.0,,,18-26,,K. Irving misses 2-pt shot from 10 ft
3:00.0,,,18-26,,Offensive rebound by L. James
3:00.0,,,18-28,2,L. James makes 2-pt shot at rim
2:41.0,K. Lowry misses 2-pt shot from 2 ft,,18-28,,
2:39.0,,,18-28,,Defensive rebound by I. Shumpert
2:34.0,,,18-28,,Turnover by L. James (bad pass)
2:34.0,,,18-28,,Cleveland full timeout
2:34.0,,,18-28,,K. Korver enters the game for L. James
2:34.0,C. Joseph enters the game for N. Powell,,18-28,,
2:34.0,D. Carroll enters the game for K. Lowry,,18-28,,
2:22.0,,,18-28,,Personal foul by C. Frye (drawn by J. Valanciunas)
2:13.0,J. Valanciunas misses 2-pt shot from 12 ft,,18-28,,
2:12.0,Offensive rebound by P. Tucker,,18-28,,
2:10.0,P. Tucker misses 2-pt shot from 6 ft,,18-28,,
2:09.0,,,18-28,,Defensive rebound by C. Frye
1:53.0,,,18-31,3,C. Frye makes 3-pt shot from 25 ft (assist by K. Irving)
1:44.0,C. Joseph misses 2-pt shot from 11 ft,,18-31,,
1:42.0,,,18-31,,Defensive rebound by K. Korver
1:38.0,,,18-31,,Turnover by K. Irving (bad pass; steal by D. Carroll)
1:25.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by P. Tucker),2,20-31,,
1:10.0,,,20-31,,Shooting foul by C. Joseph (drawn by C. Frye)
1:10.0,,,20-31,,C. Frye misses free throw 1 of 2
1:10.0,,,20-31,,Offensive rebound by Team
1:10.0,,,20-32,1,C. Frye makes free throw 2 of 2
