time,Toronto,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Valanciunas (J. Wall gains possession),,,,Jump ball: M. Gortat vs. J. Valanciunas (J. Wall gains possession)
11:47.0,,,0-0,,M. Gortat misses 2-pt shot from 1 ft (block by J. Valanciunas)
11:46.0,,,0-0,,Offensive rebound by Team
11:43.0,,,0-3,3,J. Wall makes 3-pt shot from 26 ft (assist by M. Gortat)
11:23.0,J. Valanciunas misses 2-pt shot from 15 ft,,0-3,,
11:22.0,,,0-3,,Defensive rebound by J. Wall
11:08.0,,,0-3,,B. Beal misses 3-pt shot from 24 ft
11:07.0,Defensive rebound by D. DeRozan,,0-3,,
11:00.0,S. Ibaka misses 2-pt shot from 10 ft,,0-3,,
11:00.0,Offensive rebound by S. Ibaka,,0-3,,
10:58.0,S. Ibaka makes 2-pt shot from 1 ft,2,2-3,,
10:40.0,,,2-3,,J. Wall misses 3-pt shot from 28 ft
10:39.0,Defensive rebound by S. Ibaka,,2-3,,
10:21.0,J. Valanciunas makes 2-pt shot from 3 ft,2,4-3,,
10:09.0,,,4-3,,M. Morris misses 3-pt shot from 26 ft
10:08.0,Defensive rebound by D. DeRozan,,4-3,,
9:58.0,D. Carroll makes 2-pt shot from 1 ft (assist by D. DeRozan),2,6-3,,
9:34.0,,,6-5,2,O. Porter makes 2-pt shot from 19 ft
9:17.0,S. Ibaka misses 2-pt shot from 22 ft,,6-5,,
9:17.0,,,6-5,,Defensive rebound by O. Porter
9:09.0,Def 3 sec tech foul by J. Valanciunas,,6-5,,
9:09.0,,,6-6,1,B. Beal makes technical free throw
9:02.0,,,6-8,2,J. Wall makes 2-pt shot from 22 ft (assist by B. Beal)
8:53.0,C. Joseph makes 2-pt shot from 1 ft,2,8-8,,
8:53.0,Shooting foul by J. Wall (drawn by C. Joseph),,8-8,,
8:53.0,C. Joseph makes free throw 1 of 1,1,9-8,,
8:40.0,Personal foul by D. DeRozan (drawn by O. Porter),,9-8,,
8:27.0,,,9-11,3,J. Wall makes 3-pt shot from 26 ft (assist by B. Beal)
8:05.0,S. Ibaka misses 3-pt shot from 27 ft,,9-11,,
8:04.0,,,9-11,,Defensive rebound by B. Beal
7:57.0,,,9-11,,B. Beal misses 2-pt shot from 20 ft
7:56.0,,,9-11,,Offensive rebound by B. Beal
7:49.0,,,9-11,,Shooting foul by C. Joseph (drawn by J. Wall)
7:49.0,,,9-12,1,J. Wall makes free throw 1 of 2
7:49.0,,,9-12,,J. Wall misses free throw 2 of 2
7:48.0,Defensive rebound by J. Valanciunas,,9-12,,
7:39.0,D. DeRozan makes 2-pt shot from 20 ft,2,11-12,,
7:20.0,,,11-12,,Turnover by O. Porter (bad pass; steal by D. Carroll)
7:16.0,D. Carroll makes 2-pt shot from 1 ft,2,13-12,,
7:03.0,,,13-12,,M. Gortat misses 2-pt shot from 8 ft
7:02.0,,,13-12,,Offensive rebound by B. Beal
