time,New York,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. K. O'Quinn (D. Rose gains possession),,,,Jump ball: A. Johnson vs. K. O'Quinn (D. Rose gains possession)
11:42.0,D. Rose misses 2-pt shot from 7 ft,,0-0,,
11:41.0,Offensive rebound by D. Rose,,0-0,,
11:38.0,D. Rose misses 2-pt shot from 7 ft,,0-0,,
11:37.0,Offensive rebound by M. Kuzminskas,,0-0,,
11:37.0,M. Kuzminskas makes 2-pt shot from 1 ft,2,2-0,,
11:18.0,,,2-2,2,A. Johnson makes 2-pt shot from 2 ft (assist by M. Smart)
10:58.0,M. Kuzminskas misses 2-pt shot at rim,,2-2,,
10:56.0,,,2-2,,Defensive rebound by A. Johnson
10:41.0,,,2-2,,A. Horford misses 3-pt shot from 25 ft
10:40.0,Defensive rebound by R. Baker,,2-2,,
10:27.0,K. O'Quinn makes 2-pt shot from 19 ft (assist by D. Rose),2,4-2,,
10:15.0,Personal foul by R. Baker (drawn by J. Crowder),,4-2,,
10:01.0,,,4-2,,M. Smart misses 2-pt shot from 14 ft
10:00.0,Defensive rebound by C. Anthony,,4-2,,
9:54.0,Turnover by R. Baker (bad pass; steal by A. Johnson),,4-2,,
9:49.0,,,4-5,3,I. Thomas makes 3-pt shot from 27 ft
9:27.0,M. Kuzminskas makes 3-pt shot from 23 ft (assist by K. O'Quinn),3,7-5,,
9:04.0,,,7-5,,A. Horford misses 2-pt shot from 2 ft
9:03.0,Defensive rebound by D. Rose,,7-5,,
8:58.0,M. Kuzminskas makes 2-pt shot at rim (assist by D. Rose),2,9-5,,
8:58.0,,,9-5,,Boston full timeout
8:44.0,,,9-8,3,J. Crowder makes 3-pt shot from 23 ft (assist by M. Smart)
8:19.0,D. Rose misses 2-pt shot from 1 ft (block by M. Smart),,9-8,,
8:18.0,Offensive rebound by K. O'Quinn,,9-8,,
8:17.0,K. O'Quinn misses 2-pt shot from 2 ft,,9-8,,
8:16.0,Offensive rebound by D. Rose,,9-8,,
8:13.0,Turnover by Team (shot clock),,9-8,,
8:00.0,,,9-8,,A. Horford misses 3-pt shot from 25 ft
7:59.0,,,9-8,,Offensive rebound by A. Horford
7:55.0,,,9-10,2,J. Crowder makes 2-pt shot from 1 ft (assist by A. Horford)
7:39.0,C. Anthony misses 3-pt shot from 27 ft,,9-10,,
7:38.0,,,9-10,,Defensive rebound by A. Horford
7:25.0,,,9-12,2,A. Johnson makes 2-pt shot from 1 ft (assist by A. Horford)
7:11.0,D. Rose makes 2-pt shot from 1 ft,2,11-12,,
6:57.0,,,11-14,2,M. Smart makes 2-pt shot from 2 ft (assist by A. Horford)
6:39.0,K. O'Quinn misses 2-pt shot from 20 ft,,11-14,,
6:38.0,,,11-14,,Defensive rebound by A. Horford
6:31.0,,,11-17,3,A. Horford makes 3-pt shot from 26 ft (assist by I. Thomas)
6:11.0,C. Anthony makes 2-pt shot from 12 ft,2,13-17,,
6:05.0,Personal block foul by R. Baker (drawn by I. Thomas),,13-17,,
6:05.0,M. Plumlee enters the game for K. O'Quinn,,13-17,,
6:05.0,C. Lee enters the game for R. Baker,,13-17,,
5:56.0,,,13-17,,A. Horford misses 2-pt shot from 14 ft
5:55.0,Defensive rebound by M. Plumlee,,13-17,,
5:44.0,,,13-17,,J. Brown enters the game for A. Johnson
5:44.0,Jump ball: C. Anthony vs. J. Crowder,,,,Jump ball: C. Anthony vs. J. Crowder
5:44.0,,,13-17,,Violation by Team (jump ball)
5:35.0,C. Anthony misses 2-pt shot from 18 ft,,13-17,,
5:33.0,,,13-17,,Defensive rebound by J. Crowder
5:20.0,,,13-20,3,I. Thomas makes 3-pt shot from 25 ft (assist by J. Crowder)
5:03.0,C. Lee misses 3-pt shot from 26 ft,,13-20,,
5:02.0,,,13-20,,Defensive rebound by J. Crowder
4:52.0,,,13-20,,J. Crowder misses 2-pt shot from 3 ft
4:50.0,Defensive rebound by Team,,13-20,,
4:37.0,D. Rose makes 2-pt shot from 18 ft (assist by C. Lee),2,15-20,,
4:15.0,,,15-20,,Shooting foul by C. Anthony (drawn by J. Brown)
4:15.0,,,15-21,1,J. Brown makes free throw 1 of 2
4:15.0,,,15-22,1,J. Brown makes free throw 2 of 2
4:01.0,Turnover by D. Rose (bad pass; steal by M. Smart),,15-22,,
3:56.0,,,15-24,2,J. Crowder makes 2-pt shot from 2 ft (assist by M. Smart)
3:47.0,D. Rose makes 2-pt shot at rim,2,17-24,,
3:21.0,,,17-24,,J. Crowder misses 3-pt shot from 23 ft
3:20.0,Defensive rebound by M. Plumlee,,17-24,,
3:13.0,Offensive foul by M. Plumlee,,17-24,,
3:13.0,Turnover by M. Plumlee (offensive foul),,17-24,,
3:13.0,,,17-24,,K. Olynyk enters the game for A. Horford
3:13.0,,,17-24,,T. Rozier enters the game for M. Smart
2:58.0,,,17-26,2,K. Olynyk makes 2-pt shot from 2 ft (assist by I. Thomas)
2:49.0,Shooting foul by K. Olynyk (drawn by M. Kuzminskas),,17-26,,
2:49.0,New York full timeout,,17-26,,
2:49.0,M. Kuzminskas makes free throw 1 of 2,1,18-26,,
2:49.0,M. Kuzminskas makes free throw 2 of 2,1,19-26,,
2:33.0,,,19-26,,Shooting foul by M. Plumlee (drawn by J. Crowder)
2:33.0,,,19-27,1,J. Crowder makes free throw 1 of 2
2:33.0,,,19-28,1,J. Crowder makes free throw 2 of 2
2:33.0,J. Holiday enters the game for M. Kuzminskas,,19-27,,
2:33.0,,,19-27,,J. Jerebko enters the game for I. Thomas
2:12.0,Turnover by J. Holiday (bad pass; steal by J. Jerebko),,19-28,,
2:06.0,,,19-28,,J. Brown misses 2-pt shot from 3 ft (block by M. Plumlee)
2:05.0,Defensive rebound by C. Lee,,19-28,,
1:59.0,D. Rose makes 2-pt shot from 1 ft (assist by C. Lee),2,21-28,,
1:39.0,,,21-30,2,K. Olynyk makes 2-pt shot from 1 ft (assist by T. Rozier)
1:28.0,M. Plumlee makes 2-pt shot from 3 ft (assist by D. Rose),2,23-30,,
1:28.0,Shooting foul by J. Crowder (drawn by M. Plumlee),,23-30,,
1:28.0,M. Plumlee misses free throw 1 of 1,,23-30,,
1:28.0,B. Jennings enters the game for C. Anthony,,23-30,,
1:28.0,W. Hernangomez enters the game for D. Rose,,23-30,,
1:27.0,,,23-30,,Defensive rebound by Team
1:14.0,,,23-30,,K. Olynyk misses 2-pt shot from 6 ft (block by M. Plumlee)
1:13.0,Defensive rebound by C. Lee,,23-30,,
1:00.0,J. Holiday makes 3-pt shot from 26 ft (assist by C. Lee),3,26-30,,
0:52.0,,,26-32,2,J. Crowder makes 2-pt shot from 1 ft (assist by K. Olynyk)
0:35.0,J. Holiday makes 2-pt shot from 18 ft (assist by B. Jennings),2,28-32,,
0:25.0,,,28-34,2,J. Brown makes 2-pt shot from 1 ft (assist by K. Olynyk)
0:03.0,B. Jennings makes 3-pt shot from 25 ft (assist by C. Lee),3,31-34,,
0:00.0,,,31-34,,J. Crowder misses 3-pt shot from 49 ft
0:00.0,,,31-34,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
