time,Washington,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. K. Koufos (J. Wall gains possession),,,,Jump ball: M. Gortat vs. K. Koufos (J. Wall gains possession)
11:42.0,M. Gortat makes 2-pt shot from 3 ft (assist by J. Wall),2,2-0,,
11:18.0,,,2-0,,W. Cauley-Stein misses 2-pt shot from 8 ft
11:17.0,Defensive rebound by M. Gortat,,2-0,,
11:11.0,O. Porter misses 3-pt shot from 23 ft,,2-0,,
11:10.0,,,2-0,,Defensive rebound by W. Cauley-Stein
10:55.0,,,2-3,3,A. Afflalo makes 3-pt shot from 24 ft (assist by D. Collison)
10:41.0,M. Gortat misses 2-pt shot from 9 ft,,2-3,,
10:40.0,,,2-3,,Defensive rebound by W. Cauley-Stein
10:30.0,,,2-5,2,D. Collison makes 2-pt shot from 8 ft
10:21.0,B. Beal makes 2-pt shot at rim,2,4-5,,
10:04.0,,,4-5,,Turnover by B. Hield (lost ball; steal by O. Porter)
9:58.0,O. Porter makes 2-pt shot from 4 ft (assist by M. Morris),2,6-5,,
9:39.0,,,6-5,,K. Koufos misses 2-pt shot from 12 ft
9:38.0,,,6-5,,Offensive rebound by K. Koufos
9:36.0,,,6-5,,B. Hield misses 3-pt shot from 24 ft
9:35.0,Defensive rebound by O. Porter,,6-5,,
9:30.0,O. Porter makes 2-pt shot from 9 ft,2,8-5,,
9:12.0,,,8-8,3,B. Hield makes 3-pt shot from 25 ft
9:08.0,,,8-8,,Personal foul by B. Hield (drawn by B. Beal)
9:08.0,B. Beal makes free throw 1 of 2,1,9-8,,
9:08.0,B. Beal makes free throw 2 of 2,1,10-8,,
8:57.0,,,10-8,,Sacramento full timeout
8:48.0,,,10-10,2,B. Hield makes 2-pt shot from 12 ft (assist by D. Collison)
8:29.0,M. Morris misses 2-pt shot from 2 ft,,10-10,,
8:28.0,,,10-10,,Defensive rebound by W. Cauley-Stein
8:16.0,,,10-10,,K. Koufos misses 2-pt shot from 13 ft
8:15.0,Defensive rebound by M. Gortat,,10-10,,
8:08.0,J. Wall misses 2-pt shot from 16 ft,,10-10,,
8:07.0,,,10-10,,Defensive rebound by K. Koufos
7:50.0,,,10-10,,W. Cauley-Stein misses 2-pt shot from 9 ft
7:50.0,Defensive rebound by M. Gortat,,10-10,,
7:39.0,M. Morris misses 2-pt shot from 17 ft,,10-10,,
7:38.0,,,10-10,,Defensive rebound by B. Hield
7:27.0,,,10-13,3,B. Hield makes 3-pt shot from 26 ft (assist by A. Afflalo)
7:12.0,O. Porter makes 2-pt shot from 17 ft (assist by J. Wall),2,12-13,,
6:56.0,Def 3 sec tech foul by M. Gortat,,12-13,,
6:56.0,,,12-13,,A. Afflalo misses technical free throw
6:56.0,,,12-13,,Offensive rebound by Team
6:41.0,,,12-13,,B. Hield misses 3-pt shot from 25 ft
6:41.0,Defensive rebound by M. Morris,,12-13,,
6:33.0,B. Beal misses 3-pt shot from 23 ft,,12-13,,
6:33.0,,,12-13,,Defensive rebound by B. Hield
6:22.0,,,12-15,2,K. Koufos makes 2-pt shot at rim (assist by D. Collison)
5:58.0,B. Beal misses 2-pt shot from 8 ft,,12-15,,
5:57.0,,,12-15,,Defensive rebound by W. Cauley-Stein
5:41.0,,,12-17,2,W. Cauley-Stein makes 2-pt shot from 4 ft (assist by K. Koufos)
5:36.0,Washington full timeout,,12-17,,
5:36.0,J. Smith enters the game for M. Morris,,12-17,,
5:27.0,J. Wall makes 2-pt shot from 3 ft,2,14-17,,
5:10.0,,,14-17,,W. Cauley-Stein misses 2-pt shot from 4 ft
5:09.0,Defensive rebound by B. Beal,,14-17,,
5:04.0,J. Smith makes 2-pt shot at rim (assist by J. Wall),2,16-17,,
4:45.0,,,16-19,2,B. Hield makes 2-pt shot from 3 ft (assist by W. Cauley-Stein)
4:30.0,Turnover by J. Wall (bad pass; steal by K. Koufos),,16-19,,
4:22.0,,,16-21,2,D. Collison makes 2-pt shot from 15 ft
4:03.0,B. Beal misses 3-pt shot from 25 ft,,16-21,,
4:03.0,,,16-21,,Defensive rebound by K. Koufos
3:52.0,,,16-23,2,K. Koufos makes 2-pt shot at rim (assist by W. Cauley-Stein)
