time,Dallas,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. S. Ibaka (C. Parsons gains possession),,,,Jump ball: T. Chandler vs. S. Ibaka (C. Parsons gains possession)
11:46.0,D. Nowitzki misses 3-pt shot from 24 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by S. Ibaka
11:30.0,,,0-3,3,R. Westbrook makes 3-pt shot from 24 ft (assist by K. Durant)
11:15.0,C. Parsons misses 2-pt shot from 20 ft,,0-3,,
11:14.0,,,0-3,,Defensive rebound by A. Roberson
10:58.0,,,0-3,,S. Ibaka misses 2-pt shot from 16 ft
10:57.0,Defensive rebound by D. Nowitzki,,0-3,,
10:43.0,R. Rondo misses 2-pt shot from 19 ft,,0-3,,
10:42.0,,,0-3,,Defensive rebound by S. Ibaka
10:30.0,,,0-3,,A. Roberson misses 2-pt shot from 5 ft
10:29.0,Defensive rebound by C. Parsons,,0-3,,
10:23.0,C. Parsons makes 3-pt shot from 23 ft,3,3-3,,
10:02.0,,,3-5,2,S. Ibaka makes 2-pt shot from 1 ft (assist by K. Durant)
9:52.0,R. Rondo misses 2-pt shot from 1 ft,,3-5,,
9:51.0,,,3-5,,Defensive rebound by K. Durant
9:43.0,,,3-5,,Turnover by K. Durant (lost ball; steal by M. Ellis)
9:41.0,Offensive foul by C. Parsons,,3-5,,
9:41.0,Turnover by C. Parsons (offensive foul),,3-5,,
9:31.0,,,3-8,3,K. Durant makes 3-pt shot from 25 ft (assist by A. Roberson)
9:20.0,D. Nowitzki misses 3-pt shot from 23 ft,,3-8,,
9:19.0,Offensive rebound by T. Chandler,,3-8,,
9:19.0,T. Chandler misses 2-pt shot from 2 ft,,3-8,,
9:17.0,,,3-8,,Defensive rebound by K. Durant
9:08.0,,,3-8,,Shooting foul by R. Rondo (drawn by S. Ibaka)
9:08.0,,,3-9,1,S. Ibaka makes free throw 1 of 2
9:08.0,,,3-10,1,S. Ibaka makes free throw 2 of 2
8:57.0,,,3-10,,Personal foul by A. Roberson (drawn by M. Ellis)
8:43.0,R. Rondo misses 2-pt shot from 16 ft,,3-10,,
8:42.0,,,3-10,,Defensive rebound by R. Westbrook
8:37.0,,,3-10,,R. Westbrook misses 2-pt shot at rim
8:36.0,Defensive rebound by C. Parsons,,3-10,,
8:30.0,M. Ellis makes 3-pt shot from 22 ft (assist by R. Rondo),3,6-10,,
8:13.0,,,6-10,,R. Westbrook misses 2-pt shot from 15 ft
8:12.0,Defensive rebound by C. Parsons,,6-10,,
7:55.0,M. Ellis misses 2-pt shot at rim,,6-10,,
7:54.0,,,6-10,,Defensive rebound by S. Ibaka
7:39.0,,,6-12,2,K. Durant makes 2-pt shot from 16 ft
7:10.0,C. Parsons misses 3-pt shot from 24 ft,,6-12,,
7:10.0,Offensive rebound by Team,,6-12,,
7:10.0,,,6-12,,Loose ball foul by K. Durant (drawn by T. Chandler)
7:02.0,M. Ellis misses 2-pt shot from 17 ft,,6-12,,
7:02.0,,,6-12,,Defensive rebound by Team
7:02.0,Loose ball foul by D. Nowitzki (drawn by N. Collison),,6-12,,
7:02.0,A. Aminu enters the game for D. Nowitzki,,6-12,,
6:46.0,,,6-12,,A. Roberson misses 3-pt shot from 24 ft
6:46.0,Defensive rebound by Team,,6-12,,
6:38.0,Turnover by M. Ellis (bad pass; steal by N. Collison),,6-12,,
6:35.0,,,6-12,,Offensive charge foul by R. Westbrook
6:35.0,,,6-12,,Turnover by R. Westbrook (offensive foul)
6:18.0,A. Aminu misses 3-pt shot from 22 ft,,6-12,,
6:17.0,,,6-12,,Defensive rebound by A. Roberson
6:09.0,,,6-12,,Shooting foul by A. Aminu (drawn by A. Roberson)
6:09.0,,,6-12,,A. Roberson misses free throw 1 of 2
6:09.0,,,6-12,,Offensive rebound by Team
6:09.0,D. Harris enters the game for R. Rondo,,6-12,,
6:09.0,,,6-12,,A. Roberson misses free throw 2 of 2
6:07.0,,,6-12,,Offensive rebound by A. Roberson
5:58.0,,,6-12,,R. Westbrook misses 2-pt shot from 23 ft
5:56.0,,,6-12,,Offensive rebound by A. Roberson
5:56.0,,,6-12,,A. Roberson misses 2-pt shot from 1 ft
5:55.0,,,6-12,,Offensive rebound by A. Roberson
5:55.0,,,6-12,,A. Roberson misses 2-pt shot from 1 ft
5:53.0,Defensive rebound by A. Aminu,,6-12,,
5:47.0,C. Parsons misses 3-pt shot from 24 ft,,6-12,,
