time,Cleveland,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hill vs. T. Mozgov (K. Irving gains possession),,,,Jump ball: J. Hill vs. T. Mozgov (K. Irving gains possession)
11:45.0,T. Mozgov misses 2-pt shot from 2 ft (block by J. Hill),,0-0,,
11:41.0,Offensive rebound by K. Irving,,0-0,,
11:41.0,K. Irving makes 2-pt shot at rim,2,2-0,,
11:27.0,,,2-0,,K. Bryant misses 3-pt shot from 25 ft
11:25.0,Defensive rebound by K. Love,,2-0,,
11:11.0,Turnover by K. Irving (bad pass; steal by J. Hill),,2-0,,
11:03.0,,,2-0,,R. Price misses 3-pt shot from 23 ft
11:01.0,Defensive rebound by K. Love,,2-0,,
10:43.0,L. James misses 3-pt shot from 28 ft,,2-0,,
10:41.0,Offensive rebound by K. Love,,2-0,,
10:36.0,K. Love makes 2-pt shot from 14 ft (assist by J. Smith),2,4-0,,
10:12.0,,,4-0,,J. Hill misses 2-pt shot from 9 ft
10:11.0,Defensive rebound by T. Mozgov,,4-0,,
10:04.0,K. Love misses 3-pt shot from 24 ft,,4-0,,
10:01.0,,,4-0,,Defensive rebound by K. Bryant
9:56.0,,,4-0,,W. Johnson misses 3-pt shot from 23 ft
9:54.0,Defensive rebound by K. Love,,4-0,,
9:49.0,T. Mozgov makes 2-pt shot at rim (assist by L. James),2,6-0,,
9:30.0,,,6-2,2,K. Bryant makes 2-pt shot from 20 ft (assist by W. Johnson)
9:08.0,J. Smith makes 3-pt shot from 26 ft,3,9-2,,
8:56.0,,,9-4,2,J. Hill makes 2-pt shot from 1 ft (assist by K. Bryant)
8:44.0,J. Smith makes 3-pt shot from 25 ft (assist by K. Irving),3,12-4,,
8:26.0,,,12-4,,Turnover by E. Davis (lost ball; steal by L. James)
8:20.0,K. Irving makes 2-pt shot from 1 ft (assist by K. Love),2,14-4,,
8:03.0,,,14-6,2,J. Hill makes 2-pt shot from 16 ft (assist by W. Johnson)
7:49.0,Shooting foul by J. Hill (drawn by K. Love),,14-6,,
7:49.0,K. Love makes 2-pt shot from 7 ft,2,16-6,,
7:49.0,K. Love makes free throw 1 of 1,1,17-6,,
7:28.0,,,17-8,2,J. Hill makes 2-pt shot from 10 ft (assist by K. Bryant)
7:03.0,L. James makes 2-pt shot from 1 ft,2,19-8,,
6:46.0,,,19-10,2,J. Hill makes 2-pt shot from 18 ft (assist by K. Bryant)
6:35.0,Turnover by K. Irving (bad pass; steal by J. Hill),,19-10,,
