time,Milwaukee,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Grant vs. Z. Pachulia (F. Aldemir gains possession),,,,Jump ball: J. Grant vs. Z. Pachulia (F. Aldemir gains possession)
11:45.0,,,0-0,,F. Aldemir misses 2-pt shot from 2 ft (block by M. Carter-Williams)
11:42.0,,,0-0,,Offensive rebound by F. Aldemir
11:40.0,,,0-0,,H. Thompson misses 3-pt shot from 27 ft
11:38.0,Defensive rebound by M. Carter-Williams,,0-0,,
11:25.0,M. Carter-Williams misses 2-pt shot from 12 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by Team
11:04.0,,,0-2,2,R. Covington makes 2-pt shot from 1 ft
10:47.0,Turnover by Z. Pachulia (bad pass; steal by J. Grant),,0-2,,
10:40.0,,,0-2,,H. Thompson misses 3-pt shot from 25 ft
10:38.0,Defensive rebound by G. Antetokounmpo,,0-2,,
10:30.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,2-2,,
10:24.0,,,2-4,2,J. Grant makes 2-pt shot at rim (assist by I. Smith)
10:04.0,,,2-4,,Violation by J. Grant (kicked ball)
9:57.0,K. Middleton misses 2-pt shot from 18 ft,,2-4,,
9:55.0,,,2-4,,Defensive rebound by H. Thompson
9:46.0,,,2-4,,R. Covington misses 3-pt shot from 24 ft
9:43.0,,,2-4,,Offensive rebound by Team
9:30.0,,,2-7,3,H. Thompson makes 3-pt shot from 25 ft (assist by J. Grant)
9:18.0,M. Carter-Williams makes 2-pt shot from 7 ft,2,4-7,,
8:55.0,,,4-9,2,R. Covington makes 2-pt shot from 3 ft (assist by F. Aldemir)
8:35.0,Shooting foul by F. Aldemir (drawn by G. Antetokounmpo),,4-9,,
8:35.0,G. Antetokounmpo misses free throw 1 of 2,,4-9,,
8:35.0,Offensive rebound by Team,,4-9,,
8:35.0,G. Antetokounmpo misses free throw 2 of 2,,4-9,,
8:32.0,,,4-9,,Defensive rebound by J. Grant
8:25.0,,,4-9,,Turnover by R. Covington (traveling)
8:16.0,,,4-9,,Personal foul by H. Thompson (drawn by Z. Pachulia)
8:09.0,M. Carter-Williams makes 2-pt shot from 2 ft,2,6-9,,
7:51.0,,,6-9,,Shooting foul by E. Ilyasova (drawn by J. Grant)
7:51.0,,,6-10,1,J. Grant makes free throw 1 of 2
7:51.0,,,6-10,,J. Grant misses free throw 2 of 2
7:49.0,Defensive rebound by G. Antetokounmpo,,6-10,,
7:29.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by Z. Pachulia),2,8-10,,
7:19.0,,,8-10,,R. Covington misses 3-pt shot from 28 ft
7:18.0,Defensive rebound by K. Middleton,,8-10,,
7:13.0,Z. Pachulia makes 2-pt shot at rim (assist by K. Middleton),2,10-10,,
6:58.0,,,10-12,2,I. Smith makes 2-pt shot from 2 ft (assist by J. Grant)
6:49.0,O. Mayo enters the game for K. Middleton,,10-12,,
6:49.0,,,10-12,,T. Robinson enters the game for J. Grant
6:43.0,M. Carter-Williams makes 2-pt shot from 9 ft,2,12-12,,
6:32.0,,,12-12,,Turnover by H. Thompson (bad pass; steal by Z. Pachulia)
6:23.0,G. Antetokounmpo misses 2-pt shot from 14 ft,,12-12,,
6:21.0,,,12-12,,Defensive rebound by R. Covington
6:05.0,,,12-12,,I. Smith misses 2-pt shot from 3 ft
6:04.0,,,12-12,,Offensive rebound by Team
6:04.0,,,12-12,,G. Robinson enters the game for H. Thompson
6:04.0,Loose ball foul by O. Mayo (drawn by T. Robinson),,12-12,,
5:45.0,,,12-15,3,G. Robinson makes 3-pt shot from 23 ft (assist by I. Smith)
5:34.0,Shooting foul by R. Covington (drawn by Z. Pachulia),,12-15,,
5:34.0,,,12-15,,Philadelphia full timeout
5:34.0,,,12-15,,H. Sims enters the game for F. Aldemir
5:34.0,,,12-15,,J. Sampson enters the game for I. Smith
5:34.0,Z. Pachulia makes free throw 1 of 2,1,13-15,,
5:34.0,Z. Pachulia makes free throw 2 of 2,1,14-15,,
5:19.0,,,14-17,2,G. Robinson makes 2-pt shot from 3 ft (assist by H. Sims)
5:08.0,G. Antetokounmpo misses 2-pt shot from 21 ft,,14-17,,
5:07.0,,,14-17,,Defensive rebound by R. Covington
5:00.0,,,14-17,,Shooting foul by M. Carter-Williams (drawn by R. Covington)
5:00.0,,,14-19,2,R. Covington makes 2-pt shot from 3 ft
5:00.0,J. Henson enters the game for Z. Pachulia,,14-19,,
