time,Houston,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. J. Dorsey (E. Turner gains possession),,,,Jump ball: B. Bass vs. J. Dorsey (E. Turner gains possession)
11:38.0,,,0-2,2,A. Bradley makes 2-pt shot from 21 ft
11:24.0,T. Ariza misses 3-pt shot from 23 ft,,0-2,,
11:23.0,Offensive rebound by Team,,0-2,,
11:19.0,D. Motiejunas makes 2-pt shot at rim (assist by T. Ariza),2,2-2,,
11:05.0,,,2-2,,J. Sullinger misses 2-pt shot from 11 ft
11:04.0,Defensive rebound by D. Motiejunas,,2-2,,
10:53.0,J. Dorsey makes 2-pt shot at rim (assist by D. Motiejunas),2,4-2,,
10:38.0,,,4-2,,J. Sullinger misses 2-pt shot from 21 ft
10:37.0,Defensive rebound by T. Ariza,,4-2,,
10:24.0,D. Motiejunas makes 3-pt shot from 25 ft (assist by J. Harden),3,7-2,,
10:06.0,,,7-2,,Shooting foul by J. Dorsey (drawn by B. Bass)
10:06.0,,,7-2,,B. Bass misses free throw 1 of 2
10:06.0,,,7-2,,Offensive rebound by Team
10:06.0,,,7-2,,B. Bass misses free throw 2 of 2
10:05.0,,,7-2,,Offensive rebound by B. Bass
10:02.0,,,7-4,2,B. Bass makes 2-pt shot at rim
9:43.0,D. Motiejunas makes 2-pt shot from 5 ft,2,9-4,,
9:12.0,,,9-6,2,J. Sullinger makes 2-pt shot from 15 ft
8:54.0,D. Motiejunas makes 2-pt shot from 8 ft (assist by T. Ariza),2,11-6,,
8:40.0,,,11-9,3,J. Crowder makes 3-pt shot from 25 ft (assist by E. Turner)
8:22.0,T. Ariza misses 3-pt shot from 24 ft,,11-9,,
8:21.0,,,11-9,,Defensive rebound by B. Bass
8:10.0,,,11-9,,Turnover by E. Turner (lost ball; steal by J. Harden)
8:04.0,J. Harden misses 2-pt shot from 5 ft (block by J. Sullinger),,11-9,,
8:04.0,Offensive rebound by Team,,11-9,,
8:04.0,Jump ball: J. Harden vs. J. Sullinger (D. Motiejunas gains possession),,,,Jump ball: J. Harden vs. J. Sullinger (D. Motiejunas gains possession)
7:45.0,P. Beverley makes 2-pt shot from 6 ft,2,13-9,,
7:30.0,,,13-9,,B. Bass misses 2-pt shot from 1 ft
7:29.0,Defensive rebound by D. Motiejunas,,13-9,,
7:26.0,J. Harden misses 2-pt shot from 1 ft (block by J. Crowder),,13-9,,
7:25.0,Offensive rebound by Team,,13-9,,
7:21.0,P. Beverley misses 2-pt shot from 18 ft,,13-9,,
7:20.0,,,13-9,,Defensive rebound by J. Sullinger
7:08.0,,,13-9,,B. Bass misses 2-pt shot from 1 ft
7:06.0,Defensive rebound by T. Ariza,,13-9,,
6:57.0,Turnover by T. Ariza (bad pass; steal by E. Turner),,13-9,,
6:45.0,,,13-11,2,E. Turner makes 2-pt shot at rim
6:28.0,J. Dorsey makes 2-pt shot at rim (assist by P. Beverley),2,15-11,,
6:11.0,,,15-11,,E. Turner misses 3-pt shot from 25 ft
6:10.0,Defensive rebound by D. Motiejunas,,15-11,,
6:03.0,Turnover by T. Ariza (bad pass; steal by A. Bradley),,15-11,,
5:59.0,,,15-11,,Offensive charge foul by J. Crowder
5:59.0,,,15-11,,Turnover by J. Crowder (offensive foul)
5:59.0,,,15-11,,Boston full timeout
5:59.0,J. Smith enters the game for D. Motiejunas,,15-11,,
5:59.0,,,15-11,,T. Zeller enters the game for J. Sullinger
5:40.0,J. Harden makes 3-pt shot from 25 ft (assist by P. Beverley),3,18-11,,
5:23.0,,,18-11,,A. Bradley misses 2-pt shot from 19 ft
5:23.0,Defensive rebound by J. Dorsey,,18-11,,
5:16.0,P. Beverley misses 3-pt shot from 24 ft,,18-11,,
5:16.0,,,18-11,,Defensive rebound by Team
4:58.0,,,18-11,,Shooting foul by J. Smith (drawn by B. Bass)
4:58.0,,,18-12,1,B. Bass makes free throw 1 of 2
4:58.0,T. Jones enters the game for J. Dorsey,,18-12,,
4:58.0,,,18-12,,M. Smart enters the game for E. Turner
4:58.0,,,18-12,,B. Bass misses free throw 2 of 2
4:57.0,Defensive rebound by T. Ariza,,18-12,,
4:44.0,T. Ariza misses 3-pt shot from 23 ft,,18-12,,
4:43.0,,,18-12,,Defensive rebound by B. Bass
4:28.0,,,18-14,2,B. Bass makes 2-pt shot at rim (assist by A. Bradley)
4:16.0,J. Smith makes 2-pt shot at rim,2,20-14,,
4:04.0,,,20-16,2,B. Bass makes 2-pt shot from 1 ft (assist by M. Smart)
3:46.0,J. Smith misses 2-pt shot from 19 ft,,20-16,,
3:45.0,,,20-16,,Defensive rebound by J. Crowder
3:37.0,,,20-16,,J. Crowder misses 2-pt shot from 18 ft
3:36.0,Defensive rebound by J. Smith,,20-16,,
3:21.0,T. Jones makes 2-pt shot from 6 ft,2,22-16,,
3:04.0,,,22-16,,T. Zeller misses 2-pt shot from 5 ft
3:03.0,,,22-16,,Offensive rebound by T. Zeller
3:00.0,,,22-16,,T. Zeller misses 2-pt shot from 6 ft (block by T. Jones)
2:59.0,Defensive rebound by T. Jones,,22-16,,
2:52.0,Offensive foul by J. Harden,,22-16,,
2:52.0,Turnover by J. Harden (offensive foul),,22-16,,
2:52.0,Houston full timeout,,22-16,,
2:52.0,J. Terry enters the game for T. Ariza,,22-16,,
2:52.0,C. Brewer enters the game for P. Beverley,,22-16,,
2:52.0,,,22-16,,M. Thornton enters the game for J. Crowder
2:52.0,,,22-16,,T. Prince enters the game for A. Bradley
2:39.0,,,22-16,,B. Bass misses 2-pt shot from 16 ft
2:38.0,Defensive rebound by J. Harden,,22-16,,
2:27.0,J. Harden misses 2-pt shot from 16 ft,,22-16,,
2:26.0,,,22-16,,Defensive rebound by T. Zeller
2:11.0,,,22-16,,T. Zeller misses 2-pt shot from 17 ft
2:10.0,,,22-16,,Offensive rebound by B. Bass
2:06.0,,,22-18,2,B. Bass makes 2-pt shot at rim
1:50.0,C. Brewer makes 2-pt shot from 1 ft,2,24-18,,
1:35.0,,,24-18,,T. Prince misses 2-pt shot from 19 ft
1:33.0,Defensive rebound by J. Smith,,24-18,,
1:25.0,Shooting foul by B. Bass (drawn by T. Jones),,24-18,,
1:25.0,T. Jones misses free throw 1 of 2,,24-18,,
1:25.0,Offensive rebound by Team,,24-18,,
1:25.0,T. Jones makes free throw 2 of 2,1,25-18,,
1:04.0,,,25-18,,T. Zeller misses 2-pt shot from 4 ft (block by J. Smith)
1:03.0,,,25-18,,Offensive rebound by M. Thornton
1:02.0,,,25-18,,M. Thornton misses 2-pt shot from 12 ft (block by T. Jones)
1:01.0,,,25-18,,Offensive rebound by Team
1:01.0,,,25-18,,Turnover by Team (shot clock)
0:53.0,J. Harden makes 3-pt shot from 25 ft (assist by J. Smith),3,28-18,,
0:53.0,Shooting foul by M. Smart (drawn by J. Harden),,28-18,,
0:53.0,J. Harden makes free throw 1 of 1,1,29-18,,
0:32.0,,,29-20,2,M. Thornton makes 2-pt shot at rim
0:32.0,Shooting block foul by T. Jones (drawn by M. Thornton),,29-20,,
0:32.0,,,29-21,1,M. Thornton makes free throw 1 of 1
0:20.0,J. Harden misses 3-pt shot from 25 ft,,29-21,,
0:19.0,,,29-21,,Defensive rebound by T. Zeller
0:00.0,,,29-21,,M. Thornton misses 2-pt shot from 14 ft
0:00.0,,,29-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,D. Motiejunas misses 2-pt shot from 7 ft,,29-21,,
11:42.0,Offensive rebound by T. Ariza,,29-21,,
11:42.0,T. Ariza misses 2-pt shot from 1 ft,,29-21,,
11:40.0,,,29-21,,Defensive rebound by M. Smart
11:30.0,,,29-23,2,T. Prince makes 2-pt shot from 17 ft
11:23.0,D. Motiejunas makes 2-pt shot at rim (assist by J. Terry),2,31-23,,
11:05.0,Personal foul by C. Brewer (drawn by M. Thornton),,31-23,,
11:00.0,,,31-23,,Offensive foul by J. Sullinger
11:00.0,,,31-23,,Turnover by J. Sullinger (offensive foul)
10:47.0,D. Motiejunas makes 2-pt shot at rim (assist by J. Smith),2,33-23,,
10:29.0,,,33-23,,T. Prince misses 2-pt shot from 15 ft
10:29.0,Defensive rebound by D. Motiejunas,,33-23,,
10:23.0,J. Smith misses 2-pt shot from 1 ft (block by G. Wallace),,33-23,,
10:22.0,Offensive rebound by J. Terry,,33-23,,
10:11.0,J. Smith makes 2-pt shot at rim,2,35-23,,
9:55.0,,,35-26,3,T. Prince makes 3-pt shot from 25 ft (assist by J. Sullinger)
9:34.0,T. Ariza makes 2-pt shot at rim (assist by J. Smith),2,37-26,,
9:34.0,,,37-26,,Boston full timeout
9:20.0,,,37-28,2,J. Sullinger makes 2-pt shot from 6 ft
9:09.0,J. Smith makes 2-pt shot at rim,2,39-28,,
8:42.0,,,39-30,2,T. Prince makes 2-pt shot from 19 ft (assist by J. Sullinger)
8:29.0,C. Brewer makes 2-pt shot from 17 ft (assist by J. Terry),2,41-30,,
8:14.0,,,41-30,,Offensive charge foul by J. Sullinger
8:14.0,,,41-30,,Turnover by J. Sullinger (offensive foul)
7:57.0,D. Motiejunas makes 3-pt shot from 25 ft (assist by J. Terry),3,44-30,,
7:46.0,Personal foul by C. Brewer (drawn by M. Thornton),,44-30,,
7:37.0,,,44-33,3,M. Thornton makes 3-pt shot from 24 ft (assist by M. Smart)
7:25.0,T. Ariza makes 2-pt shot at rim (assist by J. Terry),2,46-33,,
7:09.0,,,46-33,,M. Smart misses 3-pt shot from 24 ft
7:08.0,Defensive rebound by J. Smith,,46-33,,
7:00.0,J. Terry misses 3-pt shot from 23 ft,,46-33,,
6:58.0,Offensive rebound by J. Terry,,46-33,,
6:42.0,,,46-33,,E. Turner enters the game for M. Smart
6:42.0,,,46-33,,A. Bradley enters the game for T. Prince
6:40.0,D. Motiejunas misses 3-pt shot from 25 ft,,46-33,,
6:39.0,,,46-33,,Defensive rebound by M. Thornton
6:34.0,Personal foul by D. Motiejunas (drawn by J. Sullinger),,46-33,,
6:34.0,J. Harden enters the game for C. Brewer,,46-33,,
6:28.0,,,46-33,,E. Turner misses 2-pt shot from 16 ft
6:27.0,Defensive rebound by T. Ariza,,46-33,,
6:17.0,J. Smith makes 2-pt shot from 1 ft,2,48-33,,
5:59.0,,,48-33,,A. Bradley misses 3-pt shot from 24 ft
5:58.0,Defensive rebound by J. Harden,,48-33,,
5:46.0,J. Harden misses 2-pt shot from 15 ft,,48-33,,
5:44.0,,,48-33,,Defensive rebound by M. Thornton
5:27.0,,,48-33,,M. Thornton misses 2-pt shot from 12 ft
5:25.0,,,48-33,,Offensive rebound by J. Sullinger
5:13.0,,,48-33,,M. Thornton misses 2-pt shot from 1 ft
5:10.0,Defensive rebound by T. Ariza,,48-33,,
5:06.0,Shooting foul by E. Turner (drawn by J. Harden),,48-33,,
5:06.0,Official timeout,,48-33,,
5:06.0,,,48-33,,B. Bass enters the game for J. Sullinger
5:06.0,,,48-33,,J. Crowder enters the game for M. Thornton
5:06.0,,,48-33,,T. Zeller enters the game for G. Wallace
5:06.0,P. Beverley enters the game for J. Smith,,48-33,,
5:06.0,T. Jones enters the game for J. Terry,,48-33,,
5:06.0,J. Harden makes free throw 1 of 2,1,49-33,,
5:06.0,J. Harden makes free throw 2 of 2,1,50-33,,
4:55.0,,,50-33,,Shooting foul by P. Beverley (drawn by A. Bradley)
4:55.0,,,50-34,1,A. Bradley makes free throw 1 of 2
4:55.0,,,50-35,1,A. Bradley makes free throw 2 of 2
4:44.0,T. Ariza makes 3-pt shot from 23 ft (assist by P. Beverley),3,53-35,,
4:30.0,,,53-35,,A. Bradley misses 2-pt shot from 17 ft
4:29.0,,,53-35,,Offensive rebound by T. Zeller
4:22.0,,,53-35,,A. Bradley misses 2-pt shot at rim
4:19.0,Defensive rebound by P. Beverley,,53-35,,
4:10.0,J. Harden misses 3-pt shot from 23 ft,,53-35,,
4:09.0,,,53-35,,Defensive rebound by T. Zeller
3:59.0,,,53-37,2,E. Turner makes 2-pt shot from 13 ft
3:48.0,T. Jones misses 3-pt shot from 24 ft,,53-37,,
3:46.0,Offensive rebound by D. Motiejunas,,53-37,,
3:36.0,J. Harden misses 2-pt shot from 2 ft,,53-37,,
3:35.0,,,53-37,,Defensive rebound by E. Turner
3:30.0,,,53-37,,E. Turner misses 2-pt shot at rim
3:29.0,,,53-37,,Offensive rebound by E. Turner
3:29.0,,,53-37,,E. Turner misses 2-pt shot from 1 ft
3:29.0,,,53-37,,Offensive rebound by E. Turner
3:28.0,,,53-37,,E. Turner misses 2-pt shot from 1 ft
3:28.0,Defensive rebound by D. Motiejunas,,53-37,,
3:27.0,,,53-37,,Personal foul by E. Turner (drawn by D. Motiejunas)
3:27.0,J. Smith enters the game for D. Motiejunas,,53-37,,
3:27.0,C. Brewer enters the game for T. Ariza,,53-37,,
3:10.0,J. Smith makes 3-pt shot from 23 ft (assist by J. Harden),3,56-37,,
2:43.0,,,56-37,,J. Crowder misses 3-pt shot from 23 ft
2:42.0,,,56-37,,Offensive rebound by T. Zeller
2:41.0,,,56-39,2,T. Zeller makes 2-pt shot from 5 ft
2:22.0,Shooting foul by T. Zeller (drawn by T. Jones),,56-39,,
2:22.0,Houston full timeout,,56-39,,
2:22.0,T. Jones makes free throw 1 of 2,1,57-39,,
2:22.0,T. Jones makes free throw 2 of 2,1,58-39,,
2:03.0,,,58-41,2,J. Crowder makes 2-pt shot from 14 ft
1:35.0,J. Harden makes 2-pt shot from 21 ft,2,60-41,,
1:22.0,,,60-41,,E. Turner misses 2-pt shot from 4 ft (block by T. Jones)
1:21.0,Defensive rebound by P. Beverley,,60-41,,
1:18.0,Turnover by P. Beverley (bad pass; steal by J. Crowder),,60-41,,
1:17.0,Personal block foul by P. Beverley (drawn by J. Crowder),,60-41,,
1:17.0,,,60-41,,J. Crowder misses free throw 1 of 2
1:17.0,,,60-41,,Offensive rebound by Team
1:17.0,,,60-42,1,J. Crowder makes free throw 2 of 2
1:05.0,J. Harden misses 2-pt shot from 1 ft,,60-42,,
1:04.0,Offensive rebound by J. Smith,,60-42,,
0:54.0,J. Harden misses 2-pt shot from 19 ft (block by B. Bass),,60-42,,
0:53.0,,,60-42,,Defensive rebound by J. Crowder
0:41.0,,,60-42,,Offensive foul by J. Crowder
0:41.0,,,60-42,,Turnover by J. Crowder (offensive foul)
0:33.0,,,60-42,,Personal take foul by J. Crowder (drawn by J. Harden)
0:27.0,J. Harden misses 2-pt shot from 19 ft,,60-42,,
0:26.0,,,60-42,,Defensive rebound by B. Bass
0:11.0,,,60-42,,Boston full timeout
0:11.0,T. Ariza enters the game for P. Beverley,,60-42,,
