time,Miami,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. H. Whiteside (C. Frye gains possession),,,,Jump ball: N. Vucevic vs. H. Whiteside (C. Frye gains possession)
11:45.0,,,0-0,,T. Harris misses 2-pt shot from 6 ft
11:44.0,Defensive rebound by H. Whiteside,,0-0,,
11:23.0,H. Whiteside misses 2-pt shot from 7 ft,,0-0,,
11:22.0,Offensive rebound by L. Deng,,0-0,,
11:20.0,L. Deng makes 2-pt shot from 1 ft,2,2-0,,
10:58.0,,,2-0,,V. Oladipo misses 3-pt shot from 23 ft
10:57.0,,,2-0,,Offensive rebound by C. Frye
10:57.0,,,2-0,,Shooting foul by U. Haslem (drawn by C. Frye)
10:57.0,,,2-1,1,C. Frye makes free throw 1 of 2
10:57.0,,,2-2,1,C. Frye makes free throw 2 of 2
10:42.0,H. Whiteside makes 2-pt shot from 6 ft,2,4-2,,
10:28.0,Violation by H. Whiteside (def goaltending),,4-2,,
10:28.0,,,4-4,2,V. Oladipo makes 2-pt shot from 1 ft (assist by E. Payton)
10:12.0,D. Wade misses 2-pt shot from 1 ft,,4-4,,
10:10.0,,,4-4,,Defensive rebound by V. Oladipo
10:02.0,,,4-4,,C. Frye misses 3-pt shot from 25 ft
10:01.0,Defensive rebound by L. Deng,,4-4,,
9:54.0,U. Haslem makes 2-pt shot from 17 ft (assist by G. Dragic),2,6-4,,
9:38.0,,,6-7,3,T. Harris makes 3-pt shot from 25 ft (assist by E. Payton)
9:10.0,G. Dragic misses 3-pt shot from 27 ft,,6-7,,
9:08.0,,,6-7,,Defensive rebound by V. Oladipo
8:58.0,,,6-9,2,T. Harris makes 2-pt shot at rim (assist by V. Oladipo)
8:44.0,G. Dragic makes 2-pt shot from 14 ft,2,8-9,,
8:29.0,,,8-9,,E. Payton misses 2-pt shot from 6 ft
8:27.0,,,8-9,,Offensive rebound by V. Oladipo
8:27.0,,,8-11,2,V. Oladipo makes 2-pt shot at rim
8:07.0,U. Haslem misses 2-pt shot from 17 ft,,8-11,,
8:06.0,,,8-11,,Defensive rebound by N. Vucevic
8:00.0,,,8-11,,Turnover by E. Payton (bad pass)
7:39.0,D. Wade misses 2-pt shot at rim,,8-11,,
7:37.0,,,8-11,,Defensive rebound by V. Oladipo
7:33.0,Personal foul by H. Whiteside (drawn by N. Vucevic),,8-11,,
7:22.0,,,8-11,,N. Vucevic misses 2-pt shot from 12 ft
7:21.0,Defensive rebound by U. Haslem,,8-11,,
7:08.0,G. Dragic misses 2-pt shot from 10 ft,,8-11,,
7:07.0,Offensive rebound by U. Haslem,,8-11,,
7:04.0,G. Dragic misses 2-pt shot at rim,,8-11,,
7:01.0,Offensive rebound by H. Whiteside,,8-11,,
6:55.0,H. Whiteside misses 2-pt shot from 10 ft,,8-11,,
6:53.0,,,8-11,,Defensive rebound by V. Oladipo
6:47.0,,,8-11,,Shooting foul by G. Dragic (drawn by E. Payton)
6:47.0,,,8-11,,E. Payton misses free throw 1 of 2
6:47.0,,,8-11,,Offensive rebound by Team
6:47.0,,,8-11,,E. Payton misses free throw 2 of 2
6:45.0,Defensive rebound by H. Whiteside,,8-11,,
6:27.0,,,8-11,,Personal foul by T. Harris (drawn by L. Deng)
6:18.0,L. Deng misses 2-pt shot from 17 ft,,8-11,,
6:17.0,Offensive rebound by H. Whiteside,,8-11,,
6:16.0,Shooting foul by C. Frye (drawn by H. Whiteside),,8-11,,
6:16.0,H. Whiteside misses free throw 1 of 2,,8-11,,
6:16.0,Offensive rebound by Team,,8-11,,
6:16.0,H. Walker enters the game for U. Haslem,,8-11,,
6:16.0,H. Whiteside makes free throw 2 of 2,1,9-11,,
5:57.0,,,9-11,,N. Vucevic misses 2-pt shot from 9 ft
5:56.0,Defensive rebound by H. Walker,,9-11,,
5:50.0,D. Wade makes 2-pt shot at rim,2,11-11,,
5:45.0,,,11-11,,Orlando full timeout
5:45.0,,,11-11,,D. Dedmon enters the game for C. Frye
5:27.0,,,11-11,,Turnover by N. Vucevic (bad pass; steal by D. Wade)
5:15.0,D. Wade misses 2-pt shot from 16 ft,,11-11,,
5:14.0,,,11-11,,Defensive rebound by E. Payton
4:51.0,,,11-11,,T. Harris misses 3-pt shot from 25 ft
4:51.0,Defensive rebound by Team,,11-11,,
4:40.0,L. Deng misses 2-pt shot from 7 ft,,11-11,,
4:38.0,,,11-11,,Defensive rebound by T. Harris
4:28.0,,,11-13,2,N. Vucevic makes 2-pt shot from 19 ft (assist by E. Payton)
4:09.0,Shooting foul by D. Dedmon (drawn by H. Walker),,11-13,,
4:09.0,H. Walker makes free throw 1 of 2,1,12-13,,
4:09.0,M. Chalmers enters the game for D. Wade,,12-13,,
4:09.0,,,12-13,,E. Fournier enters the game for T. Harris
4:09.0,H. Walker makes free throw 2 of 2,1,13-13,,
3:53.0,,,13-13,,V. Oladipo misses 3-pt shot from 25 ft
3:51.0,Defensive rebound by H. Walker,,13-13,,
3:40.0,H. Walker misses 3-pt shot from 25 ft,,13-13,,
3:39.0,,,13-13,,Defensive rebound by V. Oladipo
3:22.0,,,13-15,2,N. Vucevic makes 2-pt shot from 18 ft (assist by V. Oladipo)
3:00.0,G. Dragic misses 3-pt shot from 26 ft,,13-15,,
2:59.0,,,13-15,,Defensive rebound by Team
2:59.0,Miami full timeout,,13-15,,
2:59.0,J. Ennis enters the game for L. Deng,,13-15,,
2:46.0,,,13-15,,N. Vucevic misses 2-pt shot from 3 ft
2:44.0,,,13-15,,Offensive rebound by D. Dedmon
2:44.0,,,13-15,,D. Dedmon misses 2-pt shot from 1 ft
2:42.0,Defensive rebound by G. Dragic,,13-15,,
2:39.0,Turnover by G. Dragic (lost ball; steal by E. Payton),,13-15,,
2:36.0,,,13-15,,E. Payton misses 2-pt shot from 1 ft
2:34.0,Defensive rebound by H. Whiteside,,13-15,,
2:27.0,,,13-15,,Personal foul by E. Payton (drawn by G. Dragic)
2:14.0,H. Whiteside makes 2-pt shot from 13 ft,2,15-15,,
1:57.0,,,15-15,,Turnover by E. Payton (bad pass)
1:57.0,C. Andersen enters the game for H. Whiteside,,15-15,,
1:57.0,,,15-15,,W. Green enters the game for E. Payton
1:33.0,M. Chalmers misses 3-pt shot from 27 ft,,15-15,,
1:32.0,,,15-15,,Defensive rebound by N. Vucevic
1:19.0,,,15-15,,Turnover by N. Vucevic (bad pass; steal by C. Andersen)
1:18.0,Turnover by C. Andersen (bad pass),,15-15,,
1:18.0,S. Napier enters the game for G. Dragic,,15-15,,
1:18.0,,,15-15,,A. Gordon enters the game for N. Vucevic
1:07.0,,,15-17,2,A. Gordon makes 2-pt shot from 2 ft (assist by E. Fournier)
0:38.0,S. Napier misses 3-pt shot from 26 ft,,15-17,,
0:37.0,,,15-17,,Defensive rebound by D. Dedmon
0:27.0,,,15-17,,Turnover by E. Fournier (bad pass)
0:09.0,M. Chalmers makes 2-pt shot at rim,2,17-17,,
0:01.0,,,17-17,,V. Oladipo misses 2-pt shot from 1 ft
0:00.0,,,17-17,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Turnover by M. Chalmers (bad pass; steal by A. Gordon),,17-17,,
11:25.0,,,17-17,,Shooting foul by H. Walker (drawn by D. Dedmon)
11:25.0,,,17-17,,D. Dedmon misses free throw 1 of 2
11:25.0,,,17-17,,Offensive rebound by Team
11:25.0,,,17-17,,D. Dedmon misses free throw 2 of 2
11:24.0,Defensive rebound by J. Ennis,,17-17,,
11:00.0,C. Andersen misses 2-pt shot from 18 ft,,17-17,,
10:59.0,,,17-17,,Defensive rebound by W. Green
10:51.0,,,17-20,3,E. Fournier makes 3-pt shot from 26 ft
10:41.0,Turnover by C. Andersen (bad pass),,17-20,,
10:35.0,Personal foul by S. Napier (drawn by L. Ridnour),,17-20,,
10:35.0,L. Deng enters the game for J. Ennis,,17-20,,
