time,Miami,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. H. Whiteside,,,,Jump ball: L. Amundson vs. H. Whiteside
11:40.0,,,0-2,2,J. Smith makes 2-pt shot from 5 ft (assist by J. Calderon)
11:22.0,U. Haslem makes 2-pt shot from 16 ft (assist by L. Deng),2,2-2,,
11:10.0,,,2-2,,J. Calderon misses 2-pt shot from 2 ft
11:09.0,Defensive rebound by U. Haslem,,2-2,,
10:57.0,Shooting foul by C. Early (drawn by L. Deng),,2-2,,
10:57.0,L. Deng makes free throw 1 of 2,1,3-2,,
10:57.0,L. Deng misses free throw 2 of 2,,3-2,,
10:56.0,,,3-2,,Defensive rebound by C. Early
10:36.0,,,3-2,,L. Amundson misses 2-pt shot from 5 ft (block by U. Haslem)
10:35.0,,,3-2,,Offensive rebound by Team
10:33.0,,,3-2,,J. Smith misses 2-pt shot from 18 ft
10:32.0,Defensive rebound by M. Chalmers,,3-2,,
10:26.0,D. Wade misses 2-pt shot from 6 ft (block by L. Galloway),,3-2,,
10:25.0,,,3-2,,Defensive rebound by L. Galloway
10:24.0,,,3-2,,Turnover by L. Galloway (bad pass)
10:14.0,D. Wade makes 2-pt shot from 14 ft,2,5-2,,
10:02.0,,,5-2,,C. Early misses 3-pt shot from 24 ft
10:01.0,Defensive rebound by Team,,5-2,,
10:01.0,,,5-2,,Loose ball foul by L. Amundson (drawn by H. Whiteside)
9:43.0,H. Whiteside makes 2-pt shot at rim (assist by L. Deng),2,7-2,,
9:31.0,,,7-4,2,J. Calderon makes 2-pt shot from 20 ft (assist by L. Amundson)
9:20.0,U. Haslem misses 2-pt shot from 16 ft,,7-4,,
9:19.0,Offensive rebound by H. Whiteside,,7-4,,
9:12.0,,,7-4,,Personal foul by C. Early (drawn by L. Deng)
9:12.0,,,7-4,,L. Thomas enters the game for C. Early
9:07.0,Shooting foul by J. Calderon (drawn by L. Deng),,7-4,,
9:07.0,L. Deng makes free throw 1 of 2,1,8-4,,
9:07.0,L. Deng makes free throw 2 of 2,1,9-4,,
8:56.0,,,9-4,,J. Calderon misses 3-pt shot from 25 ft
8:55.0,,,9-4,,Offensive rebound by L. Amundson
8:49.0,,,9-7,3,L. Galloway makes 3-pt shot from 25 ft (assist by L. Thomas)
8:36.0,H. Whiteside misses 2-pt shot from 1 ft,,9-7,,
8:35.0,Offensive rebound by H. Whiteside,,9-7,,
8:34.0,H. Whiteside makes 2-pt shot at rim,2,11-7,,
8:15.0,,,11-7,,L. Amundson misses 2-pt shot from 2 ft
8:14.0,Defensive rebound by D. Wade,,11-7,,
7:56.0,D. Wade misses 2-pt shot from 12 ft,,11-7,,
7:55.0,,,11-7,,Defensive rebound by J. Smith
7:47.0,,,11-9,2,L. Thomas makes 2-pt shot from 4 ft (assist by L. Galloway)
7:39.0,,,11-9,,Personal foul by L. Thomas (drawn by L. Deng)
7:39.0,L. Deng makes free throw 1 of 2,1,12-9,,
7:39.0,L. Deng makes free throw 2 of 2,1,13-9,,
7:18.0,,,13-9,,L. Thomas misses 2-pt shot from 18 ft
7:17.0,Defensive rebound by M. Chalmers,,13-9,,
7:13.0,Turnover by M. Chalmers (bad pass),,13-9,,
7:03.0,,,13-9,,L. Galloway misses 3-pt shot from 25 ft
7:02.0,Defensive rebound by H. Whiteside,,13-9,,
6:48.0,L. Deng misses 2-pt shot from 2 ft,,13-9,,
6:47.0,Offensive rebound by L. Deng,,13-9,,
6:39.0,M. Chalmers misses 3-pt shot from 25 ft,,13-9,,
6:38.0,Offensive rebound by L. Deng,,13-9,,
6:37.0,L. Deng misses 2-pt shot from 1 ft,,13-9,,
6:36.0,,,13-9,,Defensive rebound by J. Smith
6:23.0,,,13-9,,Offensive foul by L. Amundson
6:23.0,,,13-9,,Turnover by L. Amundson (offensive foul)
6:23.0,J. Ennis enters the game for L. Deng,,13-9,,
6:23.0,S. Napier enters the game for M. Chalmers,,13-9,,
6:23.0,,,13-9,,C. Aldrich enters the game for L. Amundson
6:23.0,,,13-9,,A. Bargnani enters the game for J. Smith
6:23.0,,,13-9,,T. Hardaway enters the game for J. Calderon
6:11.0,Shooting foul by T. Hardaway (drawn by D. Wade),,13-9,,
6:11.0,D. Wade makes free throw 1 of 2,1,14-9,,
6:11.0,D. Wade makes free throw 2 of 2,1,15-9,,
5:53.0,,,15-11,2,T. Hardaway makes 2-pt shot from 1 ft (assist by L. Galloway)
5:42.0,D. Wade misses 2-pt shot from 8 ft,,15-11,,
5:41.0,,,15-11,,Defensive rebound by T. Hardaway
5:30.0,,,15-13,2,A. Bargnani makes 2-pt shot at rim (assist by T. Hardaway)
5:23.0,Miami full timeout,,15-13,,
5:18.0,Offensive foul by H. Whiteside,,15-13,,
5:18.0,Turnover by H. Whiteside (offensive foul),,15-13,,
5:18.0,M. Chalmers enters the game for D. Wade,,15-13,,
5:03.0,,,15-13,,L. Thomas misses 2-pt shot from 10 ft
5:02.0,Defensive rebound by H. Whiteside,,15-13,,
5:00.0,Turnover by S. Napier (bad pass),,15-13,,
4:45.0,,,15-13,,C. Aldrich misses 2-pt shot from 1 ft (block by J. Ennis)
4:44.0,Defensive rebound by H. Whiteside,,15-13,,
4:33.0,Turnover by S. Napier (bad pass; steal by L. Galloway),,15-13,,
4:28.0,,,15-15,2,T. Hardaway makes 2-pt shot at rim (assist by L. Galloway)
4:07.0,M. Chalmers makes 2-pt shot from 2 ft (assist by U. Haslem),2,17-15,,
4:00.0,,,17-15,,Shooting foul by H. Whiteside (drawn by L. Galloway)
4:00.0,,,17-15,,L. Galloway misses free throw 1 of 2
4:00.0,,,17-15,,Offensive rebound by Team
4:00.0,C. Andersen enters the game for H. Whiteside,,17-15,,
4:00.0,,,17-15,,L. Galloway misses free throw 2 of 2
3:59.0,Defensive rebound by C. Andersen,,17-15,,
3:46.0,M. Chalmers misses 2-pt shot from 2 ft,,17-15,,
3:45.0,,,17-15,,Defensive rebound by A. Bargnani
3:38.0,,,17-15,,A. Bargnani misses 3-pt shot from 25 ft
3:37.0,Defensive rebound by C. Andersen,,17-15,,
3:24.0,Turnover by C. Andersen (traveling),,17-15,,
3:24.0,,,17-15,,J. Calderon enters the game for L. Galloway
3:15.0,Personal foul by U. Haslem (drawn by A. Bargnani),,17-15,,
3:15.0,L. Deng enters the game for U. Haslem,,17-15,,
3:05.0,,,17-17,2,C. Aldrich makes 2-pt shot from 5 ft (assist by J. Calderon)
2:52.0,M. Chalmers misses 2-pt shot from 2 ft,,17-17,,
2:51.0,Offensive rebound by C. Andersen,,17-17,,
2:51.0,C. Andersen misses 2-pt shot from 2 ft,,17-17,,
2:50.0,,,17-17,,Defensive rebound by L. Thomas
2:44.0,,,17-17,,Turnover by T. Hardaway (bad pass; steal by M. Chalmers)
2:41.0,Turnover by L. Deng (lost ball; steal by L. Thomas),,17-17,,
2:35.0,,,17-17,,Shooting foul by C. Andersen (drawn by A. Bargnani)
2:35.0,,,17-17,,New York full timeout
2:35.0,,,17-18,1,A. Bargnani makes free throw 1 of 2
2:35.0,,,17-19,1,A. Bargnani makes free throw 2 of 2
2:20.0,J. Ennis misses 2-pt shot from 17 ft,,17-19,,
2:19.0,Offensive rebound by L. Deng,,17-19,,
2:14.0,C. Andersen makes 2-pt shot at rim (assist by S. Napier),2,19-19,,
1:49.0,,,19-19,,Turnover by J. Calderon (bad pass; steal by M. Chalmers)
1:44.0,J. Ennis makes 2-pt shot at rim (assist by M. Chalmers),2,21-19,,
1:29.0,,,21-21,2,T. Hardaway makes 2-pt shot from 19 ft (assist by L. Thomas)
1:12.0,,,21-21,,Def 3 sec tech foul by C. Aldrich
1:12.0,M. Chalmers misses technical free throw,,21-21,,
1:12.0,Offensive rebound by Team,,21-21,,
1:03.0,S. Napier makes 2-pt shot from 20 ft (assist by M. Chalmers),2,23-21,,
0:46.0,,,23-24,3,T. Hardaway makes 3-pt shot from 24 ft (assist by J. Calderon)
0:35.0,C. Andersen makes 2-pt shot from 2 ft (assist by M. Chalmers),2,25-24,,
0:24.0,,,25-26,2,C. Aldrich makes 2-pt shot from 4 ft (assist by J. Calderon)
0:05.0,M. Chalmers misses 3-pt shot from 24 ft,,25-26,,
0:04.0,,,25-26,,Defensive rebound by L. Thomas
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,L. Deng misses 2-pt shot from 1 ft,,25-26,,
11:44.0,Offensive rebound by C. Andersen,,25-26,,
11:44.0,C. Andersen makes 2-pt shot at rim,2,27-26,,
11:26.0,,,27-26,,Shooting foul by J. Ennis (drawn by A. Bargnani)
11:26.0,,,27-27,1,A. Bargnani makes free throw 1 of 2
11:26.0,,,27-28,1,A. Bargnani makes free throw 2 of 2
11:17.0,S. Napier makes 3-pt shot from 25 ft (assist by L. Deng),3,30-28,,
10:55.0,,,30-28,,Turnover by L. Thomas (step out of bounds)
10:40.0,L. Deng makes 2-pt shot from 2 ft,2,32-28,,
10:31.0,,,32-28,,J. Smith misses 2-pt shot from 19 ft
10:30.0,Defensive rebound by M. Chalmers,,32-28,,
10:26.0,Offensive charge foul by J. Ennis,,32-28,,
10:26.0,Turnover by J. Ennis (offensive foul),,32-28,,
10:17.0,Personal foul by J. Ennis (drawn by L. Thomas),,32-28,,
10:17.0,,,32-28,,C. Early enters the game for L. Thomas
10:17.0,T. Johnson enters the game for J. Ennis,,32-28,,
10:10.0,,,32-30,2,L. Galloway makes 2-pt shot from 20 ft (assist by J. Smith)
9:54.0,L. Deng makes 2-pt shot from 1 ft (assist by T. Johnson),2,34-30,,
9:46.0,Personal foul by L. Deng (drawn by A. Bargnani),,34-30,,
9:40.0,,,34-30,,Turnover by L. Galloway (bad pass; steal by M. Chalmers)
