time,Cleveland,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. Z. Pachulia (G. Antetokounmpo gains possession),,,,Jump ball: T. Mozgov vs. Z. Pachulia (G. Antetokounmpo gains possession)
11:46.0,,,0-0,,Turnover by G. Antetokounmpo (bad pass; steal by L. James)
11:35.0,K. Love misses 2-pt shot from 19 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by Z. Pachulia
11:20.0,,,0-2,2,K. Middleton makes 2-pt shot from 14 ft (assist by Z. Pachulia)
10:58.0,Turnover by J. Smith (lost ball; steal by M. Carter-Williams),,0-2,,
10:53.0,,,0-2,,K. Middleton misses 2-pt shot from 1 ft
10:50.0,,,0-2,,Offensive rebound by M. Carter-Williams
10:41.0,,,0-4,2,Z. Pachulia makes 2-pt shot at rim (assist by G. Antetokounmpo)
10:41.0,,,0-4,,Shooting foul by T. Mozgov (drawn by Z. Pachulia)
10:41.0,,,0-5,1,Z. Pachulia makes free throw 1 of 1
10:23.0,K. Love misses 2-pt shot from 4 ft,,0-5,,
10:22.0,,,0-5,,Defensive rebound by E. Ilyasova
10:19.0,,,0-5,,Turnover by K. Middleton (bad pass; steal by J. Smith)
10:12.0,Turnover by K. Love (bad pass; steal by Z. Pachulia),,0-5,,
9:52.0,,,0-7,2,G. Antetokounmpo makes 2-pt shot from 16 ft (assist by K. Middleton)
9:41.0,,,0-7,,Personal block foul by E. Ilyasova (drawn by K. Irving)
9:30.0,L. James makes 2-pt shot at rim,2,2-7,,
9:19.0,,,2-10,3,K. Middleton makes 3-pt shot from 23 ft (assist by Z. Pachulia)
9:00.0,K. Irving makes 2-pt shot from 17 ft,2,4-10,,
8:48.0,,,4-10,,Turnover by Z. Pachulia (lost ball; steal by T. Mozgov)
8:37.0,K. Irving misses 3-pt shot from 23 ft,,4-10,,
8:36.0,Offensive rebound by K. Love,,4-10,,
8:31.0,K. Love makes 2-pt shot at rim,2,6-10,,
8:18.0,,,6-13,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by M. Carter-Williams)
