time,Detroit,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. R. Hibbert (G. Hill gains possession),,,,Jump ball: A. Drummond vs. R. Hibbert (G. Hill gains possession)
11:49.0,,,0-2,2,G. Hill makes 2-pt shot from 2 ft (assist by R. Hibbert)
11:32.0,,,0-2,,Personal foul by G. Hill (drawn by D. Augustin)
11:23.0,K. Singler misses 2-pt shot from 20 ft,,0-2,,
11:19.0,,,0-2,,Defensive rebound by C. Miles
11:12.0,,,0-2,,R. Stuckey misses 2-pt shot from 20 ft
11:11.0,,,0-2,,Offensive rebound by R. Hibbert
11:09.0,,,0-2,,Indiana full timeout
11:03.0,,,0-2,,Turnover by C. Miles (bad pass)
10:42.0,Turnover by A. Drummond (offensive goaltending),,0-2,,
10:25.0,,,0-5,3,G. Hill makes 3-pt shot from 23 ft
10:08.0,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by K. Singler),3,3-5,,
9:45.0,,,3-8,3,C. Miles makes 3-pt shot from 23 ft (assist by R. Stuckey)
9:17.0,A. Drummond misses 2-pt shot from 11 ft,,3-8,,
9:16.0,,,3-8,,Defensive rebound by R. Hibbert
9:07.0,,,3-10,2,R. Stuckey makes 2-pt shot from 2 ft
8:47.0,Shooting foul by D. West (drawn by D. Augustin),,3-10,,
8:47.0,D. Augustin makes 2-pt shot from 14 ft,2,5-10,,
8:47.0,D. Augustin makes free throw 1 of 1,1,6-10,,
8:31.0,,,6-10,,Shooting foul by D. Augustin (drawn by G. Hill)
8:31.0,,,6-10,,G. Hill misses free throw 1 of 2
8:31.0,,,6-10,,Offensive rebound by Team
8:31.0,J. Meeks enters the game for K. Caldwell-Pope,,6-10,,
8:31.0,,,6-10,,G. Hill misses free throw 2 of 2
8:30.0,,,6-10,,Offensive rebound by D. West
8:18.0,,,6-12,2,R. Stuckey makes 2-pt shot from 16 ft
7:55.0,D. Augustin makes 3-pt shot from 26 ft (assist by G. Monroe),3,9-12,,
7:34.0,Violation by A. Drummond (def goaltending),,9-12,,
7:34.0,,,9-14,2,G. Hill makes 2-pt shot from 2 ft
7:30.0,Detroit full timeout,,9-14,,
7:16.0,G. Monroe misses 2-pt shot from 2 ft,,9-14,,
7:15.0,Offensive rebound by A. Drummond,,9-14,,
7:15.0,A. Drummond misses 2-pt shot at rim,,9-14,,
7:14.0,,,9-14,,Defensive rebound by R. Stuckey
