time,Portland,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. N. Pekovic (L. Aldridge gains possession),,,,Jump ball: R. Lopez vs. N. Pekovic (L. Aldridge gains possession)
11:45.0,L. Aldridge makes 2-pt shot from 20 ft (assist by N. Batum),2,2-0,,
11:31.0,,,2-0,,R. Rubio misses 3-pt shot from 25 ft
11:28.0,,,2-0,,Offensive rebound by N. Pekovic
11:20.0,,,2-3,3,A. Wiggins makes 3-pt shot from 24 ft (assist by R. Rubio)
10:55.0,A. Afflalo misses 2-pt shot from 5 ft (block by N. Pekovic),,2-3,,
10:54.0,Offensive rebound by Team,,2-3,,
10:50.0,D. Lillard misses 3-pt shot from 25 ft,,2-3,,
10:49.0,,,2-3,,Defensive rebound by A. Wiggins
10:40.0,,,2-3,,A. Wiggins misses 2-pt shot from 19 ft
10:39.0,Defensive rebound by D. Lillard,,2-3,,
10:27.0,N. Batum makes 3-pt shot from 22 ft (assist by D. Lillard),3,5-3,,
10:11.0,,,5-3,,K. Martin misses 2-pt shot from 17 ft
10:10.0,Defensive rebound by L. Aldridge,,5-3,,
9:56.0,D. Lillard misses 3-pt shot from 24 ft,,5-3,,
9:55.0,,,5-3,,Defensive rebound by K. Martin
9:41.0,,,5-5,2,K. Garnett makes 2-pt shot from 16 ft (assist by R. Rubio)
9:26.0,N. Batum makes 3-pt shot from 23 ft (assist by A. Afflalo),3,8-5,,
9:12.0,,,8-5,,R. Rubio misses 2-pt shot from 1 ft (block by R. Lopez)
9:10.0,,,8-5,,Offensive rebound by N. Pekovic
9:09.0,,,8-7,2,N. Pekovic makes 2-pt shot from 1 ft
8:52.0,L. Aldridge misses 2-pt shot from 18 ft,,8-7,,
8:51.0,,,8-7,,Defensive rebound by R. Rubio
8:41.0,,,8-7,,N. Pekovic misses 2-pt shot from 4 ft
8:40.0,Defensive rebound by L. Aldridge,,8-7,,
8:16.0,L. Aldridge makes 2-pt shot from 8 ft,2,10-7,,
8:02.0,,,10-7,,K. Martin misses 2-pt shot from 10 ft
8:01.0,,,10-7,,Offensive rebound by N. Pekovic
7:54.0,,,10-7,,R. Rubio misses 2-pt shot from 19 ft
7:53.0,,,10-7,,Offensive rebound by N. Pekovic
7:52.0,,,10-9,2,N. Pekovic makes 2-pt shot at rim
7:40.0,Offensive foul by A. Afflalo,,10-9,,
7:40.0,Turnover by A. Afflalo (offensive foul),,10-9,,
7:26.0,,,10-9,,A. Wiggins misses 2-pt shot from 4 ft
7:25.0,,,10-9,,Offensive rebound by N. Pekovic
7:24.0,,,10-9,,N. Pekovic misses 2-pt shot from 1 ft
7:22.0,Defensive rebound by R. Lopez,,10-9,,
7:15.0,A. Afflalo makes 2-pt shot from 14 ft,2,12-9,,
7:06.0,,,12-9,,K. Martin misses 2-pt shot from 20 ft
7:04.0,Defensive rebound by N. Batum,,12-9,,
6:55.0,Shooting foul by R. Rubio (drawn by D. Lillard),,12-9,,
6:55.0,D. Lillard makes free throw 1 of 2,1,13-9,,
6:55.0,,,13-9,,Minnesota full timeout
6:55.0,D. Lillard makes free throw 2 of 2,1,14-9,,
6:42.0,Personal foul by R. Lopez (drawn by N. Pekovic),,14-9,,
6:36.0,,,14-9,,A. Wiggins misses 2-pt shot from 2 ft (block by R. Lopez)
6:34.0,Defensive rebound by N. Batum,,14-9,,
6:24.0,R. Lopez misses 2-pt shot from 9 ft,,14-9,,
6:23.0,,,14-9,,Defensive rebound by R. Rubio
6:14.0,,,14-11,2,N. Pekovic makes 2-pt shot at rim (assist by R. Rubio)
6:00.0,Shooting foul by K. Martin (drawn by D. Lillard),,14-11,,
6:00.0,D. Lillard makes free throw 1 of 2,1,15-11,,
6:00.0,C. McCollum enters the game for A. Afflalo,,15-11,,
6:00.0,,,15-11,,G. Dieng enters the game for K. Garnett
6:00.0,D. Lillard makes free throw 2 of 2,1,16-11,,
5:50.0,,,16-13,2,K. Martin makes 2-pt shot from 10 ft (assist by R. Rubio)
5:28.0,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard),3,19-13,,
5:12.0,,,19-13,,Shooting foul by C. McCollum (drawn by K. Martin)
5:12.0,,,19-14,1,K. Martin makes free throw 1 of 2
5:12.0,,,19-15,1,K. Martin makes free throw 2 of 2
4:51.0,L. Aldridge makes 2-pt shot at rim,2,21-15,,
4:39.0,,,21-15,,K. Martin misses 2-pt shot from 14 ft
4:37.0,,,21-15,,Offensive rebound by N. Pekovic
4:20.0,,,21-17,2,R. Rubio makes 2-pt shot at rim (assist by G. Dieng)
4:02.0,L. Aldridge misses 2-pt shot from 19 ft,,21-17,,
4:01.0,Offensive rebound by R. Lopez,,21-17,,
4:01.0,R. Lopez makes 2-pt shot at rim,2,23-17,,
3:46.0,,,23-19,2,A. Wiggins makes 2-pt shot from 11 ft (assist by R. Rubio)
3:21.0,L. Aldridge makes 2-pt shot from 17 ft,2,25-19,,
2:57.0,,,25-21,2,N. Pekovic makes 2-pt shot at rim (assist by R. Rubio)
2:57.0,,,25-21,,Shooting foul by C. McCollum (drawn by N. Pekovic)
2:57.0,Portland full timeout,,25-21,,
2:57.0,S. Blake enters the game for D. Lillard,,25-21,,
2:57.0,C. Kaman enters the game for R. Lopez,,25-21,,
2:57.0,A. Afflalo enters the game for N. Batum,,25-21,,
2:57.0,,,25-22,1,N. Pekovic makes free throw 1 of 1
2:39.0,C. Kaman makes 2-pt shot from 14 ft (assist by S. Blake),2,27-22,,
2:17.0,,,27-22,,R. Rubio misses 3-pt shot from 25 ft
2:16.0,Defensive rebound by L. Aldridge,,27-22,,
2:05.0,A. Afflalo misses 2-pt shot from 13 ft,,27-22,,
2:04.0,,,27-22,,Defensive rebound by N. Pekovic
1:52.0,,,27-24,2,R. Rubio makes 2-pt shot from 14 ft
1:30.0,A. Afflalo makes 3-pt shot from 24 ft,3,30-24,,
1:09.0,,,30-26,2,K. Martin makes 2-pt shot from 7 ft
0:56.0,Turnover by C. Kaman (lost ball; steal by A. Wiggins),,30-26,,
0:43.0,,,30-29,3,K. Martin makes 3-pt shot from 22 ft (assist by A. Wiggins)
0:31.0,L. Aldridge misses 2-pt shot from 19 ft,,30-29,,
0:30.0,,,30-29,,Defensive rebound by R. Rubio
0:06.0,,,30-29,,K. Martin misses 2-pt shot from 15 ft
0:06.0,,,30-29,,Offensive rebound by Team
0:06.0,,,30-29,,Turnover by Team (shot clock)
0:06.0,,,30-29,,L. Brown enters the game for R. Rubio
