time,Oklahoma City,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Ibaka vs. R. Sacre (E. Kanter gains possession),,,,Jump ball: S. Ibaka vs. R. Sacre (E. Kanter gains possession)
11:42.0,E. Kanter makes 2-pt shot from 1 ft,2,2-0,,
11:34.0,Personal foul by K. Singler (drawn by R. Kelly),,2-0,,
11:31.0,,,2-2,2,J. Clarkson makes 2-pt shot from 1 ft (assist by R. Kelly)
11:18.0,,,2-2,,Def 3 sec tech foul by J. Clarkson
11:18.0,S. Ibaka makes technical free throw,1,3-2,,
11:10.0,A. Roberson makes 3-pt shot from 23 ft (assist by E. Kanter),3,6-2,,
10:57.0,,,6-2,,W. Ellington misses 3-pt shot from 24 ft
10:56.0,Defensive rebound by S. Ibaka,,6-2,,
10:48.0,E. Kanter misses 2-pt shot from 5 ft,,6-2,,
10:46.0,Offensive rebound by E. Kanter,,6-2,,
10:46.0,E. Kanter misses 2-pt shot from 2 ft,,6-2,,
10:44.0,,,6-2,,Defensive rebound by W. Ellington
10:41.0,,,6-2,,Turnover by C. Boozer (bad pass; steal by A. Roberson)
10:32.0,A. Roberson makes 3-pt shot from 24 ft,3,9-2,,
10:20.0,,,9-2,,C. Boozer misses 2-pt shot from 17 ft
10:19.0,Defensive rebound by A. Roberson,,9-2,,
10:06.0,S. Ibaka misses 2-pt shot from 20 ft,,9-2,,
10:05.0,,,9-2,,Defensive rebound by J. Clarkson
9:59.0,,,9-2,,J. Clarkson misses 2-pt shot from 18 ft
9:57.0,,,9-2,,Offensive rebound by Team
9:46.0,Def 3 sec tech foul by K. Singler,,9-2,,
9:46.0,,,9-2,,W. Ellington misses technical free throw
9:46.0,,,9-2,,Offensive rebound by Team
9:35.0,,,9-2,,R. Kelly misses 2-pt shot from 11 ft
9:33.0,,,9-2,,Offensive rebound by R. Kelly
9:32.0,,,9-4,2,C. Boozer makes 2-pt shot from 1 ft (assist by R. Kelly)
9:10.0,Shooting foul by C. Boozer (drawn by S. Ibaka),,9-4,,
9:10.0,S. Ibaka makes free throw 1 of 2,1,10-4,,
9:10.0,S. Ibaka misses free throw 2 of 2,,10-4,,
9:09.0,,,10-4,,Defensive rebound by C. Boozer
8:59.0,,,10-6,2,R. Sacre makes 2-pt shot from 16 ft (assist by J. Clarkson)
8:41.0,E. Kanter makes 2-pt shot from 2 ft (assist by D. Augustin),2,12-6,,
8:25.0,,,12-8,2,W. Ellington makes 2-pt shot from 2 ft (assist by C. Boozer)
8:04.0,D. Augustin misses 3-pt shot from 30 ft,,12-8,,
8:03.0,,,12-8,,Defensive rebound by R. Sacre
7:49.0,,,12-8,,C. Boozer misses 2-pt shot from 14 ft
7:48.0,Defensive rebound by E. Kanter,,12-8,,
