time,Dallas,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. A. Len (R. Rondo gains possession),,,,Jump ball: T. Chandler vs. A. Len (R. Rondo gains possession)
11:42.0,T. Chandler misses 2-pt shot from 15 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by M. Morris
11:23.0,,,0-0,,P. Tucker misses 2-pt shot from 2 ft
11:19.0,Defensive rebound by T. Chandler,,0-0,,
11:18.0,Turnover by T. Chandler (bad pass; steal by M. Morris),,0-0,,
11:15.0,,,0-3,3,P. Tucker makes 3-pt shot from 24 ft (assist by M. Morris)
10:58.0,M. Ellis misses 2-pt shot from 12 ft,,0-3,,
10:57.0,,,0-3,,Defensive rebound by M. Morris
10:49.0,,,0-3,,M. Morris misses 2-pt shot from 16 ft
10:47.0,Defensive rebound by D. Nowitzki,,0-3,,
10:38.0,C. Parsons misses 3-pt shot from 25 ft,,0-3,,
10:36.0,Offensive rebound by T. Chandler,,0-3,,
10:33.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by T. Chandler),3,3-3,,
10:06.0,,,3-3,,Turnover by Team (shot clock)
9:54.0,T. Chandler makes 2-pt shot from 18 ft (assist by C. Parsons),2,5-3,,
9:34.0,,,5-3,,Shooting foul by M. Ellis (drawn by P. Tucker)
9:34.0,,,5-3,,P. Tucker misses free throw 1 of 2
9:34.0,,,5-3,,Offensive rebound by Team
9:34.0,,,5-3,,P. Tucker misses free throw 2 of 2
9:33.0,,,5-3,,Offensive rebound by M. Morris
9:22.0,,,5-5,2,M. Morris makes 2-pt shot from 7 ft (assist by E. Bledsoe)
9:05.0,T. Chandler misses 2-pt shot from 19 ft,,5-5,,
9:03.0,,,5-5,,Defensive rebound by M. Morris
8:52.0,,,5-8,3,P. Tucker makes 3-pt shot from 23 ft (assist by M. Morris)
8:39.0,T. Chandler misses 2-pt shot from 3 ft (block by A. Len),,5-8,,
8:38.0,Offensive rebound by R. Rondo,,5-8,,
8:36.0,R. Rondo misses 2-pt shot from 3 ft,,5-8,,
8:34.0,Offensive rebound by T. Chandler,,5-8,,
8:33.0,T. Chandler misses 2-pt shot from 2 ft (block by A. Len),,5-8,,
8:29.0,,,5-8,,Defensive rebound by A. Len
8:25.0,,,5-11,3,P. Tucker makes 3-pt shot from 24 ft
8:24.0,Dallas full timeout,,5-11,,
8:10.0,R. Rondo makes 2-pt shot from 19 ft (assist by C. Parsons),2,7-11,,
7:52.0,,,7-11,,Turnover by E. Bledsoe (step out of bounds)
7:46.0,R. Rondo makes 2-pt shot from 1 ft,2,9-11,,
