time,Charlotte,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. J. Valanciunas (A. Johnson gains possession),,,,Jump ball: B. Biyombo vs. J. Valanciunas (A. Johnson gains possession)
11:41.0,,,0-0,,J. Valanciunas misses 2-pt shot from 13 ft
11:40.0,Defensive rebound by K. Walker,,0-0,,
11:27.0,G. Henderson misses 2-pt shot from 17 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by K. Lowry
11:14.0,,,0-2,2,T. Ross makes 2-pt shot from 15 ft (assist by K. Lowry)
11:02.0,Shooting foul by L. Fields (drawn by G. Henderson),,0-2,,
11:02.0,G. Henderson misses free throw 1 of 2,,0-2,,
11:02.0,Offensive rebound by Team,,0-2,,
11:02.0,G. Henderson makes free throw 2 of 2,1,1-2,,
10:44.0,,,1-4,2,J. Valanciunas makes 2-pt shot from 2 ft
10:32.0,K. Walker makes 2-pt shot from 15 ft,2,3-4,,
10:20.0,,,3-4,,K. Lowry misses 3-pt shot from 25 ft
10:20.0,Defensive rebound by M. Kidd-Gilchrist,,3-4,,
9:57.0,K. Walker misses 3-pt shot from 25 ft,,3-4,,
9:56.0,,,3-4,,Defensive rebound by T. Ross
9:48.0,,,3-4,,T. Ross misses 3-pt shot from 25 ft
9:47.0,Defensive rebound by M. Williams,,3-4,,
9:40.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft,,3-4,,
9:40.0,,,3-4,,Defensive rebound by A. Johnson
9:34.0,,,3-4,,K. Lowry misses 2-pt shot from 1 ft
9:33.0,Defensive rebound by M. Williams,,3-4,,
9:25.0,B. Biyombo misses 2-pt shot from 4 ft,,3-4,,
9:24.0,Offensive rebound by K. Walker,,3-4,,
9:18.0,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker),3,6-4,,
8:58.0,,,6-4,,Turnover by A. Johnson (bad pass; steal by K. Walker)
8:54.0,K. Walker makes 2-pt shot from 1 ft,2,8-4,,
8:38.0,,,8-4,,T. Ross misses 3-pt shot from 24 ft
8:37.0,Defensive rebound by G. Henderson,,8-4,,
8:29.0,K. Walker makes 2-pt shot from 18 ft (assist by G. Henderson),2,10-4,,
8:08.0,Violation by K. Walker (kicked ball),,10-4,,
7:55.0,,,10-6,2,K. Lowry makes 2-pt shot from 4 ft
7:37.0,M. Kidd-Gilchrist misses 2-pt shot from 9 ft,,10-6,,
7:36.0,,,10-6,,Defensive rebound by T. Ross
7:28.0,,,10-6,,T. Ross misses 2-pt shot from 4 ft
7:26.0,Defensive rebound by M. Kidd-Gilchrist,,10-6,,
7:23.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft,2,12-6,,
7:23.0,Shooting foul by T. Ross (drawn by M. Kidd-Gilchrist),,12-6,,
7:23.0,M. Kidd-Gilchrist misses free throw 1 of 1,,12-6,,
7:22.0,Offensive rebound by M. Williams,,12-6,,
7:16.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by M. Williams),2,14-6,,
7:11.0,,,14-6,,Toronto full timeout
7:11.0,,,14-6,,G. Vasquez enters the game for L. Fields
