time,Brooklyn,pts.away,score,pts.home,Atlanta
0:55.0,,,18-31,3,D. Carroll makes 3-pt shot from 24 ft (assist by P. Millsap)
0:36.0,M. Plumlee misses 2-pt shot at rim,,18-31,,
0:36.0,Offensive rebound by M. Plumlee,,18-31,,
0:36.0,M. Plumlee makes 2-pt shot at rim,2,20-31,,
0:28.0,,,20-31,,Turnover by S. Mack (lost ball)
0:28.0,,,20-31,,A. Horford enters the game for P. Millsap
0:28.0,,,20-31,,K. Korver enters the game for D. Carroll
0:07.0,,,20-31,,Violation by A. Horford (def goaltending)
0:07.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by J. Jack),2,22-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,22-34,3,P. Antic makes 3-pt shot from 23 ft (assist by K. Korver)
11:28.0,,,22-34,,Personal foul by P. Antic (drawn by J. Jack)
11:28.0,,,22-34,,T. Sefolosha enters the game for K. Bazemore
11:22.0,B. Lopez misses 2-pt shot from 12 ft,,22-34,,
11:18.0,,,22-34,,Defensive rebound by S. Mack
11:12.0,,,22-37,3,P. Antic makes 3-pt shot from 25 ft (assist by A. Horford)
10:52.0,B. Bogdanovic makes 2-pt shot from 16 ft (assist by J. Johnson),2,24-37,,
10:32.0,,,24-39,2,S. Mack makes 2-pt shot from 11 ft (assist by A. Horford)
10:21.0,J. Jack misses 2-pt shot from 12 ft,,24-39,,
10:18.0,,,24-39,,Defensive rebound by T. Sefolosha
10:09.0,,,24-41,2,A. Horford makes 2-pt shot from 18 ft
10:01.0,Brooklyn full timeout,,24-41,,
10:01.0,,,24-41,,M. Muscala enters the game for P. Antic
9:47.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by J. Johnson),3,27-41,,
9:32.0,,,27-43,2,A. Horford makes 2-pt shot at rim (assist by S. Mack)
9:32.0,,,27-43,,Shooting foul by B. Lopez (drawn by A. Horford)
9:32.0,,,27-43,,A. Horford misses free throw 1 of 1
9:30.0,Defensive rebound by M. Plumlee,,27-43,,
9:13.0,Turnover by B. Bogdanovic (bad pass),,27-43,,
8:57.0,,,27-45,2,A. Horford makes 2-pt shot at rim (assist by M. Muscala)
8:38.0,,,27-45,,J. Teague enters the game for S. Mack
8:38.0,D. Williams enters the game for J. Jack,,27-45,,
8:32.0,B. Bogdanovic makes 2-pt shot from 19 ft (assist by B. Lopez),2,29-45,,
8:22.0,,,29-48,3,T. Sefolosha makes 3-pt shot from 23 ft (assist by A. Horford)
7:54.0,J. Johnson misses 2-pt shot from 21 ft,,29-48,,
7:51.0,,,29-48,,Defensive rebound by A. Horford
7:34.0,,,29-50,2,A. Horford makes 2-pt shot from 9 ft
7:20.0,D. Williams misses 2-pt shot from 18 ft,,29-50,,
7:19.0,,,29-50,,Defensive rebound by A. Horford
7:09.0,,,29-50,,J. Teague misses 2-pt shot from 7 ft
7:06.0,Defensive rebound by D. Williams,,29-50,,
7:03.0,,,29-50,,Personal foul by J. Teague (drawn by D. Williams)
7:03.0,T. Young enters the game for M. Plumlee,,29-50,,
7:03.0,,,29-50,,P. Millsap enters the game for A. Horford
6:56.0,Turnover by B. Lopez (lost ball; steal by J. Teague),,29-50,,
6:53.0,,,29-52,2,J. Teague makes 2-pt shot at rim (assist by M. Muscala)
6:37.0,D. Williams makes 3-pt shot from 24 ft,3,32-52,,
6:23.0,,,32-54,2,J. Teague makes 2-pt shot from 5 ft
6:14.0,,,32-54,,Personal foul by J. Teague (drawn by D. Williams)
6:08.0,B. Bogdanovic misses 3-pt shot from 22 ft,,32-54,,
6:07.0,,,32-54,,Defensive rebound by T. Sefolosha
6:04.0,,,32-54,,Offensive charge foul by T. Sefolosha
6:04.0,,,32-54,,Turnover by T. Sefolosha (offensive foul)
5:43.0,B. Bogdanovic misses 2-pt shot from 3 ft (block by P. Millsap),,32-54,,
5:41.0,,,32-54,,Defensive rebound by K. Korver
5:31.0,,,32-54,,Shooting foul by B. Bogdanovic (drawn by P. Millsap)
5:31.0,Official timeout,,32-54,,
5:31.0,,,32-54,,D. Carroll enters the game for K. Korver
5:31.0,,,32-55,1,P. Millsap makes free throw 1 of 2
5:31.0,,,32-56,1,P. Millsap makes free throw 2 of 2
5:16.0,,,32-56,,Personal foul by M. Muscala (drawn by J. Johnson)
5:16.0,J. Johnson misses free throw 1 of 2,,32-56,,
5:16.0,Offensive rebound by Team,,32-56,,
