time,Utah,pts.away,score,pts.home,San Antonio
0:47.0,R. Gobert misses 2-pt shot from 2 ft (block by M. Ginobili),,15-20,,
0:47.0,,,15-20,,Defensive rebound by Team
0:33.0,,,15-23,3,M. Ginobili makes 3-pt shot from 25 ft
0:17.0,Offensive foul by G. Hayward,,15-23,,
0:17.0,Turnover by G. Hayward (offensive foul),,15-23,,
0:17.0,,,15-23,,M. Bonner enters the game for A. Baynes
0:03.0,,,15-23,,M. Ginobili misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by Team,,15-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Personal foul by E. Millsap (drawn by B. Diaw),,15-23,,
11:39.0,,,15-23,,A. Baynes misses 2-pt shot from 4 ft
11:38.0,Defensive rebound by R. Hood,,15-23,,
11:27.0,R. Hood misses 2-pt shot from 9 ft,,15-23,,
11:26.0,,,15-23,,Defensive rebound by B. Diaw
11:17.0,,,15-23,,B. Diaw misses 3-pt shot from 25 ft
11:16.0,Defensive rebound by R. Gobert,,15-23,,
11:16.0,,,15-23,,Personal foul by A. Baynes (drawn by R. Gobert)
11:16.0,,,15-23,,T. Parker enters the game for P. Mills
11:03.0,Turnover by R. Hood (bad pass; steal by M. Ginobili),,15-23,,
10:39.0,,,15-23,,B. Diaw misses 2-pt shot from 9 ft
10:38.0,Defensive rebound by R. Gobert,,15-23,,
10:29.0,R. Gobert misses 2-pt shot from 6 ft,,15-23,,
10:28.0,,,15-23,,Defensive rebound by D. Green
10:22.0,,,15-23,,D. Green misses 3-pt shot from 26 ft
10:21.0,,,15-23,,Offensive rebound by Team
10:12.0,,,15-23,,M. Ginobili misses 2-pt shot from 2 ft
10:11.0,Defensive rebound by Team,,15-23,,
9:54.0,R. Hood makes 3-pt shot from 24 ft (assist by D. Exum),3,18-23,,
9:44.0,,,18-23,,K. Leonard enters the game for M. Ginobili
9:44.0,,,18-23,,M. Bonner enters the game for B. Diaw
9:44.0,,,18-23,,C. Joseph enters the game for D. Green
9:40.0,,,18-25,2,A. Baynes makes 2-pt shot from 3 ft (assist by K. Leonard)
9:24.0,E. Millsap misses 2-pt shot from 1 ft,,18-25,,
9:23.0,,,18-25,,Defensive rebound by M. Bonner
9:14.0,,,18-25,,Shooting foul by R. Gobert (drawn by K. Leonard)
9:14.0,,,18-25,,K. Leonard misses free throw 1 of 2
9:14.0,,,18-25,,Offensive rebound by Team
9:14.0,,,18-26,1,K. Leonard makes free throw 2 of 2
8:56.0,D. Exum misses 2-pt shot from 13 ft,,18-26,,
8:55.0,,,18-26,,Defensive rebound by A. Baynes
8:39.0,,,18-26,,K. Leonard misses 2-pt shot from 19 ft
8:38.0,Defensive rebound by T. Booker,,18-26,,
8:19.0,D. Exum misses 3-pt shot from 25 ft,,18-26,,
8:18.0,Offensive rebound by Team,,18-26,,
8:18.0,Official timeout,,18-26,,
8:18.0,,,18-26,,T. Duncan enters the game for A. Baynes
8:06.0,E. Millsap makes 2-pt shot from 2 ft (assist by D. Exum),2,20-26,,
7:52.0,,,20-28,2,T. Parker makes 2-pt shot from 8 ft
7:33.0,T. Booker makes 2-pt shot from 2 ft (assist by D. Exum),2,22-28,,
7:10.0,,,22-28,,Shooting foul by E. Millsap (drawn by T. Duncan)
7:10.0,,,22-29,1,T. Duncan makes free throw 1 of 2
7:10.0,T. Burke enters the game for R. Hood,,22-29,,
7:10.0,E. Kanter enters the game for T. Booker,,22-29,,
7:10.0,,,22-29,,P. Mills enters the game for C. Joseph
7:10.0,,,22-29,,T. Splitter enters the game for M. Bonner
7:10.0,,,22-30,1,T. Duncan makes free throw 2 of 2
6:55.0,E. Millsap misses 2-pt shot from 1 ft (block by K. Leonard),,22-30,,
6:53.0,Offensive rebound by D. Exum,,22-30,,
6:47.0,D. Exum misses 2-pt shot from 18 ft,,22-30,,
6:46.0,,,22-30,,Defensive rebound by Team
6:36.0,,,22-30,,Turnover by T. Splitter (bad pass)
6:36.0,J. Ingles enters the game for D. Exum,,22-30,,
6:16.0,E. Kanter misses 2-pt shot from 18 ft,,22-30,,
6:15.0,,,22-30,,Defensive rebound by K. Leonard
6:10.0,,,22-30,,Turnover by K. Leonard (lost ball; steal by T. Burke)
6:06.0,Shooting foul by T. Duncan (drawn by R. Gobert),,22-30,,
6:06.0,R. Gobert misses free throw 1 of 2,,22-30,,
6:06.0,Offensive rebound by Team,,22-30,,
6:06.0,,,22-30,,San Antonio full timeout
6:06.0,R. Gobert misses free throw 2 of 2,,22-30,,
6:05.0,,,22-30,,Defensive rebound by P. Mills
5:54.0,,,22-32,2,K. Leonard makes 2-pt shot from 18 ft (assist by T. Parker)
5:34.0,Turnover by E. Millsap (lost ball; steal by T. Parker),,22-32,,
5:30.0,,,22-32,,P. Mills misses 2-pt shot from 2 ft (block by E. Millsap)
