time,Miami,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: U. Haslem vs. A. Horford (D. Schroder gains possession),,,,Jump ball: U. Haslem vs. A. Horford (D. Schroder gains possession)
11:41.0,,,0-0,,Turnover by A. Horford (bad pass; steal by H. Walker)
11:31.0,H. Walker misses 3-pt shot from 24 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by D. Schroder
11:09.0,,,0-2,2,D. Schroder makes 2-pt shot from 6 ft
10:50.0,L. Deng misses 2-pt shot from 16 ft,,0-2,,
10:48.0,,,0-2,,Defensive rebound by D. Carroll
10:30.0,,,0-5,3,D. Carroll makes 3-pt shot from 23 ft (assist by D. Schroder)
10:13.0,H. Walker misses 3-pt shot from 24 ft,,0-5,,
10:12.0,,,0-5,,Defensive rebound by D. Schroder
10:00.0,,,0-7,2,D. Carroll makes 2-pt shot from 3 ft (assist by P. Millsap)
9:42.0,D. Wade makes 3-pt shot from 22 ft (assist by H. Walker),3,3-7,,
9:24.0,,,3-7,,A. Horford misses 2-pt shot from 15 ft
9:23.0,Defensive rebound by U. Haslem,,3-7,,
9:12.0,L. Deng misses 3-pt shot from 23 ft,,3-7,,
9:11.0,,,3-7,,Defensive rebound by P. Millsap
9:07.0,Personal foul by U. Haslem (drawn by P. Millsap),,3-7,,
8:57.0,,,3-7,,Shooting foul by D. Wade (drawn by D. Carroll)
8:57.0,,,3-8,1,D. Carroll makes free throw 1 of 2
8:57.0,,,3-8,,D. Carroll misses free throw 2 of 2
8:56.0,Defensive rebound by H. Walker,,3-8,,
8:44.0,D. Wade misses 2-pt shot from 21 ft,,3-8,,
8:42.0,,,3-8,,Defensive rebound by P. Millsap
8:23.0,,,3-10,2,A. Horford makes 2-pt shot from 1 ft
7:54.0,H. Walker misses 2-pt shot from 11 ft,,3-10,,
7:52.0,Offensive rebound by H. Walker,,3-10,,
7:51.0,Offensive charge foul by H. Walker,,3-10,,
7:51.0,Turnover by H. Walker (offensive foul),,3-10,,
7:31.0,,,3-10,,P. Millsap misses 3-pt shot from 24 ft
7:30.0,Defensive rebound by L. Deng,,3-10,,
7:15.0,H. Walker misses 3-pt shot from 25 ft,,3-10,,
7:14.0,,,3-10,,Defensive rebound by P. Millsap
