time,Brooklyn,pts.away,score,pts.home,Denver
7:38.0,M. Plumlee makes 2-pt shot from 3 ft,2,10-6,,
7:28.0,,,10-9,3,G. Harris makes 3-pt shot from 25 ft (assist by T. Lawson)
7:02.0,M. Brown misses 3-pt shot from 25 ft,,10-9,,
7:01.0,,,10-9,,Defensive rebound by T. Lawson
6:53.0,,,10-12,3,D. Gallinari makes 3-pt shot from 26 ft (assist by T. Lawson)
6:40.0,D. Williams misses 2-pt shot from 19 ft,,10-12,,
6:38.0,,,10-12,,Defensive rebound by D. Arthur
6:33.0,,,10-14,2,G. Harris makes 2-pt shot from 2 ft
6:26.0,Brooklyn full timeout,,10-14,,
6:12.0,D. Williams misses 2-pt shot from 1 ft,,10-14,,
6:11.0,,,10-14,,Defensive rebound by J. Nurkic
6:04.0,,,10-16,2,T. Lawson makes 2-pt shot from 1 ft
5:59.0,Offensive foul by M. Plumlee,,10-16,,
5:59.0,Turnover by M. Plumlee (offensive foul),,10-16,,
5:59.0,B. Lopez enters the game for M. Plumlee,,10-16,,
5:44.0,,,10-16,,J. Nurkic misses 2-pt shot from 5 ft
5:41.0,Defensive rebound by J. Johnson,,10-16,,
5:32.0,J. Johnson misses 2-pt shot from 4 ft,,10-16,,
5:31.0,Offensive rebound by B. Lopez,,10-16,,
5:31.0,Shooting foul by G. Harris (drawn by B. Lopez),,10-16,,
5:31.0,B. Lopez makes free throw 1 of 2,1,11-16,,
5:31.0,B. Lopez makes free throw 2 of 2,1,12-16,,
5:19.0,,,12-16,,G. Harris misses 3-pt shot from 24 ft
5:18.0,Defensive rebound by M. Brown,,12-16,,
5:16.0,Turnover by M. Brown (lost ball; steal by J. Nurkic),,12-16,,
5:11.0,,,12-18,2,T. Lawson makes 2-pt shot from 1 ft (assist by J. Nurkic)
4:47.0,M. Brown misses 3-pt shot from 23 ft,,12-18,,
4:45.0,,,12-18,,Defensive rebound by J. Nurkic
4:40.0,,,12-18,,G. Harris misses 2-pt shot from 2 ft
4:39.0,Defensive rebound by M. Brown,,12-18,,
4:30.0,B. Lopez misses 2-pt shot from 16 ft,,12-18,,
4:29.0,,,12-18,,Defensive rebound by D. Arthur
4:25.0,,,12-18,,G. Harris misses 2-pt shot from 1 ft
4:23.0,,,12-18,,Offensive rebound by D. Arthur
4:23.0,,,12-20,2,D. Arthur makes 2-pt shot at rim
4:09.0,,,12-20,,Personal foul by J. Nurkic (drawn by B. Lopez)
4:09.0,S. Karasev enters the game for M. Brown,,12-20,,
4:09.0,,,12-20,,J. Lauvergne enters the game for J. Nurkic
3:57.0,D. Williams makes 2-pt shot from 15 ft,2,14-20,,
3:50.0,,,14-20,,Loose ball foul by J. Lauvergne (drawn by S. Karasev)
3:50.0,,,14-20,,Turnover by J. Lauvergne (offensive foul)
3:46.0,,,14-20,,K. Faried enters the game for D. Arthur
3:46.0,T. Young enters the game for J. Johnson,,14-20,,
3:36.0,T. Young makes 2-pt shot from 2 ft (assist by D. Williams),2,16-20,,
3:36.0,,,16-20,,T. Lawson misses 2-pt shot from 16 ft
3:36.0,,,16-20,,Offensive rebound by J. Lauvergne
3:07.0,,,16-20,,G. Harris misses 3-pt shot from 26 ft
3:04.0,Defensive rebound by D. Williams,,16-20,,
3:03.0,Offensive foul by S. Karasev,,16-20,,
3:03.0,Turnover by S. Karasev (offensive foul),,16-20,,
2:44.0,,,16-20,,K. Faried misses 2-pt shot from 4 ft
