time,Brooklyn,pts.away,score,pts.home,Denver
7:13.0,B. Lopez makes free throw 2 of 2,1,95-75,,
7:01.0,,,95-75,,R. Foye misses 2-pt shot from 3 ft (block by M. Brown)
7:00.0,Defensive rebound by T. Young,,95-75,,
6:59.0,,,95-75,,Personal foul by D. Arthur (drawn by T. Young)
6:59.0,T. Young makes free throw 1 of 2,1,96-75,,
6:59.0,T. Young makes free throw 2 of 2,1,97-75,,
6:36.0,,,97-75,,T. Lawson misses 2-pt shot from 20 ft
6:35.0,,,97-75,,Offensive rebound by Team
6:35.0,,,97-75,,Turnover by Team (shot clock)
6:11.0,D. Williams misses 2-pt shot from 8 ft,,97-75,,
6:09.0,Offensive rebound by B. Lopez,,97-75,,
6:09.0,B. Lopez misses 2-pt shot at rim,,97-75,,
6:06.0,Offensive rebound by T. Young,,97-75,,
6:03.0,T. Young makes 2-pt shot from 4 ft,2,99-75,,
5:56.0,,,99-75,,D. Gallinari misses 3-pt shot from 24 ft
5:55.0,,,99-75,,Offensive rebound by D. Arthur
5:46.0,,,99-75,,D. Arthur misses 2-pt shot from 17 ft
5:44.0,Defensive rebound by M. Brown,,99-75,,
5:32.0,B. Lopez makes 2-pt shot from 20 ft (assist by D. Williams),2,101-75,,
5:10.0,,,101-75,,T. Lawson misses 3-pt shot from 26 ft
5:07.0,,,101-75,,Offensive rebound by R. Foye
5:03.0,,,101-75,,R. Foye misses 3-pt shot from 25 ft
5:00.0,,,101-75,,Offensive rebound by D. Arthur
5:00.0,,,101-77,2,D. Arthur makes 2-pt shot from 1 ft
4:59.0,Brooklyn full timeout,,101-77,,
4:59.0,,,101-77,,G. Harris enters the game for D. Gallinari
4:59.0,,,101-77,,J. Lauvergne enters the game for T. Lawson
4:59.0,C. Jefferson enters the game for J. Johnson,,101-77,,
4:41.0,C. Jefferson makes 2-pt shot at rim (assist by D. Williams),2,103-77,,
4:23.0,,,103-77,,E. Green misses 3-pt shot from 24 ft
4:22.0,Defensive rebound by C. Jefferson,,103-77,,
4:07.0,B. Lopez misses 2-pt shot from 5 ft,,103-77,,
4:06.0,,,103-77,,Defensive rebound by G. Harris
3:52.0,,,103-77,,Shooting foul by B. Lopez (drawn by G. Harris)
3:52.0,,,103-77,,G. Harris misses free throw 1 of 2
3:52.0,,,103-77,,Offensive rebound by Team
3:52.0,D. Morris enters the game for D. Williams,,103-77,,
3:52.0,M. Plumlee enters the game for B. Lopez,,103-77,,
3:52.0,,,103-78,1,G. Harris makes free throw 2 of 2
3:38.0,C. Jefferson misses 2-pt shot from 17 ft,,103-78,,
3:36.0,,,103-78,,Defensive rebound by E. Green
3:30.0,,,103-78,,G. Harris misses 3-pt shot from 25 ft
3:29.0,Defensive rebound by C. Jefferson,,103-78,,
3:23.0,M. Plumlee makes 2-pt shot from 1 ft (assist by T. Young),2,105-78,,
3:01.0,,,105-78,,D. Arthur misses 2-pt shot from 18 ft
3:00.0,Defensive rebound by C. Jefferson,,105-78,,
2:34.0,M. Brown makes 2-pt shot from 6 ft (assist by C. Jefferson),2,107-78,,
2:16.0,,,107-78,,R. Foye misses 3-pt shot from 27 ft
2:14.0,,,107-78,,Offensive rebound by D. Arthur
2:11.0,,,107-80,2,D. Arthur makes 2-pt shot from 21 ft
2:09.0,Brooklyn full timeout,,107-80,,
2:09.0,,,107-80,,Denver full timeout
2:09.0,S. Karasev enters the game for T. Young,,107-80,,
2:09.0,,,107-80,,J. Nurkic enters the game for D. Arthur
1:50.0,M. Plumlee misses 2-pt shot from 4 ft,,107-80,,
1:49.0,,,107-80,,Defensive rebound by J. Lauvergne
1:38.0,,,107-80,,J. Nurkic misses 2-pt shot from 4 ft
1:36.0,Defensive rebound by M. Brown,,107-80,,
1:33.0,D. Morris makes 2-pt shot at rim (assist by M. Brown),2,109-80,,
1:17.0,,,109-80,,E. Green misses 2-pt shot from 22 ft
1:16.0,Defensive rebound by M. Plumlee,,109-80,,
1:04.0,S. Karasev misses 3-pt shot from 25 ft,,109-80,,
1:03.0,,,109-80,,Defensive rebound by Team
0:47.0,,,109-80,,J. Lauvergne misses 2-pt shot from 2 ft
0:46.0,Defensive rebound by M. Plumlee,,109-80,,
0:26.0,Shooting foul by J. Nurkic (drawn by M. Plumlee),,109-80,,
0:26.0,M. Plumlee misses free throw 1 of 2,,109-80,,
0:26.0,Offensive rebound by Team,,109-80,,
0:26.0,M. Plumlee makes free throw 2 of 2,1,110-80,,
0:16.0,,,110-80,,J. Lauvergne misses 3-pt shot from 26 ft
0:14.0,,,110-80,,Offensive rebound by G. Harris
0:13.0,,,110-82,2,G. Harris makes 2-pt shot from 1 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
