time,Sacramento,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. J. Thompson (J. Hill gains possession),,,,Jump ball: T. Black vs. J. Thompson (J. Hill gains possession)
11:41.0,,,0-2,2,T. Black makes 2-pt shot from 4 ft (assist by R. Kelly)
11:27.0,J. Thompson makes 2-pt shot from 14 ft (assist by B. McLemore),2,2-2,,
11:07.0,,,2-2,,V. Blue misses 3-pt shot from 26 ft
11:06.0,Defensive rebound by B. McLemore,,2-2,,
10:50.0,B. McLemore misses 3-pt shot from 27 ft,,2-2,,
10:49.0,Offensive rebound by C. Landry,,2-2,,
10:43.0,Shooting foul by T. Black (drawn by B. McLemore),,2-2,,
10:43.0,B. McLemore misses free throw 1 of 2,,2-2,,
10:43.0,Offensive rebound by Team,,2-2,,
10:43.0,B. McLemore makes free throw 2 of 2,1,3-2,,
10:25.0,,,3-2,,Turnover by J. Hill (3 sec)
10:11.0,R. McCallum misses 3-pt shot from 23 ft,,3-2,,
10:11.0,Offensive rebound by Team,,3-2,,
10:06.0,B. McLemore makes 2-pt shot at rim (assist by R. McCallum),2,5-2,,
9:44.0,,,5-4,2,J. Hill makes 2-pt shot from 1 ft
9:31.0,J. Thompson misses 2-pt shot from 17 ft,,5-4,,
9:30.0,,,5-4,,Defensive rebound by Team
9:18.0,,,5-6,2,V. Blue makes 2-pt shot from 2 ft
9:09.0,Shooting foul by T. Black (drawn by J. Thompson),,5-6,,
9:09.0,J. Thompson makes free throw 1 of 2,1,6-6,,
9:09.0,,,6-6,,E. Davis enters the game for T. Black
9:09.0,J. Thompson misses free throw 2 of 2,,6-6,,
9:06.0,,,6-6,,Defensive rebound by E. Davis
8:51.0,,,6-6,,V. Blue misses 3-pt shot from 26 ft
8:50.0,,,6-6,,Offensive rebound by E. Davis
8:39.0,,,6-6,,Shooting foul by N. Stauskas (drawn by R. Kelly)
8:39.0,,,6-7,1,R. Kelly makes free throw 1 of 2
8:39.0,,,6-7,,R. Kelly misses free throw 2 of 2
8:38.0,Defensive rebound by N. Stauskas,,6-7,,
8:22.0,C. Landry makes 2-pt shot at rim (assist by J. Thompson),2,8-7,,
8:06.0,,,8-9,2,J. Hill makes 2-pt shot from 21 ft (assist by J. Brown)
7:57.0,N. Stauskas makes 3-pt shot from 24 ft (assist by R. McCallum),3,11-9,,
7:48.0,,,11-9,,R. Kelly misses 3-pt shot from 24 ft
7:47.0,,,11-9,,Offensive rebound by Team
7:43.0,,,11-9,,J. Hill misses 2-pt shot from 9 ft
7:41.0,Defensive rebound by J. Thompson,,11-9,,
7:36.0,R. McCallum misses 2-pt shot from 3 ft,,11-9,,
7:32.0,,,11-9,,Defensive rebound by E. Davis
7:30.0,,,11-9,,J. Brown misses 2-pt shot from 2 ft
7:26.0,Defensive rebound by B. McLemore,,11-9,,
7:24.0,R. McCallum makes 2-pt shot at rim (assist by B. McLemore),2,13-9,,
7:06.0,,,13-9,,J. Brown misses 2-pt shot from 4 ft
7:04.0,Defensive rebound by J. Thompson,,13-9,,
6:51.0,B. McLemore misses 2-pt shot from 21 ft,,13-9,,
6:50.0,Offensive rebound by Team,,13-9,,
6:47.0,B. McLemore makes 2-pt shot from 15 ft (assist by N. Stauskas),2,15-9,,
6:28.0,,,15-9,,E. Davis misses 2-pt shot from 9 ft
6:25.0,Defensive rebound by J. Thompson,,15-9,,
