time,Chicago,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. T. Zeller (J. Sullinger gains possession),,,,Jump ball: P. Gasol vs. T. Zeller (J. Sullinger gains possession)
11:46.0,,,0-2,2,T. Zeller makes 2-pt shot from 16 ft (assist by A. Bradley)
11:32.0,D. Rose misses 2-pt shot from 13 ft,,0-2,,
11:31.0,,,0-2,,Defensive rebound by T. Zeller
11:20.0,,,0-4,2,E. Turner makes 2-pt shot from 12 ft
11:09.0,J. Butler misses 3-pt shot from 25 ft,,0-4,,
11:08.0,,,0-4,,Defensive rebound by T. Zeller
10:55.0,,,0-4,,T. Zeller misses 2-pt shot from 9 ft
10:54.0,Defensive rebound by P. Gasol,,0-4,,
10:41.0,Turnover by P. Gasol (bad pass),,0-4,,
10:28.0,,,0-4,,Turnover by E. Turner (bad pass; steal by J. Butler)
10:22.0,D. Rose makes 2-pt shot at rim (assist by J. Butler),2,2-4,,
10:01.0,,,2-4,,J. Sullinger misses 2-pt shot from 12 ft
10:00.0,Defensive rebound by P. Gasol,,2-4,,
9:48.0,D. Rose makes 3-pt shot from 25 ft (assist by P. Gasol),3,5-4,,
9:28.0,,,5-6,2,J. Sullinger makes 2-pt shot from 18 ft (assist by E. Turner)
9:06.0,P. Gasol misses 2-pt shot from 4 ft,,5-6,,
9:05.0,,,5-6,,Defensive rebound by J. Sullinger
8:57.0,,,5-6,,J. Sullinger misses 2-pt shot from 16 ft
8:56.0,Defensive rebound by P. Gasol,,5-6,,
8:45.0,Turnover by P. Gasol (bad pass; steal by J. Crowder),,5-6,,
8:28.0,,,5-8,2,E. Turner makes 2-pt shot at rim
8:09.0,T. Gibson misses 2-pt shot from 8 ft,,5-8,,
8:09.0,Offensive rebound by P. Gasol,,5-8,,
8:07.0,P. Gasol makes 2-pt shot from 1 ft,2,7-8,,
7:57.0,,,7-8,,Turnover by A. Bradley (lost ball; steal by D. Rose)
7:51.0,D. Rose makes 2-pt shot at rim,2,9-8,,
7:34.0,,,9-8,,Turnover by A. Bradley (lost ball; steal by K. Hinrich)
7:31.0,K. Hinrich misses 2-pt shot at rim (block by E. Turner),,9-8,,
7:30.0,Offensive rebound by Team,,9-8,,
7:30.0,A. Brooks enters the game for D. Rose,,9-8,,
7:18.0,J. Butler misses 2-pt shot from 19 ft,,9-8,,
7:16.0,,,9-8,,Defensive rebound by E. Turner
7:14.0,,,9-8,,Turnover by E. Turner (bad pass; steal by J. Butler)
7:04.0,J. Butler makes 2-pt shot at rim (assist by T. Gibson),2,11-8,,
6:50.0,,,11-10,2,E. Turner makes 2-pt shot from 18 ft
6:33.0,A. Brooks makes 2-pt shot at rim,2,13-10,,
6:21.0,,,13-12,2,J. Crowder makes 2-pt shot from 19 ft (assist by J. Sullinger)
6:09.0,P. Gasol misses 2-pt shot from 17 ft,,13-12,,
6:08.0,,,13-12,,Defensive rebound by J. Sullinger
5:58.0,,,13-12,,E. Turner misses 2-pt shot from 7 ft
5:56.0,Defensive rebound by A. Brooks,,13-12,,
5:51.0,K. Hinrich misses 2-pt shot from 19 ft,,13-12,,
5:51.0,Offensive rebound by P. Gasol,,13-12,,
5:40.0,A. Brooks misses 3-pt shot from 25 ft,,13-12,,
5:39.0,Offensive rebound by P. Gasol,,13-12,,
5:34.0,A. Brooks makes 2-pt shot at rim (assist by P. Gasol),2,15-12,,
5:32.0,,,15-12,,Boston full timeout
5:32.0,D. Rose enters the game for A. Brooks,,15-12,,
5:32.0,,,15-12,,K. Olynyk enters the game for J. Sullinger
5:19.0,,,15-12,,A. Bradley misses 2-pt shot from 15 ft (block by D. Rose)
5:17.0,Defensive rebound by K. Hinrich,,15-12,,
4:55.0,P. Gasol misses 2-pt shot from 8 ft,,15-12,,
4:54.0,,,15-12,,Defensive rebound by T. Zeller
4:49.0,,,15-14,2,K. Olynyk makes 2-pt shot at rim (assist by E. Turner)
4:42.0,,,15-14,,Personal foul by A. Bradley (drawn by D. Rose)
4:42.0,,,15-14,,M. Thornton enters the game for J. Crowder
4:30.0,J. Butler misses 2-pt shot from 9 ft,,15-14,,
4:30.0,,,15-14,,Defensive rebound by T. Zeller
4:25.0,,,15-14,,E. Turner misses 2-pt shot at rim
4:24.0,Defensive rebound by Team,,15-14,,
4:13.0,T. Gibson makes 2-pt shot at rim (assist by D. Rose),2,17-14,,
3:51.0,,,17-16,2,T. Zeller makes 2-pt shot from 4 ft (assist by M. Thornton)
3:37.0,D. Rose misses 3-pt shot from 25 ft,,17-16,,
3:36.0,,,17-16,,Defensive rebound by K. Olynyk
3:24.0,,,17-16,,E. Turner misses 3-pt shot from 25 ft
3:23.0,Defensive rebound by T. Gibson,,17-16,,
3:11.0,D. Rose misses 2-pt shot from 7 ft,,17-16,,
3:10.0,,,17-16,,Defensive rebound by T. Zeller
2:54.0,,,17-16,,Turnover by T. Zeller (bad pass; steal by K. Hinrich)
2:45.0,P. Gasol makes 2-pt shot from 15 ft (assist by J. Butler),2,19-16,,
2:29.0,,,19-18,2,K. Olynyk makes 2-pt shot at rim (assist by E. Turner)
2:09.0,T. Gibson makes 2-pt shot at rim (assist by P. Gasol),2,21-18,,
2:09.0,Shooting foul by E. Turner (drawn by T. Gibson),,21-18,,
2:09.0,Chicago full timeout,,21-18,,
2:09.0,E. Moore enters the game for K. Hinrich,,21-18,,
2:09.0,,,21-18,,M. Smart enters the game for T. Zeller
2:09.0,,,21-18,,B. Bass enters the game for A. Bradley
2:09.0,A. Brooks enters the game for D. Rose,,21-18,,
2:09.0,T. Gibson makes free throw 1 of 1,1,22-18,,
1:54.0,N. Mirotic enters the game for T. Gibson,,22-18,,
1:47.0,,,22-20,2,K. Olynyk makes 2-pt shot from 19 ft (assist by B. Bass)
1:24.0,Turnover by J. Butler (bad pass; steal by M. Smart),,22-20,,
1:14.0,,,22-22,2,M. Thornton makes 2-pt shot from 5 ft
0:58.0,A. Brooks misses 3-pt shot from 25 ft,,22-22,,
0:57.0,,,22-22,,Defensive rebound by M. Thornton
0:49.0,,,22-22,,M. Thornton misses 2-pt shot from 4 ft
0:48.0,Defensive rebound by P. Gasol,,22-22,,
0:44.0,Turnover by A. Brooks (lost ball; steal by M. Smart),,22-22,,
0:40.0,,,22-24,2,M. Thornton makes 2-pt shot from 1 ft (assist by M. Smart)
0:26.0,,,22-24,,Personal foul by B. Bass (drawn by P. Gasol)
0:12.0,J. Butler misses 2-pt shot from 18 ft,,22-24,,
0:12.0,,,22-24,,Defensive rebound by M. Smart
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,N. Mirotic misses 3-pt shot from 23 ft,,22-24,,
11:46.0,,,22-24,,Defensive rebound by M. Smart
11:22.0,,,22-24,,B. Bass misses 2-pt shot from 8 ft
11:21.0,Defensive rebound by T. Gibson,,22-24,,
11:15.0,,,22-24,,Violation by B. Bass (def goaltending)
11:15.0,A. Brooks makes 2-pt shot from 2 ft,2,24-24,,
11:03.0,,,24-24,,Shooting foul by A. Brooks (drawn by P. Pressey)
11:03.0,,,24-24,,P. Pressey misses free throw 1 of 2
11:03.0,,,24-24,,Offensive rebound by Team
11:03.0,,,24-25,1,P. Pressey makes free throw 2 of 2
10:45.0,T. Gibson misses 2-pt shot from 4 ft (block by K. Olynyk),,24-25,,
10:44.0,,,24-25,,Defensive rebound by K. Olynyk
10:43.0,,,24-25,,B. Bass misses 2-pt shot at rim (block by A. Brooks)
10:42.0,Defensive rebound by E. Moore,,24-25,,
10:42.0,Technical foul by Team,,24-25,,
10:42.0,,,24-26,1,M. Thornton makes technical free throw
10:42.0,,,24-26,,J. Crowder enters the game for M. Thornton
10:29.0,N. Mirotic makes 2-pt shot from 18 ft,2,26-26,,
10:21.0,,,26-26,,P. Pressey misses 3-pt shot from 25 ft
10:21.0,,,26-26,,Offensive rebound by P. Pressey
10:19.0,,,26-26,,Shooting foul by E. Moore (drawn by M. Smart)
10:19.0,,,26-27,1,M. Smart makes free throw 1 of 2
10:19.0,,,26-28,1,M. Smart makes free throw 2 of 2
10:03.0,J. Butler misses 2-pt shot from 14 ft,,26-28,,
10:02.0,,,26-28,,Defensive rebound by K. Olynyk
9:56.0,Violation by T. Gibson (kicked ball),,26-28,,
9:53.0,Personal foul by T. Gibson (drawn by K. Olynyk),,26-28,,
9:44.0,,,26-28,,J. Crowder misses 2-pt shot from 6 ft
9:43.0,Defensive rebound by N. Mirotic,,26-28,,
9:40.0,Shooting foul by K. Olynyk (drawn by J. Butler),,26-28,,
9:40.0,J. Butler makes free throw 1 of 2,1,27-28,,
9:40.0,J. Butler makes free throw 2 of 2,1,28-28,,
9:28.0,,,28-30,2,B. Bass makes 2-pt shot at rim (assist by J. Crowder)
9:04.0,A. Brooks makes 3-pt shot from 22 ft (assist by E. Moore),3,31-30,,
8:53.0,,,31-32,2,P. Pressey makes 2-pt shot at rim
8:45.0,Official timeout,,31-32,,
8:31.0,E. Moore makes 3-pt shot from 23 ft (assist by N. Mirotic),3,34-32,,
8:16.0,,,34-32,,Turnover by K. Olynyk (lost ball; steal by J. Butler)
8:15.0,,,34-32,,Personal foul by K. Olynyk (drawn by J. Butler)
8:15.0,K. Hinrich enters the game for J. Butler,,34-32,,
8:15.0,,,34-32,,J. Sullinger enters the game for K. Olynyk
8:06.0,Shooting foul by J. Sullinger (drawn by N. Mirotic),,34-32,,
8:06.0,N. Mirotic makes free throw 1 of 2,1,35-32,,
8:06.0,N. Mirotic makes free throw 2 of 2,1,36-32,,
7:49.0,,,36-32,,Turnover by B. Bass (lost ball; steal by A. Brooks)
7:31.0,N. Mirotic misses 3-pt shot from 25 ft,,36-32,,
7:29.0,Offensive rebound by K. Hinrich,,36-32,,
7:23.0,E. Moore misses 3-pt shot from 25 ft,,36-32,,
7:22.0,,,36-32,,Defensive rebound by B. Bass
7:15.0,,,36-32,,Shooting foul by N. Mirotic (drawn by B. Bass)
7:15.0,,,36-33,1,B. Bass makes free throw 1 of 2
7:15.0,,,36-33,,A. Bradley enters the game for J. Crowder
7:15.0,,,36-34,1,B. Bass makes free throw 2 of 2
7:01.0,Shooting foul by J. Sullinger (drawn by T. Gibson),,36-34,,
7:01.0,T. Gibson makes free throw 1 of 2,1,37-34,,
7:01.0,D. Rose enters the game for A. Brooks,,37-34,,
7:01.0,T. Gibson makes free throw 2 of 2,1,38-34,,
6:47.0,,,38-36,2,B. Bass makes 2-pt shot from 18 ft (assist by M. Smart)
6:29.0,T. Gibson makes 2-pt shot at rim (assist by N. Mirotic),2,40-36,,
6:16.0,,,40-38,2,P. Pressey makes 2-pt shot from 20 ft
5:55.0,T. Gibson misses 2-pt shot from 16 ft,,40-38,,
5:54.0,,,40-38,,Defensive rebound by A. Bradley
5:43.0,,,40-41,3,A. Bradley makes 3-pt shot from 25 ft (assist by B. Bass)
5:27.0,,,40-41,,Boston full timeout
5:21.0,D. Rose misses 2-pt shot from 18 ft,,40-41,,
5:20.0,,,40-41,,Defensive rebound by B. Bass
4:57.0,,,40-43,2,A. Bradley makes 2-pt shot from 18 ft
4:38.0,K. Hinrich makes 3-pt shot from 23 ft (assist by N. Mirotic),3,43-43,,
4:20.0,,,43-46,3,P. Pressey makes 3-pt shot from 24 ft (assist by M. Smart)
4:01.0,Shooting foul by A. Bradley (drawn by N. Mirotic),,43-46,,
4:01.0,N. Mirotic makes free throw 1 of 2,1,44-46,,
4:01.0,,,44-46,,E. Turner enters the game for P. Pressey
4:01.0,J. Butler enters the game for E. Moore,,44-46,,
4:01.0,N. Mirotic misses free throw 2 of 2,,44-46,,
4:01.0,,,44-46,,Defensive rebound by E. Turner
3:47.0,,,44-48,2,J. Sullinger makes 2-pt shot from 1 ft (assist by A. Bradley)
3:29.0,T. Gibson misses 2-pt shot from 1 ft,,44-48,,
3:29.0,,,44-48,,Defensive rebound by J. Sullinger
3:20.0,,,44-48,,E. Turner misses 2-pt shot from 10 ft
3:18.0,,,44-48,,Offensive rebound by J. Sullinger
3:16.0,,,44-48,,J. Sullinger misses 2-pt shot at rim
3:15.0,Defensive rebound by T. Gibson,,44-48,,
3:09.0,D. Rose misses 2-pt shot from 3 ft (block by B. Bass),,44-48,,
3:08.0,,,44-48,,Defensive rebound by J. Sullinger
2:59.0,,,44-50,2,A. Bradley makes 2-pt shot at rim (assist by M. Smart)
2:44.0,J. Butler makes 2-pt shot from 21 ft (assist by D. Rose),2,46-50,,
2:23.0,,,46-50,,B. Bass misses 2-pt shot from 4 ft
2:21.0,,,46-50,,Offensive rebound by B. Bass
2:20.0,,,46-52,2,B. Bass makes 2-pt shot at rim
2:12.0,Chicago full timeout,,46-52,,
2:12.0,P. Gasol enters the game for T. Gibson,,46-52,,
2:12.0,,,46-52,,T. Zeller enters the game for J. Sullinger
1:57.0,D. Rose misses 2-pt shot from 10 ft,,46-52,,
1:54.0,Offensive rebound by D. Rose,,46-52,,
1:52.0,D. Rose makes 2-pt shot at rim,2,48-52,,
1:39.0,,,48-52,,A. Bradley misses 2-pt shot from 18 ft
1:38.0,Defensive rebound by P. Gasol,,48-52,,
1:23.0,N. Mirotic misses 3-pt shot from 22 ft,,48-52,,
1:22.0,,,48-52,,Defensive rebound by M. Smart
1:18.0,,,48-54,2,B. Bass makes 2-pt shot at rim (assist by A. Bradley)
1:05.0,P. Gasol makes 2-pt shot from 16 ft (assist by D. Rose),2,50-54,,
0:46.0,,,50-54,,Shooting foul by N. Mirotic (drawn by T. Zeller)
0:46.0,,,50-55,1,T. Zeller makes free throw 1 of 2
0:46.0,,,50-56,1,T. Zeller makes free throw 2 of 2
0:38.0,D. Rose misses 3-pt shot from 26 ft,,50-56,,
0:37.0,Offensive rebound by J. Butler,,50-56,,
0:34.0,J. Butler makes 2-pt shot at rim,2,52-56,,
0:17.0,,,52-58,2,T. Zeller makes 2-pt shot at rim
0:02.0,K. Hinrich makes 3-pt shot from 26 ft (assist by D. Rose),3,55-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,P. Gasol makes 2-pt shot at rim (assist by K. Hinrich),2,57-58,,
11:31.0,,,57-58,,T. Zeller misses 2-pt shot from 2 ft
11:30.0,,,57-58,,Offensive rebound by J. Sullinger
11:29.0,,,57-58,,Shooting foul by P. Gasol (drawn by J. Sullinger)
11:29.0,,,57-59,1,J. Sullinger makes free throw 1 of 2
11:29.0,,,57-60,1,J. Sullinger makes free throw 2 of 2
11:17.0,J. Butler makes 2-pt shot from 15 ft (assist by D. Rose),2,59-60,,
11:02.0,Jump ball: J. Butler vs. J. Sullinger (A. Bradley gains possession),,,,Jump ball: J. Butler vs. J. Sullinger (A. Bradley gains possession)
10:52.0,,,59-62,2,T. Zeller makes 2-pt shot from 16 ft (assist by E. Turner)
10:32.0,J. Butler misses 2-pt shot at rim,,59-62,,
10:31.0,,,59-62,,Defensive rebound by T. Zeller
10:23.0,,,59-62,,Turnover by A. Bradley (lost ball; steal by J. Butler)
10:18.0,J. Butler makes 2-pt shot at rim (assist by D. Rose),2,61-62,,
10:01.0,,,61-64,2,J. Sullinger makes 2-pt shot from 18 ft (assist by T. Zeller)
9:47.0,P. Gasol makes 2-pt shot from 17 ft (assist by D. Rose),2,63-64,,
9:29.0,,,63-67,3,J. Sullinger makes 3-pt shot from 24 ft (assist by J. Crowder)
9:14.0,P. Gasol makes 2-pt shot from 4 ft (assist by D. Rose),2,65-67,,
9:14.0,Shooting foul by J. Sullinger (drawn by P. Gasol),,65-67,,
9:14.0,P. Gasol makes free throw 1 of 1,1,66-67,,
8:59.0,,,66-67,,J. Sullinger misses 3-pt shot from 24 ft
8:58.0,Defensive rebound by D. Rose,,66-67,,
8:38.0,T. Gibson misses 2-pt shot from 12 ft,,66-67,,
8:37.0,,,66-67,,Defensive rebound by E. Turner
8:31.0,,,66-69,2,T. Zeller makes 2-pt shot from 8 ft (assist by E. Turner)
8:16.0,P. Gasol makes 2-pt shot from 18 ft (assist by D. Rose),2,68-69,,
7:58.0,,,68-69,,Shooting foul by T. Gibson (drawn by J. Sullinger)
7:58.0,,,68-70,1,J. Sullinger makes free throw 1 of 2
7:58.0,,,68-71,1,J. Sullinger makes free throw 2 of 2
7:44.0,P. Gasol misses 2-pt shot from 15 ft,,68-71,,
7:43.0,,,68-71,,Defensive rebound by E. Turner
7:31.0,,,68-71,,Turnover by E. Turner (bad pass; steal by J. Butler)
7:26.0,,,68-71,,Personal foul by E. Turner (drawn by J. Butler)
7:20.0,D. Rose makes 2-pt shot from 6 ft,2,70-71,,
7:04.0,,,70-71,,Turnover by T. Zeller (bad pass; steal by J. Butler)
7:02.0,J. Butler makes 2-pt shot at rim,2,72-71,,
7:01.0,,,72-71,,Boston full timeout
6:46.0,,,72-71,,Shooting foul by T. Gibson (drawn by E. Turner)
6:46.0,,,72-72,1,E. Turner makes free throw 1 of 2
6:46.0,,,72-72,,K. Olynyk enters the game for T. Zeller
6:46.0,,,72-72,,E. Turner misses free throw 2 of 2
6:45.0,Defensive rebound by P. Gasol,,72-72,,
6:26.0,T. Gibson misses 2-pt shot from 5 ft,,72-72,,
6:25.0,Offensive rebound by T. Gibson,,72-72,,
6:21.0,P. Gasol makes 2-pt shot from 16 ft (assist by T. Gibson),2,74-72,,
6:05.0,,,74-72,,E. Turner misses 2-pt shot at rim
6:04.0,Defensive rebound by J. Butler,,74-72,,
5:58.0,J. Butler makes 2-pt shot at rim,2,76-72,,
5:40.0,,,76-72,,J. Crowder misses 2-pt shot from 17 ft
5:39.0,Defensive rebound by D. Rose,,76-72,,
5:32.0,D. Rose makes 3-pt shot from 25 ft,3,79-72,,
5:12.0,,,79-74,2,E. Turner makes 2-pt shot at rim (assist by J. Sullinger)
4:52.0,Shooting foul by K. Olynyk (drawn by P. Gasol),,79-74,,
4:52.0,P. Gasol makes free throw 1 of 2,1,80-74,,
4:52.0,,,80-74,,M. Smart enters the game for A. Bradley
4:52.0,,,80-74,,M. Thornton enters the game for J. Crowder
4:52.0,P. Gasol misses free throw 2 of 2,,80-74,,
4:51.0,,,80-74,,Defensive rebound by K. Olynyk
4:35.0,,,80-74,,K. Olynyk misses 3-pt shot from 24 ft
4:34.0,,,80-74,,Offensive rebound by Team
4:34.0,Loose ball foul by T. Gibson (drawn by J. Sullinger),,80-74,,
4:34.0,Technical foul by Team,,80-74,,
4:34.0,,,80-75,1,M. Thornton makes technical free throw
4:34.0,N. Mirotic enters the game for T. Gibson,,80-75,,
4:23.0,,,80-75,,J. Sullinger misses 2-pt shot from 3 ft
4:22.0,,,80-75,,Offensive rebound by K. Olynyk
4:21.0,,,80-75,,K. Olynyk misses 2-pt shot from 1 ft
4:20.0,,,80-75,,Offensive rebound by K. Olynyk
4:19.0,,,80-75,,K. Olynyk misses 2-pt shot at rim
4:18.0,,,80-75,,Offensive rebound by J. Sullinger
4:17.0,,,80-77,2,J. Sullinger makes 2-pt shot from 1 ft
3:59.0,D. Rose makes 2-pt shot from 4 ft,2,82-77,,
3:40.0,,,82-77,,J. Sullinger misses 3-pt shot from 26 ft
3:38.0,,,82-77,,Offensive rebound by M. Smart
3:32.0,,,82-77,,M. Smart misses 3-pt shot from 26 ft
3:31.0,,,82-77,,Offensive rebound by K. Olynyk
3:22.0,,,82-79,2,E. Turner makes 2-pt shot from 18 ft
3:08.0,P. Gasol misses 2-pt shot from 18 ft,,82-79,,
3:05.0,,,82-79,,Defensive rebound by M. Smart
2:58.0,,,82-79,,Turnover by E. Turner (bad pass; steal by N. Mirotic)
2:49.0,D. Rose misses 3-pt shot from 25 ft,,82-79,,
2:48.0,,,82-79,,Defensive rebound by M. Smart
2:27.0,,,82-79,,K. Olynyk misses 2-pt shot from 2 ft (block by P. Gasol)
2:25.0,Defensive rebound by N. Mirotic,,82-79,,
2:20.0,J. Butler makes 2-pt shot from 1 ft (assist by N. Mirotic),2,84-79,,
1:58.0,,,84-79,,M. Smart misses 2-pt shot from 4 ft (block by D. Rose)
1:57.0,,,84-79,,Offensive rebound by Team
1:57.0,Chicago full timeout,,84-79,,
1:57.0,E. Moore enters the game for K. Hinrich,,84-79,,
1:57.0,,,84-79,,B. Bass enters the game for J. Sullinger
1:52.0,,,84-79,,B. Bass misses 2-pt shot from 18 ft
1:51.0,Defensive rebound by P. Gasol,,84-79,,
1:40.0,J. Butler misses 2-pt shot from 6 ft,,84-79,,
1:39.0,,,84-79,,Defensive rebound by E. Turner
1:35.0,,,84-82,3,M. Smart makes 3-pt shot from 24 ft (assist by E. Turner)
1:21.0,,,84-82,,Personal foul by M. Smart (drawn by D. Rose)
1:15.0,P. Gasol makes 2-pt shot from 16 ft (assist by D. Rose),2,86-82,,
1:00.0,,,86-84,2,B. Bass makes 2-pt shot from 17 ft (assist by M. Thornton)
0:50.0,D. Rose makes 2-pt shot at rim,2,88-84,,
0:37.0,,,88-84,,M. Thornton misses 3-pt shot from 22 ft
0:37.0,Defensive rebound by J. Butler,,88-84,,
0:25.0,P. Gasol misses 2-pt shot from 8 ft,,88-84,,
0:24.0,,,88-84,,Defensive rebound by K. Olynyk
0:02.0,,,88-84,,K. Olynyk misses 2-pt shot from 3 ft
0:01.0,,,88-84,,Offensive rebound by K. Olynyk
0:01.0,,,88-86,2,K. Olynyk makes 2-pt shot at rim
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,88-86,,K. Olynyk misses 2-pt shot from 2 ft
11:36.0,Defensive rebound by Team,,88-86,,
11:14.0,E. Moore makes 3-pt shot from 25 ft (assist by A. Brooks),3,91-86,,
10:49.0,,,91-88,2,M. Thornton makes 2-pt shot at rim (assist by P. Pressey)
10:25.0,J. Butler makes 2-pt shot from 11 ft,2,93-88,,
10:08.0,Personal foul by E. Moore (drawn by M. Smart),,93-88,,
10:08.0,,,93-88,,A. Bradley enters the game for M. Thornton
9:58.0,,,93-90,2,K. Olynyk makes 2-pt shot at rim (assist by P. Pressey)
9:30.0,E. Moore makes 3-pt shot from 25 ft,3,96-90,,
9:14.0,,,96-90,,K. Olynyk misses 2-pt shot from 6 ft
9:14.0,,,96-90,,Offensive rebound by B. Bass
