time,Portland,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. N. Vucevic (C. Frye gains possession),,,,Jump ball: R. Lopez vs. N. Vucevic (C. Frye gains possession)
11:42.0,,,0-0,,N. Vucevic misses 2-pt shot from 5 ft
11:41.0,Defensive rebound by N. Batum,,0-0,,
11:30.0,A. Afflalo misses 3-pt shot from 23 ft,,0-0,,
11:28.0,,,0-0,,Defensive rebound by E. Payton
11:19.0,,,0-0,,M. Harkless misses 2-pt shot at rim
11:17.0,,,0-0,,Offensive rebound by E. Payton
11:17.0,,,0-2,2,E. Payton makes 2-pt shot at rim
10:56.0,L. Aldridge makes 2-pt shot from 12 ft,2,2-2,,
10:43.0,,,2-2,,M. Harkless misses 2-pt shot from 1 ft
10:41.0,,,2-2,,Offensive rebound by N. Vucevic
10:41.0,,,2-4,2,N. Vucevic makes 2-pt shot at rim
10:13.0,A. Afflalo misses 3-pt shot from 27 ft,,2-4,,
10:11.0,,,2-4,,Defensive rebound by E. Payton
9:57.0,,,2-7,3,C. Frye makes 3-pt shot from 25 ft (assist by E. Payton)
9:32.0,Turnover by A. Afflalo (bad pass; steal by E. Payton),,2-7,,
9:29.0,,,2-7,,Shooting foul by A. Afflalo (drawn by V. Oladipo)
9:29.0,Portland full timeout,,2-7,,
9:29.0,,,2-8,1,V. Oladipo makes free throw 1 of 2
9:29.0,,,2-9,1,V. Oladipo makes free throw 2 of 2
9:07.0,L. Aldridge misses 2-pt shot from 19 ft,,2-9,,
9:06.0,Offensive rebound by R. Lopez,,2-9,,
9:02.0,Turnover by R. Lopez (lost ball; steal by E. Payton),,2-9,,
8:52.0,,,2-11,2,N. Vucevic makes 2-pt shot from 6 ft (assist by V. Oladipo)
8:38.0,Turnover by A. Afflalo (lost ball),,2-11,,
8:28.0,,,2-11,,C. Frye misses 3-pt shot from 25 ft
8:26.0,Defensive rebound by A. Afflalo,,2-11,,
8:14.0,A. Afflalo misses 2-pt shot from 1 ft,,2-11,,
8:12.0,,,2-11,,Defensive rebound by V. Oladipo
8:09.0,,,2-11,,V. Oladipo misses 2-pt shot from 1 ft
8:07.0,,,2-11,,Offensive rebound by M. Harkless
8:07.0,,,2-11,,M. Harkless misses 2-pt shot at rim
8:05.0,,,2-11,,Offensive rebound by M. Harkless
8:05.0,,,2-11,,M. Harkless misses 2-pt shot from 1 ft
8:03.0,Defensive rebound by N. Batum,,2-11,,
7:56.0,,,2-11,,Personal foul by N. Vucevic (drawn by L. Aldridge)
7:51.0,D. Lillard makes 2-pt shot from 1 ft (assist by N. Batum),2,4-11,,
7:39.0,,,4-11,,V. Oladipo misses 2-pt shot from 19 ft
7:36.0,,,4-11,,Offensive rebound by C. Frye
7:36.0,,,4-11,,C. Frye misses 2-pt shot at rim
7:34.0,Defensive rebound by N. Batum,,4-11,,
7:23.0,D. Lillard misses 3-pt shot from 25 ft,,4-11,,
7:21.0,,,4-11,,Defensive rebound by C. Frye
