time,Sacramento,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Thompson vs. J. Valanciunas (B. McLemore gains possession),,,,Jump ball: J. Thompson vs. J. Valanciunas (B. McLemore gains possession)
11:49.0,,,0-0,,Personal foul by A. Johnson (drawn by D. Cousins)
11:40.0,R. Gay misses 3-pt shot from 22 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by K. Lowry
11:20.0,,,0-0,,D. DeRozan misses 2-pt shot from 16 ft
11:19.0,,,0-0,,Offensive rebound by J. Valanciunas
11:14.0,,,0-0,,D. DeRozan misses 3-pt shot from 26 ft
11:13.0,Defensive rebound by B. McLemore,,0-0,,
11:06.0,J. Thompson misses 2-pt shot from 5 ft,,0-0,,
11:05.0,,,0-0,,Defensive rebound by A. Johnson
10:58.0,,,0-2,2,K. Lowry makes 2-pt shot from 3 ft
10:39.0,D. Cousins misses 2-pt shot from 16 ft,,0-2,,
10:38.0,,,0-2,,Defensive rebound by G. Vasquez
10:32.0,,,0-2,,K. Lowry misses 2-pt shot from 1 ft (block by D. Cousins)
10:30.0,Defensive rebound by R. Gay,,0-2,,
10:21.0,D. Collison misses 3-pt shot from 25 ft,,0-2,,
10:20.0,,,0-2,,Defensive rebound by G. Vasquez
10:04.0,,,0-5,3,A. Johnson makes 3-pt shot from 25 ft (assist by G. Vasquez)
9:46.0,R. Gay misses 2-pt shot from 13 ft,,0-5,,
9:45.0,,,0-5,,Defensive rebound by A. Johnson
9:39.0,,,0-5,,Turnover by G. Vasquez (lost ball; steal by D. Collison)
9:33.0,Offensive foul by J. Thompson,,0-5,,
9:33.0,Turnover by J. Thompson (offensive foul),,0-5,,
9:11.0,,,0-5,,Turnover by K. Lowry (bad pass; steal by D. Cousins)
9:01.0,B. McLemore misses 3-pt shot from 23 ft,,0-5,,
9:00.0,,,0-5,,Defensive rebound by G. Vasquez
8:52.0,,,0-7,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by G. Vasquez)
8:30.0,Turnover by D. Cousins (bad pass; steal by K. Lowry),,0-7,,
8:25.0,,,0-7,,Turnover by A. Johnson (lost ball)
8:10.0,D. Collison makes 3-pt shot from 23 ft (assist by D. Cousins),3,3-7,,
7:44.0,,,3-10,3,D. DeRozan makes 3-pt shot from 24 ft (assist by A. Johnson)
7:21.0,D. Cousins misses 2-pt shot from 19 ft,,3-10,,
7:19.0,,,3-10,,Defensive rebound by J. Valanciunas
7:05.0,,,3-10,,J. Valanciunas misses 2-pt shot from 16 ft
7:05.0,Defensive rebound by D. Cousins,,3-10,,
6:58.0,B. McLemore makes 2-pt shot from 3 ft (assist by D. Cousins),2,5-10,,
6:45.0,,,5-10,,Offensive foul by J. Valanciunas
6:45.0,,,5-10,,Turnover by J. Valanciunas (offensive foul)
6:28.0,D. Cousins makes 2-pt shot at rim,2,7-10,,
6:08.0,,,7-10,,D. DeRozan misses 2-pt shot from 17 ft
6:07.0,Defensive rebound by J. Thompson,,7-10,,
6:00.0,D. Collison misses 2-pt shot from 1 ft,,7-10,,
5:59.0,,,7-10,,Defensive rebound by J. Valanciunas
5:46.0,,,7-10,,D. DeRozan misses 2-pt shot from 1 ft (block by J. Thompson)
5:44.0,,,7-10,,Offensive rebound by D. DeRozan
5:44.0,,,7-10,,Toronto full timeout
5:40.0,,,7-10,,Turnover by A. Johnson (traveling)
5:31.0,R. Gay makes 2-pt shot from 13 ft,2,9-10,,
5:12.0,,,9-10,,G. Vasquez misses 2-pt shot from 10 ft
5:11.0,,,9-10,,Offensive rebound by Team
5:05.0,Violation by D. Cousins (def goaltending),,9-10,,
5:05.0,,,9-12,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by A. Johnson)
4:45.0,J. Thompson makes 2-pt shot from 8 ft (assist by R. Gay),2,11-12,,
4:19.0,,,11-12,,D. DeRozan misses 3-pt shot from 23 ft
4:18.0,Defensive rebound by D. Collison,,11-12,,
4:14.0,Shooting foul by K. Lowry (drawn by B. McLemore),,11-12,,
4:14.0,B. McLemore makes free throw 1 of 2,1,12-12,,
4:14.0,,,12-12,,L. Williams enters the game for G. Vasquez
4:14.0,B. McLemore makes free throw 2 of 2,1,13-12,,
4:00.0,,,13-12,,Shooting foul by D. Collison (drawn by K. Lowry)
4:00.0,,,13-15,3,K. Lowry makes 3-pt shot from 25 ft (assist by A. Johnson)
4:00.0,,,13-16,1,K. Lowry makes free throw 1 of 1
3:50.0,Turnover by D. Cousins (traveling),,13-16,,
