time,Memphis,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. M. Gasol (M. Conley gains possession),,,,Jump ball: L. Amundson vs. M. Gasol (M. Conley gains possession)
11:46.0,M. Conley misses 2-pt shot from 2 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by L. Amundson
11:25.0,,,0-0,,Turnover by L. Thomas (inbound)
11:12.0,M. Gasol makes 2-pt shot from 15 ft (assist by T. Allen),2,2-0,,
10:54.0,,,2-0,,Shooting foul by Z. Randolph (drawn by L. Amundson)
10:54.0,,,2-1,1,L. Amundson makes free throw 1 of 2
10:54.0,,,2-1,,L. Amundson misses free throw 2 of 2
10:53.0,Defensive rebound by M. Gasol,,2-1,,
10:41.0,T. Allen makes 2-pt shot from 2 ft (assist by Z. Randolph),2,4-1,,
10:26.0,,,4-1,,Offensive foul by A. Bargnani
10:26.0,,,4-1,,Turnover by A. Bargnani (offensive foul)
10:08.0,T. Allen makes 2-pt shot from 4 ft,2,6-1,,
9:54.0,,,6-3,2,L. Galloway makes 2-pt shot from 18 ft (assist by A. Bargnani)
9:37.0,M. Conley misses 3-pt shot from 24 ft,,6-3,,
9:35.0,,,6-3,,Defensive rebound by L. Galloway
9:27.0,,,6-5,2,A. Bargnani makes 2-pt shot from 9 ft (assist by L. Galloway)
9:12.0,M. Gasol misses 2-pt shot from 15 ft,,6-5,,
9:10.0,,,6-5,,Defensive rebound by L. Amundson
8:58.0,,,6-5,,L. Amundson misses 2-pt shot from 14 ft
8:56.0,Defensive rebound by M. Gasol,,6-5,,
8:46.0,Shooting foul by L. Amundson (drawn by Z. Randolph),,6-5,,
8:46.0,Z. Randolph makes free throw 1 of 2,1,7-5,,
8:46.0,Z. Randolph makes free throw 2 of 2,1,8-5,,
8:22.0,,,8-5,,A. Bargnani misses 2-pt shot from 13 ft
8:21.0,Defensive rebound by Z. Randolph,,8-5,,
8:14.0,M. Gasol makes 2-pt shot from 4 ft (assist by M. Conley),2,10-5,,
7:51.0,,,10-5,,L. Galloway misses 3-pt shot from 25 ft (block by T. Allen)
7:50.0,,,10-5,,Offensive rebound by Team
7:46.0,,,10-5,,A. Bargnani misses 2-pt shot from 14 ft
7:45.0,Defensive rebound by T. Allen,,10-5,,
7:41.0,Turnover by T. Allen (bad pass; steal by L. Galloway),,10-5,,
7:31.0,,,10-7,2,L. Thomas makes 2-pt shot from 20 ft (assist by S. Larkin)
7:09.0,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley),2,12-7,,
7:09.0,Shooting foul by A. Bargnani (drawn by M. Gasol),,12-7,,
7:09.0,,,12-7,,J. Smith enters the game for A. Bargnani
7:09.0,M. Gasol makes free throw 1 of 1,1,13-7,,
6:52.0,,,13-7,,Turnover by L. Amundson (bad pass)
6:38.0,J. Green misses 2-pt shot from 15 ft,,13-7,,
6:36.0,,,13-7,,Defensive rebound by L. Amundson
6:17.0,,,13-7,,Turnover by L. Thomas (step out of bounds)
6:01.0,T. Allen makes 3-pt shot from 23 ft (assist by M. Conley),3,16-7,,
5:55.0,,,16-7,,New York full timeout
5:55.0,N. Calathes enters the game for J. Green,,16-7,,
5:49.0,,,16-9,2,J. Smith makes 2-pt shot from 18 ft (assist by S. Larkin)
5:30.0,Z. Randolph makes 2-pt shot from 4 ft (assist by M. Gasol),2,18-9,,
5:10.0,,,18-9,,Turnover by L. Thomas (step out of bounds)
5:10.0,,,18-9,,C. Aldrich enters the game for L. Amundson
5:01.0,M. Gasol misses 2-pt shot from 5 ft,,18-9,,
4:59.0,,,18-9,,Defensive rebound by C. Aldrich
4:49.0,,,18-9,,J. Smith misses 2-pt shot from 4 ft
4:48.0,Defensive rebound by N. Calathes,,18-9,,
4:41.0,M. Gasol misses 2-pt shot from 2 ft,,18-9,,
4:39.0,Offensive rebound by M. Gasol,,18-9,,
4:35.0,M. Gasol makes 2-pt shot from 4 ft,2,20-9,,
4:35.0,Shooting foul by C. Aldrich (drawn by M. Gasol),,20-9,,
4:35.0,M. Gasol makes free throw 1 of 1,1,21-9,,
4:16.0,,,21-9,,L. Galloway misses 2-pt shot from 19 ft
4:14.0,Defensive rebound by Z. Randolph,,21-9,,
4:10.0,Turnover by Z. Randolph (bad pass),,21-9,,
3:55.0,,,21-11,2,J. Smith makes 2-pt shot from 19 ft (assist by L. Galloway)
3:36.0,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Gasol),2,23-11,,
3:22.0,,,23-11,,Turnover by C. Aldrich (bad pass; steal by T. Allen)
3:09.0,M. Conley misses 2-pt shot from 1 ft,,23-11,,
3:08.0,,,23-11,,Defensive rebound by J. Smith
2:54.0,,,23-11,,L. Thomas misses 3-pt shot from 23 ft
2:52.0,Defensive rebound by M. Gasol,,23-11,,
2:44.0,Turnover by Z. Randolph (bad pass; steal by L. Thomas),,23-11,,
2:37.0,,,23-11,,Turnover by S. Larkin (bad pass; steal by T. Allen)
2:32.0,N. Calathes makes 2-pt shot from 1 ft (assist by T. Allen),2,25-11,,
2:16.0,,,25-13,2,L. Galloway makes 2-pt shot from 15 ft
2:07.0,Memphis full timeout,,25-13,,
2:07.0,B. Udrih enters the game for Z. Randolph,,25-13,,
2:07.0,K. Koufos enters the game for M. Conley,,25-13,,
2:07.0,,,25-13,,R. Ledo enters the game for S. Larkin
2:01.0,M. Gasol misses 2-pt shot from 2 ft (block by C. Aldrich),,25-13,,
1:59.0,,,25-13,,Defensive rebound by L. Thomas
1:53.0,,,25-15,2,L. Thomas makes 2-pt shot from 5 ft
1:53.0,,,25-15,,Shooting foul by K. Koufos (drawn by L. Thomas)
1:53.0,,,25-16,1,L. Thomas makes free throw 1 of 1
1:40.0,M. Gasol misses 2-pt shot from 19 ft,,25-16,,
1:39.0,,,25-16,,Defensive rebound by C. Aldrich
1:22.0,,,25-18,2,J. Smith makes 2-pt shot from 18 ft (assist by C. Aldrich)
1:11.0,B. Udrih makes 2-pt shot from 11 ft,2,27-18,,
0:55.0,,,27-18,,J. Smith misses 3-pt shot from 24 ft
0:54.0,,,27-18,,Offensive rebound by L. Thomas
0:54.0,,,27-20,2,L. Thomas makes 2-pt shot at rim
0:38.0,M. Gasol misses 2-pt shot from 2 ft,,27-20,,
0:36.0,Offensive rebound by K. Koufos,,27-20,,
0:31.0,N. Calathes misses 2-pt shot from 10 ft,,27-20,,
0:29.0,,,27-20,,Defensive rebound by C. Aldrich
0:08.0,,,27-20,,J. Smith misses 2-pt shot from 20 ft
0:06.0,Defensive rebound by T. Allen,,27-20,,
0:00.0,N. Calathes makes 3-pt shot from 24 ft (assist by T. Allen),3,30-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,30-22,2,C. Aldrich makes 2-pt shot from 1 ft (assist by J. Smith)
11:27.0,B. Udrih misses 2-pt shot from 17 ft,,30-22,,
11:25.0,,,30-22,,Defensive rebound by C. Aldrich
11:08.0,,,30-22,,R. Ledo misses 2-pt shot from 3 ft (block by J. Green)
11:06.0,,,30-22,,Offensive rebound by R. Ledo
11:02.0,,,30-22,,Q. Acy misses 3-pt shot from 29 ft
11:01.0,,,30-22,,Offensive rebound by Team
11:01.0,,,30-22,,Turnover by Team (shot clock)
10:54.0,N. Calathes misses 2-pt shot from 2 ft,,30-22,,
10:53.0,Offensive rebound by J. Green,,30-22,,
10:52.0,J. Green makes 2-pt shot from 1 ft,2,32-22,,
10:35.0,,,32-22,,Shooting foul by K. Koufos (drawn by C. Aldrich)
10:35.0,,,32-23,1,C. Aldrich makes free throw 1 of 2
10:35.0,,,32-24,1,C. Aldrich makes free throw 2 of 2
10:25.0,Turnover by K. Koufos (offensive goaltending),,32-24,,
10:02.0,,,32-24,,J. Smith misses 3-pt shot from 23 ft
10:00.0,Defensive rebound by B. Udrih,,32-24,,
9:43.0,K. Koufos misses 2-pt shot from 13 ft,,32-24,,
9:41.0,,,32-24,,Defensive rebound by C. Aldrich
9:28.0,,,32-24,,S. Larkin misses 3-pt shot from 25 ft
9:26.0,Defensive rebound by J. Green,,32-24,,
9:19.0,J. Green misses 2-pt shot from 17 ft,,32-24,,
9:17.0,,,32-24,,Defensive rebound by Q. Acy
9:02.0,,,32-24,,R. Ledo misses 2-pt shot from 19 ft
9:00.0,Defensive rebound by K. Koufos,,32-24,,
8:51.0,J. Green makes 2-pt shot at rim (assist by V. Carter),2,34-24,,
8:42.0,,,34-24,,New York full timeout
8:42.0,J. Green enters the game for N. Calathes,,34-24,,
8:42.0,,,34-24,,L. Galloway enters the game for C. Aldrich
8:42.0,,,34-24,,A. Bargnani enters the game for R. Ledo
8:35.0,,,34-26,2,L. Galloway makes 2-pt shot from 19 ft (assist by A. Bargnani)
