time,Charlotte,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. A. Jefferson (A. Brooks gains possession),,,,Jump ball: P. Gasol vs. A. Jefferson (A. Brooks gains possession)
11:32.0,,,0-2,2,A. Brooks makes 2-pt shot from 7 ft
11:18.0,Turnover by M. Williams (lost ball),,0-2,,
10:59.0,,,0-2,,J. Butler misses 2-pt shot from 1 ft
10:58.0,Defensive rebound by A. Jefferson,,0-2,,
10:50.0,K. Walker misses 2-pt shot from 16 ft,,0-2,,
10:49.0,,,0-2,,Defensive rebound by T. Gibson
10:38.0,,,0-4,2,P. Gasol makes 2-pt shot from 20 ft (assist by A. Brooks)
10:11.0,A. Jefferson misses 2-pt shot from 15 ft,,0-4,,
10:10.0,,,0-4,,Defensive rebound by T. Gibson
10:01.0,,,0-4,,P. Gasol misses 2-pt shot from 15 ft
9:59.0,Defensive rebound by M. Kidd-Gilchrist,,0-4,,
9:47.0,K. Walker makes 2-pt shot from 6 ft,2,2-4,,
9:26.0,,,2-4,,T. Gibson misses 2-pt shot from 12 ft
9:25.0,Defensive rebound by G. Henderson,,2-4,,
9:20.0,Shooting foul by J. Butler (drawn by G. Henderson),,2-4,,
9:20.0,G. Henderson makes free throw 1 of 2,1,3-4,,
9:20.0,G. Henderson makes free throw 2 of 2,1,4-4,,
9:02.0,,,4-4,,A. Brooks misses 2-pt shot from 2 ft
9:01.0,,,4-4,,Offensive rebound by Team
8:48.0,,,4-4,,J. Butler misses 2-pt shot from 17 ft
8:47.0,Defensive rebound by M. Kidd-Gilchrist,,4-4,,
8:35.0,K. Walker misses 3-pt shot from 24 ft,,4-4,,
8:33.0,,,4-4,,Defensive rebound by M. Dunleavy
8:26.0,,,4-6,2,P. Gasol makes 2-pt shot from 19 ft (assist by M. Dunleavy)
8:08.0,G. Henderson makes 2-pt shot from 17 ft,2,6-6,,
7:57.0,,,6-8,2,P. Gasol makes 2-pt shot from 20 ft (assist by M. Dunleavy)
7:43.0,A. Jefferson misses 2-pt shot from 7 ft,,6-8,,
7:42.0,,,6-8,,Defensive rebound by P. Gasol
7:39.0,Personal foul by M. Kidd-Gilchrist (drawn by A. Brooks),,6-8,,
7:30.0,,,6-8,,M. Dunleavy misses 3-pt shot from 24 ft
7:29.0,Defensive rebound by K. Walker,,6-8,,
7:20.0,M. Williams makes 3-pt shot from 24 ft (assist by K. Walker),3,9-8,,
7:06.0,,,9-10,2,P. Gasol makes 2-pt shot from 17 ft (assist by M. Dunleavy)
6:49.0,M. Williams makes 3-pt shot from 24 ft (assist by K. Walker),3,12-10,,
6:33.0,,,12-12,2,M. Dunleavy makes 2-pt shot from 3 ft (assist by A. Brooks)
6:15.0,K. Walker makes 2-pt shot at rim (assist by A. Jefferson),2,14-12,,
6:15.0,Shooting foul by A. Brooks (drawn by K. Walker),,14-12,,
6:15.0,K. Walker makes free throw 1 of 1,1,15-12,,
6:00.0,,,15-12,,P. Gasol misses 2-pt shot from 21 ft
5:59.0,Defensive rebound by G. Henderson,,15-12,,
5:49.0,M. Kidd-Gilchrist misses 2-pt shot from 19 ft,,15-12,,
5:48.0,,,15-12,,Defensive rebound by T. Gibson
5:38.0,,,15-12,,J. Butler misses 3-pt shot from 24 ft
5:37.0,Defensive rebound by M. Kidd-Gilchrist,,15-12,,
5:32.0,M. Kidd-Gilchrist misses 2-pt shot from 1 ft,,15-12,,
5:31.0,,,15-12,,Defensive rebound by M. Dunleavy
5:27.0,Personal foul by M. Williams (drawn by T. Gibson),,15-12,,
5:27.0,,,15-12,,Chicago full timeout
5:27.0,J. Maxiell enters the game for M. Williams,,15-12,,
5:22.0,Personal foul by J. Maxiell (drawn by M. Dunleavy),,15-12,,
5:13.0,,,15-12,,M. Dunleavy misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist)
5:13.0,,,15-12,,Offensive rebound by T. Gibson
5:13.0,,,15-12,,Offensive charge foul by T. Gibson
5:13.0,,,15-12,,Turnover by T. Gibson (offensive foul)
5:00.0,Turnover by A. Jefferson (bad pass; steal by T. Gibson),,15-12,,
4:47.0,,,15-14,2,J. Butler makes 2-pt shot from 1 ft
4:21.0,A. Jefferson misses 2-pt shot from 7 ft,,15-14,,
4:17.0,Offensive rebound by J. Maxiell,,15-14,,
4:17.0,J. Maxiell misses 2-pt shot from 1 ft,,15-14,,
4:16.0,,,15-14,,Defensive rebound by M. Dunleavy
4:14.0,,,15-14,,P. Gasol misses 2-pt shot from 2 ft
4:11.0,Defensive rebound by G. Henderson,,15-14,,
4:04.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by P. Gasol),,15-14,,
4:04.0,Offensive rebound by Team,,15-14,,
4:04.0,,,15-14,,N. Mirotic enters the game for T. Gibson
4:04.0,,,15-14,,T. Snell enters the game for J. Butler
4:04.0,M. Williams enters the game for A. Jefferson,,15-14,,
4:04.0,B. Biyombo enters the game for G. Henderson,,15-14,,
4:02.0,K. Walker misses 2-pt shot from 12 ft,,15-14,,
4:01.0,,,15-14,,Defensive rebound by P. Gasol
3:48.0,,,15-14,,N. Mirotic misses 2-pt shot from 1 ft
3:48.0,,,15-14,,Offensive rebound by Team
3:48.0,,,15-14,,K. Hinrich enters the game for M. Dunleavy
3:44.0,,,15-16,2,P. Gasol makes 2-pt shot from 1 ft (assist by N. Mirotic)
3:28.0,M. Kidd-Gilchrist misses 2-pt shot from 20 ft,,15-16,,
3:27.0,Offensive rebound by J. Maxiell,,15-16,,
3:27.0,J. Maxiell misses 2-pt shot from 1 ft,,15-16,,
3:26.0,,,15-16,,Defensive rebound by N. Mirotic
3:20.0,Violation by B. Biyombo (def goaltending),,15-16,,
3:20.0,,,15-18,2,A. Brooks makes 2-pt shot at rim
3:04.0,K. Walker makes 3-pt shot from 26 ft (assist by M. Williams),3,18-18,,
2:43.0,Personal foul by B. Biyombo (drawn by P. Gasol),,18-18,,
2:43.0,Charlotte full timeout,,18-18,,
2:27.0,,,18-20,2,P. Gasol makes 2-pt shot from 13 ft
2:07.0,,,18-20,,Shooting block foul by T. Snell (drawn by M. Kidd-Gilchrist)
2:07.0,M. Kidd-Gilchrist misses free throw 1 of 2,,18-20,,
2:07.0,Offensive rebound by Team,,18-20,,
2:07.0,L. Stephenson enters the game for K. Walker,,18-20,,
2:07.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,19-20,,
1:55.0,,,19-22,2,N. Mirotic makes 2-pt shot from 20 ft (assist by A. Brooks)
1:36.0,L. Stephenson makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist),3,22-22,,
1:23.0,,,22-22,,Shooting foul by J. Maxiell (drawn by N. Mirotic)
1:23.0,,,22-23,1,N. Mirotic makes free throw 1 of 2
1:23.0,,,22-24,1,N. Mirotic makes free throw 2 of 2
1:06.0,J. Maxiell misses 2-pt shot from 18 ft,,22-24,,
1:05.0,,,22-24,,Defensive rebound by N. Mirotic
0:58.0,,,22-24,,Shooting foul by J. Maxiell (drawn by N. Mirotic)
0:58.0,,,22-25,1,N. Mirotic makes free throw 1 of 3
0:58.0,,,22-26,1,N. Mirotic makes free throw 2 of 3
0:58.0,M. Williams enters the game for J. Maxiell,,22-26,,
0:58.0,,,22-27,1,N. Mirotic makes free throw 3 of 3
0:49.0,L. Stephenson makes 2-pt shot from 15 ft,2,24-27,,
0:41.0,Def 3 sec tech foul by B. Biyombo,,24-27,,
0:41.0,,,24-28,1,A. Brooks makes technical free throw
0:35.0,,,24-28,,A. Brooks misses 2-pt shot from 4 ft (block by B. Biyombo)
0:33.0,Defensive rebound by M. Williams,,24-28,,
0:29.0,M. Williams misses 2-pt shot from 17 ft,,24-28,,
0:28.0,Offensive rebound by M. Williams,,24-28,,
0:08.0,M. Kidd-Gilchrist makes 2-pt shot from 19 ft (assist by M. Williams),2,26-28,,
0:02.0,,,26-28,,N. Mirotic misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by L. Stephenson,,26-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,G. Henderson misses 2-pt shot from 20 ft,,26-28,,
11:45.0,,,26-28,,Defensive rebound by N. Mirotic
11:33.0,,,26-28,,N. Mirotic misses 3-pt shot from 26 ft
11:32.0,Defensive rebound by M. Williams,,26-28,,
11:26.0,M. Williams misses 2-pt shot from 18 ft,,26-28,,
11:25.0,,,26-28,,Defensive rebound by N. Mirotic
11:14.0,,,26-28,,T. Gibson misses 2-pt shot from 6 ft
11:14.0,,,26-28,,Offensive rebound by Team
11:14.0,Loose ball foul by M. Williams (drawn by N. Mirotic),,26-28,,
11:05.0,,,26-28,,J. Butler misses 2-pt shot from 15 ft
11:04.0,Defensive rebound by M. Williams,,26-28,,
10:45.0,L. Stephenson makes 2-pt shot from 7 ft (assist by M. Williams),2,28-28,,
10:25.0,,,28-30,2,N. Mirotic makes 2-pt shot from 2 ft (assist by K. Hinrich)
10:19.0,,,28-30,,Personal foul by K. Hinrich (drawn by M. Williams)
10:19.0,,,28-30,,M. Dunleavy enters the game for T. Snell
10:13.0,L. Stephenson misses 2-pt shot from 15 ft,,28-30,,
10:12.0,,,28-30,,Defensive rebound by M. Dunleavy
9:51.0,,,28-33,3,K. Hinrich makes 3-pt shot from 25 ft (assist by N. Mirotic)
9:31.0,G. Henderson misses 2-pt shot from 19 ft,,28-33,,
9:30.0,,,28-33,,Defensive rebound by N. Mirotic
9:22.0,,,28-33,,J. Butler misses 2-pt shot from 2 ft
9:21.0,Defensive rebound by B. Biyombo,,28-33,,
9:10.0,Shooting foul by N. Mirotic (drawn by G. Henderson),,28-33,,
9:10.0,G. Henderson makes free throw 1 of 2,1,29-33,,
9:10.0,G. Henderson makes free throw 2 of 2,1,30-33,,
8:51.0,,,30-33,,Shooting foul by B. Biyombo (drawn by J. Butler)
8:51.0,,,30-33,,Chicago full timeout
8:51.0,M. Kidd-Gilchrist enters the game for M. Williams,,30-33,,
8:51.0,,,30-34,1,J. Butler makes free throw 1 of 2
8:51.0,,,30-34,,J. Butler misses free throw 2 of 2
8:49.0,Defensive rebound by M. Kidd-Gilchrist,,30-34,,
8:35.0,Turnover by M. Williams (lost ball; steal by T. Gibson),,30-34,,
8:34.0,Personal foul by L. Stephenson (drawn by J. Butler),,30-34,,
8:22.0,Personal foul by M. Kidd-Gilchrist (drawn by N. Mirotic),,30-34,,
8:17.0,,,30-34,,J. Butler misses 2-pt shot from 2 ft
8:14.0,,,30-34,,Offensive rebound by J. Butler
8:05.0,,,30-34,,N. Mirotic misses 2-pt shot from 7 ft (block by M. Kidd-Gilchrist)
8:03.0,Defensive rebound by M. Kidd-Gilchrist,,30-34,,
7:52.0,,,30-34,,Personal foul by K. Hinrich (drawn by G. Henderson)
7:44.0,G. Henderson misses 3-pt shot from 23 ft,,30-34,,
7:42.0,,,30-34,,Defensive rebound by J. Butler
7:34.0,,,30-34,,Shooting foul by M. Kidd-Gilchrist (drawn by N. Mirotic)
7:34.0,,,30-35,1,N. Mirotic makes free throw 1 of 2
7:34.0,M. Williams enters the game for M. Kidd-Gilchrist,,30-35,,
7:34.0,,,30-35,,N. Mirotic misses free throw 2 of 2
7:32.0,Defensive rebound by M. Williams,,30-35,,
7:18.0,M. Williams makes 3-pt shot from 24 ft (assist by G. Henderson),3,33-35,,
6:57.0,,,33-35,,T. Gibson misses 2-pt shot from 2 ft
6:56.0,,,33-35,,Offensive rebound by J. Butler
6:56.0,,,33-37,2,J. Butler makes 2-pt shot at rim
6:43.0,M. Williams makes 3-pt shot from 25 ft,3,36-37,,
6:22.0,,,36-39,2,N. Mirotic makes 2-pt shot from 13 ft
6:05.0,M. Williams misses 2-pt shot from 18 ft,,36-39,,
6:04.0,,,36-39,,Defensive rebound by T. Gibson
5:56.0,,,36-39,,Shooting foul by G. Henderson (drawn by T. Gibson)
5:56.0,,,36-39,,Chicago full timeout
5:56.0,K. Walker enters the game for G. Henderson,,36-39,,
5:56.0,A. Jefferson enters the game for B. Biyombo,,36-39,,
5:56.0,,,36-40,1,T. Gibson makes free throw 1 of 2
5:56.0,,,36-41,1,T. Gibson makes free throw 2 of 2
5:40.0,L. Stephenson makes 2-pt shot from 12 ft,2,38-41,,
5:18.0,,,38-41,,N. Mirotic misses 2-pt shot from 16 ft
5:18.0,Defensive rebound by Team,,38-41,,
5:18.0,,,38-41,,Loose ball foul by T. Gibson (drawn by A. Jefferson)
5:18.0,,,38-41,,P. Gasol enters the game for T. Gibson
5:18.0,,,38-41,,A. Brooks enters the game for M. Dunleavy
5:00.0,M. Williams misses 2-pt shot from 2 ft,,38-41,,
4:59.0,,,38-41,,Defensive rebound by P. Gasol
4:36.0,,,38-41,,J. Butler misses 3-pt shot from 24 ft
4:36.0,Defensive rebound by Team,,38-41,,
4:36.0,,,38-41,,Loose ball foul by N. Mirotic (drawn by M. Williams)
4:36.0,M. Williams misses free throw 1 of 2,,38-41,,
4:36.0,Offensive rebound by Team,,38-41,,
4:36.0,M. Williams makes free throw 2 of 2,1,39-41,,
4:21.0,Personal foul by L. Stephenson (drawn by J. Butler),,39-41,,
4:21.0,,,39-42,1,J. Butler makes free throw 1 of 2
4:21.0,,,39-42,,J. Butler misses free throw 2 of 2
4:20.0,Defensive rebound by M. Williams,,39-42,,
4:08.0,K. Walker misses 2-pt shot from 19 ft,,39-42,,
4:07.0,,,39-42,,Defensive rebound by P. Gasol
3:57.0,,,39-42,,J. Butler misses 2-pt shot from 2 ft
3:55.0,Defensive rebound by L. Stephenson,,39-42,,
3:34.0,A. Jefferson misses 2-pt shot from 14 ft,,39-42,,
3:33.0,,,39-42,,Defensive rebound by A. Brooks
3:26.0,,,39-44,2,J. Butler makes 2-pt shot from 1 ft
2:54.0,,,39-44,,P. Gasol misses 2-pt shot from 18 ft
2:53.0,Defensive rebound by L. Stephenson,,39-44,,
2:47.0,M. Williams makes 3-pt shot from 25 ft (assist by L. Stephenson),3,42-44,,
2:30.0,,,42-46,2,J. Butler makes 2-pt shot from 1 ft (assist by P. Gasol)
2:18.0,A. Jefferson makes 2-pt shot from 2 ft (assist by M. Williams),2,44-46,,
1:53.0,,,44-46,,A. Brooks misses 3-pt shot from 26 ft (block by K. Walker)
1:52.0,Defensive rebound by A. Jefferson,,44-46,,
1:39.0,A. Jefferson misses 2-pt shot from 1 ft (block by P. Gasol),,44-46,,
1:37.0,,,44-46,,Defensive rebound by P. Gasol
1:25.0,,,44-46,,Turnover by N. Mirotic (lost ball; steal by M. Williams)
1:22.0,Shooting foul by A. Brooks (drawn by M. Williams),,44-46,,
1:22.0,Charlotte full timeout,,44-46,,
1:22.0,,,44-46,,M. Dunleavy enters the game for J. Butler
1:22.0,,,44-46,,T. Snell enters the game for K. Hinrich
1:22.0,G. Henderson enters the game for M. Williams,,44-46,,
1:22.0,N. Vonleh enters the game for L. Stephenson,,44-46,,
1:22.0,M. Williams misses free throw 1 of 2,,44-46,,
1:22.0,Offensive rebound by Team,,44-46,,
1:22.0,M. Williams makes free throw 2 of 2,1,45-46,,
1:03.0,,,45-48,2,N. Mirotic makes 2-pt shot from 18 ft (assist by A. Brooks)
0:45.0,A. Jefferson misses 2-pt shot from 9 ft,,45-48,,
0:45.0,Offensive rebound by N. Vonleh,,45-48,,
0:45.0,N. Vonleh makes 2-pt shot from 2 ft,2,47-48,,
0:33.0,,,47-48,,T. Snell misses 3-pt shot from 22 ft
0:32.0,Defensive rebound by N. Vonleh,,47-48,,
0:14.0,K. Walker makes 2-pt shot from 1 ft,2,49-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,Turnover by A. Jefferson (traveling),,49-48,,
11:27.0,,,49-48,,J. Butler misses 2-pt shot from 1 ft (block by M. Williams)
11:24.0,Defensive rebound by A. Jefferson,,49-48,,
11:20.0,G. Henderson misses 2-pt shot from 7 ft,,49-48,,
11:19.0,,,49-48,,Defensive rebound by M. Dunleavy
11:11.0,,,49-50,2,T. Gibson makes 2-pt shot from 16 ft (assist by J. Butler)
10:54.0,K. Walker makes 2-pt shot from 20 ft,2,51-50,,
10:35.0,,,51-52,2,P. Gasol makes 2-pt shot from 17 ft (assist by A. Brooks)
10:15.0,,,51-52,,Personal foul by J. Butler (drawn by G. Henderson)
10:05.0,Shooting foul by P. Gasol (drawn by A. Jefferson),,51-52,,
10:05.0,A. Jefferson misses free throw 1 of 2,,51-52,,
10:05.0,Offensive rebound by Team,,51-52,,
10:05.0,A. Jefferson makes free throw 2 of 2,1,52-52,,
9:55.0,,,52-52,,Shooting foul by A. Jefferson (drawn by P. Gasol)
9:55.0,,,52-53,1,P. Gasol makes free throw 1 of 2
9:55.0,,,52-53,,P. Gasol misses free throw 2 of 2
