time,Brooklyn,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. N. Noel (D. Williams gains possession),,,,Jump ball: B. Lopez vs. N. Noel (D. Williams gains possession)
11:48.0,,,0-0,,Personal foul by N. Noel (drawn by B. Lopez)
11:44.0,B. Lopez makes 2-pt shot from 1 ft (assist by J. Johnson),2,2-0,,
11:18.0,,,2-0,,J. Richardson misses 2-pt shot from 15 ft
11:17.0,Defensive rebound by D. Williams,,2-0,,
11:10.0,D. Williams misses 2-pt shot from 1 ft,,2-0,,
11:09.0,,,2-0,,Defensive rebound by J. Grant
11:05.0,,,2-2,2,J. Richardson makes 2-pt shot at rim (assist by I. Canaan)
10:46.0,M. Brown misses 2-pt shot from 13 ft,,2-2,,
10:45.0,,,2-2,,Defensive rebound by N. Noel
10:27.0,,,2-2,,J. Grant misses 3-pt shot from 25 ft
10:26.0,Defensive rebound by M. Brown,,2-2,,
10:14.0,B. Lopez misses 2-pt shot from 3 ft,,2-2,,
10:13.0,Offensive rebound by B. Lopez,,2-2,,
10:13.0,Shooting foul by J. Grant (drawn by B. Lopez),,2-2,,
10:13.0,B. Lopez misses free throw 1 of 2,,2-2,,
10:13.0,Offensive rebound by Team,,2-2,,
10:13.0,B. Lopez makes free throw 2 of 2,1,3-2,,
9:58.0,,,3-2,,J. Sampson misses 2-pt shot from 3 ft
9:56.0,Defensive rebound by B. Lopez,,3-2,,
9:47.0,D. Williams misses 3-pt shot from 24 ft,,3-2,,
9:45.0,,,3-2,,Defensive rebound by N. Noel
9:38.0,,,3-2,,Offensive foul by N. Noel
9:38.0,,,3-2,,Turnover by N. Noel (offensive foul)
9:38.0,,,3-2,,H. Sims enters the game for N. Noel
9:26.0,J. Johnson misses 3-pt shot from 26 ft,,3-2,,
9:25.0,,,3-2,,Defensive rebound by H. Sims
9:18.0,,,3-2,,Turnover by J. Grant (bad pass)
9:11.0,Shooting foul by H. Sims (drawn by B. Lopez),,3-2,,
9:11.0,B. Lopez makes free throw 1 of 2,1,4-2,,
9:11.0,B. Lopez makes free throw 2 of 2,1,5-2,,
8:59.0,,,5-2,,J. Richardson misses 3-pt shot from 25 ft
8:58.0,Defensive rebound by J. Johnson,,5-2,,
8:53.0,T. Young misses 2-pt shot from 4 ft (block by J. Richardson),,5-2,,
8:51.0,,,5-2,,Defensive rebound by H. Sims
8:47.0,,,5-2,,Shooting foul by D. Williams (drawn by J. Grant)
8:47.0,,,5-2,,J. Grant misses free throw 1 of 2
8:47.0,,,5-2,,Offensive rebound by Team
8:47.0,,,5-2,,J. Grant misses free throw 2 of 2
8:46.0,Defensive rebound by T. Young,,5-2,,
8:36.0,Shooting foul by J. Sampson (drawn by D. Williams),,5-2,,
8:36.0,D. Williams misses free throw 1 of 2,,5-2,,
8:36.0,Offensive rebound by Team,,5-2,,
8:36.0,D. Williams makes free throw 2 of 2,1,6-2,,
8:22.0,,,6-2,,H. Sims misses 2-pt shot from 17 ft
8:21.0,Defensive rebound by M. Brown,,6-2,,
8:15.0,Turnover by M. Brown (bad pass; steal by H. Sims),,6-2,,
8:12.0,,,6-5,3,I. Canaan makes 3-pt shot from 26 ft (assist by H. Sims)
7:58.0,Shooting foul by H. Sims (drawn by T. Young),,6-5,,
7:58.0,T. Young makes 2-pt shot from 4 ft (assist by D. Williams),2,8-5,,
7:58.0,T. Young makes free throw 1 of 1,1,9-5,,
7:43.0,,,9-7,2,J. Richardson makes 2-pt shot from 1 ft
7:26.0,T. Young misses 2-pt shot from 3 ft (block by J. Grant),,9-7,,
7:24.0,,,9-7,,Defensive rebound by I. Canaan
7:21.0,,,9-9,2,J. Sampson makes 2-pt shot at rim (assist by J. Richardson)
7:03.0,J. Johnson makes 2-pt shot from 7 ft (assist by D. Williams),2,11-9,,
6:42.0,,,11-9,,J. Sampson misses 3-pt shot from 24 ft
6:40.0,Defensive rebound by T. Young,,11-9,,
6:34.0,,,11-9,,Personal foul by I. Canaan (drawn by D. Williams)
6:34.0,D. Williams makes free throw 1 of 2,1,12-9,,
6:34.0,D. Williams makes free throw 2 of 2,1,13-9,,
6:34.0,,,13-9,,Philadelphia full timeout
6:34.0,,,13-9,,T. Robinson enters the game for H. Sims
6:23.0,,,13-9,,Turnover by J. Richardson (bad pass)
