time,New York,pts.away,score,pts.home,Utah
1:16.0,,,17-22,,T. Burke misses free throw 1 of 2
1:16.0,,,17-22,,Offensive rebound by Team
1:16.0,,,17-22,,J. Evans enters the game for D. Favors
1:16.0,,,17-22,,T. Burke misses free throw 2 of 2
1:14.0,Defensive rebound by S. Larkin,,17-22,,
1:00.0,C. Aldrich misses 2-pt shot from 10 ft,,17-22,,
1:00.0,,,17-22,,Defensive rebound by J. Ingles
0:46.0,,,17-22,,J. Ingles misses 3-pt shot from 25 ft
0:45.0,Defensive rebound by C. Aldrich,,17-22,,
0:36.0,Shooting foul by J. Evans (drawn by L. Thomas),,17-22,,
0:36.0,L. Thomas makes free throw 1 of 2,1,18-22,,
0:36.0,L. Thomas misses free throw 2 of 2,,18-22,,
0:35.0,Offensive rebound by C. Aldrich,,18-22,,
0:30.0,,,18-22,,Personal foul by J. Evans (drawn by J. Smith)
0:30.0,J. Smith makes free throw 1 of 2,1,19-22,,
0:30.0,,,19-22,,R. Gobert enters the game for J. Evans
0:30.0,J. Smith makes free throw 2 of 2,1,20-22,,
0:16.0,,,20-24,2,T. Booker makes 2-pt shot from 7 ft
0:01.0,L. Thomas misses 2-pt shot from 21 ft,,20-24,,
0:00.0,,,20-24,,Defensive rebound by R. Gobert
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,L. Thomas misses 2-pt shot from 11 ft (block by R. Gobert),,20-24,,
11:35.0,,,20-24,,Defensive rebound by R. Gobert
11:19.0,,,20-24,,T. Burke misses 2-pt shot from 18 ft
11:17.0,Defensive rebound by S. Larkin,,20-24,,
11:13.0,,,20-24,,Personal foul by T. Burke (drawn by L. Thomas)
11:11.0,Turnover by C. Early (bad pass; steal by R. Gobert),,20-24,,
10:48.0,,,20-26,2,R. Gobert makes 2-pt shot at rim (assist by J. Ingles)
10:26.0,J. Smith misses 2-pt shot from 19 ft,,20-26,,
10:25.0,,,20-26,,Defensive rebound by R. Gobert
10:18.0,Personal foul by L. Thomas (drawn by J. Ingles),,20-26,,
10:18.0,T. Wear enters the game for L. Thomas,,20-26,,
10:18.0,A. Shved enters the game for C. Early,,20-26,,
10:05.0,,,20-26,,T. Burke misses 2-pt shot from 7 ft
10:04.0,Defensive rebound by Team,,20-26,,
10:04.0,,,20-26,,Loose ball foul by R. Gobert (drawn by C. Aldrich)
9:51.0,A. Shved makes 3-pt shot from 25 ft (assist by T. Wear),3,23-26,,
9:40.0,,,23-26,,Turnover by J. Ingles (bad pass; steal by S. Larkin)
9:36.0,S. Larkin makes 2-pt shot from 3 ft,2,25-26,,
9:16.0,,,25-26,,Turnover by T. Burke (bad pass)
9:16.0,,,25-26,,D. Favors enters the game for T. Booker
9:06.0,T. Wear misses 2-pt shot from 10 ft,,25-26,,
9:04.0,Offensive rebound by C. Aldrich,,25-26,,
9:04.0,Shooting foul by D. Favors (drawn by C. Aldrich),,25-26,,
9:04.0,C. Aldrich makes free throw 1 of 2,1,26-26,,
9:04.0,,,26-26,,D. Exum enters the game for T. Burke
9:04.0,C. Aldrich makes free throw 2 of 2,1,27-26,,
