time,New York,pts.away,score,pts.home,Utah
1:20.0,A. Bargnani makes free throw 1 of 2,1,78-84,,
1:20.0,A. Bargnani makes free throw 2 of 2,1,79-84,,
1:03.0,,,79-84,,R. Hood misses 2-pt shot from 9 ft (block by A. Shved)
1:00.0,Defensive rebound by C. Aldrich,,79-84,,
1:00.0,Turnover by L. Galloway (lost ball; steal by D. Exum),,79-84,,
0:53.0,,,79-84,,Utah full timeout
0:53.0,,,79-84,,T. Burke enters the game for D. Exum
0:44.0,,,79-84,,Turnover by R. Gobert (bad pass; steal by L. Thomas)
0:34.0,A. Bargnani misses 2-pt shot from 4 ft,,79-84,,
0:32.0,,,79-84,,Defensive rebound by T. Burke
0:30.0,Personal foul by A. Shved (drawn by T. Burke),,79-84,,
0:30.0,,,79-85,1,T. Burke makes free throw 1 of 2
0:30.0,,,79-85,,T. Burke misses free throw 2 of 2
0:30.0,Defensive rebound by C. Aldrich,,79-85,,
0:30.0,New York full timeout,,79-85,,
0:30.0,,,79-85,,D. Exum enters the game for T. Burke
0:27.0,Shooting foul by D. Exum (drawn by A. Shved),,79-85,,
0:27.0,A. Shved makes free throw 1 of 3,1,80-85,,
0:27.0,A. Shved makes free throw 2 of 3,1,81-85,,
0:27.0,,,81-85,,T. Burke enters the game for D. Exum
0:27.0,A. Shved makes free throw 3 of 3,1,82-85,,
0:26.0,Personal foul by A. Shved (drawn by T. Burke),,82-85,,
0:26.0,,,82-86,1,T. Burke makes free throw 1 of 2
0:26.0,J. Smith enters the game for L. Thomas,,82-86,,
0:26.0,,,82-87,1,T. Burke makes free throw 2 of 2
0:18.0,A. Shved misses 3-pt shot from 24 ft,,82-87,,
0:15.0,,,82-87,,Defensive rebound by D. Favors
0:00.0,End of 4th quarter,,,,End of 4th quarter
