time,Phoenix,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. J. Thompson (I. Thomas gains possession),,,,Jump ball: M. Plumlee vs. J. Thompson (I. Thomas gains possession)
11:37.0,M. Morris misses 2-pt shot from 8 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by R. Sessions
11:15.0,,,0-2,2,R. Sessions makes 2-pt shot from 4 ft (assist by O. Casspi)
11:02.0,G. Dragic misses 2-pt shot from 6 ft,,0-2,,
11:02.0,,,0-2,,Defensive rebound by O. Casspi
10:50.0,Personal foul by M. Plumlee (drawn by D. Cousins),,0-2,,
10:45.0,,,0-2,,Turnover by D. Cousins (bad pass; steal by M. Morris)
10:42.0,I. Thomas misses 2-pt shot from 3 ft (block by B. McLemore),,0-2,,
10:40.0,Offensive rebound by G. Dragic,,0-2,,
10:40.0,G. Dragic makes 2-pt shot at rim,2,2-2,,
10:24.0,,,2-2,,O. Casspi misses 3-pt shot from 24 ft
10:23.0,Defensive rebound by M. Morris,,2-2,,
10:13.0,M. Morris misses 2-pt shot from 19 ft,,2-2,,
10:13.0,,,2-2,,Defensive rebound by D. Cousins
9:57.0,,,2-4,2,B. McLemore makes 2-pt shot from 20 ft (assist by R. Sessions)
9:40.0,G. Dragic misses 2-pt shot from 13 ft,,2-4,,
9:39.0,Offensive rebound by M. Plumlee,,2-4,,
9:30.0,P. Tucker misses 3-pt shot from 24 ft,,2-4,,
9:29.0,,,2-4,,Defensive rebound by Team
9:29.0,Loose ball foul by I. Thomas (drawn by R. Sessions),,2-4,,
9:14.0,,,2-4,,D. Cousins misses 2-pt shot from 5 ft (block by M. Plumlee)
9:13.0,Defensive rebound by Team,,2-4,,
9:13.0,,,2-4,,Loose ball foul by O. Casspi (drawn by M. Plumlee)
8:57.0,I. Thomas misses 3-pt shot from 23 ft,,2-4,,
8:57.0,,,2-4,,Defensive rebound by Team
8:57.0,Loose ball foul by M. Plumlee (drawn by D. Cousins),,2-4,,
8:57.0,M. Morris enters the game for M. Plumlee,,2-4,,
8:46.0,,,2-4,,J. Thompson misses 2-pt shot from 20 ft
8:45.0,Defensive rebound by I. Thomas,,2-4,,
8:34.0,,,2-4,,Personal foul by B. McLemore (drawn by G. Dragic)
8:29.0,I. Thomas misses 3-pt shot from 24 ft,,2-4,,
8:28.0,,,2-4,,Defensive rebound by J. Thompson
8:21.0,,,2-4,,B. McLemore misses 2-pt shot from 14 ft
8:21.0,Defensive rebound by Team,,2-4,,
8:03.0,M. Morris makes 2-pt shot from 7 ft (assist by G. Dragic),2,4-4,,
7:46.0,,,4-6,2,D. Cousins makes 2-pt shot from 19 ft (assist by B. McLemore)
7:30.0,I. Thomas makes 3-pt shot from 24 ft (assist by G. Dragic),3,7-6,,
7:12.0,,,7-8,2,D. Cousins makes 2-pt shot from 20 ft (assist by O. Casspi)
6:50.0,M. Morris misses 2-pt shot from 18 ft,,7-8,,
6:50.0,,,7-8,,Defensive rebound by D. Cousins
6:39.0,,,7-10,2,J. Thompson makes 2-pt shot from 5 ft (assist by D. Cousins)
6:27.0,G. Dragic misses 3-pt shot from 26 ft,,7-10,,
6:26.0,,,7-10,,Defensive rebound by O. Casspi
6:17.0,,,7-10,,Turnover by R. Sessions (back court)
6:02.0,M. Morris misses 2-pt shot from 5 ft,,7-10,,
6:02.0,,,7-10,,Defensive rebound by J. Thompson
5:57.0,,,7-12,2,R. Sessions makes 2-pt shot from 1 ft
5:57.0,,,7-12,,Shooting foul by I. Thomas (drawn by R. Sessions)
5:57.0,,,7-12,,Sacramento full timeout
5:57.0,G. Green enters the game for I. Thomas,,7-12,,
5:57.0,,,7-12,,R. Sessions misses free throw 1 of 1
5:53.0,Defensive rebound by M. Morris,,7-12,,
5:38.0,G. Dragic makes 2-pt shot from 2 ft,2,9-12,,
5:22.0,,,9-14,2,D. Cousins makes 2-pt shot from 2 ft (assist by J. Thompson)
5:03.0,M. Morris misses 2-pt shot at rim,,9-14,,
5:02.0,,,9-14,,Defensive rebound by D. Cousins
4:55.0,,,9-14,,Turnover by O. Casspi (bad pass; steal by P. Tucker)
4:52.0,P. Tucker makes 2-pt shot at rim,2,11-14,,
4:31.0,,,11-14,,Turnover by D. Cousins (bad pass; steal by G. Green)
4:19.0,G. Green misses 2-pt shot from 17 ft,,11-14,,
4:18.0,,,11-14,,Defensive rebound by D. Cousins
4:08.0,,,11-16,2,J. Thompson makes 2-pt shot from 2 ft
3:58.0,Turnover by G. Dragic (bad pass),,11-16,,
3:58.0,,,11-16,,D. Williams enters the game for O. Casspi
3:41.0,,,11-16,,Turnover by J. Thompson (lost ball; steal by P. Tucker)
3:37.0,G. Dragic misses 2-pt shot from 1 ft (block by B. McLemore),,11-16,,
3:35.0,,,11-16,,Defensive rebound by R. Sessions
3:29.0,,,11-19,3,B. McLemore makes 3-pt shot from 24 ft (assist by R. Sessions)
3:14.0,M. Morris makes 3-pt shot from 24 ft (assist by G. Dragic),3,14-19,,
3:08.0,,,14-19,,Offensive charge foul by D. Cousins
3:08.0,,,14-19,,Turnover by D. Cousins (offensive foul)
3:08.0,B. Wright enters the game for P. Tucker,,14-19,,
3:08.0,,,14-19,,C. Landry enters the game for J. Thompson
2:56.0,G. Green misses 3-pt shot from 25 ft,,14-19,,
2:55.0,Offensive rebound by B. Wright,,14-19,,
2:47.0,M. Morris misses 2-pt shot from 8 ft,,14-19,,
2:46.0,,,14-19,,Defensive rebound by D. Williams
2:40.0,Personal foul by G. Green (drawn by C. Landry),,14-19,,
2:40.0,Phoenix full timeout,,14-19,,
2:40.0,,,14-20,1,C. Landry makes free throw 1 of 2
2:40.0,,,14-21,1,C. Landry makes free throw 2 of 2
2:25.0,B. Wright makes 2-pt shot from 6 ft (assist by M. Morris),2,16-21,,
2:08.0,,,16-21,,D. Cousins misses 2-pt shot from 18 ft
2:08.0,Defensive rebound by M. Morris,,16-21,,
1:59.0,M. Morris misses 2-pt shot from 14 ft,,16-21,,
1:58.0,,,16-21,,Defensive rebound by R. Sessions
1:50.0,,,16-23,2,D. Cousins makes 2-pt shot from 3 ft (assist by R. Sessions)
1:36.0,G. Dragic makes 2-pt shot from 14 ft,2,18-23,,
1:11.0,,,18-25,2,D. Cousins makes 2-pt shot from 17 ft
0:49.0,B. Wright misses 2-pt shot from 3 ft (block by D. Cousins),,18-25,,
0:48.0,,,18-25,,Defensive rebound by R. Sessions
0:46.0,,,18-25,,Shooting foul by M. Morris (drawn by R. Sessions)
0:46.0,,,18-26,1,R. Sessions makes free throw 1 of 2
0:46.0,,,18-26,,R. Evans enters the game for D. Cousins
0:46.0,,,18-26,,R. Sessions misses free throw 2 of 2
0:44.0,Defensive rebound by M. Morris,,18-26,,
0:29.0,G. Green misses 3-pt shot from 24 ft,,18-26,,
0:28.0,,,18-26,,Defensive rebound by D. Williams
0:06.0,,,18-26,,Turnover by R. Sessions (bad pass)
0:03.0,,,18-26,,Personal take foul by R. Sessions (drawn by G. Dragic)
0:03.0,,,18-26,,R. McCallum enters the game for R. Sessions
0:00.0,M. Morris misses 3-pt shot from 25 ft,,18-26,,
0:00.0,Offensive rebound by Team,,18-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,18-28,2,C. Landry makes 2-pt shot from 21 ft
11:25.0,G. Green makes 2-pt shot from 2 ft,2,20-28,,
11:13.0,Personal foul by G. Green (drawn by R. McCallum),,20-28,,
11:07.0,,,20-28,,B. McLemore misses 3-pt shot from 24 ft
11:06.0,Defensive rebound by Team,,20-28,,
10:53.0,G. Green misses 3-pt shot from 25 ft,,20-28,,
10:52.0,Offensive rebound by Team,,20-28,,
10:52.0,,,20-28,,N. Stauskas enters the game for B. McLemore
10:43.0,Turnover by G. Green (lost ball; steal by D. Williams),,20-28,,
10:38.0,,,20-30,2,D. Williams makes 2-pt shot from 1 ft
10:16.0,P. Tucker misses 2-pt shot from 11 ft,,20-30,,
10:15.0,,,20-30,,Defensive rebound by R. Evans
10:02.0,,,20-30,,C. Landry misses 2-pt shot from 11 ft
10:02.0,Defensive rebound by P. Tucker,,20-30,,
9:51.0,I. Thomas misses 2-pt shot from 6 ft (block by N. Stauskas),,20-30,,
9:50.0,,,20-30,,Defensive rebound by C. Landry
9:41.0,,,20-32,2,D. Williams makes 2-pt shot at rim (assist by R. Evans)
9:28.0,,,20-32,,Personal foul by N. Stauskas (drawn by G. Green)
9:28.0,T. Warren enters the game for M. Morris,,20-32,,
9:11.0,P. Tucker misses 3-pt shot from 26 ft,,20-32,,
