time,New Orleans,pts.away,score,pts.home,Boston
0:39.0,J. Salmons enters the game for D. Cunningham,,20-22,,
0:39.0,,,20-22,,J. Crowder enters the game for E. Turner
0:34.0,Shooting foul by K. Olynyk (drawn by J. Fredette),,20-22,,
0:34.0,J. Fredette makes free throw 1 of 2,1,21-22,,
0:34.0,J. Fredette makes free throw 2 of 2,1,22-22,,
0:28.0,,,22-22,,K. Olynyk misses 2-pt shot from 14 ft
0:27.0,Defensive rebound by A. Davis,,22-22,,
0:03.0,J. Fredette misses 2-pt shot from 8 ft,,22-22,,
0:01.0,,,22-22,,Defensive rebound by B. Bass
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,22-22,,Turnover by J. Young (bad pass; steal by R. Anderson)
11:32.0,T. Evans makes 2-pt shot at rim (assist by R. Anderson),2,24-22,,
11:20.0,,,24-22,,B. Bass misses 2-pt shot from 13 ft
11:18.0,Defensive rebound by R. Anderson,,24-22,,
11:13.0,,,24-22,,Personal foul by K. Olynyk (drawn by R. Anderson)
11:00.0,R. Anderson misses 3-pt shot from 24 ft,,24-22,,
10:59.0,Offensive rebound by O. Asik,,24-22,,
10:56.0,Turnover by O. Asik (lost ball; steal by J. Crowder),,24-22,,
10:47.0,,,24-22,,B. Bass misses 2-pt shot from 2 ft
10:46.0,Defensive rebound by O. Asik,,24-22,,
10:38.0,Shooting foul by M. Smart (drawn by T. Evans),,24-22,,
10:38.0,T. Evans misses free throw 1 of 2,,24-22,,
10:38.0,Offensive rebound by Team,,24-22,,
10:38.0,T. Evans makes free throw 2 of 2,1,25-22,,
10:27.0,,,25-22,,J. Young misses 3-pt shot from 25 ft
10:25.0,,,25-22,,Offensive rebound by K. Olynyk
10:24.0,,,25-22,,K. Olynyk misses 2-pt shot from 5 ft
10:23.0,,,25-22,,Offensive rebound by Team
10:20.0,,,25-22,,B. Bass misses 3-pt shot from 22 ft
10:19.0,Defensive rebound by T. Evans,,25-22,,
10:01.0,T. Evans makes 2-pt shot from 2 ft,2,27-22,,
10:01.0,Shooting foul by K. Olynyk (drawn by T. Evans),,27-22,,
10:01.0,T. Evans makes free throw 1 of 1,1,28-22,,
9:51.0,,,28-24,2,B. Bass makes 2-pt shot from 1 ft (assist by J. Crowder)
9:51.0,,,28-24,,Shooting foul by O. Asik (drawn by B. Bass)
9:51.0,,,28-25,1,B. Bass makes free throw 1 of 1
9:35.0,R. Anderson misses 3-pt shot from 25 ft,,28-25,,
9:34.0,,,28-25,,Defensive rebound by J. Young
9:27.0,,,28-27,2,B. Bass makes 2-pt shot from 2 ft (assist by M. Smart)
9:07.0,Turnover by R. Anderson (bad pass; steal by K. Olynyk),,28-27,,
9:05.0,,,28-27,,Turnover by K. Olynyk (bad pass)
9:05.0,,,28-27,,T. Zeller enters the game for K. Olynyk
9:03.0,Turnover by T. Evans (step out of bounds),,28-27,,
8:48.0,,,28-30,3,J. Crowder makes 3-pt shot from 25 ft (assist by B. Bass)
8:28.0,J. Fredette misses 2-pt shot from 9 ft,,28-30,,
8:27.0,Offensive rebound by O. Asik,,28-30,,
8:27.0,O. Asik makes 2-pt shot from 1 ft,2,30-30,,
8:17.0,Official timeout,,30-30,,
8:17.0,J. Holiday enters the game for J. Fredette,,30-30,,
7:59.0,,,30-30,,T. Zeller misses 2-pt shot from 19 ft
7:58.0,Defensive rebound by O. Asik,,30-30,,
7:43.0,Turnover by R. Anderson (traveling),,30-30,,
7:30.0,,,30-32,2,J. Young makes 2-pt shot from 16 ft (assist by T. Zeller)
7:13.0,J. Holiday makes 2-pt shot from 14 ft,2,32-32,,
6:57.0,,,32-32,,Shooting foul by J. Salmons (drawn by J. Crowder)
6:57.0,,,32-33,1,J. Crowder makes free throw 1 of 2
6:57.0,A. Davis enters the game for O. Asik,,32-33,,
6:57.0,E. Gordon enters the game for J. Salmons,,32-33,,
6:57.0,,,32-33,,A. Bradley enters the game for J. Young
6:57.0,,,32-34,1,J. Crowder makes free throw 2 of 2
6:44.0,A. Davis misses 2-pt shot from 14 ft,,32-34,,
6:42.0,,,32-34,,Defensive rebound by A. Bradley
6:27.0,,,32-34,,T. Zeller misses 2-pt shot from 4 ft
6:26.0,Defensive rebound by T. Evans,,32-34,,
6:18.0,Turnover by J. Holiday (bad pass),,32-34,,
6:18.0,,,32-34,,Boston full timeout
