time,New Orleans,pts.away,score,pts.home,Boston
5:23.0,Offensive rebound by O. Asik,,90-91,,
5:22.0,O. Asik misses 2-pt shot from 1 ft,,90-91,,
5:21.0,Offensive rebound by A. Davis,,90-91,,
5:20.0,A. Davis misses 2-pt shot at rim (block by J. Sullinger),,90-91,,
5:19.0,,,90-91,,Defensive rebound by J. Sullinger
5:01.0,,,90-91,,M. Smart misses 2-pt shot from 12 ft
5:00.0,,,90-91,,Offensive rebound by K. Olynyk
4:56.0,,,90-94,3,J. Crowder makes 3-pt shot from 25 ft (assist by K. Olynyk)
4:33.0,A. Davis misses 2-pt shot from 19 ft,,90-94,,
4:32.0,Offensive rebound by E. Gordon,,90-94,,
4:29.0,E. Gordon misses 2-pt shot from 2 ft (block by K. Olynyk),,90-94,,
4:28.0,,,90-94,,Defensive rebound by Team
4:16.0,,,90-94,,J. Sullinger misses 3-pt shot from 24 ft
4:15.0,Defensive rebound by T. Evans,,90-94,,
4:10.0,New Orleans full timeout,,90-94,,
4:10.0,,,90-94,,B. Bass enters the game for K. Olynyk
4:10.0,R. Anderson enters the game for O. Asik,,90-94,,
3:56.0,Shooting foul by M. Smart (drawn by A. Davis),,90-94,,
3:56.0,A. Davis makes free throw 1 of 2,1,91-94,,
3:56.0,A. Davis makes free throw 2 of 2,1,92-94,,
3:47.0,Personal foul by E. Gordon (drawn by A. Bradley),,92-94,,
3:47.0,,,92-95,1,A. Bradley makes free throw 1 of 2
3:47.0,,,92-96,1,A. Bradley makes free throw 2 of 2
3:37.0,,,92-96,,Personal foul by A. Bradley (drawn by E. Gordon)
3:37.0,E. Gordon makes free throw 1 of 2,1,93-96,,
3:37.0,E. Gordon makes free throw 2 of 2,1,94-96,,
3:25.0,Personal block foul by R. Anderson (drawn by J. Sullinger),,94-96,,
3:25.0,,,94-96,,J. Sullinger misses free throw 1 of 2
3:25.0,,,94-96,,Offensive rebound by Team
3:25.0,,,94-97,1,J. Sullinger makes free throw 2 of 2
3:04.0,A. Davis misses 2-pt shot from 14 ft,,94-97,,
3:03.0,,,94-97,,Defensive rebound by M. Smart
2:46.0,,,94-97,,Turnover by A. Bradley (lost ball; steal by E. Gordon)
2:31.0,,,94-97,,Loose ball foul by J. Crowder (drawn by A. Davis)
2:31.0,A. Davis makes free throw 1 of 2,1,95-97,,
2:31.0,O. Asik enters the game for R. Anderson,,95-97,,
2:31.0,,,95-97,,K. Olynyk enters the game for B. Bass
2:31.0,A. Davis makes free throw 2 of 2,1,96-97,,
2:17.0,,,96-99,2,M. Smart makes 2-pt shot from 7 ft
1:51.0,A. Davis misses 2-pt shot from 12 ft,,96-99,,
1:50.0,,,96-99,,Defensive rebound by M. Smart
1:41.0,,,96-101,2,A. Bradley makes 2-pt shot from 6 ft (assist by M. Smart)
1:41.0,New Orleans full timeout,,96-101,,
1:41.0,,,96-101,,B. Bass enters the game for K. Olynyk
1:41.0,R. Anderson enters the game for O. Asik,,96-101,,
1:35.0,T. Evans makes 2-pt shot at rim,2,98-101,,
1:18.0,,,98-101,,J. Crowder misses 3-pt shot from 24 ft
1:17.0,Defensive rebound by Team,,98-101,,
1:00.0,T. Evans misses 2-pt shot from 18 ft,,98-101,,
1:00.0,Offensive rebound by R. Anderson,,98-101,,
0:58.0,Shooting foul by M. Smart (drawn by R. Anderson),,98-101,,
0:58.0,R. Anderson makes free throw 1 of 2,1,99-101,,
0:58.0,,,99-101,,K. Olynyk enters the game for B. Bass
0:58.0,R. Anderson makes free throw 2 of 2,1,100-101,,
0:45.0,,,100-101,,A. Bradley misses 2-pt shot from 13 ft (block by A. Davis)
0:42.0,,,100-101,,Offensive rebound by A. Bradley
0:40.0,,,100-104,3,M. Smart makes 3-pt shot from 23 ft (assist by A. Bradley)
0:29.0,A. Davis misses 2-pt shot from 5 ft (block by J. Crowder),,100-104,,
0:27.0,,,100-104,,Defensive rebound by K. Olynyk
0:24.0,Personal take foul by D. Cunningham (drawn by J. Sullinger),,100-104,,
0:24.0,,,100-105,1,J. Sullinger makes free throw 1 of 2
0:24.0,,,100-105,,B. Bass enters the game for K. Olynyk
0:24.0,,,100-106,1,J. Sullinger makes free throw 2 of 2
0:24.0,New Orleans full timeout,,100-106,,
0:20.0,R. Anderson misses 3-pt shot from 25 ft,,100-106,,
0:18.0,,,100-106,,Defensive rebound by J. Sullinger
0:18.0,Personal take foul by A. Davis (drawn by J. Sullinger),,100-106,,
0:18.0,,,100-107,1,J. Sullinger makes free throw 1 of 2
0:18.0,,,100-108,1,J. Sullinger makes free throw 2 of 2
0:10.0,T. Evans misses 3-pt shot from 25 ft,,100-108,,
0:09.0,,,100-108,,Defensive rebound by B. Bass
0:00.0,End of 4th quarter,,,,End of 4th quarter
