time,San Antonio,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. T. Duncan (C. Zeller gains possession),,,,Jump ball: B. Biyombo vs. T. Duncan (C. Zeller gains possession)
11:47.0,,,0-0,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by M. Bonner)
11:46.0,,,0-0,,Offensive rebound by M. Kidd-Gilchrist
11:46.0,,,0-0,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft
11:46.0,Defensive rebound by Team,,0-0,,
11:33.0,Turnover by T. Parker (traveling),,0-0,,
11:15.0,,,0-2,2,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by C. Zeller)
11:15.0,,,0-2,,Shooting foul by A. Daye (drawn by M. Kidd-Gilchrist)
11:15.0,,,0-3,1,M. Kidd-Gilchrist makes free throw 1 of 1
10:54.0,T. Duncan misses 2-pt shot from 15 ft,,0-3,,
10:53.0,,,0-3,,Defensive rebound by G. Henderson
10:37.0,,,0-5,2,C. Zeller makes 2-pt shot from 2 ft (assist by G. Henderson)
10:17.0,A. Daye misses 3-pt shot from 25 ft,,0-5,,
10:16.0,Offensive rebound by T. Duncan,,0-5,,
10:08.0,T. Parker misses 2-pt shot from 15 ft,,0-5,,
10:06.0,,,0-5,,Defensive rebound by C. Zeller
9:52.0,,,0-5,,K. Walker misses 2-pt shot from 1 ft (block by M. Bonner)
9:52.0,Defensive rebound by Team,,0-5,,
9:40.0,A. Daye misses 2-pt shot from 2 ft,,0-5,,
9:39.0,,,0-5,,Defensive rebound by M. Kidd-Gilchrist
9:33.0,,,0-7,2,G. Henderson makes 2-pt shot at rim (assist by M. Kidd-Gilchrist)
9:12.0,D. Green misses 3-pt shot from 23 ft,,0-7,,
9:10.0,Offensive rebound by T. Duncan,,0-7,,
9:08.0,D. Green makes 2-pt shot from 1 ft (assist by T. Duncan),2,2-7,,
8:53.0,,,2-7,,C. Zeller misses 2-pt shot from 2 ft (block by M. Bonner)
8:52.0,Defensive rebound by T. Duncan,,2-7,,
8:43.0,T. Duncan makes 2-pt shot from 7 ft (assist by D. Green),2,4-7,,
8:28.0,,,4-7,,G. Henderson misses 2-pt shot from 1 ft
8:27.0,Defensive rebound by A. Daye,,4-7,,
8:20.0,D. Green misses 3-pt shot from 24 ft,,4-7,,
8:18.0,Offensive rebound by D. Green,,4-7,,
8:11.0,T. Parker misses 2-pt shot from 17 ft,,4-7,,
8:09.0,,,4-7,,Defensive rebound by C. Zeller
8:00.0,,,4-7,,G. Henderson misses 2-pt shot from 17 ft
7:59.0,Defensive rebound by A. Daye,,4-7,,
7:39.0,T. Duncan makes 2-pt shot from 18 ft (assist by T. Parker),2,6-7,,
7:26.0,,,6-7,,K. Walker misses 2-pt shot from 18 ft
7:25.0,,,6-7,,Offensive rebound by Team
7:25.0,Jump ball: B. Biyombo vs. D. Green (M. Kidd-Gilchrist gains possession),,,,Jump ball: B. Biyombo vs. D. Green (M. Kidd-Gilchrist gains possession)
7:13.0,,,6-7,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by T. Duncan)
7:12.0,Defensive rebound by M. Bonner,,6-7,,
7:02.0,T. Parker misses 2-pt shot from 14 ft,,6-7,,
7:00.0,Offensive rebound by T. Parker,,6-7,,
6:48.0,T. Parker misses 2-pt shot from 20 ft,,6-7,,
6:47.0,,,6-7,,Defensive rebound by B. Biyombo
6:33.0,,,6-7,,Turnover by K. Walker (lost ball; steal by T. Duncan)
6:17.0,T. Duncan misses 2-pt shot from 8 ft,,6-7,,
6:16.0,,,6-7,,Defensive rebound by G. Henderson
6:12.0,,,6-7,,Shooting foul by M. Bonner (drawn by G. Henderson)
6:12.0,,,6-8,1,G. Henderson makes free throw 1 of 2
6:12.0,,,6-9,1,G. Henderson makes free throw 2 of 2
5:55.0,A. Daye makes 2-pt shot from 1 ft,2,8-9,,
