time,Oklahoma City,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Davis (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. A. Davis (R. Westbrook gains possession)
11:48.0,K. Durant misses 2-pt shot from 16 ft,,0-0,,
11:47.0,,,0-0,,Defensive rebound by A. Davis
11:30.0,,,0-0,,A. Davis misses 2-pt shot from 2 ft
11:29.0,,,0-0,,Offensive rebound by O. Asik
11:27.0,,,0-0,,O. Asik misses 2-pt shot from 2 ft (block by S. Ibaka)
11:25.0,Defensive rebound by K. Durant,,0-0,,
11:17.0,S. Adams makes 2-pt shot from 2 ft,2,2-0,,
11:17.0,Shooting foul by O. Asik (drawn by S. Adams),,2-0,,
11:17.0,S. Adams misses free throw 1 of 1,,2-0,,
11:17.0,,,2-0,,Defensive rebound by A. Davis
11:01.0,,,2-0,,Turnover by T. Evans (bad pass; steal by S. Adams)
10:57.0,Shooting foul by L. Babbitt (drawn by K. Durant),,2-0,,
10:57.0,K. Durant misses free throw 1 of 2,,2-0,,
10:57.0,Offensive rebound by Team,,2-0,,
10:57.0,K. Durant makes free throw 2 of 2,1,3-0,,
10:35.0,,,3-0,,A. Davis misses 2-pt shot from 16 ft
10:34.0,Defensive rebound by S. Ibaka,,3-0,,
10:28.0,K. Durant makes 3-pt shot from 23 ft (assist by S. Adams),3,6-0,,
10:16.0,,,6-0,,Turnover by L. Babbitt (step out of bounds)
10:03.0,Turnover by K. Durant (bad pass; steal by A. Davis),,6-0,,
9:57.0,,,6-2,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
9:42.0,S. Ibaka makes 2-pt shot from 10 ft (assist by R. Westbrook),2,8-2,,
9:25.0,,,8-2,,L. Babbitt misses 2-pt shot from 4 ft
9:24.0,,,8-2,,Offensive rebound by O. Asik
9:15.0,,,8-4,2,T. Evans makes 2-pt shot from 2 ft (assist by L. Babbitt)
9:00.0,S. Ibaka misses 2-pt shot from 16 ft,,8-4,,
8:59.0,,,8-4,,Defensive rebound by O. Asik
8:53.0,,,8-6,2,J. Holiday makes 2-pt shot from 2 ft (assist by T. Evans)
8:33.0,S. Ibaka makes 2-pt shot at rim,2,10-6,,
8:20.0,,,10-6,,Shooting foul by S. Ibaka (drawn by O. Asik)
8:20.0,,,10-6,,O. Asik misses free throw 1 of 2
8:20.0,,,10-6,,Offensive rebound by Team
8:20.0,Violation by R. Westbrook (lane),,10-6,,
8:20.0,,,10-6,,O. Asik misses free throw 2 of 2
8:19.0,,,10-6,,Offensive rebound by Team
8:06.0,,,10-6,,T. Evans misses 2-pt shot from 1 ft
8:05.0,,,10-6,,Offensive rebound by T. Evans
8:03.0,,,10-6,,T. Evans misses 2-pt shot from 1 ft (block by S. Ibaka)
8:00.0,Defensive rebound by A. Roberson,,10-6,,
7:56.0,R. Westbrook misses 2-pt shot from 7 ft,,10-6,,
7:54.0,,,10-6,,Defensive rebound by L. Babbitt
7:45.0,,,10-6,,L. Babbitt misses 3-pt shot from 27 ft
7:43.0,Defensive rebound by R. Westbrook,,10-6,,
