time,Philadelphia,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. N. Noel (M. Williams gains possession),,,,Jump ball: B. Biyombo vs. N. Noel (M. Williams gains possession)
11:41.0,,,0-0,,J. Taylor misses 2-pt shot from 7 ft (block by J. Grant)
11:39.0,,,0-0,,Offensive rebound by J. Taylor
11:39.0,,,0-0,,Turnover by M. Williams (step out of bounds)
11:15.0,I. Smith misses 2-pt shot from 6 ft,,0-0,,
11:14.0,,,0-0,,Defensive rebound by B. Biyombo
11:08.0,,,0-0,,G. Henderson misses 2-pt shot from 2 ft (block by J. Grant)
11:06.0,Defensive rebound by F. Aldemir,,0-0,,
10:59.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,2-0,,
10:39.0,,,2-0,,K. Walker misses 2-pt shot from 10 ft
10:38.0,,,2-0,,Offensive rebound by B. Biyombo
10:37.0,,,2-0,,Shooting foul by R. Covington (drawn by B. Biyombo)
10:37.0,,,2-1,1,B. Biyombo makes free throw 1 of 2
10:37.0,,,2-1,,B. Biyombo misses free throw 2 of 2
10:37.0,Defensive rebound by R. Covington,,2-1,,
10:26.0,I. Smith misses 2-pt shot from 1 ft,,2-1,,
10:25.0,,,2-1,,Defensive rebound by B. Biyombo
10:11.0,,,2-1,,M. Williams misses 3-pt shot from 24 ft
10:10.0,Defensive rebound by F. Aldemir,,2-1,,
10:04.0,R. Covington misses 3-pt shot from 29 ft,,2-1,,
10:03.0,,,2-1,,Defensive rebound by Team
9:38.0,,,2-1,,Turnover by Team (shot clock)
9:19.0,N. Noel misses 2-pt shot from 7 ft,,2-1,,
9:16.0,,,2-1,,Defensive rebound by M. Williams
9:08.0,,,2-1,,M. Williams misses 2-pt shot from 5 ft (block by N. Noel)
9:06.0,Defensive rebound by I. Smith,,2-1,,
8:56.0,Turnover by N. Noel (bad pass),,2-1,,
8:46.0,,,2-1,,Turnover by K. Walker (lost ball; steal by N. Noel)
8:40.0,Turnover by R. Covington (bad pass; steal by J. Taylor),,2-1,,
8:36.0,,,2-3,2,K. Walker makes 2-pt shot from 1 ft
8:36.0,,,2-3,,Shooting foul by F. Aldemir (drawn by K. Walker)
8:36.0,,,2-4,1,K. Walker makes free throw 1 of 1
8:17.0,Turnover by N. Noel (bad pass; steal by M. Williams),,2-4,,
8:10.0,,,2-4,,G. Henderson misses 2-pt shot from 18 ft
8:09.0,Defensive rebound by F. Aldemir,,2-4,,
8:01.0,,,2-4,,Violation by B. Biyombo (def goaltending)
8:01.0,I. Smith makes 2-pt shot at rim,2,4-4,,
7:49.0,Personal foul by I. Smith (drawn by G. Henderson),,4-4,,
7:42.0,,,4-4,,G. Henderson misses 2-pt shot from 1 ft
7:41.0,Defensive rebound by N. Noel,,4-4,,
7:35.0,J. Grant makes 2-pt shot at rim (assist by I. Smith),2,6-4,,
7:20.0,,,6-6,2,K. Walker makes 2-pt shot from 17 ft
7:09.0,I. Smith misses 3-pt shot from 26 ft,,6-6,,
7:08.0,Offensive rebound by N. Noel,,6-6,,
7:03.0,I. Smith misses 2-pt shot from 2 ft,,6-6,,
7:01.0,,,6-6,,Defensive rebound by M. Williams
6:45.0,,,6-6,,K. Walker misses 2-pt shot from 9 ft
6:43.0,Defensive rebound by I. Smith,,6-6,,
6:38.0,R. Covington misses 3-pt shot from 26 ft,,6-6,,
