time,Sacramento,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. J. Thompson (D. Cousins gains possession),,,,Jump ball: R. Hibbert vs. J. Thompson (D. Cousins gains possession)
11:40.0,D. Cousins misses 2-pt shot from 22 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by R. Hibbert
11:22.0,,,0-0,,R. Stuckey misses 2-pt shot from 2 ft
11:21.0,Defensive rebound by B. McLemore,,0-0,,
11:14.0,D. Collison misses 2-pt shot from 21 ft,,0-0,,
11:13.0,,,0-0,,Defensive rebound by D. West
10:59.0,,,0-0,,R. Hibbert misses 2-pt shot from 9 ft
10:58.0,Defensive rebound by D. Collison,,0-0,,
10:53.0,R. Gay misses 2-pt shot from 19 ft,,0-0,,
10:52.0,,,0-0,,Defensive rebound by R. Stuckey
10:32.0,,,0-2,2,C. Watson makes 2-pt shot from 2 ft (assist by R. Hibbert)
10:21.0,B. McLemore misses 2-pt shot from 20 ft,,0-2,,
10:20.0,,,0-2,,Defensive rebound by R. Hibbert
10:05.0,,,0-2,,S. Hill misses 3-pt shot from 25 ft
10:04.0,Defensive rebound by B. McLemore,,0-2,,
9:53.0,R. Gay misses 2-pt shot from 1 ft,,0-2,,
9:52.0,Offensive rebound by J. Thompson,,0-2,,
9:52.0,Shooting foul by R. Stuckey (drawn by J. Thompson),,0-2,,
9:52.0,J. Thompson makes free throw 1 of 2,1,1-2,,
9:52.0,J. Thompson makes free throw 2 of 2,1,2-2,,
9:39.0,,,2-4,2,D. West makes 2-pt shot from 15 ft (assist by R. Stuckey)
9:20.0,D. Cousins misses 2-pt shot from 15 ft,,2-4,,
9:19.0,Offensive rebound by J. Thompson,,2-4,,
9:15.0,D. Collison makes 3-pt shot from 25 ft,3,5-4,,
9:06.0,Personal block foul by D. Cousins (drawn by R. Hibbert),,5-4,,
8:54.0,,,5-6,2,D. West makes 2-pt shot from 18 ft (assist by R. Stuckey)
8:34.0,Shooting foul by S. Hill (drawn by R. Gay),,5-6,,
8:34.0,R. Gay makes free throw 1 of 2,1,6-6,,
8:34.0,R. Gay makes free throw 2 of 2,1,7-6,,
8:23.0,,,7-6,,D. West misses 2-pt shot from 9 ft
8:22.0,Defensive rebound by D. Cousins,,7-6,,
8:15.0,Shooting foul by D. West (drawn by D. Cousins),,7-6,,
8:15.0,D. Cousins makes free throw 1 of 2,1,8-6,,
8:15.0,D. Cousins makes free throw 2 of 2,1,9-6,,
8:08.0,,,9-8,2,R. Hibbert makes 2-pt shot at rim (assist by D. West)
7:45.0,D. Cousins makes 2-pt shot from 1 ft,2,11-8,,
7:28.0,,,11-10,2,D. West makes 2-pt shot from 18 ft (assist by C. Watson)
7:10.0,D. Collison misses 2-pt shot from 17 ft,,11-10,,
7:09.0,,,11-10,,Defensive rebound by R. Hibbert
7:02.0,,,11-10,,Turnover by R. Stuckey (bad pass; steal by J. Thompson)
6:57.0,R. Gay makes 2-pt shot at rim (assist by J. Thompson),2,13-10,,
6:44.0,Violation by J. Thompson (kicked ball),,13-10,,
6:30.0,,,13-10,,C. Watson misses 2-pt shot from 20 ft
6:29.0,,,13-10,,Offensive rebound by C. Watson
6:25.0,,,13-10,,R. Hibbert misses 2-pt shot from 7 ft
6:24.0,Defensive rebound by R. Gay,,13-10,,
6:15.0,J. Thompson makes 2-pt shot from 6 ft (assist by R. Gay),2,15-10,,
6:09.0,,,15-10,,Indiana full timeout
6:09.0,,,15-10,,C. Miles enters the game for R. Stuckey
6:01.0,,,15-10,,Turnover by D. West (bad pass)
5:48.0,,,15-10,,Personal foul by C. Miles (drawn by D. Cousins)
5:48.0,,,15-10,,I. Mahinmi enters the game for R. Hibbert
5:44.0,D. Cousins misses 2-pt shot from 7 ft (block by C. Miles),,15-10,,
5:43.0,,,15-10,,Defensive rebound by S. Hill
5:38.0,,,15-10,,C. Watson misses 2-pt shot from 1 ft
5:38.0,,,15-10,,Offensive rebound by I. Mahinmi
5:38.0,,,15-10,,Turnover by I. Mahinmi (bad pass)
5:28.0,D. Collison makes 2-pt shot from 18 ft,2,17-10,,
5:15.0,,,17-10,,Turnover by C. Watson (bad pass; steal by D. Cousins)
5:09.0,D. Collison makes 3-pt shot from 22 ft (assist by D. Cousins),3,20-10,,
4:50.0,Personal block foul by J. Thompson (drawn by C. Watson),,20-10,,
4:50.0,,,20-10,,G. Hill enters the game for C. Watson
4:44.0,,,20-12,2,C. Miles makes 2-pt shot from 7 ft (assist by D. West)
4:31.0,J. Thompson makes 2-pt shot from 3 ft (assist by B. McLemore),2,22-12,,
4:16.0,,,22-12,,Turnover by S. Hill (bad pass; steal by D. Cousins)
4:10.0,R. Gay misses 3-pt shot from 26 ft,,22-12,,
4:08.0,,,22-12,,Defensive rebound by I. Mahinmi
3:44.0,,,22-12,,Turnover by Team (shot clock)
3:44.0,,,22-12,,D. Rudez enters the game for S. Hill
3:28.0,B. McLemore makes 2-pt shot from 20 ft (assist by D. Collison),2,24-12,,
3:11.0,,,24-12,,C. Miles misses 2-pt shot from 21 ft
3:10.0,Defensive rebound by D. Cousins,,24-12,,
2:58.0,R. Gay misses 2-pt shot from 3 ft,,24-12,,
2:57.0,,,24-12,,Defensive rebound by D. West
2:43.0,,,24-12,,D. Rudez misses 2-pt shot at rim
2:42.0,Defensive rebound by D. Cousins,,24-12,,
2:36.0,,,24-12,,Personal foul by D. Rudez (drawn by D. Collison)
2:36.0,Sacramento full timeout,,24-12,,
2:36.0,D. Collison makes free throw 1 of 2,1,25-12,,
2:36.0,D. Collison makes free throw 2 of 2,1,26-12,,
2:30.0,,,26-12,,Turnover by D. Rudez (lost ball)
2:20.0,,,26-12,,Personal foul by D. Rudez (drawn by R. Gay)
2:20.0,R. Gay makes free throw 1 of 2,1,27-12,,
2:20.0,,,27-12,,L. Scola enters the game for D. West
2:20.0,R. Gay makes free throw 2 of 2,1,28-12,,
2:03.0,,,28-12,,C. Miles misses 3-pt shot from 25 ft
2:01.0,,,28-12,,Offensive rebound by I. Mahinmi
2:01.0,,,28-12,,I. Mahinmi misses 2-pt shot at rim
2:00.0,Defensive rebound by D. Collison,,28-12,,
1:53.0,R. Gay makes 2-pt shot from 6 ft,2,30-12,,
1:39.0,,,30-12,,Shooting foul by J. Thompson (drawn by C. Miles)
1:39.0,,,30-13,1,C. Miles makes free throw 1 of 2
1:39.0,C. Landry enters the game for J. Thompson,,30-13,,
1:39.0,,,30-14,1,C. Miles makes free throw 2 of 2
1:26.0,,,30-14,,Personal foul by I. Mahinmi (drawn by D. Cousins)
1:26.0,D. Cousins makes free throw 1 of 2,1,31-14,,
1:26.0,D. Cousins makes free throw 2 of 2,1,32-14,,
1:07.0,,,32-16,2,I. Mahinmi makes 2-pt shot at rim (assist by D. Rudez)
0:50.0,R. Gay misses 2-pt shot from 6 ft,,32-16,,
0:49.0,,,32-16,,Defensive rebound by G. Hill
0:42.0,,,32-19,3,D. Rudez makes 3-pt shot from 26 ft (assist by G. Hill)
0:30.0,D. Cousins misses 2-pt shot from 18 ft,,32-19,,
0:29.0,,,32-19,,Defensive rebound by L. Scola
0:20.0,,,32-21,2,G. Hill makes 2-pt shot from 16 ft
0:02.0,D. Collison makes 2-pt shot from 18 ft,2,34-21,,
