time,Milwaukee,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Faried vs. Z. Pachulia (T. Lawson gains possession),,,,Jump ball: K. Faried vs. Z. Pachulia (T. Lawson gains possession)
11:40.0,,,0-0,,R. Foye misses 2-pt shot from 21 ft
11:39.0,Defensive rebound by G. Antetokounmpo,,0-0,,
11:36.0,Offensive foul by G. Antetokounmpo,,0-0,,
11:36.0,Turnover by G. Antetokounmpo (offensive foul),,0-0,,
11:10.0,,,0-0,,T. Lawson misses 3-pt shot from 24 ft
11:08.0,Defensive rebound by K. Middleton,,0-0,,
10:57.0,K. Middleton misses 2-pt shot from 5 ft,,0-0,,
10:55.0,,,0-0,,Defensive rebound by W. Chandler
10:48.0,,,0-3,3,D. Gallinari makes 3-pt shot from 24 ft (assist by W. Chandler)
10:47.0,,,0-3,,Technical foul by K. Faried
10:47.0,Technical foul by Z. Pachulia,,0-3,,
10:37.0,Loose ball foul by Z. Pachulia (drawn by K. Faried),,0-3,,
10:37.0,Turnover by Z. Pachulia (offensive foul),,0-3,,
10:16.0,,,0-6,3,D. Gallinari makes 3-pt shot from 24 ft (assist by R. Foye)
10:00.0,M. Carter-Williams misses 2-pt shot from 1 ft,,0-6,,
9:59.0,,,0-6,,Defensive rebound by K. Faried
9:50.0,,,0-6,,K. Faried misses 2-pt shot from 10 ft
9:48.0,Defensive rebound by G. Antetokounmpo,,0-6,,
9:44.0,Turnover by M. Carter-Williams (bad pass; steal by D. Gallinari),,0-6,,
9:39.0,,,0-8,2,D. Gallinari makes 2-pt shot at rim
9:22.0,,,0-8,,Personal foul by D. Gallinari (drawn by G. Antetokounmpo)
9:18.0,,,0-8,,Def 3 sec tech foul by K. Faried
9:18.0,K. Middleton makes technical free throw,1,1-8,,
9:09.0,E. Ilyasova misses 2-pt shot from 19 ft,,1-8,,
9:08.0,,,1-8,,Defensive rebound by D. Gallinari
9:01.0,,,1-8,,Turnover by D. Gallinari (lost ball; steal by E. Ilyasova)
