time,Toronto,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. J. Valanciunas,,,,Jump ball: B. Biyombo vs. J. Valanciunas
12:00.0,Violation by Team (jump ball),,0-0,,
11:34.0,,,0-0,,K. Walker misses 2-pt shot from 1 ft
11:32.0,,,0-0,,Offensive rebound by B. Biyombo
11:32.0,,,0-2,2,B. Biyombo makes 2-pt shot at rim
11:19.0,G. Vasquez misses 2-pt shot from 10 ft,,0-2,,
11:16.0,Offensive rebound by D. DeRozan,,0-2,,
10:58.0,D. DeRozan misses 3-pt shot from 25 ft,,0-2,,
10:56.0,Offensive rebound by J. Valanciunas,,0-2,,
10:49.0,G. Vasquez misses 3-pt shot from 26 ft,,0-2,,
10:49.0,Offensive rebound by Team,,0-2,,
10:49.0,,,0-2,,Loose ball foul by B. Biyombo (drawn by J. Valanciunas)
10:27.0,T. Hansbrough makes 2-pt shot from 4 ft (assist by G. Vasquez),2,2-2,,
10:09.0,,,2-4,2,B. Biyombo makes 2-pt shot at rim (assist by M. Williams)
9:49.0,D. DeRozan makes 2-pt shot from 16 ft,2,4-4,,
9:27.0,Personal foul by J. Valanciunas (drawn by K. Walker),,4-4,,
9:20.0,,,4-4,,G. Henderson misses 2-pt shot from 2 ft (block by J. Valanciunas)
9:18.0,Defensive rebound by J. Valanciunas,,4-4,,
9:07.0,J. Valanciunas makes 2-pt shot at rim (assist by G. Vasquez),2,6-4,,
8:52.0,,,6-4,,J. Taylor misses 2-pt shot from 5 ft
8:51.0,Defensive rebound by J. Valanciunas,,6-4,,
8:45.0,Turnover by J. Valanciunas (offensive foul),,6-4,,
8:45.0,Offensive foul by J. Valanciunas,,6-4,,
8:45.0,P. Patterson enters the game for J. Valanciunas,,6-4,,
8:28.0,,,6-4,,G. Henderson misses 3-pt shot from 23 ft
8:27.0,Defensive rebound by P. Patterson,,6-4,,
8:16.0,D. DeRozan misses 2-pt shot from 9 ft,,6-4,,
8:14.0,,,6-4,,Defensive rebound by K. Walker
8:05.0,,,6-4,,K. Walker misses 2-pt shot from 16 ft
8:05.0,Defensive rebound by Team,,6-4,,
7:50.0,T. Hansbrough makes 2-pt shot from 1 ft (assist by D. DeRozan),2,8-4,,
7:38.0,,,8-7,3,J. Taylor makes 3-pt shot from 25 ft (assist by K. Walker)
7:21.0,G. Vasquez misses 2-pt shot from 9 ft,,8-7,,
7:20.0,,,8-7,,Defensive rebound by M. Williams
7:16.0,,,8-7,,G. Henderson misses 2-pt shot from 1 ft
7:13.0,Defensive rebound by P. Patterson,,8-7,,
7:09.0,T. Ross misses 2-pt shot at rim (block by M. Williams),,8-7,,
7:09.0,,,8-7,,Defensive rebound by Team
6:51.0,,,8-7,,Shooting foul by P. Patterson (drawn by G. Henderson)
6:51.0,,,8-7,,G. Henderson misses free throw 1 of 2
6:51.0,,,8-7,,Offensive rebound by Team
6:51.0,,,8-8,1,G. Henderson makes free throw 2 of 2
6:40.0,D. DeRozan makes 2-pt shot from 14 ft,2,10-8,,
6:27.0,,,10-8,,K. Walker misses 3-pt shot from 25 ft
6:23.0,,,10-8,,Offensive rebound by B. Biyombo
6:07.0,,,10-8,,M. Williams misses 2-pt shot from 18 ft
6:05.0,Defensive rebound by G. Vasquez,,10-8,,
5:47.0,P. Patterson makes 3-pt shot from 23 ft (assist by D. DeRozan),3,13-8,,
5:26.0,,,13-10,2,G. Henderson makes 2-pt shot from 1 ft
5:08.0,Turnover by T. Ross (bad pass; steal by M. Williams),,13-10,,
4:44.0,,,13-13,3,J. Taylor makes 3-pt shot from 22 ft (assist by M. Williams)
4:31.0,Shooting foul by J. Taylor (drawn by T. Hansbrough),,13-13,,
4:31.0,,,13-13,,Charlotte full timeout
4:31.0,,,13-13,,M. Williams enters the game for M. Williams
4:31.0,,,13-13,,N. Vonleh enters the game for G. Henderson
4:31.0,L. Williams enters the game for G. Vasquez,,13-13,,
4:31.0,T. Hansbrough makes free throw 1 of 2,1,14-13,,
4:31.0,T. Hansbrough makes free throw 2 of 2,1,15-13,,
4:04.0,,,15-13,,N. Vonleh misses 2-pt shot from 21 ft
4:02.0,,,15-13,,Offensive rebound by B. Biyombo
3:56.0,,,15-13,,K. Walker misses 2-pt shot from 18 ft
3:53.0,,,15-13,,Offensive rebound by N. Vonleh
3:53.0,,,15-13,,N. Vonleh misses 2-pt shot at rim
3:53.0,Defensive rebound by Team,,15-13,,
3:34.0,L. Williams misses 3-pt shot from 25 ft,,15-13,,
3:33.0,,,15-13,,Defensive rebound by J. Taylor
3:26.0,,,15-13,,Turnover by M. Williams (bad pass; steal by L. Williams)
3:24.0,Turnover by D. DeRozan (lost ball),,15-13,,
3:11.0,,,15-13,,M. Williams misses 2-pt shot from 1 ft
3:10.0,Defensive rebound by P. Patterson,,15-13,,
3:00.0,T. Ross misses 3-pt shot from 24 ft,,15-13,,
2:58.0,,,15-13,,Defensive rebound by N. Vonleh
2:37.0,,,15-13,,M. Williams misses 2-pt shot from 4 ft
2:35.0,Defensive rebound by P. Patterson,,15-13,,
2:20.0,L. Williams misses 2-pt shot from 3 ft,,15-13,,
2:19.0,Offensive rebound by T. Hansbrough,,15-13,,
2:19.0,T. Hansbrough misses 2-pt shot at rim (block by N. Vonleh),,15-13,,
2:17.0,Offensive rebound by T. Hansbrough,,15-13,,
2:17.0,T. Hansbrough misses 2-pt shot at rim,,15-13,,
2:15.0,Offensive rebound by T. Hansbrough,,15-13,,
2:15.0,T. Hansbrough misses 2-pt shot at rim,,15-13,,
2:12.0,,,15-13,,Defensive rebound by Team
2:12.0,Toronto full timeout,,15-13,,
2:12.0,J. Johnson enters the game for T. Ross,,15-13,,
